author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
AfifyAmira1,We are American Muslims! https://t.co/m6XPvVha7I,Unknown,English,2016-01-06 18:40:00,2016-01-06 18:40:00,39,4,2,,0
AfifyAmira1,"Brothers and sisters, remember this! https://t.co/42cc4LfQa4",Unknown,English,2016-01-06 20:06:00,2016-01-06 20:06:00,65,4,3,,0
AfifyAmira1,It's so beauty!!   Dolce & Gabbana has launched its first line of hijabs and abayas  https://t.co/bDSlxxcLD2 https://t.co/lvtgBKbTTr,Unknown,English,2016-01-06 22:15:00,2016-01-06 22:15:00,65,4,4,,0
AfifyAmira1,Playing and joking around with your spouse is #Sunnah https://t.co/52HrcuNPjY,Unknown,English,2016-01-06 23:58:00,2016-01-06 23:59:00,65,4,5,,0
AfifyAmira1,West Coast Education Forum is less than 2 weeks! Learn more and register today https://t.co/l120pSi2ML https://t.co/fhepQR2GPR,Unknown,English,2016-01-09 22:05:00,2016-01-09 22:05:00,261,20,7,,0
AfifyAmira1,How Islamophobia Hurts Muslim Women the Most...  https://t.co/gnu2nITluj https://t.co/QPQRLRYxt2,Unknown,English,2016-01-09 23:00:00,2016-01-09 23:00:00,261,20,8,,0
AfifyAmira1,Hungarians waiting by the highway with food to give to the refugees who will arrive on foot #SyrianRefugees http://t.co/xeXEf2e9Cr,Unknown,English,2016-01-10 01:19:00,2016-01-10 01:19:00,261,20,10,R,1
AfifyAmira1,"Walking with your spouse is a date, even if it becomes a regular and traditional thing you do together https://t.co/yfLBaOtTn9",Unknown,English,2016-01-10 01:22:00,2016-01-10 01:22:00,261,20,11,,0
AfifyAmira1,When #Disney princesses meet <3 � https://t.co/MgqmDKry9p,Unknown,English,2016-01-10 21:41:00,2016-01-10 21:41:00,459,33,12,,0
AfifyAmira1,Love this story! See how you can help this local girl with a big heart!  https://t.co/iYUy30IQm0,Unknown,English,2016-01-10 23:23:00,2016-01-10 23:23:00,459,35,15,R,1
AfifyAmira1,"Love is "" TO CARE""! https://t.co/nrZ4G1SnC9",Unknown,English,2016-01-11 01:45:00,2016-01-11 01:46:00,541,35,16,,0
AfifyAmira1,The most beautiful for the most beautiful #flowers #women #girls #roses https://t.co/SvhX2lt114,Unknown,English,2016-01-11 22:24:00,2016-01-11 22:24:00,577,46,17,,0
AfifyAmira1,#Couscous #Salad from Heaven  https://t.co/bDKh4hJnHC https://t.co/Z5thM20Z64,Unknown,English,2016-01-12 02:27:00,2016-01-12 02:27:00,577,48,22,,0
AfifyAmira1,Love your songs! #KissAGingerDay https://t.co/j5mPgVXJ3h,Unknown,English,2016-01-12 21:36:00,2016-01-12 21:37:00,577,47,23,,0
AfifyAmira1,The best present from a beloved one! Make you women happy! https://t.co/imL131Q9Wb,Unknown,English,2016-01-12 21:43:00,2016-01-12 21:43:00,577,47,24,,0
AfifyAmira1,Cooking at home is one of the best ways to spend time https://t.co/5TQwwAGNCt,Unknown,English,2016-01-12 22:44:00,2016-01-12 22:44:00,577,47,25,,0
AfifyAmira1,This is still the best dog costume ever https://t.co/iXO2kz52Gk,Unknown,English,2016-01-13 22:28:00,2016-01-13 22:28:00,577,47,25,,0
AfifyAmira1,"Don't let yourself be controlled by three things, 1- People 2- Money 3- Past Experiences",Unknown,English,2016-01-13 22:31:00,2016-01-13 22:31:00,577,47,26,R,1
AfifyAmira1,"ARGH! These photos hurt my eyes! YOU HAD ONE JOB, PEOPLE! �  https://t.co/ZKb2cyHwtY https://t.co/JqHE51TYlG",Unknown,English,2016-01-14 01:27:00,2016-01-14 01:29:00,577,47,27,R,1
AfifyAmira1,at first I thought it was cappuccino �� https://t.co/22tZ7KC33t,Unknown,English,2016-01-14 01:32:00,2016-01-14 01:33:00,577,47,28,,0
AfifyAmira1,Is this happiness? Yeaaah! https://t.co/c5aKhqZfmi,Unknown,English,2016-01-14 01:38:00,2016-01-14 01:39:00,577,47,29,,0
AfifyAmira1,What a beauty! https://t.co/waQhUHVu8f,Unknown,English,2016-01-15 02:15:00,2016-01-15 02:15:00,578,50,30,,0
AfifyAmira1,Life is in the details. Ongoing small gestures can mean so much more than one grand display of love.  #HODDoodle https://t.co/yGILsUJOZv,Unknown,English,2016-01-15 02:17:00,2016-01-15 02:17:00,578,50,31,R,1
AfifyAmira1,this is so perfect � http://t.co/qSE4kR9O3X,Unknown,English,2016-01-16 00:53:00,2016-01-16 00:53:00,579,53,34,R,1
AfifyAmira1,I`d like to jump there https://t.co/DrT6MAIaGp,Unknown,English,2016-01-16 00:54:00,2016-01-16 00:54:00,579,53,35,Q,1
AfifyAmira1,So exciting! #Jordan #traveling #Petra https://t.co/6h7bikRyIE,Unknown,English,2016-01-16 01:58:00,2016-01-16 01:58:00,578,54,36,,0
AfifyAmira1,Allah made you with a beautiful smile. You should use it more.,Unknown,English,2016-01-16 21:50:00,2016-01-16 21:51:00,578,61,37,R,1
AfifyAmira1,My sincere prayers go out to Celine Dion Real tragedy https://t.co/wNoRs9lBpQ,Unknown,English,2016-01-16 22:12:00,2016-01-16 22:12:00,578,61,39,,0
AfifyAmira1,Can they get any more fierce? Newborn mountain lions hiss at camera   https://t.co/CpRCjCjfKE https://t.co/IAfLCUr0rg,Unknown,English,2016-01-17 22:17:00,2016-01-17 22:18:00,578,65,40,,0
AfifyAmira1,Let it snow https://t.co/7qfh5AWYVU,Unknown,English,2016-01-17 22:20:00,2016-01-17 22:20:00,578,65,41,,0
AfifyAmira1,Many walk around with smiles on their faces but they're hurting inside & we may never know. So be sympathetic. Be the heart that loves.,Unknown,English,2016-01-18 22:57:00,2016-01-18 22:57:00,577,65,43,,0
AfifyAmira1,Happy #MLKDay ! https://t.co/VUKXKoXPJU,Unknown,English,2016-01-18 23:06:00,2016-01-18 23:06:00,577,66,44,,0
AfifyAmira1,✨ 1 Day SALE ✨  20% OFF w/ promo code: FLASH ⚡  All items are under $10 TODAY ONLY! � https://t.co/hhukAKDven,Unknown,English,2016-01-19 02:10:00,2016-01-19 02:11:00,577,66,46,R,1
AfifyAmira1,"Like our body, our heart needs oxygen to survive. The heart's oxygen is Allah's remembrance. Will you still say ""No time"" and let it die?",Unknown,English,2016-01-19 02:10:00,2016-01-19 02:10:00,577,66,45,,0
AfifyAmira1,Women always appreciate flowers https://t.co/Gp5yUGBQp2,Unknown,English,2016-01-19 18:59:00,2016-01-19 18:59:00,577,68,47,Q,1
AfifyAmira1,How to Apply Bridal Makeup : Style Eyebrows for Bridal Makeup -  https://t.co/PGgc4K0PhA https://t.co/4T9OMm4qhB,Unknown,English,2016-01-19 19:00:00,2016-01-19 19:00:00,577,68,48,R,1
AfifyAmira1,"Son Carrying Mother to Friday Prayers (Madinah, Saudi Arabia) Simply Amazing! 1 of the best photos I have ever seen https://t.co/xsX6hMCimQ",Unknown,English,2016-01-19 19:08:00,2016-01-19 19:08:00,577,68,49,R,1
AfifyAmira1,Handsome Brandon https://t.co/EyZxdGTvFb,Unknown,English,2016-01-21 22:17:00,2016-01-21 22:17:00,576,66,50,Q,1
AfifyAmira1,Your wife is your Sheikha Perfect necklace is for her #Bvlgari https://t.co/myaqBHjmwf,Unknown,English,2016-01-21 22:37:00,2016-01-21 22:37:00,576,66,51,,0
AfifyAmira1,"#NationalHugDay  Hug your parents, hug your husband or wife https://t.co/GsTogiPUkb",Unknown,English,2016-01-21 22:54:00,2016-01-21 22:54:00,576,66,52,,0
AfifyAmira1,Beautiful #roses #flowers https://t.co/WEdyVLmytQ,Unknown,English,2016-01-21 22:59:00,2016-01-21 22:59:00,576,66,53,,0
AfifyAmira1,If you see an animal in distress please speak up: call the authorities or knock on their humans' door #blizzard2016 https://t.co/ySF4Qj45X4,Unknown,English,2016-01-23 02:22:00,2016-01-23 02:22:00,576,66,54,R,1
AfifyAmira1,"If you love people for the sake of Allah, your relationships with them will be blessed https://t.co/FDvoIOQFXT",Unknown,English,2016-01-23 02:28:00,2016-01-23 02:28:00,576,66,55,,0
AfifyAmira1,"""There's something else that I've been judging myself for."" #PrettyLittleLiars https://t.co/g6DKgPi9H3",Unknown,English,2016-01-27 02:33:00,2016-01-27 02:33:00,577,70,58,,0
AfifyAmira1,Do not open your heart to everyone for not everyone is worthy of touching it! #HalfOurDeen https://t.co/ExnyjAONr0,Unknown,English,2016-01-27 02:34:00,2016-01-27 02:34:00,577,70,59,R,1
AfifyAmira1,"If you feel your life is meaningless, start establishing connection with Allah. Everything will make sense.",Unknown,English,2016-01-29 22:29:00,2016-01-29 22:30:00,776,84,61,,0
AfifyAmira1,"Nobody's perfect. And if you think they are, you're sadly mistaken.",Unknown,English,2016-01-29 22:30:00,2016-01-29 22:30:00,776,84,62,R,1
AfifyAmira1,#Muslims are not #terrorists https://t.co/8b1nZseBc0,Unknown,English,2016-01-30 03:00:00,2016-01-30 03:00:00,776,83,63,,0
AfifyAmira1,They are so cute! https://t.co/ppxVpXWCwo,Unknown,English,2016-01-30 03:01:00,2016-01-30 03:01:00,776,83,64,,0
AfifyAmira1,"Just one cup of coffee a day, right?�  ���� https://t.co/1NzWuhgWRz",Unknown,English,2016-02-01 01:54:00,2016-02-01 01:55:00,776,88,66,,0
AfifyAmira1,"Sometimes, the biggest changes in your marriage come from the smallest shifts. https://t.co/W0LVyy3Fk6",Unknown,English,2016-02-01 01:58:00,2016-02-01 01:58:00,776,88,67,,0
AfifyAmira1,Turn to Allah before you return to Allah. https://t.co/Ymx0tqOEvG,Unknown,English,2016-02-01 02:03:00,2016-02-01 02:03:00,776,88,68,,0
AfifyAmira1,"URGENT: Philly Teen With ""Suicidal Tendencies"" Goes Missing - PLEASE SHARE! - https://t.co/Y08Xkc3yle https://t.co/1HLjeYpNjI",Unknown,English,2016-02-01 02:04:00,2016-02-01 02:04:00,776,88,69,R,1
AfifyAmira1,We've got some work to do. #mondaymotivation https://t.co/zMUWTlqU8f,Unknown,English,2016-02-01 02:14:00,2016-02-01 02:14:00,1074,91,71,,0
AfifyAmira1,10 Reasons You Should Not Fear #Muslims  https://t.co/6EfjQljmZa https://t.co/aqZQ6I2Mwo,Unknown,English,2016-02-02 23:29:00,2016-02-02 23:29:00,1072,119,72,,0
AfifyAmira1,What a beauty!!  Lavender fields of France �� https://t.co/mN2KojiHRR,Unknown,English,2016-02-02 23:30:00,2016-02-02 23:30:00,1072,119,73,,0
AfifyAmira1,Allah ﷻ alone gives success.,Unknown,English,2016-02-02 23:31:00,2016-02-02 23:32:00,1072,119,74,R,1
AfifyAmira1,"No one can love or care for us as much as Allah does. To know that Allah loves us so much is such an honour, SubhanAllah!",Unknown,English,2016-02-04 02:21:00,2016-02-04 02:21:00,1072,121,75,,0
AfifyAmira1,Some people go above their budget just to please people who will not care. Keep things simple and Allah will bless the marriage.,Unknown,English,2016-02-07 02:26:00,2016-02-07 02:26:00,1071,128,80,,0
AfifyAmira1,A drop of love can heal an ocean of pain.,Unknown,English,2016-02-07 02:26:00,2016-02-07 02:26:00,1071,128,81,R,1
AfifyAmira1,Bow down #SB50 https://t.co/6fVkLsXDCS,Unknown,English,2016-02-08 01:55:00,2016-02-08 01:56:00,1071,128,82,R,1
AfifyAmira1,I'm a terrorist according to the government because I enjoy free speech. You can be one too! Speak up!,Unknown,English,2016-02-08 01:56:00,2016-02-08 01:57:00,1071,128,84,R,1
AfifyAmira1,"Gumbo time! Shrimp, crab and sausage. As mom used to say,this is ""good eatin'"". https://t.co/qWFiw6nNOH",Unknown,English,2016-02-08 01:56:00,2016-02-08 01:56:00,1071,128,83,R,1
AfifyAmira1,"OK, and then right after the halftime they said that Kendrick Lamar and Adele will be performing at the GRAMMYS.",Unknown,English,2016-02-08 01:57:00,2016-02-08 01:57:00,1071,128,85,R,1
AfifyAmira1,#IfIHadTrumpsMoney there are so many people I'd be helping. Because that's how I roll.,Unknown,English,2016-02-11 02:19:00,2016-02-11 02:19:00,1070,129,83,R,1
AfifyAmira1,Arranged Marriage is not Forced Marriage https://t.co/1nam1iHkqn via muslimmatters @MunaAbuSulayman @yvonneridley @SayeedaWarsi,Unknown,English,2016-02-11 02:21:00,2016-02-11 02:21:00,1070,129,85,R,1
AfifyAmira1,‘There’s a reason we’re told to make excuses for each other. And it’s not only because the truth is often in one... https://t.co/91LNX71rmY,Unknown,English,2016-02-11 02:21:00,2016-02-11 02:21:00,1070,129,86,R,1
AfifyAmira1,Why American-grown flowers are the latest Valentine's Day trend: https://t.co/5DlwLuTwUG https://t.co/gbFUYYDRUl,Unknown,English,2016-02-14 01:43:00,2016-02-14 01:43:00,1071,131,87,R,1
