author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
AlinaAntonchik,Вчера Айдар провокационно захватил 2х бойцов Народной милиции ЛНР на её территории. А как же Минские договоренности?  http://t.co/nX2ytzZfYU,Unknown,Russian,2015-05-17 17:45:00,2015-05-17 17:45:00,778,184,372,R,1
AlinaAntonchik,"Презентация музея ""Зенита"" http://t.co/MiN1g1bqVx",Unknown,Bulgarian,2015-05-29 17:29:00,2015-05-29 17:29:00,777,186,378,R,1
AlinaAntonchik,Он первый  http://t.co/rYmiwg96Rk,Unknown,Russian,2015-06-22 14:09:00,2015-06-22 14:09:00,775,183,389,R,1
AlinaAntonchik,Госдума одобрила закон о «праве на забвении» во втором чтении http://t.co/ffGK0E7ALl #ЭтоНезабываемо что думаете? http://t.co/0zAMNNh1pv,Unknown,Russian,2015-06-30 15:36:00,2015-06-30 15:36:00,773,186,393,R,1
AlinaAntonchik,Отборные факты о России по версии иностранцев http://t.co/k1psWbSqZs #Россия #RuOpen,Unknown,Russian,2015-07-21 16:29:00,2015-07-21 16:30:00,665,189,405,R,1
AlinaAntonchik,'@zubovnik @hirurg_Wolves @eiandreeva устали жить по указке сша',Unknown,Russian,2015-08-16 19:16:00,2015-08-16 19:16:00,265,182,424,,0
AlinaAntonchik,Конкурс «Мастера автобронетанковой техники» завершился победой сборной России   http://t.co/tVgJVYTXcO,Unknown,Russian,2015-08-17 08:17:00,2015-08-17 08:19:00,265,182,425,R,1
AlinaAntonchik,Навальный пригласил дипломатов США в Кострому для отчета   https://t.co/top8wyQANe http://t.co/jC5rTMszZM,Unknown,Ukrainian,2015-09-04 11:49:00,2015-09-04 11:49:00,265,183,440,R,1
AlinaAntonchik,"Вот в такую ситуацию можно попасть, если заказать первое попавшееся такси  http://t.co/lLiWML7UCi http://t.co/EGzPOn15mO",Unknown,Russian,2015-09-08 16:17:00,2015-09-08 16:18:00,265,184,454,R,1
AlinaAntonchik,Легко ли стать смертником?  http://t.co/t4ia90feH1,Unknown,Russian,2015-09-23 16:41:00,2015-09-23 16:41:00,266,185,461,R,1
AlinaAntonchik,"""Высотка на Котельнической увенчалась украинским флагом""  - хохлы, греет ли вас эта новость? #СамыйГлупыйПоступок https://t.co/PU6E1YMhsI",Unknown,Russian,2015-11-23 15:31:00,2015-11-23 15:32:00,264,179,479,R,1
AlinaAntonchik,"О том, как Челси Клинтон пошла по стопам родителей  https://t.co/xm8r3a3sno",Unknown,Russian,2015-12-05 16:41:00,2015-12-05 16:41:00,264,180,480,R,1
AlinaAntonchik,"в мире богатства всё также фальшиво, как и сама жизнь Андрея Ющенко https://t.co/sfktFTGIMH",Unknown,Russian,2015-12-05 18:00:00,2015-12-05 18:00:00,264,180,481,R,1
AlinaAntonchik,"Полиция Парижа, 7 января 2016 года https://t.co/Wv25N4nx4V",Unknown,Bulgarian,2016-01-07 15:12:00,2016-01-07 15:13:00,264,179,492,R,1
