author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
AnatoliNemcov,МВФ признал долговые требования России к Украине http://t.co/2LyGM4fv31 http://t.co/jqQbpIH6Ue,United Arab Emirates,Russian,2015-06-23T10:12:00,2015-06-23T10:12:00,1675.0000000000,718.0000000000,6174.0000000000,R,True
AnatoliNemcov,'@zubovnik автоваз все никак не угомониться -как делали ведра с гайками так и делают',United Arab Emirates,Ukrainian,2015-07-07T23:19:00,2015-07-07T23:19:00,1672.0000000000,711.0000000000,6210.0000000000,,False
AnatoliNemcov,На Пермском тракте Nissan вылетел с трассы и перевернулся 5 раз (Видео) http://t.co/NKxq0wMs9E,United Arab Emirates,Russian,2015-07-13T06:51:00,2015-07-13T06:51:00,1668.0000000000,710.0000000000,6204.0000000000,R,True
AnatoliNemcov,Президент Финляндии позвонил Путину и обсудил скандал с Нарышкиным  http://t.co/eCGoFbDcTi,United Arab Emirates,Russian,2015-07-15T11:52:00,2015-07-15T11:53:00,1667.0000000000,709.0000000000,6210.0000000000,R,True
AnatoliNemcov,Депутат Пономарев объявлен в международный розыск  http://t.co/yOuWtYn94T http://t.co/V3Hfv1o6OK,United Arab Emirates,Ukrainian,2015-07-15T14:51:00,2015-07-15T14:51:00,1666.0000000000,709.0000000000,6212.0000000000,R,True
AnatoliNemcov,Власти ДНР в очередной раз заявили о своей непричастности к ЧП с MH17 http://t.co/8BtGi7ovUl,United Arab Emirates,Russian,2015-07-15T15:10:00,2015-07-15T15:10:00,1666.0000000000,709.0000000000,6213.0000000000,R,True
AnatoliNemcov,Роспечать: Прибыль Украины от экспорта СМИ в Россию за год увеличилась на $10 млн  http://t.co/ynUJEIgFkl,United Arab Emirates,Russian,2015-07-16T04:31:00,2015-07-16T23:47:00,1666.0000000000,709.0000000000,6217.0000000000,R,True
AnatoliNemcov,"Что нам дал New Horizons — в одной картинке. Просто сравните, как мы по-разному видим Плутон  https://t.co/YNSWI1xNQS http://t.co/v8HdwASAHi",United Arab Emirates,Russian,2015-07-16T07:51:00,2015-07-16T07:52:00,1666.0000000000,709.0000000000,6218.0000000000,R,True
AnatoliNemcov,New Horizons приблизился к Плутону и продолжил свой путь за пределы Солнечной системы http://t.co/qIjFXaydyz,United Arab Emirates,Russian,2015-07-16T08:31:00,2015-07-16T08:32:00,1666.0000000000,709.0000000000,6219.0000000000,R,True
AnatoliNemcov,"Видаль: мы с Тураном подождём до января, ведь речь идёт о «Барселоне» http://t.co/TJsyvpY1pn",United Arab Emirates,Ukrainian,2015-07-16T09:53:00,2015-07-16T09:53:00,1666.0000000000,709.0000000000,6220.0000000000,R,True
AnatoliNemcov,Министр иностранных дел Австралии обеспокоена появлением видео с места падения Boeing http://t.co/YQlWJA5xuA,United Arab Emirates,Russian,2015-07-16T23:31:00,2015-07-16T23:32:00,1666.0000000000,708.0000000000,6223.0000000000,R,True
AnatoliNemcov,Кустурицу не пустят в зверинец   http://t.co/21mvGDTryc http://t.co/XZdAn7SM7z,United Arab Emirates,Ukrainian,2015-07-17T06:31:00,2015-07-17T06:31:00,1666.0000000000,708.0000000000,6224.0000000000,R,True
AnatoliNemcov,"Британия об идее трибунала по ""Боингу"" http://t.co/Qs8dpzhucn http://t.co/iutJ15mzmw",United Arab Emirates,Bulgarian,2015-07-17T06:51:00,2015-07-17T06:51:00,1666.0000000000,708.0000000000,6225.0000000000,R,True
AnatoliNemcov,Мимими http://t.co/Vw4CXC0Jhn,United Arab Emirates,Russian,2015-07-17T09:52:00,2015-07-17T09:52:00,1666.0000000000,708.0000000000,6228.0000000000,R,True
