author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
AngeloEnough,lets get drunk? #MyDoomsdayPlans,United States,English,2015-08-30 16:07:00,2015-08-30 16:47:00,126,86,397,,0
AngeloEnough,"Criminals can easily buy a gun, this threatens our security, law has to be changed #NoGunsForCriminals",United States,English,2015-09-19 08:22:00,2015-09-19 08:22:00,126,85,399,R,1
AngeloEnough,Support the #petition that banns providing #black hoods with firearms #NoGunsForCriminals,United States,English,2015-09-19 08:22:00,2015-09-19 08:23:00,126,85,401,R,1
AngeloEnough,"Crime rate is already high enough in our country, we must stop the gun violence #NoGunsForCriminals",United States,English,2015-09-19 08:22:00,2015-09-19 08:22:00,126,85,398,R,1
AngeloEnough,#2A is so stupid that #black man next door just pops in ceiling off and feels happy.  #NoGunsForCriminals,United States,English,2015-09-19 08:23:00,2015-09-19 08:23:00,126,85,403,R,1
AngeloEnough,Sign the #petition and there will be no more guns in ghettos #NoGunsForCriminals,United States,English,2015-09-19 08:23:00,2015-09-19 08:23:00,126,85,408,R,1
AngeloEnough,We need a tougher procedure of guns acquisition #NoGunsForCriminals,United States,English,2015-09-19 08:23:00,2015-09-19 08:23:00,126,85,407,R,1
AngeloEnough,I can’t feel safe while criminals could buy a gun #NoGunsForCriminals,United States,English,2015-09-19 08:23:00,2015-09-19 08:23:00,126,85,405,R,1
AngeloEnough,'@Wayne_Drake_ @AnitaDWhite @naft82  How do you think can it help us with #NoGunsForCriminals ???',United States,English,2015-09-19 09:03:00,2015-09-19 09:03:00,126,85,410,,0
AngeloEnough,#AllWentWrongWhen we went fishing http://t.co/5W5O6hqae1,United States,English,2015-09-20 17:53:00,2015-09-20 17:54:00,126,85,411,R,1
AngeloEnough,#AllWentWrongWhen I got the driving license http://t.co/czSLr8i7jk,United States,English,2015-09-20 17:53:00,2015-09-20 17:54:00,126,85,412,R,1
AngeloEnough,#AllWentWrongWhen I tried nailing a picture hook http://t.co/6VjWITr2p0,United States,English,2015-09-20 17:54:00,2015-09-20 17:54:00,126,85,413,R,1
AngeloEnough,There must be #guncontrol in #black areas #NoGunsForCriminals https://t.co/5aYAdYI1c5,United States,English,2015-09-22 18:53:00,2015-09-22 18:53:00,126,115,420,,0
AngeloEnough,"Apparently it's the only thing to the moment to change everything to better, isn'it? #NoGunsForCriminals",United States,English,2015-09-23 09:14:00,2015-09-23 09:14:00,126,115,425,R,1
AngeloEnough,Why this #petition isn’t still in the White House? We urgently need it to be legalized #NoGunsForCriminals,United States,English,2015-09-23 09:15:00,2015-09-23 09:15:00,126,115,427,R,1
AngeloEnough,Wanna our Govt to correct #2A #NoGunsForCriminals,United States,English,2015-09-23 09:16:00,2015-09-23 09:16:00,126,115,431,R,1
AngeloEnough,"Suppose no one wants his friends or relatives dead by the hands of marginal psychopaths, right? #NoGunsForCriminals",United States,English,2015-09-23 09:19:00,2015-09-23 09:19:00,126,115,433,R,1
AngeloEnough,Why should we wait till criminals kill somebody? Just sign ‘No guns for criminals’ and sleep well #NoGunsForCriminals,United States,English,2015-09-23 09:20:00,2015-09-23 09:21:00,126,115,434,R,1
AngeloEnough,So now gimme one reason not to sign a document that ends this bloodshed and street gun wars #NoGunsForCriminals,United States,English,2015-09-23 09:23:00,2015-09-23 09:23:00,126,115,436,R,1
AngeloEnough,#GOPDebate #GOPStop https://t.co/lhREX5BqHs,United States,English,2015-11-11 05:10:00,2015-11-11 05:10:00,124,96,444,R,1
AngeloEnough,'@GoogleTrends @github enjoy #GOPStop',United States,English,2015-11-11 05:16:00,2015-11-11 05:16:00,124,96,445,,0
AngeloEnough,"I got some crayones to explain it to you, you can take it to #GOPDebate   #GOPStop https://t.co/pgmND0ntQF",United States,English,2015-11-11 05:18:00,2015-11-11 05:18:00,124,96,448,,0
AngeloEnough,Candidates talking about economy tonight at #DemnDebate and I wonder if they really know what it is,United States,English,2015-11-15 02:03:00,2015-11-15 02:03:00,124,95,451,,0
AngeloEnough,#DemnDebate The Daily Shows Trevor Noah doesnt understand why Ben Carson insists he,United States,English,2015-11-15 02:07:00,2015-11-15 02:07:00,124,95,455,,0
AngeloEnough,#DemnDebate Sanders is an magnate and he doesn’t care about US economy. He cares only about his own money #DemDebate,United States,English,2015-11-15 02:12:00,2015-11-15 02:12:00,124,95,464,,0
AngeloEnough,we need more concrte questions to be askem on #DemnDebate to find out who is woke and who is not,United States,English,2015-11-15 02:13:00,2015-11-15 02:13:00,124,95,465,,0
AngeloEnough,"At Debate, Ben Carson Calls Out Media: Vet All Candidates #DemnDebate",United States,English,2015-11-15 02:15:00,2015-11-15 02:15:00,124,95,469,,0
AngeloEnough,#DemnDebate Huckabee Says Hes Vindicated on Refugee Warning After Paris Attacks,United States,English,2015-11-15 02:21:00,2015-11-15 02:22:00,124,95,476,,0
AngeloEnough,Did they decide to conduct the debates on Saturday night because nobody is going to watch it anyway? #DemnDebate,United States,English,2015-11-15 02:23:00,2015-11-15 02:23:00,124,95,478,,0
