author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
aaavadakedavraa,Мэрия Екатеринбурга соединит тупиковую улицу во Втузгородке  http://t.co/iUrQ4slGm3 http://t.co/8pDEMOdRng,Unknown,Russian,2015-06-24T09:11:00,2015-06-24T09:11:00,1952.0000000000,630.0000000000,1879.0000000000,R,True
aaavadakedavraa,Роскосмос: Работа на МКС не замрет из-за аварии Falcon 9 http://t.co/vvZYV52LDv http://t.co/mTX6L3RUGb,Unknown,Ukrainian,2015-06-28T20:51:00,2015-06-28T20:51:00,1952.0000000000,636.0000000000,1886.0000000000,R,True
aaavadakedavraa,Сделка с Фирташем «съела» прибыль «Газпром экспорта» за несколько лет  http://t.co/OOxK0N01Er,Unknown,Russian,2015-07-15T11:34:00,2015-07-15T11:34:00,1947.0000000000,635.0000000000,1892.0000000000,R,True
aaavadakedavraa,"""Правый сектор"" заявил об аресте двух активистов по делу о Мукачево http://t.co/Uksz9jYMtn",Unknown,Russian,2015-07-15T14:51:00,2015-07-15T14:51:00,1947.0000000000,635.0000000000,1894.0000000000,R,True
aaavadakedavraa,Миссия ООН по правам человека будет работать на Украине еще полгода http://t.co/TviSw5JTnV,Unknown,Russian,2015-07-16T12:52:00,2015-07-16T12:52:00,1946.0000000000,634.0000000000,1900.0000000000,R,True
aaavadakedavraa,Ольга Романова проиграла суд Владимиру Слуцкеру по иску о клевете http://t.co/oxn37bv8CO,Unknown,Serbian,2015-07-16T18:51:00,2015-07-16T18:51:00,1947.0000000000,634.0000000000,1904.0000000000,R,True
aaavadakedavraa,Обама пожелал Бушу-старшему скорейшего выздоровления http://t.co/VJGlMkxOXp,Unknown,Russian,2015-07-16T18:51:00,2015-07-16T18:51:00,1947.0000000000,634.0000000000,1905.0000000000,R,True
aaavadakedavraa,Путь в европу http://t.co/2L3Mdl0xSU,Unknown,Russian,2015-07-17T08:13:00,2015-07-17T08:13:00,1947.0000000000,634.0000000000,1908.0000000000,R,True
aaavadakedavraa,"СБУ сообщила о поимке ""Кощея"" из батальона ""Сомали"" http://t.co/O5dgF6kffB",Unknown,Russian,2015-07-17T08:51:00,2015-07-17T08:51:00,1947.0000000000,634.0000000000,1909.0000000000,R,True
aaavadakedavraa,Россия и Китай договорились о совместных учениях в Японском море http://t.co/Uk30ZnluhW,Unknown,Russian,2015-07-17T08:52:00,2015-07-17T08:53:00,1947.0000000000,634.0000000000,1910.0000000000,R,True
aaavadakedavraa,В аварии с самоуправляемым автомобилем Google впервые пострадали люди: http://t.co/lQAGnqP89l,Unknown,Russian,2015-07-17T11:51:00,2015-07-17T11:51:00,1947.0000000000,634.0000000000,1911.0000000000,R,True
aaavadakedavraa,Концерт Maroon 5 в Китае отменен после твита о Далай-ламе http://t.co/i65OSibi1x http://t.co/cOOeMXy3zh,Unknown,Russian,2015-07-17T12:33:00,2015-07-17T12:33:00,1947.0000000000,634.0000000000,1913.0000000000,R,True
aaavadakedavraa,Metro Family Day на Елагином острове приглашает детей и их родителей  http://t.co/1ileJTWQij http://t.co/b09yD3Soj0,Unknown,Russian,2015-07-17T13:31:00,2015-07-17T13:31:00,1946.0000000000,633.0000000000,1914.0000000000,R,True
aaavadakedavraa,Биржевой курс доллара превысил 57 рублей: http://t.co/hKhq4rG8qu,Unknown,Russian,2015-07-17T13:52:00,2015-07-17T13:53:00,1946.0000000000,633.0000000000,1916.0000000000,R,True
aaavadakedavraa,В Кремле не стали комментировать назначение Марии Гайдар вице-губернатором Одесской области Украины: http://t.co/jfo2p8pgj1,Unknown,Russian,2015-07-17T18:31:00,2015-07-17T18:31:00,1725.0000000000,634.0000000000,1918.0000000000,R,True
aaavadakedavraa,В Омской области без света оказались более 60 тыс человек http://t.co/XMn9msC0tb,Unknown,Russian,2015-07-19T06:32:00,2015-07-19T06:32:00,1446.0000000000,633.0000000000,1922.0000000000,R,True
