author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
amyyslegentr,#ste BREAKING : Sean Hannity is Preparing to SUE the Obama Administration! https://t.co/9rK1nLuSGf https://t.co/f12ZOIw7ua,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,8.0000000000,R,True
amyyslegentr,#ste Traitor Jeff Flake is Now Defending Obama https://t.co/TY4E8MFK26 https://t.co/moT2yRIghm,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,7.0000000000,R,True
amyyslegentr,#ste Former Obama Officials Formed a Shadow DC Network to Push His Agenda https://t.co/tlWiZ8G79g https://t.co/EFS4UTHS2H,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,15.0000000000,R,True
amyyslegentr,"#ste Liberal Author Attacks Trump’s “Birther” Comments, Forgets one HUGE Problem! https://t.co/dynfuCHEVR https://t.co/vlODdgwgOr",Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,9.0000000000,R,True
amyyslegentr,#ste LOL : Rahm Emanuel Refuses to Answer if Pelosi and Schumer are Good Leaders https://t.co/bjZI0cfuwf https://t.co/3ncDJ2DGmS,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,14.0000000000,R,True
amyyslegentr,#ste Gov. Abbott Just IGNORED the BAD Advice of “Triggered” Crybaby Liberals! https://t.co/Pyv2AxhtKj https://t.co/fjSOsvMTq2,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,11.0000000000,R,True
amyyslegentr,#ste BREAKING : U.S. Spy Satellites CATCH North Korea Attempting Sneaky Move https://t.co/bsWPgfRHkx https://t.co/JsfvUGwgbm,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,13.0000000000,R,True
amyyslegentr,"#ste While Dems and Media Obsess on Russia, Trump’s AMERICAN Economy is BOOMING! https://t.co/IvMpbP4DYn https://t.co/zQvy0v3FSN",Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,5.0000000000,R,True
amyyslegentr,#ste BOMBSHELL! Comey’s FBI Helped Set Up Clinton / Lynch Tarmac Meeting https://t.co/gNCNiaCNHW https://t.co/PrYYoaacco,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,12.0000000000,R,True
amyyslegentr,#ste Trump’s Lawyer Going to SCOTUS Over Blockade of Undercover Abortion Videos https://t.co/l0exTb7TI0 https://t.co/fCKivgFqtc,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,3.0000000000,R,True
amyyslegentr,#ste WHAT??? Liberal Media Advising Parents to IGNORE Gender Science! https://t.co/mVs7wZqpb3 https://t.co/6EERJNlhB6,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,10.0000000000,R,True
amyyslegentr,#ste Atheists LOSING THEIR SH*T Over Trump’s CHRISTIAN White House https://t.co/qkpOzFKlwn https://t.co/4zmWXyqR2V,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,2.0000000000,R,True
amyyslegentr,#ste Eric Bolling Just Responded to His Fox News Suspension! https://t.co/jHIMvDgRQG https://t.co/V76qNQjRYn,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,1.0000000000,R,True
amyyslegentr,#ste BREAKING : EVEN MORE Jobs Coming to Michigan! https://t.co/VBhurhL8qO https://t.co/S9BG2sKwPT,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,6.0000000000,R,True
amyyslegentr,#ste Trump Cracks Down on Food Stamp Fraud and it INSTANTLY Does Wonders! https://t.co/M5hs5ZtPzU https://t.co/3U1v8Ba8sj,Unknown,English,2017-08-08T05:51:00,2017-08-08T05:51:00,26.0000000000,1.0000000000,4.0000000000,R,True
amyyslegentr,#ste SICK! ANTIFA attacked Trump Supporters during a PRAYER Rally! https://t.co/EL4aQ9cHqC https://t.co/cNupx6pkD8,Unknown,English,2017-08-08T05:52:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,16.0000000000,R,True
amyyslegentr,#ste Massive Obama Era Food Stamp Fraud EXPOSED and ENDED By Trump! https://t.co/YxZqRLZYmc https://t.co/vDFXIE9lMS,Unknown,English,2017-08-08T05:52:00,2017-08-08T05:52:00,26.0000000000,1.0000000000,17.0000000000,R,True
amyyslegentr,RT ElderLansing: To my Democrat trolls; yes I am really black yes I support POTUS Trump 100% yes I despise Coward Obama and I hate The View…,Unknown,English,2017-08-08T06:00:00,2017-08-08T06:00:00,26.0000000000,1.0000000000,18.0000000000,,False
amyyslegentr,#anche BREAKING! The DOJ Has Outed Mueller! https://t.co/vxCMjdKZPr #aamy https://t.co/uq65nKBnVV,Unknown,English,2017-08-09T09:38:00,2017-08-09T09:39:00,0E-10,1.0000000000,19.0000000000,,False
amyyslegentr,barstoolsports His memo never said he didnt like women nor did it imply it. This is more fake news BS.,Unknown,English,2017-08-09T11:19:00,2017-08-09T11:20:00,0E-10,1.0000000000,20.0000000000,,False
amyyslegentr,#anche BREAKING : Texas Takes a YUGE Step Forward in Battling Abortion https://t.co/jVZ2cjPv4Q #aamy https://t.co/POGkErBZHQ,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:25:00,26.0000000000,1.0000000000,25.0000000000,,False
amyyslegentr,#anche Traitor McCain is Now Attacking Trump on his STRONG N. Korea Stance https://t.co/95yJ33Fe2U #aamy https://t.co/DWwLZQMqJO,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:25:00,26.0000000000,1.0000000000,26.0000000000,,False
amyyslegentr,#anche FIRE AND FURY – Is War Inevitable in North Korea? https://t.co/ORoax9pn3C #aamy https://t.co/HbNhTyVfkn,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:26:00,0E-10,1.0000000000,21.0000000000,,False
amyyslegentr,#anche U.S. Bombers Fly Over Korean Peninsula as Kim Jong Un Threatens Strike on Guam https://t.co/ZubEY2smXU #aamy https://t.co/jh7WvTFf7Z,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:26:00,26.0000000000,1.0000000000,28.0000000000,,False
amyyslegentr,#anche Mark Zuckerberg May Be Setting Up for a 2020 Presidential Run https://t.co/g40g3tjJis #aamy https://t.co/VlUzeYSJyr,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:26:00,26.0000000000,1.0000000000,23.0000000000,,False
amyyslegentr,#anche PATHETIC! Spike Lee Holds “Hire Kaepernick” Rally https://t.co/Q8C3vsdRnY #aamy https://t.co/9wZuP5M8K2,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:25:00,26.0000000000,1.0000000000,24.0000000000,,False
amyyslegentr,#anche BREAKING : Terror in France as Car SLAMS into Group of Soldiers https://t.co/WLZmYtqc0k #aamy https://t.co/4DdVtj4CBu,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:25:00,26.0000000000,1.0000000000,27.0000000000,,False
amyyslegentr,#anche BOYCOTT ALERT! Starbucks Holds Hiring Event for REFUGEES ONLY https://t.co/Sj6lXe3Rzn #aamy https://t.co/VjNV1lMUD7,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:25:00,26.0000000000,1.0000000000,22.0000000000,,False
amyyslegentr,#anche TRUMP EFFECT : U.S. Job Openings SOAR! https://t.co/XEGTLxVKXO #aamy https://t.co/K6cvPRjHRU,Unknown,English,2017-08-09T12:25:00,2017-08-09T12:26:00,26.0000000000,1.0000000000,29.0000000000,,False
amyyslegentr,#anche This Democrat Candidate RETWEETED an “Avalanche” of PORN https://t.co/H5VgkiSjCi #aamy https://t.co/MqMAPZP29S,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:40:00,26.0000000000,1.0000000000,30.0000000000,,False
amyyslegentr,#anche Hannity UNLOADS on the GOP and You’ll Love Who He Calls Out! https://t.co/eYveUrnHLk #aamy https://t.co/UjBngppAHu,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:40:00,26.0000000000,1.0000000000,31.0000000000,,False
amyyslegentr,#anche Dan Rather is Tickled Pink Over White House National Security Leaks https://t.co/gIAxlDASGk #aamy https://t.co/B9wvRe9nJv,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:40:00,26.0000000000,1.0000000000,32.0000000000,,False
amyyslegentr,#anche WOW! What Trump Said 23 Years Ago About North Korea Is Going VIRAL! https://t.co/DZOv8NsDBu #aamy https://t.co/CrmExPJ236,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:40:00,26.0000000000,1.0000000000,35.0000000000,,False
amyyslegentr,#anche BREAKING : Iranian Drone Nearly Clashes with U.S. Fighter Jet https://t.co/xxpnxrI3NI #aamy https://t.co/6yBasONk3h,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:40:00,26.0000000000,1.0000000000,33.0000000000,,False
amyyslegentr,#anche VIRAL VIDEO : Incoherent Malia Obama is Dragged Out of Music Festival https://t.co/bxYVByD7NK #aamy https://t.co/2Pwa1PKY3t,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:40:00,26.0000000000,1.0000000000,34.0000000000,,False
amyyslegentr,#anche BREAKING : Trump Just Tweeted a BRUTAL Warning to Kim Jong Un! https://t.co/F4yPz8oRcS #aamy https://t.co/HDQr9rpqI8,Unknown,English,2017-08-09T12:40:00,2017-08-09T12:41:00,26.0000000000,1.0000000000,36.0000000000,,False
