author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
angelinaladova,"Казань сегодня: ударили девушку около The Legend, вода в Казанке и верните время http://t.co/PT68m2dpU8",Unknown,Russian,2015-06-22 19:13:00,2015-06-22 19:15:00,1187,232,1526,R,1
angelinaladova,«Газпром» не будет тянуть трубу в Крым http://t.co/NXTwPOnZBR http://t.co/ikYKwDfEpb,Unknown,Ukrainian,2015-06-23 12:51:00,2015-06-23 12:51:00,1187,232,1528,R,1
angelinaladova,Похоже скоро Греки освободятся от ЕС http://t.co/wAqQKo0y1D,Unknown,Russian,2015-07-03 17:05:00,2015-07-03 17:05:00,1187,236,1537,,0
angelinaladova,ВВС США запустили с космодрома на мысе Канаверал спутник GPS нового поколения  http://t.co/xA0kFzKl6N,Unknown,Russian,2015-07-15 21:33:00,2015-07-15 21:34:00,1184,234,1545,R,1
angelinaladova,'@SFGO76 Превед!',Unknown,Russian,2015-07-16 03:52:00,2015-07-16 03:52:00,1184,234,1546,R,1
angelinaladova,'@SFGO76 Превед!',Unknown,Russian,2015-07-16 03:52:00,2015-07-16 03:52:00,1184,234,1546,R,1
angelinaladova,Школьникам в Москве объяснят опасность вербовки в «Исламское государство»  http://t.co/2PJCoCXsv8,Unknown,Russian,2015-07-16 09:53:00,2015-07-16 09:53:00,1184,235,1549,R,1
angelinaladova,"""Мечел"" погасил еще 800 млн рублей перед Сбербанком http://t.co/tZGYvX7xxz",Unknown,Russian,2015-07-16 10:20:00,2015-07-16 10:20:00,1184,235,1550,R,1
angelinaladova,«Правый сектор» создал оперативный штаб  http://t.co/U1hX5hca3n http://t.co/b4boUx5Jdj,Unknown,Russian,2015-07-16 10:51:00,2015-07-16 10:52:00,1184,235,1551,R,1
angelinaladova,"Межпланетной станцией, исследовавшей Плутон, управляет процессор из PlayStation http://t.co/5pND4DV60Q http://t.co/Tsy7xNgOx8",Unknown,Russian,2015-07-16 15:52:00,2015-07-16 15:52:00,1184,234,1553,R,1
angelinaladova,Глава МФВ: вопрос временного выхода Греции из еврозоны снят  http://t.co/SH3nsST7iD,Unknown,Russian,2015-07-17 02:11:00,2015-07-17 02:11:00,1184,234,1556,R,1
angelinaladova,Власти ДНР обнародовали документы по расследованию причин крушения MH 17 http://t.co/9adlMyGr6p,Unknown,Russian,2015-07-17 13:53:00,2015-07-17 13:53:00,1184,234,1558,R,1
