author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
anitaloveheart,"Rubio blocked bill to end sanctuary cities in FL legislature, still in the race #VegasGOPDebate",United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,237,R,1
anitaloveheart,#VegasGOPDebate liars' show #GOPDebate,United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,234,R,1
anitaloveheart,Is there a drinking game for the #GOPDebate? #VegasGOPDebate,United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,233,R,1
anitaloveheart,#VegasGOPDebate #ChrisChristie was on the campaign trail with Romney while New Jersey went down the drain and got downgraded again,United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,235,R,1
anitaloveheart,#VegasGOPDebate Tonight's #GOPDebate will be nothing more than another TV-show! Let's boycott it!,United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,236,R,1
anitaloveheart,"#VegasGOPDebate oops i think there is something in my ears, oh, that sh*t is #gopDebate",United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,230,R,1
anitaloveheart,#VegasGOPDebate #GOPDebate tell us how to solve our economical problems,United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,232,R,1
anitaloveheart,"Show of hands, who's nickname in high school was ""the other white meat""?   #VegasGOPDebate",United States,English,2015-12-16 02:00:00,2015-12-16 02:00:00,60,59,231,R,1
anitaloveheart,#VegasGOPDebate They’d better discuss corruption they know sooo much about it! #GOPDebate,United States,English,2015-12-16 02:44:00,2015-12-16 02:45:00,60,59,243,R,1
anitaloveheart,#CNNDebate Today GOP leaders are going to spin some yarn �� #GOPDebate #VegasGOPDebate,United States,English,2015-12-16 02:44:00,2015-12-16 02:44:00,60,59,239,R,1
anitaloveheart,#CNNDebate #VegasGOPDebate #GOPDebate is a total shit storm,United States,English,2015-12-16 02:44:00,2015-12-16 02:45:00,60,59,244,R,1
anitaloveheart,#VegasGOPDebate Have you noticed that during the #GOPDebate they usually only blame each other and don’t answer any questions?,United States,English,2015-12-16 02:44:00,2015-12-16 02:45:00,60,59,241,R,1
anitaloveheart,Ben Carson should have stayed doctor #VegasGOPDebate,United States,English,2015-12-16 02:44:00,2015-12-16 02:44:00,60,59,240,R,1
anitaloveheart,#CNNDebate #GOPDebate will be just another show for sad and stupid people #VegasGOPDebate,United States,English,2015-12-16 02:44:00,2015-12-16 02:44:00,60,59,238,R,1
anitaloveheart,#VegasGOPDebate #GOPDebate If Carson doesn't stab Trump it will be waste of time,United States,English,2015-12-16 02:44:00,2015-12-16 02:45:00,60,59,242,R,1
anitaloveheart,#VegasGOPDebate Common sense isn’t the best friend of the GOP candidates,United States,English,2015-12-16 02:45:00,2015-12-16 02:45:00,60,59,248,R,1
anitaloveheart,#CNNDebate #VegasGOPDebate I hope they will finally give us some answers about our declining economy,United States,English,2015-12-16 02:45:00,2015-12-16 02:45:00,60,59,246,R,1
anitaloveheart,#VegasGOPDebate This #GOPDebate is another mockery,United States,English,2015-12-16 02:45:00,2015-12-16 02:45:00,60,59,247,R,1
anitaloveheart,nothing new #GOPDebate #VegasGOPDebate,United States,English,2015-12-16 02:45:00,2015-12-16 02:45:00,60,59,245,R,1
anitaloveheart,Challenge for MSNBCs DemocraticDebate: Getting Bernie Onboard #GOPDebate #StopTheGOP,United States,English,2016-01-29 03:06:00,2016-01-29 03:06:00,60,59,250,,0
anitaloveheart,Chinese national pleads guilty to stealing trade secrets from the U.S. agricult #StopTheGOP  #GOPDebate,United States,English,2016-01-29 03:07:00,2016-01-29 03:07:00,60,59,251,,0
anitaloveheart,"Chris Matthews make racist remarks ondebate, who is watching two Cubans guys #GOPDebate #StopTheGOP",United States,English,2016-01-29 03:08:00,2016-01-29 03:08:00,60,59,252,,0
anitaloveheart,"Chris Matthews make racist remarks on debate, who is watching two Cubans guys #StopTheGOP  #GOPDebate",United States,English,2016-01-29 03:08:00,2016-01-29 03:08:00,60,59,253,,0
anitaloveheart,Cruz Super PACs to Trump: Well donate $1.5 million to vets groups if you debat #StopTheGOP  #GOPDebate,United States,English,2016-01-29 03:14:00,2016-01-29 03:14:00,60,59,254,,0
anitaloveheart,DIVERSITY: Black Filmmaker Gets Record-breaking $17.5 Million for Slave Revolt Film Birth of a Nation #GOPDebate #StopTheGOP,United States,English,2016-01-29 03:16:00,2016-01-29 03:19:00,60,59,256,,0
anitaloveheart,Did NJ GovernorChristie show an error in judgment in trying to resurrect Atlantic City? #StopTheGOP  #GOPDebate,United States,English,2016-01-29 03:16:00,2016-01-29 03:16:00,60,59,255,,0
anitaloveheart,Donald Trump goes nuclear onFox News: Why his debate boycott could expose Roger Ailes,United States,English,2016-01-29 03:18:00,2016-01-29 03:18:00,60,59,257,,0
anitaloveheart,Donald Trump launches fundraising website for veterans #StopTheGOP  #GOPDebate,United States,English,2016-01-29 03:18:00,2016-01-29 03:18:00,60,59,258,,0
anitaloveheart,Donald Trump told Megyn Kelly that skippingdebates is cowardly in 2012 (video) #GOPDebate #StopTheGOP,United States,English,2016-01-29 03:20:00,2016-01-29 03:20:00,60,59,259,,0
anitaloveheart,"Unless you plan on housing and feeding the refugees yourself, shut up #IslamKills #StopIslam",United States,English,2016-03-22 18:15:00,2016-03-22 18:15:00,59,58,260,,0
anitaloveheart,"#IslamKills Also, why would we subject our citizens to danger right now instead of protecting them? #StopIslam",United States,English,2016-03-22 18:15:00,2016-03-22 18:15:00,59,58,261,,0
anitaloveheart,#Brussels @csmelnix it's not bigotry ur speaking. It's common sense. #IslamKills #IslamKills,United States,English,2016-03-22 18:16:00,2016-03-22 18:17:00,59,58,262,,0
anitaloveheart,How long will it last? How many more victims does it require to finnish the terrorists off? #IslamKills #StopIslam,United States,English,2016-03-22 18:17:00,2016-03-22 18:17:00,59,58,263,,0
anitaloveheart,#Brussels #IslamKills Does terrorisn have a religion?,United States,English,2016-03-22 18:18:00,2016-03-22 18:18:00,59,58,265,,0
anitaloveheart,#Obama is allowing us to be infiltrated by refugees who will turn into troops for #ISIS #IslamKills #Brussels,United States,English,2016-03-22 18:18:00,2016-03-22 18:18:00,59,58,266,,0
anitaloveheart,#StopIslam #IslamKills Will someone please press it? #prayfortheworld #prayforbrussels https://t.co/iAo8mlxaL4,United States,English,2016-03-22 18:18:00,2016-03-22 18:18:00,59,58,264,,0
anitaloveheart,#IslamKills Your main duty is to Protect US. Protect US from @POTUS and jihadis.,United States,English,2016-03-22 18:20:00,2016-03-22 18:20:00,59,59,267,,0
anitaloveheart,#Brussels #IslamKills RT @cabbageducks: #PrayForBrussels,United States,English,2016-03-22 18:21:00,2016-03-22 18:21:00,59,59,268,,0
anitaloveheart,#IslamKills RT @Jenn_Abrams: This is where our tolerance is leading us See what's happening in #Brussels? We are next #PrayForBrussels,United States,English,2016-03-22 18:22:00,2016-03-22 18:23:00,59,59,269,,0
anitaloveheart,#StopIslam Terrorists Once Used Refugee Program to Settle in US. #NoRefugeesWelcome #NoRefugees #IslamKills,United States,English,2016-03-22 18:23:00,2016-03-22 18:23:00,59,59,270,,0
anitaloveheart,#StopIslam What to do about refugees? No agreement in Europe. #IslamKills,United States,English,2016-03-22 18:25:00,2016-03-22 18:25:00,59,59,272,,0
anitaloveheart,#IslamKills #prayforBrussels https://t.co/mx8Uoy9KQZ #Brussels,United States,English,2016-03-22 18:25:00,2016-03-22 18:25:00,59,59,271,,0
anitaloveheart,#StopIslam #IslamKills We basically should assume all Syrian refugees are ISIS terrorists unless they prove they aren't,United States,English,2016-03-22 18:30:00,2016-03-22 18:31:00,59,58,273,,0
anitaloveheart,#StopIslam But but .... 0bama said. Widows and children... #BrusselsAttacks #NoRefugeesWelcome � #IslamKills,United States,English,2016-03-22 18:35:00,2016-03-22 18:35:00,59,59,275,,0
anitaloveheart,#Brussels #IslamKills RT @Chrisvosters: Brussels Today... #Brussels #prayforbrussels #zaventem https://t.co/YhaNH9Zl8l,United States,English,2016-03-22 18:35:00,2016-03-22 18:35:00,59,59,274,,0
anitaloveheart,#Brussels #IslamKills #PrayforBrussels Zaventem c'est là où je prends l'avion tous les ans,United States,French,2016-03-22 18:36:00,2016-03-22 18:36:00,59,59,276,,0
anitaloveheart,"#IslamKills how can be ISIS defeated if all the Muslim men are here, asking for alyssum",United States,English,2016-03-22 18:37:00,2016-03-22 18:37:00,59,59,277,,0
anitaloveheart,#IslamKills How can we trust all those people in uniforms when they let terrorist bomb people right in front of their faces?,United States,English,2016-03-22 18:38:00,2016-03-22 18:38:00,59,59,278,,0
anitaloveheart,#StopIslam you are a worthless #potus why do you hate #America and love #terrorists Don't veto a bill to screen syrian #IslamKills,United States,English,2016-03-22 18:40:00,2016-03-22 18:41:00,59,58,279,,0
anitaloveheart,#IslamKills How can Obama say there are only widows and orphans? Did widows commit #ParisAttacks? #StopIslam,United States,English,2016-03-22 18:46:00,2016-03-22 18:46:00,59,58,280,,0
anitaloveheart,so all refugees who got refuge in Europe are no more refugees? #IslamKills #StopIslam,United States,English,2016-03-22 18:46:00,2016-03-22 18:46:00,59,58,281,,0
anitaloveheart,#IslamKills Are we done with the #ReligionOfPeace bullshit yet? #IslamKills #islam #Brussels #trueislam #Brussels,United States,English,2016-03-22 18:49:00,2016-03-22 18:49:00,59,59,282,,0
anitaloveheart,refugees are ISIS Spies #IslamKills,United States,English,2016-03-22 18:51:00,2016-03-22 18:51:00,59,59,283,,0
anitaloveheart,#Brussels American children,United States,English,2016-03-22 18:54:00,2016-03-22 18:55:00,59,58,285,,0
anitaloveheart,"#Brussels Saudi Arabia has 100,000 empty tents with ac for 3 million people – they’ve taken zero refugees #IslamKills",United States,English,2016-03-22 18:57:00,2016-03-22 18:57:00,59,58,287,,0
anitaloveheart,"#Brussels #IslamKills #PrayForBrussels , everyone stay safe in this time of disaster",United States,English,2016-03-22 18:58:00,2016-03-22 18:58:00,59,58,288,,0
