author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
arestovevg,занавес параллельной вселенной приоткрылся  https://t.co/drDKtNESYB,Unknown,Russian,2015-06-22 13:11:00,2015-06-22 13:11:00,1216,153,1995,R,1
arestovevg,Он первый  http://t.co/rYmiwg96Rk,Unknown,Russian,2015-06-22 13:41:00,2015-06-22 13:41:00,1216,153,1996,R,1
arestovevg,Европейские игры теперь будут ассоциироваться с победой России#ДосрочнаяПобеда,Unknown,Russian,2015-06-26 16:11:00,2015-06-26 16:11:00,1216,151,2000,,0
arestovevg,Россия досрочно выиграла Европейские игры в Баку #ДосрочнаяПобеда,Unknown,Russian,2015-06-26 17:41:00,2015-06-26 17:41:00,1216,151,2009,,0
arestovevg,#ВжеВмерла украинскую конституцию туда же http://t.co/yrG6tqS8uN,Unknown,Ukrainian,2015-06-28 15:36:00,2015-06-28 15:38:00,1216,151,2010,R,1
arestovevg,Три человека погибли в крушении легкомоторного самолета в США http://t.co/eDCOglIEtM http://t.co/CzbcLTz7SJ,Unknown,Russian,2015-06-29 03:31:00,2015-06-29 03:31:00,1216,151,2013,R,1
arestovevg,'@zubovnik @McFaul скрестив пальцы на затылке',Unknown,Russian,2015-06-29 23:35:00,2015-06-29 23:35:00,1216,151,2014,,0
arestovevg,СК РФ допустил причастность #Ходорковский к убийству мэра Нефтеюганска http://t.co/APbmDJBpfV http://t.co/ugDuWP2mzN,Unknown,Russian,2015-06-30 11:56:00,2015-06-30 11:56:00,1216,151,2015,R,1
arestovevg,'@agata_alexeeva @byDrBre полностью согласен! как таких свет носит?',Unknown,Russian,2015-07-07 16:38:00,2015-07-07 16:41:00,1216,151,2025,,0
arestovevg,Ассанж: Facebook и Google помогают АНБ перехватывать 98% всех сообщений Латинской Америки. Большой брат не спит. http://t.co/HQFS7LLAVL,Unknown,Russian,2015-07-08 15:08:00,2015-07-08 15:09:00,1216,151,2026,R,1
arestovevg,"Павленко: в «Амкаре» меня точно не будет, есть вариант с «Шинником» http://t.co/SflTquT2KI",Unknown,Russian,2015-07-15 13:12:00,2015-07-15 13:12:00,1214,153,2034,R,1
arestovevg,Рогозин заявил о начале реформ в космической области http://t.co/iLMfkkBL50,Unknown,Russian,2015-07-15 13:32:00,2015-07-15 13:32:00,1214,153,2035,R,1
arestovevg,Власти ДНР вновь заявили о своей непричастности к катастрофе Boeing http://t.co/5EoTu3SIKD http://t.co/Ic0EFDHozD,Unknown,Russian,2015-07-15 16:12:00,2015-07-15 16:12:00,1214,153,2036,R,1
arestovevg,СМИ: шесть турецких истребителей вторглись в воздушное пространство Греции: http://t.co/cB1hED6wLZ через @gazetaru,Unknown,Russian,2015-07-16 02:11:00,2015-07-16 02:11:00,1214,153,2038,R,1
arestovevg,СМИ: шесть турецких истребителей вторглись в воздушное пространство Греции: http://t.co/cB1hED6wLZ через @gazetaru,Unknown,Russian,2015-07-16 02:11:00,2015-07-16 02:11:00,1214,153,2038,R,1
arestovevg,Родственники 18 погибших пассажиров Boeing подали иск на $900 млн в суд Чикаго против бывшего Игоря Гиркина (Стрелкова),Unknown,Russian,2015-07-16 07:53:00,2015-07-16 07:53:00,1214,153,2039,R,1
arestovevg,Южнокорейский рэпер Сай попал в автомобильную аварию в китайском Ханчжоу http://t.co/58UI6BuYHH,Unknown,Russian,2015-07-16 12:53:00,2015-07-16 12:53:00,1214,153,2045,R,1
arestovevg,С Ассанжа могут снять часть обвинений http://t.co/2kXdh1WVe1,Unknown,Russian,2015-07-16 15:52:00,2015-07-16 15:52:00,1214,153,2047,R,1
arestovevg,Госдеп США предостерег американцев от поездок на юго-восток Украины и в Крым  http://t.co/VDAyy75Jbl,Unknown,Russian,2015-07-17 06:51:00,2015-07-17 06:51:00,1214,153,2049,R,1
arestovevg,"Нехороша Маша, да теперь и не наша! https://t.co/cjG6isMDz7",Unknown,Ukrainian,2015-07-17 09:52:00,2015-07-17 09:52:00,1214,153,2051,R,1
