author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
arkhipovichivna,Нижегородец выиграл ноутбук Lenovo  http://t.co/MA8CyMf3nn http://t.co/ObnZpgjyMk,Unknown,Russian,2015-06-22 10:33:00,2015-06-22 10:33:00,1765,476,1675,R,1
arkhipovichivna,Депутатам Госдумы предлагают на две недели сократить отпуск http://t.co/FKN3yA8YFU,Unknown,Russian,2015-06-29 06:12:00,2015-06-29 06:12:00,1766,476,1681,R,1
arkhipovichivna,НАТО обвиняет Россию в безрассудном шпионаже за кораблями альянса http://t.co/YDbbmQClq0 http://t.co/l8dWggICb0,Unknown,Russian,2015-07-02 12:52:00,2015-07-02 12:53:00,1765,473,1687,R,1
arkhipovichivna,#Росмолодежь : идеи саммита молодежи БРИКС будут основой общей программы #BRICS  http://t.co/w3pcMGp8YU @fadm_ru http://t.co/IylNygnVxD,Unknown,Russian,2015-07-07 10:02:00,2015-07-07 10:02:00,1765,477,1690,R,1
arkhipovichivna,"Блаттер покинет свой пост, даже если его попросят остаться  http://t.co/T744KboGWJ http://t.co/JQu0QZ1cqi",Unknown,Russian,2015-07-09 10:11:00,2015-07-09 10:11:00,1764,475,1691,R,1
arkhipovichivna,Пусть Россия и впредь хранит традиционные ценности #СчастливаяСтрана,Unknown,Russian,2015-07-10 16:17:00,2015-07-10 16:18:00,1760,475,1698,R,1
arkhipovichivna,"Киевская патрульная служба снова жжет, или громкое задержание бомжа http://t.co/Sq0NjAROHJ http://t.co/qV3fXGO3O4",Unknown,Russian,2015-07-10 16:51:00,2015-07-10 16:51:00,1760,475,1698,R,1
arkhipovichivna,"Кверквелия: «Рубину» без разницы, с кем играть в первой игре чемпионата http://t.co/S6tEGKv6Fa",Unknown,Russian,2015-07-16 11:32:00,2015-07-16 11:32:00,1760,473,1713,R,1
arkhipovichivna,Энтомологи назвали новый вид жука в честь богини любви Венеры http://t.co/3IfSI5kpS5,Unknown,Russian,2015-07-16 13:51:00,2015-07-16 13:51:00,1760,473,1715,R,1
arkhipovichivna,Фермион Вейля не хуже бозона Хиггса http://t.co/2ARbsyEDra http://t.co/4JwvkzbxFM,Unknown,Ukrainian,2015-07-17 06:52:00,2015-07-17 06:52:00,1760,474,1718,R,1
