author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
arzhanovaaa,"Президент РФ Владимир Путин сообщил, что подписал указ о продлении защитных мер в ответ на санкции ЕС. #ТоргНеУместен",Unknown,Russian,2015-06-24T16:58:00,2015-06-24T16:58:00,1285.0000000000,202.0000000000,1618.0000000000,,False
arzhanovaaa,"Черт ... 250 с транспортировкой ... а я думал больше 300! Но вы продолжайте, я пока ежика почищу #ТоргНеУместен",Unknown,Russian,2015-06-24T18:16:00,2015-06-24T18:16:00,1285.0000000000,202.0000000000,1619.0000000000,,False
arzhanovaaa,Россия поддержала Грецию на словах и готова помочь с «Турецким потоком» http://t.co/YFibFkok47 http://t.co/o6bYXiYHxV,Unknown,Russian,2015-06-29T19:33:00,2015-06-29T19:33:00,1285.0000000000,202.0000000000,1622.0000000000,R,True
arzhanovaaa,Hyundai отзывает 140 тыс. авто из-за дефектов ремней безопасности http://t.co/euHVcSUsbm,Unknown,Russian,2015-07-09T11:31:00,2015-07-09T11:31:00,1282.0000000000,207.0000000000,1630.0000000000,R,True
arzhanovaaa,Бышовец: Аршавин и Павлюченко способны повторить игру образца Евро 2008 http://t.co/sn6K0qFsM8,Unknown,Russian,2015-07-16T13:52:00,2015-07-16T13:52:00,1279.0000000000,205.0000000000,1643.0000000000,R,True
arzhanovaaa,'@MaxDementiev @SPB_citizen @zapvv тимати в страхе забился в угол',Unknown,Serbian,2015-07-16T22:13:00,2015-07-16T22:13:00,1278.0000000000,205.0000000000,1644.0000000000,,False
arzhanovaaa,В торговом центре на западе Москвы произошел пожар http://t.co/U4b6mVHWoO,Unknown,Russian,2015-07-18T03:12:00,2015-07-18T03:12:00,1280.0000000000,205.0000000000,1647.0000000000,R,True
arzhanovaaa,МЧС ДНР: мирный житель погиб в результате обстрела центра Донецка  http://t.co/kG9OyoBdlY,Unknown,Russian,2015-07-18T20:52:00,2015-07-18T20:52:00,1280.0000000000,206.0000000000,1649.0000000000,R,True
arzhanovaaa,Владимиру Путину предложат перевести чиновников с Windows на Linux  http://t.co/8JDh4DHBdx,Unknown,Russian,2015-07-20T02:51:00,2015-07-20T02:51:00,1280.0000000000,206.0000000000,1651.0000000000,R,True
arzhanovaaa,"Из Китая в Россию самолет МЧС эвакуирует девочку, которая выпала с третьего этажа  http://t.co/1aUwhJfgv4",Unknown,Russian,2015-07-21T01:13:00,2015-07-21T01:13:00,1213.0000000000,205.0000000000,1654.0000000000,R,True
arzhanovaaa,"Россияне считают, что сильная экономика для страны важнее военной мощи http://t.co/TrtuUzH9Zp",Unknown,Russian,2015-07-21T15:51:00,2015-07-21T15:51:00,1144.0000000000,205.0000000000,1655.0000000000,R,True
arzhanovaaa,Банк с отделением в Нижнем Новгороде лишили лицензии http://t.co/5X5dT7EFp0,Unknown,Russian,2015-07-22T09:53:00,2015-07-22T09:53:00,1065.0000000000,206.0000000000,1657.0000000000,R,True
arzhanovaaa,"Американцы расплатились с нами за разрушение страны всего лишь списанными хаммерами, - свидомый   http://t.co/Rttx9cgRdx #свидоминг",Unknown,Russian,2015-07-25T04:11:00,2015-07-25T04:11:00,1064.0000000000,205.0000000000,1664.0000000000,R,True
arzhanovaaa,"Исинбаева: надеюсь, что стадион в Волгограде станет спортивным сердцем России http://t.co/2dk4DwZ7j8",Unknown,Russian,2015-07-25T14:12:00,2015-07-25T14:12:00,1064.0000000000,205.0000000000,1665.0000000000,R,True
arzhanovaaa,#НевскиеНовости Дорого и комично: на Московском проспекте столкнулись три Porsche Cayenne http://t.co/xSDrceaVOr,Unknown,Russian,2015-07-26T09:33:00,2015-07-26T09:33:00,1064.0000000000,205.0000000000,1667.0000000000,R,True
