author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ashleysimpsn,#MyDeathWillLikelyInvolve rash decisions,United States,English,2015-09-17 12:56:00,2015-09-17 12:56:00,349,272,864,,0
ashleysimpsn,"#AllWentWrongWhen I learned I would never be mother. 'Get over it, Martin,' - my friend said",United States,English,2015-09-20 16:35:00,2015-09-20 16:38:00,618,418,865,,0
ashleysimpsn,#AllWentWrongWhen my parents said I'm an adopted child,United States,English,2015-09-20 16:47:00,2015-09-20 16:47:00,618,418,867,,0
ashleysimpsn,#AllWentWrongWhen I have drunk another shot,United States,English,2015-09-20 16:48:00,2015-09-20 16:48:00,618,418,868,,0
ashleysimpsn,#AllWentWrongWhen I spent my salary during weekends,United States,English,2015-09-20 16:49:00,2015-09-20 16:49:00,618,418,869,,0
ashleysimpsn,#AllWentWrongWhen I accidently phoned my crush,United States,English,2015-09-20 16:54:00,2015-09-20 16:54:00,618,418,870,,0
ashleysimpsn,Same old movies #FallDepressionReasons http://t.co/wuWgbPrjNI,United States,English,2015-09-27 13:48:00,2015-09-27 13:51:00,613,482,872,R,1
ashleysimpsn,#FallDepressionReasons phobia of pumpkins reaches a fever pitch.,United States,English,2015-09-27 13:48:00,2015-09-27 13:50:00,613,482,871,R,1
ashleysimpsn,#FallDepressionReasons My beard is not hipster enough http://t.co/bvpDeYzuOG,United States,English,2015-09-27 13:49:00,2015-09-27 13:49:00,613,482,873,R,1
ashleysimpsn,The white girl armies. #FallDepressionReasons http://t.co/KhtKAfAFd4,United States,English,2015-09-27 13:49:00,2015-09-27 13:49:00,613,482,874,R,1
ashleysimpsn,Beach snow #FallDepressionReasons http://t.co/WYv4ofFOp0,United States,German,2015-09-27 13:49:00,2015-09-27 13:49:00,613,482,876,R,1
ashleysimpsn,Having to get up when it's dark outside #FallDepressionReasons,United States,English,2015-09-27 13:50:00,2015-09-27 13:50:00,613,482,878,R,1
ashleysimpsn,"#FallDepressionReasons It's my birthday, and I hate my birthday http://t.co/xv70ytEZib",United States,English,2015-09-27 13:50:00,2015-09-27 13:50:00,613,482,879,,0
ashleysimpsn,I’m making soup #MyPreWorkOutRoutine,United States,English,2015-10-04 16:18:00,2015-10-04 16:18:00,311,483,881,,0
ashleysimpsn,Taco Bell #MyPreWorkOutRoutine,United States,Italian,2015-10-04 16:41:00,2015-10-04 16:41:00,311,483,882,,0
ashleysimpsn,#MyPreWorkOutRoutine COFFEE!COFFEE!COFFEE!,United States,English,2015-10-04 17:16:00,2015-10-04 17:16:00,311,483,885,,0
ashleysimpsn,#IGotNobelPrizeFor Internet fighting for rights http://t.co/4BZAd5JWoY,United States,English,2015-10-11 16:35:00,2015-10-11 16:35:00,533,577,886,,0
ashleysimpsn,#IGotNobelPrizeFor the efforts to find a peaceful solution to the conflict with myself,United States,English,2015-10-11 16:37:00,2015-10-11 16:37:00,533,577,887,,0
ashleysimpsn,#IGotNobelPrizeFor being an adult. I payed my bills myself for the first time,United States,English,2015-10-11 16:40:00,2015-10-11 16:40:00,533,577,888,,0
ashleysimpsn,#IGotNobelPrizeFor peace on earth. I washed the dishes myself,United States,English,2015-10-11 16:43:00,2015-10-11 16:43:00,533,578,889,,0
ashleysimpsn,#mondaymotivation Its Tuesday Tomorrow ��,United States,English,2016-01-25 12:01:00,2016-01-25 12:01:00,526,584,895,R,1
ashleysimpsn,You come across some strange posts on twitter at 6am.,United States,English,2016-01-25 12:01:00,2016-01-25 12:01:00,526,584,894,R,1
ashleysimpsn,#SJCM @doctorwho_dat https://t.co/Fmh5nPTu4I,United States,English,2016-01-25 12:01:00,2016-01-25 12:02:00,526,584,897,R,1
ashleysimpsn,#5WordsForAFriend @darksidedeb Nothing beats your fun banter. ☺️���,United States,English,2016-01-25 12:01:00,2016-01-25 12:01:00,526,584,891,R,1
ashleysimpsn,#MentalIllnessMakesMe Talk to Myself,United States,English,2016-01-25 12:01:00,2016-01-25 12:01:00,526,584,893,R,1
ashleysimpsn,I'm 65% sure I'm gonna come down with a case of the Mondays,United States,English,2016-01-25 12:02:00,2016-01-25 12:02:00,526,584,898,R,1
ashleysimpsn,#ItTurnedAwkwardWhen I got drunk and thought I can sing,United States,English,2016-02-01 15:05:00,2016-02-01 15:05:00,525,586,900,,0
ashleysimpsn,#ItTurnedAwkwardWhen I said I don't like 1D,United States,English,2016-02-01 15:05:00,2016-02-01 15:06:00,525,586,901,,0
ashleysimpsn,#ItTurnedAwkwardWhen I realized Jesus can’t drive,United States,English,2016-02-01 15:05:00,2016-02-01 15:05:00,525,586,899,,0
ashleysimpsn,#ToBeHonestIJust turned into a magical flying cat,United States,English,2016-03-28 12:03:00,2016-03-28 12:03:00,524,587,902,R,1
ashleysimpsn,#WeathersNiceSoGonna hit the beach!! https://t.co/mB1e7Ac0sR,United States,English,2016-03-28 12:03:00,2016-03-28 12:03:00,524,587,903,R,1
ashleysimpsn,#ToBeHonestIJust  Can't afford the insurance if I have to babysit for you anymore https://t.co/TSaRpd1vtC,United States,English,2016-03-28 12:03:00,2016-03-28 12:04:00,524,587,904,R,1
ashleysimpsn,"Queen gots some gnarly rides, yo. https://t.co/Tyjz9RWypp",United States,English,2016-03-28 12:04:00,2016-03-28 12:05:00,524,587,912,R,1
ashleysimpsn,#ToBeHonestIJust need a hashtag game to tweet something,United States,English,2016-03-28 12:04:00,2016-03-28 12:04:00,524,587,905,R,1
ashleysimpsn,#ToBeHonestIJust See my imaginary friend occasionally.....,United States,English,2016-03-28 12:04:00,2016-03-28 12:04:00,524,587,910,R,1
ashleysimpsn,"""You're carrying a puppy and a bouquet of roses, how'd you ring my doorbell?"" Show you that part, later.",United States,English,2016-03-28 12:04:00,2016-03-28 12:05:00,524,587,913,R,1
ashleysimpsn,"#ThingsThatDidntbreakMe losing my dad,",United States,Spanish,2016-03-28 12:05:00,2016-03-28 12:05:00,524,587,914,R,1
ashleysimpsn,"Meds kicked in, back to Lala Land!",United States,English,2016-03-28 12:05:00,2016-03-28 12:06:00,524,587,915,R,1
ashleysimpsn,Three Men With a Bomb #ISISaMovie,United States,English,2016-04-27 15:10:00,2016-04-27 15:10:00,521,587,914,R,1
ashleysimpsn,#ShhhDontTellBut quantum computers will probably be able to see the future,United States,English,2016-04-27 15:10:00,2016-04-27 15:10:00,521,587,911,R,1
ashleysimpsn,#IWishItWasIllegalTo 'Spock' Canadian currency https://t.co/0UVap6wKUo,United States,English,2016-05-02 14:36:00,2016-05-02 14:36:00,519,587,915,R,1
ashleysimpsn,"If up to you, you'll wear a t-shirt and shorts to someone's wedding or anniversary dinner #SignsYouAreAmerican with gold sneakers",United States,English,2016-05-23 15:09:00,2016-05-23 15:10:00,519,568,918,R,1
ashleysimpsn,#SignsYouAreAmerican You drive on the right side of the road,United States,English,2016-05-23 15:09:00,2016-05-23 15:10:00,519,568,919,R,1
ashleysimpsn,#SignsYouAreAmerican I HATE soccer. And Canada.,United States,English,2016-05-23 15:09:00,2016-05-23 15:09:00,519,568,915,R,1
ashleysimpsn,You're not surprised to see this at the store #SignsYouAreAmerican https://t.co/gABvlZ2lov,United States,English,2016-05-23 15:09:00,2016-05-23 15:09:00,519,568,916,R,1
ashleysimpsn,You invite your rabbi to your quinceanera ...   #SignsYouAreAmerican https://t.co/ChhTRjFXRU,United States,English,2016-05-23 15:10:00,2016-05-23 15:10:00,519,568,922,R,1
ashleysimpsn,#SignsYouAreAmerican you use gifs like this and I love it https://t.co/w3ZcSszIsN,United States,English,2016-05-23 15:10:00,2016-05-23 15:10:00,519,568,920,R,1
ashleysimpsn,You can't name the three branches of your government #SignsYouAreAmerican,United States,English,2016-05-23 15:10:00,2016-05-23 15:10:00,519,568,926,R,1
ashleysimpsn,#SignsYouAreAmerican your snapchat https://t.co/Iw72T7Cm1k,United States,English,2016-05-23 15:10:00,2016-05-23 15:10:00,519,568,923,R,1
ashleysimpsn,"#SignsYouAreAmerican #My2WordAddiction  Ranch Dressing. (boom, baby)",United States,English,2016-05-23 15:10:00,2016-05-23 15:11:00,519,568,924,R,1
ashleysimpsn,You think Sriracha is a brand name and you put it on everything #SignsYouAreAmerican https://t.co/cLCtdHe1S4,United States,English,2016-05-23 15:10:00,2016-05-23 15:10:00,519,568,921,R,1
ashleysimpsn,Obsession with reality tv is shameful  #SignsYouAreAmerican,United States,English,2016-05-23 15:10:00,2016-05-23 15:11:00,519,568,927,R,1
