author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
BatonRougeVoice,"Easton 2018 CB Damien Tate sees himself as one of top DBs, backs it up with strong season  #sports",United States,English,2015-11-05T18:19:00,2016-01-26T03:03:00,1480.0000000000,2097.0000000000,13649.0000000000,,False
BatonRougeVoice,"New Orleans Saints cornerback Keenan Lewis having hip surgery, NFL Network reports  #sports",United States,English,2015-12-07T18:41:00,2015-12-11T09:18:00,761.0000000000,1562.0000000000,11150.0000000000,,False
BatonRougeVoice,"Other officers in Marksville shooting cleared, TV station reports  #news",United States,English,2015-12-09T16:37:00,2015-12-09T16:37:00,744.0000000000,1543.0000000000,11033.0000000000,,False
BatonRougeVoice,Sean Payton says Jameis Winston is 'a reason why they're winning'  #sports,United States,English,2015-12-09T17:08:00,2015-12-09T17:08:00,744.0000000000,1543.0000000000,11034.0000000000,,False
BatonRougeVoice,"New Orleans Saints RB Mark Ingram could have serious shoulder injury, NFL Network reports  #sports",United States,English,2015-12-09T18:43:00,2015-12-09T18:43:00,744.0000000000,1544.0000000000,11035.0000000000,,False
BatonRougeVoice,Full menu of LSU sports talk: Podcast  #sports,United States,English,2015-12-09T18:54:00,2015-12-09T18:54:00,744.0000000000,1544.0000000000,11036.0000000000,,False
BatonRougeVoice,Former New Orleans Saints coordinator Rob Ryan spotted at Buffalo Bills practice  #sports,United States,English,2015-12-09T19:03:00,2015-12-09T19:04:00,744.0000000000,1544.0000000000,11037.0000000000,,False
BatonRougeVoice,"Jacquies Smith, who caused Drew Brees' shoulder injury in Week 2, has hamstring injury  #sports",United States,English,2015-12-09T19:10:00,2015-12-09T19:10:00,744.0000000000,1544.0000000000,11038.0000000000,,False
BatonRougeVoice,Texas Bowl a crucial launching point for LSU's pivotal 2016 : Scout's Take podcast  #sports,United States,English,2015-12-09T19:28:00,2015-12-09T19:28:00,744.0000000000,1544.0000000000,11039.0000000000,,False
BatonRougeVoice,New Orleans Saints running back Mark Ingram missing from open portion of Wednesday's practice  #sports,United States,English,2015-12-09T19:43:00,2015-12-09T19:43:00,744.0000000000,1544.0000000000,11040.0000000000,,False
BatonRougeVoice,"Texas Bowl, Heisman and LSU hoops: Chat at 2 p.m with Ron Higgins  #sports",United States,English,2015-12-09T19:45:00,2015-12-09T19:45:00,744.0000000000,1544.0000000000,11041.0000000000,,False
BatonRougeVoice,"Stephen Sullivan, Mykel Jones, Feleipe Franks receive visits: LSU recruiting notebook  #sports",United States,English,2015-12-09T19:54:00,2015-12-09T19:54:00,744.0000000000,1544.0000000000,11042.0000000000,,False
BatonRougeVoice,Rob Maness making another bid for Senate seat  #politics,United States,English,2015-12-09T20:02:00,2015-12-09T20:02:00,744.0000000000,1540.0000000000,11043.0000000000,,False
BatonRougeVoice,New Orleans Saints sign RB Bronson Hill to practice squad  #sports,United States,English,2015-12-09T20:02:00,2015-12-09T20:03:00,744.0000000000,1540.0000000000,11044.0000000000,,False
BatonRougeVoice,"Another hoverboard toy explodes in Louisiana, TV station says  #news",United States,English,2015-12-09T20:02:00,2015-12-09T20:03:00,744.0000000000,1540.0000000000,11045.0000000000,,False
BatonRougeVoice,Alabama's Derrick Henry named SEC Offensive Player of the Year  #news,United States,English,2015-12-09T20:23:00,2015-12-09T20:23:00,744.0000000000,1540.0000000000,11046.0000000000,,False
BatonRougeVoice,Alabama's Derrick Henry named SEC Offensive Player of the Year  #sports,United States,English,2015-12-09T20:23:00,2015-12-09T20:23:00,744.0000000000,1540.0000000000,11047.0000000000,,False
BatonRougeVoice,"Enough with the Baton Rouge traffic nightmares, let's solve it: JR Ball  #politics",United States,English,2015-12-09T20:25:00,2015-12-09T20:25:00,744.0000000000,1540.0000000000,11049.0000000000,,False
BatonRougeVoice,"Enough with the Baton Rouge traffic nightmares, let's solve it: JR Ball  #news",United States,English,2015-12-09T20:25:00,2015-12-09T20:25:00,744.0000000000,1540.0000000000,11048.0000000000,,False
BatonRougeVoice,"Madden NFL 16: Tampa Bay Buccaneers use late field goal to topple New Orleans Saints, 26-23  #sports",United States,English,2015-12-09T20:56:00,2015-12-09T20:56:00,744.0000000000,1539.0000000000,11050.0000000000,,False
BatonRougeVoice,Confederate monuments shouldn't stand in the heart of the city: A letter to the editor  #politics,United States,English,2015-12-09T21:00:00,2015-12-09T21:00:00,744.0000000000,1539.0000000000,11051.0000000000,,False
BatonRougeVoice,$607 million Jefferson Parish budget approved with 5% pay raises  #politics,United States,English,2015-12-09T21:19:00,2015-12-09T21:19:00,744.0000000000,1539.0000000000,11052.0000000000,,False
BatonRougeVoice,How do Saints find focus for Buccaneers? \| Black and Gold Today  #sports,United States,English,2015-12-09T21:19:00,2015-12-09T21:20:00,744.0000000000,1539.0000000000,11053.0000000000,,False
BatonRougeVoice,Ryan Anderson unsure about his future with New Orleans Pelicans  #sports,United States,English,2015-12-09T21:49:00,2015-12-09T21:49:00,744.0000000000,1539.0000000000,11054.0000000000,,False
BatonRougeVoice,"New Orleans Saints running back Mark Ingram placed on IR, report says  #sports",United States,English,2015-12-09T21:59:00,2015-12-09T21:59:00,744.0000000000,1539.0000000000,11055.0000000000,,False
BatonRougeVoice,New Orleans Saints running back Mark Ingram placed on IR  #sports,United States,English,2015-12-09T22:02:00,2015-12-09T22:02:00,744.0000000000,1540.0000000000,11056.0000000000,,False
BatonRougeVoice,"Senate passes major new education bill, sends it to president  #politics",United States,English,2015-12-09T22:07:00,2015-12-09T22:07:00,744.0000000000,1540.0000000000,11057.0000000000,,False
BatonRougeVoice,New Orleans Saints sign fullback Austin Johnson to roster  #sports,United States,English,2015-12-09T22:14:00,2015-12-09T22:14:00,744.0000000000,1540.0000000000,11058.0000000000,,False
BatonRougeVoice,2017 Riverdale LB Josh Clarke reports new offer from Indiana  #sports,United States,English,2015-12-09T22:17:00,2015-12-09T22:17:00,744.0000000000,1540.0000000000,11059.0000000000,,False
BatonRougeVoice,Municipal Employees Retirement System faces questions about ethics violations in spending scandal  #politics,United States,English,2015-12-09T22:22:00,2015-12-09T22:22:00,744.0000000000,1540.0000000000,11060.0000000000,,False
BatonRougeVoice,"New Orleans Saints injuries: Delvin Breaux, 4 others miss Wednesday  #sports",United States,English,2015-12-09T22:24:00,2015-12-09T22:24:00,744.0000000000,1540.0000000000,11061.0000000000,,False
BatonRougeVoice,Nike delivers custom cleats to a high school team in a Lamborghini  #sports,United States,English,2015-12-09T22:42:00,2015-12-09T22:42:00,744.0000000000,1540.0000000000,11062.0000000000,,False
BatonRougeVoice,Drew Brees: 'We'll have a role for all those guys' with Mark Ingram out \| Video  #sports,United States,English,2015-12-09T22:45:00,2015-12-09T22:45:00,744.0000000000,1540.0000000000,11063.0000000000,,False
BatonRougeVoice,Angola Warden Burl Cain tells TV station he's resigning  #politics,United States,English,2015-12-09T23:04:00,2015-12-09T23:05:00,744.0000000000,1540.0000000000,11064.0000000000,,False
BatonRougeVoice,Give it to Mark Ingram for becoming irreplaceable for New Orleans Saints: Larry Holder  #sports,United States,English,2015-12-09T23:17:00,2015-12-09T23:17:00,744.0000000000,1540.0000000000,11065.0000000000,,False
BatonRougeVoice,Port Marigny to be addressed by Mandeville City Council Thursday  #politics,United States,English,2015-12-09T23:21:00,2015-12-09T23:21:00,744.0000000000,1540.0000000000,11066.0000000000,,False
BatonRougeVoice,New Orleans' Urban Water Plan: A search for success and money  #politics,United States,English,2015-12-09T23:31:00,2015-12-09T23:31:00,744.0000000000,1540.0000000000,11067.0000000000,,False
BatonRougeVoice,New Orleans Pelicans' Kendrick Perkins hoping to play Friday vs. Wizards  #sports,United States,English,2015-12-09T23:33:00,2015-12-09T23:33:00,744.0000000000,1540.0000000000,11068.0000000000,,False
BatonRougeVoice,"Consultant: Park system should be independent or under the mayor, not both  #politics",United States,English,2015-12-10T00:00:00,2015-12-10T00:00:00,1440.0000000000,1549.0000000000,11069.0000000000,,False
BatonRougeVoice,Longtime warden of Angola prison in Louisiana to resign  #politics,United States,English,2015-12-10T00:36:00,2015-12-10T00:37:00,1439.0000000000,1552.0000000000,11070.0000000000,,False
BatonRougeVoice,LSU's Leonard Fournette talks about Heisman snub  #sports,United States,English,2015-12-10T00:53:00,2015-12-10T00:53:00,1439.0000000000,1552.0000000000,11071.0000000000,,False
BatonRougeVoice,LSU visits Texas 4-star linebacker Dontavious Jackson  #sports,United States,English,2015-12-10T01:13:00,2015-12-10T01:14:00,1439.0000000000,1552.0000000000,11072.0000000000,,False
BatonRougeVoice,"Confederate monument push came from mayor not people, LaToya Cantrell says  #politics",United States,English,2015-12-10T01:15:00,2015-12-10T01:15:00,1439.0000000000,1552.0000000000,11073.0000000000,,False
BatonRougeVoice,New Orleans Saints must resurrect struggling run game without Mark Ingram  #sports,United States,English,2015-12-10T01:45:00,2015-12-10T01:45:00,1439.0000000000,1552.0000000000,11074.0000000000,,False
BatonRougeVoice,Fournette okey-Doak putting Heisman snub in rearview mirror: Ron Higgins  #sports,United States,English,2015-12-10T02:03:00,2015-12-10T02:03:00,1439.0000000000,1552.0000000000,11075.0000000000,,False
BatonRougeVoice,'Lies will bite you hard': Jefferson Parish council veteran's farewell words  #politics,United States,English,2015-12-10T02:34:00,2015-12-10T02:34:00,1439.0000000000,1553.0000000000,11076.0000000000,,False
BatonRougeVoice,Memphis offers Karr 2017 quarterback Aldon Clark  #sports,United States,English,2015-12-10T02:43:00,2015-12-10T02:44:00,1439.0000000000,1553.0000000000,11077.0000000000,,False
BatonRougeVoice,Feds decline to pursue civil rights charges in death of Victor White  https://t.co/t3fsu1Jo8h https://t.co/jVXx7V7S3w,United States,English,2015-12-10T02:56:00,2015-12-10T02:56:00,1439.0000000000,1553.0000000000,11078.0000000000,,False
BatonRougeVoice,"SouthernUniversity student set to graduate,spent semester homeless #BatonRouge #Inspiration  https://t.co/WDBzEjTpXJ https://t.co/reeBpcUjpC",United States,English,2015-12-10T03:00:00,2015-12-10T03:00:00,1439.0000000000,1553.0000000000,11079.0000000000,,False
BatonRougeVoice,1940s #vintage Photograph #BatonRouge #Louisiana https://t.co/7CJsbxI34G,United States,English,2015-12-10T03:02:00,2015-12-10T07:51:00,1439.0000000000,1553.0000000000,11080.0000000000,,False
BatonRougeVoice,"Anthony Davis, Ryan Anderson bring holiday cheer to 150 New Orleans area kids  #sports",United States,English,2015-12-10T03:37:00,2015-12-10T03:37:00,1439.0000000000,1554.0000000000,11081.0000000000,,False
BatonRougeVoice,"Dense fog could last until 9 a.m., officials urge drivers to be careful  #weather",United States,English,2015-12-10T12:33:00,2015-12-10T12:33:00,1439.0000000000,1556.0000000000,11082.0000000000,,False
BatonRougeVoice,Elayn Hunt jail employees booked after 1 had sex with inmate  #news,United States,English,2015-12-10T13:29:00,2015-12-10T13:29:00,1438.0000000000,1556.0000000000,11083.0000000000,,False
BatonRougeVoice,"From Google searches to prison, radicals take numerous paths to Islamic extremism  #news",United States,English,2015-12-10T13:55:00,2015-12-10T13:55:00,1438.0000000000,1556.0000000000,11084.0000000000,,False
BatonRougeVoice,Viking hoard found by treasure hunter sheds light on England's origins  #news,United States,English,2015-12-10T14:09:00,2015-12-10T14:09:00,1438.0000000000,1555.0000000000,11085.0000000000,,False
BatonRougeVoice,"Agents seize 700 pounds of shrimp from illegal Lake Pontchartrain shrimpers, department says  #sports",United States,English,2015-12-10T14:16:00,2015-12-10T14:16:00,1438.0000000000,1555.0000000000,11086.0000000000,,False
BatonRougeVoice,Saints Rewind: Mark Ingram lands on IR; Delvin Breaux misses practice  #sports,United States,English,2015-12-10T14:34:00,2015-12-10T14:34:00,1438.0000000000,1555.0000000000,11087.0000000000,,False
BatonRougeVoice,New Orleans Saints RB Mark Ingram to undergo surgery on torn left rotator cuff  #sports,United States,English,2015-12-10T14:58:00,2015-12-10T14:58:00,1438.0000000000,1556.0000000000,11088.0000000000,,False
BatonRougeVoice,"Sean Payton says how C.J. Spiller, Tim Hightower will fill in for Mark Ingram: Podcast  #sports",United States,English,2015-12-10T15:04:00,2015-12-10T15:05:00,1438.0000000000,1556.0000000000,11089.0000000000,,False
BatonRougeVoice,"Louisiana Senate race: who's in, who's out in the early going  #politics",United States,English,2015-12-10T15:09:00,2015-12-10T15:09:00,1438.0000000000,1556.0000000000,11090.0000000000,,False
BatonRougeVoice,New Orleans Pelicans hosting 'Star Wars' night for Friday's game vs. Wizards  #sports,United States,English,2015-12-10T15:17:00,2015-12-10T15:17:00,1438.0000000000,1556.0000000000,11091.0000000000,,False
BatonRougeVoice,City Council to hold public hearing on Confederate monuments  #politics,United States,English,2015-12-10T15:37:00,2015-12-10T15:38:00,1438.0000000000,1556.0000000000,11092.0000000000,,False
BatonRougeVoice,"Public-land hunter scouts on Google, drops trophy buck, website reports  #sports",United States,English,2015-12-10T15:41:00,2015-12-10T15:42:00,1438.0000000000,1556.0000000000,11093.0000000000,,False
BatonRougeVoice,"Donald Trump scraps Israel trip, says he'll reschedule when he's president  #news",United States,English,2015-12-10T15:47:00,2015-12-10T15:47:00,1438.0000000000,1557.0000000000,11094.0000000000,,False
BatonRougeVoice,Too early to call LSU's Ben Simmons the next LeBron James? Probably so: Podcast  #sports,United States,English,2015-12-10T15:50:00,2015-12-10T15:51:00,1438.0000000000,1557.0000000000,11095.0000000000,,False
BatonRougeVoice,Sean Payton says he hopes to give C.J Spiller more touches with Mark Ingram on IR  #sports,United States,English,2015-12-10T16:09:00,2015-12-10T16:09:00,1438.0000000000,1557.0000000000,11096.0000000000,,False
BatonRougeVoice,LSU emails on Les Miles' job and his sputtering offense: Podcast  #news,United States,English,2015-12-10T16:14:00,2015-12-10T16:14:00,1438.0000000000,1556.0000000000,11097.0000000000,,False
BatonRougeVoice,LSU emails on Les Miles' job and his sputtering offense: Podcast  #sports,United States,English,2015-12-10T16:14:00,2015-12-10T16:15:00,1438.0000000000,1556.0000000000,11098.0000000000,,False
BatonRougeVoice,Watch the Marine Corps perform the national anthem for Military Day in New Orleans  #politics,United States,English,2015-12-10T16:34:00,2015-12-10T16:34:00,1438.0000000000,1556.0000000000,11099.0000000000,,False
BatonRougeVoice,Chat with Katherine Terrell at noon as Saints attempt to rebound in final four games  #sports,United States,English,2015-12-10T16:35:00,2015-12-10T16:35:00,1438.0000000000,1556.0000000000,11100.0000000000,,False
BatonRougeVoice,Cam Cameron staying or going? LSU Twitter Mailbag  #news,United States,English,2015-12-10T17:04:00,2015-12-10T17:04:00,1438.0000000000,1556.0000000000,11101.0000000000,,False
BatonRougeVoice,Cam Cameron staying or going? LSU Twitter Mailbag  #sports,United States,English,2015-12-10T17:04:00,2015-12-10T17:04:00,1438.0000000000,1556.0000000000,11102.0000000000,,False
BatonRougeVoice,The economic decline of the middle class and its impact: JR Ball  #news,United States,English,2015-12-10T17:54:00,2015-12-10T17:54:00,1437.0000000000,1559.0000000000,11103.0000000000,,False
BatonRougeVoice,The economic decline of the middle class and its impact: JR Ball  #politics,United States,English,2015-12-10T17:54:00,2015-12-10T17:54:00,1437.0000000000,1559.0000000000,11104.0000000000,,False
BatonRougeVoice,How should Jefferson Parish Council members spend $20 million from BP settlement?  #politics,United States,English,2015-12-10T17:55:00,2015-12-10T17:55:00,1437.0000000000,1559.0000000000,11105.0000000000,,False
BatonRougeVoice,What gifts LSU players will get from Texas Bowl  #news,United States,English,2015-12-10T18:08:00,2015-12-10T18:08:00,1437.0000000000,1559.0000000000,11106.0000000000,,False
BatonRougeVoice,What gifts LSU players will get from Texas Bowl  #sports,United States,English,2015-12-10T18:08:00,2015-12-10T18:08:00,1437.0000000000,1559.0000000000,11107.0000000000,,False
BatonRougeVoice,Could Jacob Eason's pending decision affect LSU's chances with Feleipe Franks?  #sports,United States,English,2015-12-10T18:36:00,2015-12-10T18:36:00,1437.0000000000,1559.0000000000,11108.0000000000,,False
BatonRougeVoice,LSU OG Will Clapp named freshman All America  #news,United States,English,2015-12-10T18:41:00,2015-12-10T18:41:00,1437.0000000000,1559.0000000000,11109.0000000000,,False
BatonRougeVoice,LSU OG Will Clapp named freshman All America  #sports,United States,English,2015-12-10T18:41:00,2015-12-10T18:42:00,1437.0000000000,1559.0000000000,11110.0000000000,,False
BatonRougeVoice,Todd Masson's fishing forecast for Dec. 11-13: Podcast  #sports,United States,English,2015-12-10T18:49:00,2015-12-10T18:49:00,1428.0000000000,1559.0000000000,11111.0000000000,,False
BatonRougeVoice,Ex-associate of Jared Fogle gets 27 years on child porn charges  #news,United States,English,2015-12-10T18:56:00,2015-12-10T18:56:00,1390.0000000000,1559.0000000000,11112.0000000000,,False
BatonRougeVoice,Saints at Bucs predictions: Picksie Dust Thursday \| Black and Gold Today  #sports,United States,English,2015-12-10T18:59:00,2015-12-10T18:59:00,1370.0000000000,1559.0000000000,11113.0000000000,,False
BatonRougeVoice,"Gun linked to Paris attack had been sent to U.S., Serbian dealer says  #news",United States,English,2015-12-10T19:06:00,2015-12-10T19:06:00,1334.0000000000,1559.0000000000,11114.0000000000,,False
BatonRougeVoice,A paper crown: Mental illness visits City Council chambers  #politics,United States,English,2015-12-10T19:15:00,2015-12-10T19:15:00,1294.0000000000,1559.0000000000,11115.0000000000,,False
BatonRougeVoice,"Leonard Fournette, Vadal Alexander second-team SI All Americans  #news",United States,English,2015-12-10T19:40:00,2015-12-10T19:40:00,1177.0000000000,1561.0000000000,11116.0000000000,,False
BatonRougeVoice,"Leonard Fournette, Vadal Alexander second-team SI All Americans  #sports",United States,English,2015-12-10T19:40:00,2015-12-10T19:40:00,1177.0000000000,1561.0000000000,11117.0000000000,,False
BatonRougeVoice,A paper crown: Offbeat speaker addresses City Council  #politics,United States,English,2015-12-10T19:55:00,2015-12-10T19:55:00,1108.0000000000,1561.0000000000,11118.0000000000,,False
BatonRougeVoice,Saints' final 4 games critical for development of these young players: First and 10  #sports,United States,English,2015-12-10T19:55:00,2015-12-10T19:55:00,1108.0000000000,1561.0000000000,11119.0000000000,,False
BatonRougeVoice,3 New Orleans Saints offensive linemen absent in Thursday practice  #sports,United States,English,2015-12-10T19:55:00,2015-12-10T19:55:00,1108.0000000000,1561.0000000000,11118.0000000000,,False
BatonRougeVoice,Connecticut could be first state to ban gun sales to no-fly listed  #politics,United States,English,2015-12-10T20:00:00,2015-12-10T20:00:00,1072.0000000000,1561.0000000000,11121.0000000000,,False
BatonRougeVoice,Bobby Jindal declines to comment on Jay Dardenne serving in John Bel Edwards' administration  #news,United States,English,2015-12-10T20:03:00,2015-12-10T20:03:00,1054.0000000000,1561.0000000000,11122.0000000000,,False
BatonRougeVoice,Bobby Jindal declines to comment on Jay Dardenne serving in John Bel Edwards' administration  #politics,United States,English,2015-12-10T20:03:00,2015-12-10T20:03:00,1054.0000000000,1561.0000000000,11122.0000000000,,False
BatonRougeVoice,Arkansas State on lockdown as police respond to 'active shooter'  #news,United States,English,2015-12-10T20:06:00,2015-12-10T20:06:00,1041.0000000000,1561.0000000000,11124.0000000000,,False
BatonRougeVoice,"LSU's Will Clapp, Derrius Guice, Arden Key named to SEC All-Freshman team  #sports",United States,English,2015-12-10T20:13:00,2015-12-10T20:13:00,1009.0000000000,1561.0000000000,11126.0000000000,,False
BatonRougeVoice,"LSU's Will Clapp, Derrius Guice, Arden Key named to SEC All-Freshman team  #news",United States,English,2015-12-10T20:13:00,2015-12-10T20:13:00,1009.0000000000,1561.0000000000,11125.0000000000,,False
BatonRougeVoice,#TBT: 'Superdome Special' costs New Orleans Saints against Tampa Bay in 2007  #sports,United States,English,2015-12-10T20:26:00,2015-12-10T20:26:00,938.0000000000,1561.0000000000,11127.0000000000,,False
BatonRougeVoice,"Obama signs overhaul of No Child Left Behind, shifting power to states  #news",United States,English,2015-12-10T20:36:00,2015-12-10T20:36:00,889.0000000000,1561.0000000000,11128.0000000000,,False
