author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
BigBoyJasiah,Amazing how people on Twitter feel entitled to have a political discussion with you while insulting you at the same time.,United States,English,2015-12-30 23:41:00,2015-12-30 23:41:00,366,149,654,R,1
BigBoyJasiah,Maybe you have the wrong people on your team  @KingJames #NoJusticeNoLebron https://t.co/0gs1hZtvYr,United States,English,2015-12-30 23:41:00,2015-12-30 23:41:00,366,149,655,R,1
BigBoyJasiah,#iAgree ..I've been a target of their stupid a long time & I refuse to stfu about the arrogance &stupid they perpetrate! @BeautyBind @Marmel,United States,English,2016-01-04 00:32:00,2016-01-04 00:32:00,366,148,656,R,1
BigBoyJasiah,"#OregonUnderAttack = Militia is TRYING to force standoff w/the government & they live to tell. Meanwhile, we begin another #YearWithoutTamir",United States,English,2016-01-04 00:32:00,2016-01-04 00:32:00,366,148,657,R,1
BigBoyJasiah,psa!! https://t.co/6rVumOKIUC,United States,English,2016-01-07 23:46:00,2016-01-07 23:47:00,365,148,659,R,1
BigBoyJasiah,"I need to learn to Milly Rock before I get to NYC, I've got three days",United States,English,2016-01-07 23:46:00,2016-01-07 23:46:00,365,148,658,R,1
BigBoyJasiah,"Wilson trash talked Brown, initiated a brawl, when it went south, he killed him. @bgnewman3 @wolverhampt0n1 @StopTh3Li3s @A_M_Perez",United States,English,2016-01-07 23:46:00,2016-01-07 23:48:00,365,148,657,R,1
BigBoyJasiah,'@RiseUp75 @SaudiEmbassyUSA Saudi & Co doNOT see Israel as a threat & doNOT care about ppl of Palestine incl Gaza period',United States,English,2016-01-09 01:04:00,2016-01-09 01:05:00,365,148,660,R,1
BigBoyJasiah,"45 Million Americans Live in Poverty, but You Wouldn’t Know It From Watching… https://t.co/2xPE9sGPtU #UniteBlue https://t.co/3lgOmDJCZe",United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,669,R,1
BigBoyJasiah,"The founder of Vine made a sweet new social app, Peach https://t.co/wh6avPPR3I https://t.co/XTjF2be7uo",United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,661,R,1
BigBoyJasiah,"""My father's socialist opinions came from the same source: not a desire for justice, but a resentment of success"". ~ @Roger_Scruton #tcot",United States,English,2016-01-09 01:05:00,2016-01-09 01:06:00,365,148,670,R,1
BigBoyJasiah,"She beat up her grandmother over some dick. That's sad. And hilarious, all in the same breath ������",United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,666,R,1
BigBoyJasiah,"You're a ""simp"" if you're a BM standing up for BW. And your an ""upstanding African king"" if you threaten to punch BW in the face �",United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,664,R,1
BigBoyJasiah,Saudi Arabia Killing thousands of innocents in #Yemen  #EndYemenWar  #101WarCrimes https://t.co/sdkM9DLH9i,United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,663,R,1
BigBoyJasiah,AYEEEE. Sending favor and positivity your way ✨ https://t.co/k9LHPKx9JD,United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,667,R,1
BigBoyJasiah,"Had a great day teaching our warriors on the influence of the Moors, chess idiosyncracies, and leadership strategies https://t.co/Ym62wgmzPL",United States,English,2016-01-09 01:05:00,2016-01-09 01:05:00,365,148,665,R,1
BigBoyJasiah,Billy was having NONE OF IT.,United States,English,2016-01-09 20:14:00,2016-01-09 20:15:00,366,148,675,R,1
BigBoyJasiah,GOAL!!!! Oscar Lindberg!!! #NYR trail 2-1 at 5:54 of the third!!!,United States,English,2016-01-09 20:14:00,2016-01-09 20:15:00,366,148,676,R,1
BigBoyJasiah,I should do some essays and short stories. I don't see enough Black writers utilizing that genre enough.,United States,English,2016-01-09 20:14:00,2016-01-09 20:14:00,366,148,672,R,1
BigBoyJasiah,My first time visiting the new Freedom Tower and 9/11 Memorial. These water wells are where the towers used to be. https://t.co/JSZVUiKKty,United States,English,2016-01-09 20:14:00,2016-01-09 20:14:00,366,148,671,R,1
BigBoyJasiah,Convicted ex-cop who held gun to man's head 'not sorry' https://t.co/EZwCfbIbDf via @usatoday,United States,English,2016-01-09 20:15:00,2016-01-09 20:15:00,366,148,677,R,1
BigBoyJasiah,"What exactly does ""too dark"" mean? Why is that a bad thing? Why do you think it's random or haphazard that you think it's a bad thing?",United States,English,2016-01-11 19:25:00,2016-01-11 19:25:00,366,148,687,R,1
BigBoyJasiah,"UPDATE 1-""Grand coalition"" still uncertain in Spain despite Catalan separatist push: * Spanish... https://t.co/wig6JdABEO via @josephjett",United States,English,2016-01-11 19:25:00,2016-01-11 19:25:00,366,148,684,R,1
BigBoyJasiah,Black students win battle to end University's investents in private prisons. https://t.co/e1vT3S7wzS,United States,English,2016-01-11 19:25:00,2016-01-11 19:25:00,366,148,680,R,1
BigBoyJasiah,Bingo RT @Janelledakid: Residual perfume  RT @kidnoble: Like...they even smell good.,United States,English,2016-01-11 19:25:00,2016-01-11 19:25:00,366,148,682,R,1
BigBoyJasiah,Third-class caste systems triage students into third-class educational citizenship.  #edchat #schooltoprison,United States,English,2016-01-11 19:25:00,2016-01-11 19:25:00,366,148,681,R,1
BigBoyJasiah,"FL voter asks @marcorubio about working with Congress. Says ""I feel you have given up doing it as senator, how can you do it as president?""",United States,English,2016-01-11 19:25:00,2016-01-11 19:25:00,366,148,683,R,1
BigBoyJasiah,"OOP, can I make a special appearance?  https://t.co/mEn9ZCmw8T",United States,English,2016-01-12 22:51:00,2016-01-12 22:51:00,366,148,692,R,1
BigBoyJasiah,The Stay Woke Awakens shirt on sale now https://t.co/sxDvcFGHk2 #StayWoke https://t.co/RKpjkjjB49,United States,English,2016-01-12 22:51:00,2016-01-12 22:52:00,366,148,693,R,1
BigBoyJasiah,"DYK? Tim Kempton (29 points) and Kyle Leufroy (23) combined for 52 points last night, the most… https://t.co/RE7PlBdFqf",United States,English,2016-01-12 22:51:00,2016-01-12 22:51:00,366,148,694,R,1
BigBoyJasiah,I really need a haircut this is not a drill,United States,English,2016-01-12 22:51:00,2016-01-12 22:51:00,366,148,691,R,1
BigBoyJasiah,Interview with Spencer Sunshine on the Oregon Militia Occupation https://t.co/jjPoDFeCvQ,United States,English,2016-01-12 22:51:00,2016-01-12 22:51:00,366,148,689,R,1
BigBoyJasiah,this has nothing to do with feminism lol  https://t.co/MZ918m4wie,United States,English,2016-01-16 00:50:00,2016-01-16 00:50:00,366,149,697,R,1
BigBoyJasiah,first known 'Secret Search' under Search & Surveillance Act in 1080 blackmail case leaves Golden Bay couple in shock https://t.co/PDnuwMbYCz,United States,English,2016-01-16 00:50:00,2016-01-16 00:50:00,366,149,699,R,1
BigBoyJasiah,Modern day scarecrow: Hired a guy to stand outside the neighbors' windows and moan at night.  Must be working... *looks at For Sale sign*,United States,English,2016-01-17 00:56:00,2016-01-17 00:57:00,366,150,706,R,1
BigBoyJasiah,"*Starts massive group DM  Hey everyone, just wanted to share this poem I wrote",United States,English,2016-01-17 00:56:00,2016-01-17 00:56:00,366,150,703,R,1
BigBoyJasiah,I agree with @BernieSanders in his call for the resignation of MI Gov Snyder https://t.co/qwNxO9YdLw @onetoughnerd,United States,English,2016-01-17 00:56:00,2016-01-17 00:57:00,366,150,704,R,1
BigBoyJasiah,We rarely do primary endorsements—only twice before in 150 years—but today we endorse Bernie Sanders for president: https://t.co/3MpjQQiltR,United States,English,2016-01-17 00:56:00,2016-01-17 00:56:00,366,150,705,R,1
BigBoyJasiah,I didn't even buy a ticket & Im disappointed,United States,English,2016-01-17 00:56:00,2016-01-17 00:56:00,366,150,701,R,1
BigBoyJasiah,Bae ass ��� https://t.co/TWlEZafz60,United States,English,2016-01-17 00:57:00,2016-01-17 00:57:00,366,150,707,R,1
BigBoyJasiah,Fox does a great job hosting debates. Better than the other networks so far. https://t.co/fyl3H76bP2,United States,English,2016-01-17 21:50:00,2016-01-17 21:51:00,366,149,708,R,1
BigBoyJasiah,''Forever in my Heart''  https://t.co/63lOTKNMDG https://t.co/355ufmbUUf,United States,English,2016-01-17 21:50:00,2016-01-17 21:51:00,366,149,707,R,1
BigBoyJasiah,By Spacy Eva https://t.co/lXylEoZwuR @agotoronto @ArtGalleryofNSW @VanArtGallery @TheAGH @saatchi_gallery https://t.co/kzZAAew8eB,United States,English,2016-01-17 21:51:00,2016-01-17 21:51:00,366,149,711,R,1
BigBoyJasiah,'@RiseUp75  #Yemen is asking Which country has sold this bombs to #SaudiArabia to kill our children? YOURS? SHAME! https://t.co/7RFYQQgIIs',United States,English,2016-01-17 21:51:00,2016-01-17 21:51:00,366,149,715,R,1
BigBoyJasiah,1. I have a whole ass nigga 2. It's a joke bye  https://t.co/LuqRRaVXEh,United States,English,2016-01-17 21:51:00,2016-01-17 21:51:00,366,149,710,R,1
BigBoyJasiah,"""Took 9 Months for me to pop out but can't find 10mins to pop in""   Deep it, Cadet is the realist https://t.co/YC3L0SsWyn",United States,English,2016-01-17 21:51:00,2016-01-17 21:51:00,366,149,713,R,1
BigBoyJasiah,by Spacy Eva https://t.co/uNwxQeseEq @saatchi_gallery @GalleryLondon @LondonArtFair @Gagosian @SaatchiCanada https://t.co/lLMHlqz9jA,United States,English,2016-01-17 21:51:00,2016-01-17 21:51:00,366,149,709,R,1
BigBoyJasiah,Kendrick would body anyone  https://t.co/XqiDymFFJb,United States,English,2016-01-17 21:51:00,2016-01-17 21:51:00,366,149,712,R,1
BigBoyJasiah,at least she was big enough for the whole word to fit http://t.co/8J5jQC73n3,United States,English,2016-01-17 21:51:00,2016-01-17 21:52:00,366,149,716,R,1
BigBoyJasiah,#MondayMotivation from #MLK https://t.co/ddtCdtGV8G,United States,English,2016-01-18 19:35:00,2016-01-18 19:36:00,366,150,720,R,1
BigBoyJasiah,I have never eaten at this establishment and I won't be starting now. 1 more corporation to avoid. https://t.co/GpwqBceoC1,United States,English,2016-01-18 19:35:00,2016-01-18 19:36:00,366,150,721,R,1
BigBoyJasiah,Black people PLEASE teach your children to know that Black is Beautiful and they should be proud to be Black �,United States,English,2016-01-18 19:35:00,2016-01-18 19:35:00,366,150,718,R,1
BigBoyJasiah,"OPEN LETTER TO CAM NEWTON:  Dear Cam Newton,  Dab on them folks.   Regards,  Zach",United States,English,2016-01-18 19:36:00,2016-01-18 19:36:00,366,150,724,R,1
BigBoyJasiah,"Awkward historical fact that escapes ""MLK was a Republican"" Conservatives... https://t.co/01NDEjgZbk",United States,English,2016-01-18 19:36:00,2016-01-18 19:36:00,366,150,722,R,1
