author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Blk_Voice,I luv Wat eva U R wearnG I jst Wish I Can. Tear it MySlf,United States,English,2012-10-30 12:27:00,2012-10-30 12:31:00,0,0,1,,0
Blk_Voice,Iyoooooo,United States,English,2012-11-21 07:10:00,2012-11-21 07:17:00,1,0,2,,0
Blk_Voice,I want to expose someone for operating fly by Nite school,United States,English,2012-11-28 08:25:00,2012-11-28 08:31:00,1,0,3,,0
Blk_Voice,"'The price of innocence' a one hour special report on human trafficking, 21:30pm tonight on etv.",United States,English,2012-11-28 08:26:00,2012-11-28 08:34:00,1,0,4,R,1
Blk_Voice,'@3rddegree.etv.co.za',United States,English,2012-11-28 08:55:00,2012-11-28 09:01:00,1,0,3,,0
Blk_Voice,NeVer BeLonG http://t.co/hV6BCrKt,United States,English,2013-02-01 21:56:00,2013-02-01 22:07:00,1,0,7,,0
Blk_Voice,Nothing here,United States,English,2013-04-27 18:17:00,2013-04-27 18:17:00,2,0,7,,0
Blk_Voice,22DABF38 what's app» 0731845540,United States,English,2013-05-15 17:26:00,2013-05-15 17:26:00,6,1,2,,0
Blk_Voice,Ok chiefs won congrats bt stop acting lyk u jst lost yo virginity*gud 9T*,United States,English,2013-05-15 20:06:00,2013-05-15 20:06:00,6,1,3,,0
Blk_Voice,Whatever you do tonight just #DontKillMyVibe!!!,United States,English,2013-05-17 16:45:00,2013-05-17 16:58:00,6,1,4,R,1
Blk_Voice,'@Club808 hi guys! Definitely enjoying da show n loved da opening video! Dc is Lucky ko Vaal baneng',United States,English,2013-05-17 17:38:00,2013-05-17 17:39:00,6,1,5,,0
Blk_Voice,Mmmm Neva ToT I would enjoy twitter and here I'm. Wallahhhhhhhhhh,United States,English,2013-05-18 00:06:00,2013-05-18 00:06:00,26,8,7,,0
Blk_Voice,You think u have seen it all! Well hav u seen a man eating his own head?? hahahahahahahahahaaaaa,United States,English,2013-05-18 13:22:00,2013-05-18 13:22:00,33,14,8,,0
Blk_Voice,"When you really matter to someone, that person will always make time for you. No excuses, no lies, and no broken promises.",United States,English,2013-05-18 21:20:00,2013-05-18 21:34:00,41,16,8,R,1
Blk_Voice,Happy Birthday to every #Taurus. =),United States,English,2013-05-18 22:05:00,2013-05-18 22:05:00,43,16,9,R,1
Blk_Voice,I live for two reasons. 1) I was born. 2) I haven't died yet,United States,English,2013-05-19 02:37:00,2013-05-19 02:37:00,43,17,10,R,1
Blk_Voice,'@TeemanM. Hau Makhanda ukhona nawe lah',United States,English,2013-05-20 09:09:00,2013-05-20 09:09:00,52,17,11,,0
