author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
bezumovalyuda,"АвтоВАЗ ""утилизировал"" 53 тыс. машин http://t.co/2Z88mdYxam",Azerbaijan,Russian,2015-06-26T08:31:00,2015-06-26T08:31:00,1990.0000000000,269.0000000000,1581.0000000000,R,True
bezumovalyuda,Пушков и Рогозин прочат Канаде «ответку» за новые санкции http://t.co/LKsss0zfkt http://t.co/seTWtKVzpD,Azerbaijan,Russian,2015-06-30T09:55:00,2015-06-30T09:55:00,1988.0000000000,270.0000000000,1587.0000000000,R,True
bezumovalyuda,"На ЧМ-2015 покажут эволюцию купальников, а Comedy Club подшутит над соревнованиями http://t.co/cmvK5G2Iri",Azerbaijan,Russian,2015-07-09T06:11:00,2015-07-09T06:11:00,1984.0000000000,266.0000000000,1594.0000000000,R,True
bezumovalyuda,Меркель выступила против однополых браков  http://t.co/baTOAdPVU9 http://t.co/zYLVkxXw96,Azerbaijan,Russian,2015-07-15T17:14:00,2015-07-15T17:14:00,1983.0000000000,267.0000000000,1600.0000000000,R,True
bezumovalyuda,Пушков: Нуланд поторопилась в оценке выполнения Украиной минских соглашений http://t.co/ErBantoJmX,Azerbaijan,Russian,2015-07-16T23:31:00,2015-07-16T23:33:00,1983.0000000000,269.0000000000,1604.0000000000,R,True
bezumovalyuda,Главой управления по делам молодежи Одесской ОГА назначена... http://t.co/8HEf86LuUj,Azerbaijan,Russian,2015-07-17T19:13:00,2015-07-17T19:13:00,1788.0000000000,268.0000000000,1607.0000000000,R,True
bezumovalyuda,В Китае самолет закрыли на карантин из-за того. что на борту видели мышь http://t.co/MFCg3EHZ4n,Azerbaijan,Ukrainian,2015-07-18T07:12:00,2015-07-18T07:12:00,1483.0000000000,268.0000000000,1608.0000000000,R,True
bezumovalyuda,В Закарпатье задержали рекордную партию контрабандного табака http://t.co/gVxyeZFQMa,Azerbaijan,Ukrainian,2015-07-18T08:51:00,2015-07-18T08:51:00,1483.0000000000,268.0000000000,1609.0000000000,R,True
bezumovalyuda,'@salty_1970 Дак я наоборот новый удалил и старую версию поставил..',Azerbaijan,Russian,2015-07-18T17:52:00,2015-07-18T17:52:00,1483.0000000000,268.0000000000,1614.0000000000,R,True
bezumovalyuda,«Мордовия» — «Локомотив»: видеотрансляция матча http://t.co/1HSd9Phej1,Azerbaijan,Bulgarian,2015-07-19T14:52:00,2015-07-19T14:52:00,1483.0000000000,268.0000000000,1616.0000000000,R,True
