author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
black_elevation,Interesting fact #racism @realDonaldTrump https://t.co/hhhc8jU3Aw,Unknown,English,2017-03-22 22:03:00,2017-03-22 22:03:00,0,0,1,,0
black_elevation,The whole system is guilty as hell https://t.co/42XfHGWPAB,Unknown,English,2017-03-22 22:04:00,2017-03-22 22:04:00,0,0,2,,0
black_elevation,"According to a research, 42 percent of American worry a “great deal”  that racial tension is running too high. https://t.co/dz7rmAm75N",Unknown,English,2017-03-22 22:07:00,2017-03-22 22:07:00,0,0,3,,0
black_elevation,"Trump’s ""priorities"" Budget increases to the military; Big cuts to the  Environment, Health, Education, Justice Department, Housing, etc. https://t.co/l6iyFEuCuJ",Unknown,English,2017-03-22 22:11:00,2017-03-22 22:11:00,0,0,4,,0
black_elevation,"Former NFL Player, Myron Rolle To Start Neurosurgery Residency At Harvard &amp; Massachusetts Gen. Hospital We wish all the best to @MyronRolle! https://t.co/i52A8nNzM2",Unknown,English,2017-03-22 22:16:00,2017-03-22 22:16:00,0,0,5,,0
black_elevation,James Harris Jackson traveled to NYC to kill a black man because he hates interracial dating.  Welcome to Trump's America https://t.co/0onEk5pZUH,Unknown,English,2017-03-24 01:28:00,2017-03-24 01:28:00,157,26,6,,0
black_elevation,Those who voted for him should suffer the most https://t.co/zaxAW3Mdpi,Unknown,English,2017-03-26 02:25:00,2017-03-26 02:25:00,327,50,7,,0
black_elevation,"Meet Tony Hansberry: at age 14 he invented a new surgical technique that is now called the ""Hansberry stitch"" #blackexcellence https://t.co/nljGtNHZYU",Unknown,English,2017-03-26 02:28:00,2017-03-26 02:28:00,327,50,8,,0
black_elevation,May his soul rest in peace. He deserved better  #TimothyCaughman https://t.co/ErCTcLokjV,Unknown,English,2017-03-26 22:25:00,2017-03-26 22:28:00,485,82,9,,0
black_elevation,"Revolution always, in some way contradict some laws that's why it's called revolution - Huey P. Newton Wise words https://t.co/A1MS8fCSO1",Unknown,English,2017-03-26 22:28:00,2017-03-26 22:28:00,485,82,10,,0
black_elevation,Trump is on a mission of destroying our country https://t.co/Bj5JcfCb0x,Unknown,English,2017-03-26 22:33:00,2017-03-26 22:33:00,485,82,11,,0
black_elevation,I'm not interested in competing with my people. https://t.co/XtV6i9ZLl4,Unknown,English,2017-03-31 21:36:00,2017-03-31 21:36:00,572,127,12,,0
black_elevation,Isn't he right? https://t.co/Q8XLE6caMj,Unknown,English,2017-03-31 21:40:00,2017-03-31 21:40:00,572,127,13,,0
black_elevation,Janet Collins was the first and only African American to become Prima Ballerina at the Metropolitan Opera in New York(1951) #Blackexcellence https://t.co/MjTBp8zzWM,Unknown,English,2017-03-31 21:44:00,2017-03-31 21:44:00,572,127,14,,0
black_elevation,We're heading backwards to dark times... https://t.co/H7mexPE3Wz,Unknown,English,2017-03-31 21:47:00,2017-03-31 21:47:00,572,127,15,,0
black_elevation,Anyone? https://t.co/JH2Qcl5lTE,Unknown,English,2017-04-01 19:05:00,2017-04-20 02:38:00,1334,320,32,,0
black_elevation,This is what should keep you going. https://t.co/WupmDcFO8P,Unknown,English,2017-04-02 20:29:00,2017-04-02 20:29:00,887,211,18,,0
black_elevation,"“I saw a threat and I used the force I felt necessary to stop a threat,” she told CBS. WTF? https://t.co/Y1ArQqgMM3",Unknown,English,2017-04-06 23:26:00,2017-04-06 23:26:00,974,234,19,,0
black_elevation,Why they even adopt black kids? https://t.co/HPNqh7qhka,Unknown,English,2017-04-08 01:27:00,2017-04-08 01:27:00,973,231,20,,0
black_elevation,Proud of these young men #BlackExcellence https://t.co/He3ZUC9vQf,Unknown,English,2017-04-08 23:31:00,2017-04-08 23:31:00,974,233,21,,0
black_elevation,"We cannot always build the future for our youth, but we can build our youth for the future. https://t.co/wWcw7Jhp55",Unknown,English,2017-04-09 18:39:00,2017-04-09 18:39:00,973,232,23,,0
black_elevation,Mind your business https://t.co/V3ndArps7S,Unknown,English,2017-04-09 18:39:00,2017-04-09 18:47:00,1150,235,23,,0
black_elevation,"Today is the day 1,089 of #FlintWaterCrisis  WHEN THIS WILL BE FIXED? https://t.co/9uoGgsaS9O",Unknown,English,2017-04-09 18:50:00,2017-04-09 18:50:00,1181,238,24,,0
black_elevation,"Just 26-year-old Jusan Hamilton became the first black race director in NASCAR history, overseeing the Xfinity Series race in California. https://t.co/SA1kKd4oKU",Unknown,English,2017-04-09 18:54:00,2017-04-09 18:54:00,1180,242,25,,0
black_elevation,You are my brothers and sisters. We are one big family. https://t.co/eweYPnbZ69,Unknown,English,2017-04-10 19:00:00,2017-04-10 19:00:00,1178,282,26,,0
black_elevation,Preach. Trump is leading America into war. https://t.co/jt8932nD0Q,Unknown,English,2017-04-18 23:11:00,2017-04-18 23:11:00,1178,294,28,,0
black_elevation,This man put up $42M from his own pocket to pay for Ohio teens to go to college. https://t.co/gk7S0ik2eS,Unknown,English,2017-04-18 23:11:00,2017-04-18 23:12:00,1178,295,29,,0
black_elevation,Protect. Teach. Build. Love. #blackexcellence https://t.co/BO7d7x9QcZ,Unknown,English,2017-04-20 02:07:00,2017-04-20 02:07:00,1253,315,30,,0
black_elevation,"Serena Williams is 20 weeks pregnant, which means she won the Australian  Open while being pregnant—confirming that she’s a badass superhero https://t.co/AFi8t9n3qF",Unknown,English,2017-04-20 02:10:00,2017-04-20 02:10:00,1253,315,31,,0
black_elevation,"Cecil Rhodes, the founder of De Beer diamond company, killed 60 MILLION Black South Africans. They don't teach that in schools https://t.co/6WKl5vLCEY",Unknown,English,2017-04-20 02:11:00,2017-04-20 02:11:00,1253,315,32,,0
black_elevation,"I reject the normalization of racism, therefore I reject the normalization of Trump's presidency. https://t.co/BgZ8htp1X5",Unknown,English,2017-04-21 01:00:00,2017-04-21 01:00:00,1333,330,33,,0
black_elevation,Smh. Everybody wants to be black but nobody wants to be black https://t.co/E0h7lZMi5H,Unknown,English,2017-04-27 01:19:00,2017-04-27 01:20:00,1332,334,34,,0
black_elevation,Be proud of your heritage. Be proud of being Black. Listen to #MLK https://t.co/SmAnr7p9o3,Unknown,English,2017-04-27 01:23:00,2017-04-27 01:23:00,1332,334,35,,0
black_elevation,"Donyale Luna, the first Black supermodel. So beautiful that Salvador  Dali claimed she's the reincarnation of the Egyptian Queen Nefertiti. https://t.co/M2P7GbbnPy",Unknown,English,2017-04-27 01:25:00,2017-04-27 01:25:00,1332,334,36,,0
black_elevation,June 2015 to Nov 2016. Cancer tried it. #blackexcellence https://t.co/l61EJ8Rwnc,Unknown,English,2017-04-27 01:30:00,2017-04-27 01:30:00,1332,334,37,,0
black_elevation,A 10 y.o.girl bullied about her dark skin has created a fashion line in  hopes of instilling confidence in other young girls facing the same https://t.co/11bXEn5UcG,Unknown,English,2017-04-28 01:24:00,2017-04-28 01:24:00,1331,339,39,,0
black_elevation,Two years ago was #FreddieGray's funeral &amp; the night of rioting. The media lied about what started the violence in #Baltimore https://t.co/XfaPRlYL6w,Unknown,English,2017-04-28 01:25:00,2017-04-28 01:25:00,1331,339,40,,0
black_elevation,"April 27, 1927 — Coretta Scott King, the author, activist, civil rights leader, and wife of Martin Luther King, Jr, was born. https://t.co/HBUUGl0SWQ",Unknown,English,2017-04-28 01:43:00,2017-04-28 01:43:00,1419,342,41,,0
black_elevation,Dr. Ashley Sanderlin. The FIRST African American to receive a PhD in neuroscience from Michigan State University. https://t.co/BeZT03uQMp,Unknown,English,2017-05-07 02:12:00,2017-05-07 02:12:00,1419,364,42,,0
black_elevation,"Serena Williams on sexism: ""If I were a man, I would have 100% been considered the greatest ever a long time ago"" https://t.co/tE4R8HNC2e",Unknown,English,2017-05-07 02:13:00,2017-05-07 02:13:00,1419,364,43,,0
black_elevation,"Report: More than 8,000 #Flint residents risk losing homes for refusing to pay for poisoned water.   A damn shame. https://t.co/TPkSHJOJRg",Unknown,English,2017-05-07 02:16:00,2017-05-07 02:16:00,1419,364,44,,0
black_elevation,This is a very powerful photo. This young lady being trained to take the abuse and not to react to provocation. https://t.co/B5ylpA1Znq,Unknown,English,2017-05-07 02:18:00,2017-05-07 02:18:00,1419,364,45,,0
black_elevation,Trayvon Martin will be honored with posthumous bachelor's degree in aeronautical science from Florida Memorial University. https://t.co/Wyhmi9gHnB,Unknown,English,2017-05-07 02:35:00,2017-05-07 02:36:00,1556,370,46,,0
black_elevation,The level of disrespect towards black women is at all time high. We should not tolerate this garbage music. https://t.co/EtUJPNiGKp,Unknown,English,2017-05-10 22:55:00,2017-05-10 22:55:00,1634,429,47,,0
black_elevation,Facts are straight https://t.co/eH0761ZCZG,Unknown,English,2017-05-10 22:58:00,2017-05-10 22:58:00,1634,428,48,,0
black_elevation,Proof that the great Black awakening is really happening! He probably won't ever be allowed to speak on TV again... But he's speaking truth https://t.co/6NG7xRdZUV,Unknown,English,2017-05-10 23:02:00,2017-05-10 23:02:00,1634,428,49,,0
black_elevation,Dr. Joy McDaniel made a breakthrough in breast cancer treatment and  received a postdoctoral fellowship of Texas MD Anderson Cancer Center. https://t.co/Lw7Ukf7QI9,Unknown,English,2017-05-10 23:07:00,2017-05-10 23:07:00,1718,430,50,,0
black_elevation,"I'm sorry, but that is just deeply irresponsible of Bethune-Cookman to award Betsy DeVos with a honorary doctorate. ""Betsy DeVos""",Unknown,English,2017-05-10 23:15:00,2017-05-10 23:15:00,1860,443,51,,0
black_elevation,Ex-cop who refused to shoot young Black man sues city over his firing.    The system is the problem! https://t.co/CqBduMaMvR,Unknown,English,2017-05-12 02:12:00,2017-05-12 02:12:00,1919,485,52,,0
black_elevation,Good question. https://t.co/k0Km6HAiUX,Unknown,English,2017-05-12 02:15:00,2017-05-12 02:17:00,1919,485,53,,0
black_elevation,"""The black skin is not a badge of shame but rather a glorious symbol of national greatness.""  - Marcus Garvey https://t.co/sy2D4hhw1p",Unknown,English,2017-05-12 02:18:00,2017-05-12 02:19:00,1919,485,54,,0
