author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
bulbulyator1959,Кудрин начал большую игру #МандатДоверия,Unknown,Russian,2015-06-18T15:59:00,2015-06-18T16:02:00,40.0000000000,3.0000000000,117.0000000000,,False
bulbulyator1959,"ЧЕМ ПАХНЕТ НЬЮ-ЙОРК? девочки, налетай....  http://t.co/CmNIt0pox6",Unknown,Russian,2015-07-24T14:00:00,2015-07-24T14:00:00,97.0000000000,5.0000000000,135.0000000000,R,True
bulbulyator1959,#НиШагуНазад - приказ № 227 Народного комиссара обороны СССР И. В. Сталина от 28 июля 1942 года http://t.co/mk1B8snSk3,Unknown,Russian,2015-07-28T15:02:00,2015-07-28T15:02:00,96.0000000000,9.0000000000,137.0000000000,R,True
bulbulyator1959,'@MaxDementiev @Crimeasimf @akl_andrei @NewsFront_info диетические войска',Unknown,Russian,2015-08-08T19:59:00,2015-08-08T19:59:00,96.0000000000,10.0000000000,141.0000000000,,False
bulbulyator1959,#РоссияЖжет пусть Еропа снимет санкции с России и  еда будет поступать к нам легально http://t.co/SzpY6Bc0C3,Unknown,Russian,2015-08-10T08:13:00,2015-08-10T08:13:00,96.0000000000,9.0000000000,143.0000000000,R,True
bulbulyator1959,"Многие видят в этой стае птиц лицо, да и я тоже #ЗагадочноеЛицо http://t.co/EpxlcfgWdc",Unknown,Russian,2015-08-12T12:27:00,2015-08-12T12:28:00,97.0000000000,9.0000000000,146.0000000000,,False
bulbulyator1959,"Посмотрите на этот кошмар, я боюсь! #ЗагадочноеЛицо http://t.co/EpxlcfgWdc",Unknown,Macedonian,2015-08-12T12:29:00,2015-08-12T12:29:00,97.0000000000,9.0000000000,147.0000000000,,False
bulbulyator1959,"Видели этот ролик? Интересно, это правда? #ЗагадочноеЛицо http://t.co/EpxlcfgWdc",Unknown,Russian,2015-08-12T12:33:00,2015-08-12T12:33:00,97.0000000000,9.0000000000,148.0000000000,,False
bulbulyator1959,"#ПосланиеПотомкам Одно послание- сохраните страну. Сделайте ее еще лучше, помните о Родине, где бы вы не находились. http://t.co/eMODJLrV74",Unknown,Russian,2015-08-14T19:07:00,2015-08-14T19:07:00,96.0000000000,9.0000000000,151.0000000000,R,True
bulbulyator1959,'@MaxDementiev @HistoryFoto @MarrZumjim @MaxDementiev @channelone_rus @Timudgin1  самый лучший  кот Матроскин',Unknown,Russian,2015-08-17T19:38:00,2015-08-17T19:38:00,96.0000000000,9.0000000000,154.0000000000,,False
bulbulyator1959,Ленинопад на Украине  http://t.co/Js2ZUV1QcB,Unknown,Ukrainian,2015-08-18T13:19:00,2015-08-18T13:19:00,96.0000000000,9.0000000000,155.0000000000,R,True
bulbulyator1959,У финансовых рынков почва уходит из-под ног.  Падают практически все фондовые и сырьевые активы  #BlackMonday http://t.co/5fFMP0RW2k,Unknown,Russian,2015-08-24T14:39:00,2015-09-20T03:00:00,97.0000000000,10.0000000000,162.0000000000,R,True
bulbulyator1959,'@byDrBre @Sandy_mustache круто она все провернула',Unknown,Russian,2015-08-25T18:36:00,2015-09-21T15:22:00,97.0000000000,10.0000000000,164.0000000000,,False
