author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ChrixChase,#NanaWouldTellMe stories of life during the Great Depression and how she used to walk everywhere so she could spend her bus fare on candy.,United States,English,2015-06-20 18:19:00,2015-06-20 18:19:00,240,292,634,R,1
ChrixChase,#NanaWouldTellMe children that don't write thank you notes end up in prison,United States,English,2015-06-20 18:19:00,2015-06-20 18:19:00,240,292,635,R,1
ChrixChase,Wild wild nest! #CarnivoreSchmovies http://t.co/bhpORbGMdr,United States,Norwegian,2015-06-22 16:19:00,2015-06-22 16:19:00,240,291,635,R,1
ChrixChase,"#AlcoholicMovies Crouching Tiger, Hidden Flagon",United States,English,2015-06-25 11:59:00,2015-06-25 11:59:00,240,291,636,R,1
ChrixChase,using hashtag symbol in my tweets #ThingsITryToForgetButCant,United States,English,2015-06-27 14:46:00,2015-06-27 14:47:00,240,289,638,,0
ChrixChase,#ThingsITryToForgetButCant All the ISIS terrorists are Muslims but not all the muslims are ISIS terrorists,United States,English,2015-06-27 14:47:00,2015-06-27 14:47:00,240,289,639,,0
ChrixChase,#ThingsITryToForgetButCant Heartless cops arrest people right while haircut,United States,English,2015-06-27 14:53:00,2015-06-27 14:53:00,240,289,640,,0
ChrixChase,Obama is still our president #ThingsITryToForgetButCant,United States,English,2015-06-27 15:06:00,2015-06-27 15:06:00,240,289,641,,0
ChrixChase,NSA never likes my statuses #ThingsITryToForgetButCant,United States,Estonian,2015-06-27 15:48:00,2015-06-27 15:48:00,240,289,644,R,1
ChrixChase,#ThingsITryToForgetButCant singing in the shower,United States,English,2015-06-27 15:48:00,2015-06-27 15:48:00,240,289,645,R,1
ChrixChase,#UnitedStatesIn3Words ruined and corrupted,United States,English,2015-07-04 14:29:00,2015-07-04 14:30:00,238,284,647,,0
ChrixChase,#UnitedStatesIn3Words fabulous pizza everywhere,United States,English,2015-07-04 14:30:00,2015-07-04 14:30:00,238,284,648,,0
ChrixChase,#UnitedStatesIn3Words Living life fast http://t.co/Wg3auQEebu,United States,English,2015-07-04 14:31:00,2015-07-04 14:31:00,238,284,650,R,1
