author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
CuneoDolores,"#DebateQuestionsWeWantToHear If all the nations in the world are in debt, where did all the money go?",United States,English,2015-08-06 07:59:00,2015-08-06 07:59:00,1,63,470,R,1
CuneoDolores,don't bullshit us Biden,United States,Albanian,2015-08-07 17:23:00,2015-08-07 17:23:00,1,63,471,,0
CuneoDolores,A year has passed and I'm still wondering: how many people have to see a murder for it be a murder? #FergusonRemembers,United States,English,2015-08-09 15:45:00,2015-08-09 15:45:00,1,63,472,R,1
CuneoDolores,#fergusonremembers The ones who were meant to protect did this. when will it stop #ChristianTaylor,United States,English,2015-08-09 15:56:00,2015-08-09 15:56:00,1,63,473,R,1
CuneoDolores,#FergusonRemembers Maling a reason to kill someone: self-defense is the best answer! #MikeBrown,United States,English,2015-08-09 15:56:00,2015-08-09 15:57:00,1,63,474,R,1
CuneoDolores,We Weep For African Lions. But What About Black Lives? #MikeBrown #CecilTheLion #FergusonRemembers,United States,English,2015-08-09 16:02:00,2015-08-09 16:02:00,1,63,475,R,1
CuneoDolores,They say police uses force ‘only when necessary’ but looks like there’s always a necessity #Fergusonremembers,United States,English,2015-08-09 16:04:00,2015-08-09 16:04:00,1,63,478,,0
CuneoDolores,#FergusonRemembers The #MichaelBrown death should never be forgotten,United States,English,2015-08-09 16:04:00,2015-08-09 16:04:00,1,63,479,,0
CuneoDolores,"#FergusonRemembers Now, a year later after the #Ferguson events we have had enough of all this, nothing has changed",United States,English,2015-08-09 16:05:00,2015-08-09 16:06:00,1,63,481,,0
CuneoDolores,Ferguson authorities were treating city residents as their personal slaves #fergusonremembers,United States,English,2015-08-09 16:07:00,2015-08-09 16:07:00,1,63,483,,0
CuneoDolores,"We won’t tolerate racism, let’s unite against it #FergusonRemembers",United States,English,2015-08-09 16:08:00,2015-08-09 16:08:00,1,63,484,R,1
CuneoDolores,Ferguson police officers are just fucking rasists! #Fergusonremembers,United States,English,2015-08-09 16:09:00,2015-08-09 16:09:00,1,63,485,,0
CuneoDolores,"#fergusonremembers Anniversary of the crime committed by police, has something changed?",United States,English,2015-08-09 16:09:00,2015-08-09 16:09:00,1,63,485,R,1
CuneoDolores,#FergusonRemembers We do remember #MichaelBrown and still demand that #MikeBrown,United States,English,2015-08-09 16:10:00,2015-08-09 16:10:00,1,63,487,,0
CuneoDolores,People do care more about lions’ lives than about black people’s lives #FergusonRemembers,United States,English,2015-08-09 16:10:00,2015-08-09 16:11:00,1,63,488,,0
CuneoDolores,"So, if someone shoots me he commits a crime, if a cop shoots me he prevents one. Double standarts! #MikeBrown #Fergusonremembers",United States,English,2015-08-09 16:11:00,2015-08-09 16:11:00,1,63,489,R,1
CuneoDolores,"If/when the people do rise up in anger, I hope that anger is aimed at the system that allows injustice to continue #fergusonremembers",United States,English,2015-08-09 16:12:00,2015-08-09 16:12:00,1,63,490,R,1
CuneoDolores,#FergusonRemembers Mike Brown would've entered a college this fall,United States,English,2015-08-09 16:13:00,2015-08-09 16:13:00,1,63,493,,0
CuneoDolores,'@KWRose @P4R4L3G4L Then just go home or move dumbass! #fergusonremembers #Ferguson',United States,English,2015-08-09 16:13:00,2015-08-09 16:13:00,1,63,492,R,1
CuneoDolores,#FergusonRemembers We haven't forgotten #Ferguson!,United States,English,2015-08-09 16:14:00,2015-08-09 16:14:00,1,63,496,,0
CuneoDolores,#Fergusonremembers I like it how police thinks that video apology would be enough for the victims’ families,United States,English,2015-08-09 16:14:00,2015-08-09 16:14:00,1,63,495,R,1
CuneoDolores,Racism must be stopped #MikeBrown #FergusonRemembers,United States,English,2015-08-09 16:16:00,2015-08-09 16:16:00,1,63,497,R,1
CuneoDolores,#fergusonremembers The reality is Black people do but THE US does not recognize our humanity hence the importance of #MikeBrown,United States,English,2015-08-09 16:16:00,2015-08-09 16:16:00,1,63,498,,0
CuneoDolores,#fergusonremembers We want our streets to be free of intimidation and fear,United States,English,2015-08-09 16:17:00,2015-08-09 16:17:00,1,63,499,R,1
CuneoDolores,#FergusonRemembers A year after riots in #Ferguson we got another black and unarmed boy death instead of justice,United States,English,2015-08-09 16:18:00,2015-08-09 16:18:00,1,63,501,,0
CuneoDolores,"I despice the systen, which approves injustice and clarifies kills #MikeBrown #FergusonRemembers",United States,English,2015-08-09 16:22:00,2015-08-09 16:22:00,1,63,503,,0
CuneoDolores,#TrumpBecause A vote for #HillaryClinton is a vote for Christian killing #ISIS thugs! #Genocide #TrumpForPresident #Trump2016 �,United States,English,2015-08-13 16:34:00,2015-08-13 16:34:00,1,63,504,R,1
CuneoDolores,BUT : We continue to face #reports about declining of #crimerate    #Texas #airport #usatoday  https://t.co/LSOta3bFiD,United States,English,2015-09-19 07:46:00,2015-09-19 07:46:00,1,63,506,R,1
CuneoDolores,'@Clever_Dove except thinking',United States,English,2015-10-24 19:10:00,2015-10-24 19:10:00,1,63,508,,0
CuneoDolores,'@Jenn_Abrams more beer or less will?',United States,English,2015-10-24 20:01:00,2015-10-24 20:02:00,1,63,509,,0
CuneoDolores,'@coldwar20_en REAL fight with ISIS))0',United States,English,2015-10-24 22:44:00,2015-10-24 22:45:00,1,63,510,,0
