author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
celiissgons,#cadens LOL : Dem “Leader” Pelosi Called Winning Midterm Elections “So Unimportant” https://t.co/1mNui0iZe2 #canden https://t.co/FrJXdmFDTG,Unknown,English,2017-07-31 03:18:00,2017-07-31 03:18:00,0,0,2,R,1
celiissgons,"#cadens Michael Moore Calls Trump a LOSER, but it INSTANTLY Backfires! https://t.co/4C8p4lDAUf #canden https://t.co/9IHekP4pCs",Unknown,English,2017-07-31 03:18:00,2017-07-31 03:19:00,0,0,5,R,1
celiissgons,#cadens WOW! Hackers Show How EASY It is to Break Into a Voting Machine https://t.co/avnif8jYGw #canden https://t.co/f7UR2w6j9f,Unknown,English,2017-07-31 03:18:00,2017-07-31 03:18:00,0,0,4,R,1
celiissgons,#cadens Look How Many Times This Illegal Who RAPED a 65 Yr Old Was Previously Deported https://t.co/jl2O2w6vrw #canden https://t.co/TJ4j8tGUvH,Unknown,English,2017-07-31 03:18:00,2017-07-31 03:18:00,0,0,1,R,1
celiissgons,#cadens Disgusting Traitor Kasich HAPPY GOP Stabbed Americans in the Back https://t.co/2ShOQT0Sv2 #canden https://t.co/Oce8V5l3LZ,Unknown,English,2017-07-31 03:18:00,2017-07-31 03:19:00,0,0,3,R,1
celiissgons,#cadens This Video EXPOSING Mccain’s HYPOCRISY should END His Career! https://t.co/sdqNp5Kr8N #canden https://t.co/R00AhTFJb7,Unknown,English,2017-07-31 03:19:00,2017-07-31 03:19:00,0,0,6,R,1
celiissgons,#cadens BUSTED! Seven Plead Guilty to Taking Part in $5 Million Food Stamp Fraud https://t.co/WIz1Rl01FH #canden https://t.co/wGTdkcDIeN,Unknown,English,2017-07-31 03:19:00,2017-07-31 03:19:00,0,0,8,R,1
celiissgons,RT schlockwood: TooTeedUp C_P_Bradley That is exactly what happens when Honorable Men must listen to the dishonesty of hypocrisy.,Unknown,English,2017-07-31 03:50:00,2017-07-31 03:50:00,990,14,10,,0
celiissgons,RT EjHirschberger: .CNN Thinks Trump is RACIST for Fighting Deadly MS-13 Gang   #MAGA  #TrumpDefendsUSA... … https://t.co/7knYG88qKr,Unknown,English,2017-07-31 03:59:00,2017-07-31 04:01:00,990,14,11,,0
celiissgons,"RT Thomas1774Paine: Trump wants 10,000 more ICE agents to combat illegal immigration and stop MS-13  https://t.co/4MnIbP9ude",Unknown,English,2017-07-31 06:12:00,2017-07-31 06:12:00,992,20,12,,0
celiissgons,#calleClueless American Leftists Need to Study What Socialism Has Done to THIS Country https://t.co/xvZ12ruVfa https://t.co/WgjlYvxRR0,Unknown,English,2017-07-31 09:27:00,2017-07-31 09:27:00,991,22,14,,0
celiissgons,#calleTurns Out Hollywood Celebs are the Biggest Purveyors of FAKE NEWS https://t.co/rBbIpPnQN5 https://t.co/gO5AM3R7sd,Unknown,English,2017-07-31 09:27:00,2017-07-31 09:27:00,991,22,15,,0
celiissgons,#calleIdiot Chelsea Handler “Diagnoses” Trump With a Disease https://t.co/5D2Nz3IoDJ https://t.co/F2PZY7EJX5,Unknown,English,2017-07-31 09:27:00,2017-07-31 09:27:00,991,22,13,,0
celiissgons,JustBeGone2016 EjHirschberger CNN So true!!,Unknown,English,2017-07-31 13:48:00,2017-07-31 13:48:00,994,39,21,,0
celiissgons,Nailed it!! https://t.co/l7qWlzHl0n,Unknown,English,2017-07-31 13:48:00,2017-07-31 13:48:00,994,39,20,Q,1
celiissgons,RT ethanrbarton: EXCLUSIVE: Watchdog Gave Grassley False Info And Omitted Crucial Details  https://t.co/KskOX8geiK DailyCaller,Unknown,English,2017-07-31 16:52:00,2017-07-31 16:52:00,994,50,22,,0
celiissgons,This has to stop. Democrats and Republicans need to be held accountable https://t.co/VCqg2A1Vvt,Unknown,English,2017-07-31 16:52:00,2017-07-31 16:52:00,994,50,23,Q,1
celiissgons,sdeitch Soliloquize239 ChelseaClinton Identity politics at it's finest,Unknown,English,2017-07-31 17:00:00,2017-07-31 17:01:00,994,51,24,,0
