author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Dante_Fish,"'@Jenn_Abrams Well, at least there will be a dentist in Zimbabwe'",United States,English,2015-07-30 08:25:00,2015-07-30 08:25:00,49,42,3,,0
Dante_Fish,"'@Clever_Dove Well, it would be good news'",United States,English,2015-08-18 17:12:00,2015-08-18 17:12:00,49,42,4,,0
Dante_Fish,'@coldwar20_en I just loove stars',United States,English,2015-08-19 10:06:00,2015-08-19 10:06:00,49,42,5,,0
Dante_Fish,'@PigeonToday wow! I wonder how much did it cost',United States,English,2015-08-20 16:57:00,2015-08-20 16:57:00,49,42,6,,0
Dante_Fish,"'@MatEvidence go, Beirut! Justice for Beirut!'",United States,English,2015-08-29 17:25:00,2015-08-29 17:25:00,49,42,7,,0
Dante_Fish,#BUT - #Pentagon Resisting Obama's Bid to Close #Guantanamo http://t.co/bgeHhczZX0 #gitmo #BUT #bestUSAtoday http://t.co/HRZT3qg6Vg,United States,English,2015-09-14 07:28:00,2015-09-14 07:29:00,49,42,8,R,1
Dante_Fish,#BUT - And now Germany welcomes thousands of refugees to avoid global critics and the reputation of Nazi country https://t.co/SgtsZeJqcM,United States,English,2015-09-14 07:29:00,2015-09-14 07:29:00,49,42,9,R,1
Dante_Fish,BUT - #Mississippi SCHOOL ON LOCKDOWN WITH REPORTS OF #SHOOTER ON #campus   http://t.co/fPyguoD28g http://t.co/RADM3ZzlTw,United States,English,2015-09-15 09:36:00,2015-09-15 09:36:00,49,42,11,R,1
Dante_Fish,#BUT : Who is @POTUS by his #religion? #Islamization  https://t.co/XOXI7icTZU,United States,English,2015-09-15 09:36:00,2015-09-15 09:36:00,49,42,10,R,1
Dante_Fish,BUT - People go crazy #PopeinUS  https://t.co/DWHGDirRP4,United States,English,2015-09-27 11:32:00,2015-09-27 11:32:00,49,42,12,R,1
Dante_Fish,BUT - #Muslims in #ShowBiz Worry About Anti-Islamic Rhetoric http://t.co/omuwK3rpFg http://t.co/snhPlbNiLB,United States,English,2015-09-27 11:32:00,2015-09-27 11:32:00,49,42,13,R,1
Dante_Fish,'@MatEvidence seems strong',United States,English,2015-10-24 23:58:00,2015-10-24 23:58:00,43,31,14,,0
