author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
DmitriBelov12,Вчера Айдар провокационно захватил 2х бойцов Народной милиции ЛНР на её территории. А как же Минские договоренности?  http://t.co/nX2ytzZfYU,Samoa,Russian,2015-05-17T17:20:00,2015-05-17T17:20:00,1027.0000000000,162.0000000000,417.0000000000,R,True
DmitriBelov12,"Презентация музея ""Зенита""   http://t.co/qiNvkktqdw",Samoa,Bulgarian,2015-05-29T17:29:00,2015-05-29T17:30:00,1026.0000000000,163.0000000000,424.0000000000,R,True
DmitriBelov12,Одесский губернатор Михаил Саакашвили получал зарплату в США http://t.co/pXBOimT3s7 http://t.co/WHIob9oad7,Samoa,Russian,2015-06-25T09:04:00,2015-06-25T09:04:00,1018.0000000000,155.0000000000,430.0000000000,R,True
DmitriBelov12,"«Помощь»,оказанная ЕС,обязывает Грецию так изменить политику и экономику,что шансов на самостоятельность не останется  http://t.co/SlZvfdA9kS",Samoa,Russian,2015-07-22T16:52:00,2015-07-22T16:52:00,1015.0000000000,161.0000000000,457.0000000000,R,True
DmitriBelov12,#РоссияЖжет пусть Еропа снимет санкции с России и  еда будет поступать к нам легально http://t.co/SzpY6Bc0C3,Samoa,Russian,2015-08-10T08:32:00,2015-08-10T08:32:00,1014.0000000000,161.0000000000,470.0000000000,R,True
DmitriBelov12,Нефтянка. Лос-Анджелес. США. 1941 г. http://t.co/3stMgg2Y02,Samoa,Russian,2015-08-23T17:50:00,2015-09-18T05:57:00,1009.0000000000,159.0000000000,493.0000000000,R,True
DmitriBelov12,"Матч ЦСКА—Зенит покажут в 16 странах мира, в том числе в США, Германии, Франции и Португалии http://t.co/g9dieZ9qQm http://t.co/cmonLyJvsH",Samoa,Russian,2015-09-10T10:13:00,2015-09-10T10:13:00,1007.0000000000,161.0000000000,512.0000000000,R,True
DmitriBelov12,Просто бомба #поэтомуясупергерой http://t.co/1EF8eQqu8L,Samoa,Russian,2015-10-19T16:41:00,2015-10-19T16:41:00,909.0000000000,159.0000000000,523.0000000000,R,True
DmitriBelov12,'@zubovnik вот она евроинтеграция для Украины - и готовые рабочие места',Samoa,Russian,2015-10-24T22:19:00,2015-10-24T22:21:00,907.0000000000,157.0000000000,528.0000000000,,False
DmitriBelov12,"США выступили против строительства ""Северного потока-2""  https://t.co/5iVMYGqebg https://t.co/mIgemz9bRo",Samoa,Russian,2015-11-07T09:49:00,2015-11-07T09:49:00,906.0000000000,156.0000000000,540.0000000000,R,True
DmitriBelov12,Из Кольцово 150 человек эвакуировали из-за сообщения о бомбе https://t.co/3dUnJY5lFn https://t.co/B7q3EhmcEB,Samoa,Russian,2015-11-07T13:01:00,2015-11-11T02:30:00,906.0000000000,155.0000000000,546.0000000000,R,True
DmitriBelov12,Кандидат в президенты США Трамп поддерживает действия ВКС РФ в Сирии #Syria https://t.co/Ax2Noh8vcq https://t.co/lyu45yhXVz,Samoa,Russian,2015-11-11T07:33:00,2015-11-11T07:34:00,906.0000000000,155.0000000000,548.0000000000,R,True
DmitriBelov12,Украина создала супер оружие будущего https://t.co/EYfzxbLVr4,Samoa,Russian,2015-11-11T18:30:00,2015-11-11T18:31:00,906.0000000000,155.0000000000,550.0000000000,R,True
DmitriBelov12,Детский тренировочный лагерь #ИГИЛ #ISIS https://t.co/r0cOTSSlFc,Samoa,Russian,2015-11-12T09:04:00,2015-11-12T09:04:00,906.0000000000,155.0000000000,552.0000000000,R,True
DmitriBelov12,'@Alexey_Pushkov Андронов отстранен от работы на «Матч ТВ» за твит о русском мире https://t.co/BUMinOgY3S https://t.co/cUYpX2FThb',Samoa,Russian,2015-11-12T09:24:00,2015-11-12T09:24:00,906.0000000000,155.0000000000,553.0000000000,R,True
DmitriBelov12,Обращение Сергея Поспелова @pospelovsv к Генеральной ассамблее ООН https://t.co/ov81mj6Ary @fadm_ru #ВДФМ https://t.co/rQzcqiTFn9,Samoa,Russian,2015-11-12T09:43:00,2015-11-12T09:43:00,906.0000000000,155.0000000000,554.0000000000,R,True
DmitriBelov12,'@realDonaldTrump @krauthammer TRamp && https://t.co/s9x9vSM0zf',Samoa,Russian,2015-11-12T11:17:00,2015-11-12T11:17:00,906.0000000000,155.0000000000,555.0000000000,R,True
DmitriBelov12,'@realDonaldTrump @WSJ https://t.co/C7iMqjHINI',Samoa,Russian,2015-11-12T11:44:00,2015-11-12T11:45:00,906.0000000000,155.0000000000,556.0000000000,R,True
DmitriBelov12,American Airlines приостановила полеты в #Париж  https://t.co/lKrWHpAJ8Z https://t.co/eZzOJkfvRC,Samoa,Russian,2015-11-14T03:20:00,2015-11-14T03:20:00,907.0000000000,156.0000000000,557.0000000000,R,True
DmitriBelov12,Опять буйные телефонные террористы проснулись https://t.co/MbOoXrKAK5,Samoa,Russian,2015-11-15T13:08:00,2015-11-15T13:09:00,907.0000000000,155.0000000000,558.0000000000,R,True
DmitriBelov12,В Сирии прошёл митинг в поддержку операции ВКС РФ #Syria https://t.co/9ayzRosdtZ,Samoa,Russian,2015-11-18T16:28:00,2015-11-18T16:28:00,907.0000000000,155.0000000000,566.0000000000,R,True
DmitriBelov12,'@HillaryClinton @SEIU https://t.co/nzynHSnj6x https://t.co/MST9NYCxUd',Samoa,Russian,2015-11-18T17:03:00,2015-11-18T17:04:00,907.0000000000,155.0000000000,567.0000000000,R,True
DmitriBelov12,"Да уж, ""Волга"" уже не та. Совсем сдулся российский автопром... https://t.co/W4fgOuM5Sa",Samoa,Russian,2015-11-20T13:07:00,2015-11-20T13:08:00,908.0000000000,156.0000000000,574.0000000000,R,True
DmitriBelov12,"Военный самолет разбился на сирийской территории недалеко от границы с Турцией, сообщает турецкий канал Haberturk TV https://t.co/YIs2hsVWkS",Samoa,Russian,2015-11-24T07:53:00,2015-11-24T07:53:00,908.0000000000,156.0000000000,578.0000000000,R,True
DmitriBelov12,Один из пилотов российского истребителя задержан турецкими военными на севере Сирии  https://t.co/1TzHZQkuCV https://t.co/cxatvyuFuR,Samoa,Russian,2015-11-24T09:01:00,2015-11-24T09:02:00,908.0000000000,156.0000000000,579.0000000000,R,True
DmitriBelov12,"Журналисты RT запечатлели взрыв снаряда, в результате которого они получили ранения https://t.co/pXg59cdlPM https://t.co/6XI1SsJfG5",Samoa,Russian,2015-11-24T12:26:00,2015-11-24T12:26:00,908.0000000000,156.0000000000,582.0000000000,R,True
DmitriBelov12,Президент Чехии осудил Турцию и заподозрил ее в неформальной связи с ИГ https://t.co/AQRZQJTioD #Су24 #Turkey https://t.co/j9SSKtpe49,Samoa,Russian,2015-11-24T12:34:00,2015-11-24T12:35:00,908.0000000000,156.0000000000,583.0000000000,R,True
DmitriBelov12,ВС Турции приведены в повышенную боеготовность и стягивают Вооруженные силы к границе с Сирией #Turkey #УдарВСпину https://t.co/aybMqv9V0d,Samoa,Russian,2015-11-24T14:48:00,2015-11-24T14:48:00,908.0000000000,156.0000000000,585.0000000000,R,True
DmitriBelov12,"Пентагон не подтвердил, что сбитый Су-24 находился в воздушном пространстве Турции #Су24 #Turkey https://t.co/XGeD210Cde",Samoa,Russian,2015-11-24T15:44:00,2015-11-24T15:45:00,908.0000000000,156.0000000000,587.0000000000,R,True
DmitriBelov12,Жители Кипра просят разместить на острове российскую военную базу  https://t.co/WJk6n9O3Lc #Turkey #Су24 #УдарВСпину https://t.co/saE4o4rhas,Samoa,Russian,2015-11-24T17:39:00,2015-11-24T17:39:00,908.0000000000,156.0000000000,588.0000000000,R,True
DmitriBelov12,"Вертолёт Ми-17был подбит и приземлился в районе Латакии, экипаж покинул борт и после этого его добили повстанцы из ССА #Turkey #УдарВСпину",Samoa,Russian,2015-11-24T17:55:00,2015-11-24T17:55:00,908.0000000000,156.0000000000,589.0000000000,R,True
DmitriBelov12,Реки и каналы Северной столицы закроют на весь июнь - Город - Новости Санкт-Петербурга - Фонтанка.Ру,Samoa,Russian,2017-04-18T14:16:00,2017-04-18T14:16:00,856.0000000000,139.0000000000,590.0000000000,,False
