author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
dannythehappies,"Seafood eatin', I heard you like Red Lobster #love #rap",United States,English,2014-11-26 10:21:00,2014-11-28 16:36:00,173,84,323,,0
dannythehappies,All about Black Friday and sales http://t.co/3LKMtKKvuM,United States,English,2014-11-27 09:36:00,2014-11-27 09:36:00,173,80,208,R,1
dannythehappies,WHAT`S WRONG WITH THIS WORLD??! It`s time to stop violence!! I HATE THIS INJUSTICE WORLD!! #TamirRice http://t.co/UW1dO89Rpn,United States,English,2014-11-27 09:59:00,2014-11-27 09:59:00,173,80,209,R,1
dannythehappies,Happy Thanksgiving! Thank you  @JennaTraveller for making a holiday from my life #MentionPeopleYouAreThankfulFor http://t.co/qOfSKakD0Y,United States,English,2014-11-27 17:13:00,2014-11-27 17:13:00,173,80,210,R,1
dannythehappies,#WhyImThankful dinner is my favourite part of any holiday! :) http://t.co/T6mxARYr6A,United States,English,2014-11-27 17:21:00,2014-11-27 17:21:00,173,80,211,R,1
dannythehappies,i'm gonna give you just one more chance #normal,United States,English,2014-11-28 09:03:00,2014-11-28 09:03:00,173,80,213,,0
dannythehappies,Cause you'll never take my pride from me #love #rap,United States,English,2014-11-28 09:03:00,2014-11-28 09:03:00,173,80,212,,0
dannythehappies,Live by the harmless untruths that make you brave and kind and healthy and happy. #Kurt_Vonnegut,United States,English,2014-11-28 09:04:00,2014-11-28 09:04:00,173,80,213,,0
dannythehappies,A sound mind in a sound body,United States,English,2014-11-28 09:05:00,2014-11-28 09:05:00,173,80,217,,0
dannythehappies,We need to wait just a little bit. #USA #imho,United States,English,2014-11-28 09:05:00,2014-11-28 09:07:00,173,80,216,,0
dannythehappies,There is small choice in rotten apples,United States,English,2014-11-28 09:06:00,2014-11-28 09:06:00,173,80,219,,0
dannythehappies,like a thunder and lightnin' storm #dumb,United States,English,2014-11-28 09:07:00,2014-11-28 09:07:00,173,80,220,,0
dannythehappies,"""A man is what he thinks about all day long."" - Ralph Waldo Emerson #quote #true",United States,English,2014-11-28 09:08:00,2014-11-28 09:09:00,173,80,221,,0
dannythehappies,Stop dreaming and underrating yourself. You have all the powers of the universe if only you would awaken. ~Philip Arnold,United States,English,2014-11-28 09:12:00,2014-11-28 09:12:00,173,81,222,,0
dannythehappies,Even a mistake can lead to a happy ending. Don't lose hope.,United States,English,2014-11-28 09:13:00,2014-11-28 09:13:00,173,81,224,,0
dannythehappies,"i was a guitar picker, yeah #world",United States,English,2014-11-28 09:14:00,2014-11-28 09:15:00,173,81,228,,0
dannythehappies,Country in your eyes   #America,United States,English,2014-11-28 09:15:00,2014-11-28 09:15:00,173,81,229,,0
dannythehappies,"Tear it all to pieces, and take back what I made #HollywoodUndead",United States,English,2014-11-28 09:17:00,2014-11-28 09:17:00,173,81,231,,0
dannythehappies,i took an offer in another town #music,United States,English,2014-11-28 09:17:00,2014-11-28 09:17:00,173,81,230,,0
dannythehappies,I bet you look even better with me in between #love #rap,United States,English,2014-11-28 09:18:00,2014-11-28 09:18:00,173,81,233,,0
dannythehappies,your destiny chose the reaper,United States,English,2014-11-28 09:19:00,2014-11-28 09:19:00,173,81,235,,0
dannythehappies,Remember now thy Creator in the days of thy youth.,United States,English,2014-11-28 09:19:00,2014-11-28 09:19:00,173,81,233,,0
dannythehappies,jigsaw falling into place,United States,English,2014-11-28 09:20:00,2014-11-28 09:20:00,173,81,237,,0
dannythehappies,"United we stand, divided we fall",United States,English,2014-11-28 09:20:00,2014-11-28 09:20:00,173,81,236,,0
dannythehappies,"with nobody left to fight and no one to hold you tight, someone's going home alone again tonight  #love",United States,English,2014-11-28 09:23:00,2014-11-28 09:23:00,173,81,240,,0
dannythehappies,just moving and grooving #dumb,United States,English,2014-11-28 09:24:00,2014-11-28 09:24:00,173,81,242,,0
