author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
dumbtadumb,Он первый  http://t.co/rYmiwg96Rk,Unknown,Russian,2015-06-22 14:36:00,2015-06-22 14:37:00,712,159,1444,R,1
dumbtadumb,«Аэрофлот» все еще хочет взыскать с Березовского 110 млн долларов http://t.co/DvXQ4QrTsN http://t.co/CEyKsKoCT7,Unknown,Russian,2015-06-22 19:12:00,2015-06-22 19:12:00,712,159,1445,R,1
dumbtadumb,"Большинство жительниц Самары выходит замуж в 22-25 лет, мужчины женятся до 27  http://t.co/YYCPVYhd2P http://t.co/6hAuwmYGoG",Unknown,Russian,2015-06-23 14:30:00,2015-06-23 14:31:00,712,159,1446,R,1
dumbtadumb,"Психологи выяснили, из-за чего дети становятся агрессивными http://t.co/ghz33oGIpy",Unknown,Russian,2015-07-15 10:47:00,2015-07-15 10:49:00,711,159,1475,R,1
dumbtadumb,Власти: личных машин в Москве с 2010 года стало на 250 тысяч меньше http://t.co/7xJINcx0JY,Unknown,Russian,2015-07-16 11:33:00,2015-07-16 11:33:00,711,159,1478,R,1
dumbtadumb,Четыре человека погибли в результате кораблекрушения на западе Малайзии  http://t.co/bkjBIvjSsK,Unknown,Russian,2015-07-17 05:11:00,2015-07-17 05:11:00,711,160,1480,R,1
dumbtadumb,Перебросившийся на шоссе лесной пожар в Калифорнии уничтожил 20 машин  http://t.co/XZRWU2LKiM,Unknown,Russian,2015-07-18 03:31:00,2015-07-18 03:31:00,711,159,1481,R,1
dumbtadumb,'@salty_1970 Эт может от телефона ещё зависит..',Unknown,Russian,2015-07-18 11:54:00,2015-07-18 11:54:00,711,159,1482,R,1
dumbtadumb,ФОТОРЕПОРТАЖ. Соревнования воздухоплавателей под Ярославлем  http://t.co/0taXnBmy8F http://t.co/vmOJiFZWni,Unknown,Russian,2015-07-19 12:12:00,2015-07-19 12:12:00,711,160,1487,R,1
dumbtadumb,Обвиняемый во взяточничестве мэр Усть-Илимска подал в отставку  http://t.co/40TqpS11mp,Unknown,Russian,2015-07-20 05:52:00,2015-07-20 05:52:00,711,161,1489,R,1
dumbtadumb,На трассе Тюмень -- Ханты-Мансийск из-за ливня образовалась промоина в 30 метров http://t.co/ttcxLE6fWW,Unknown,Russian,2015-07-20 07:32:00,2015-07-20 07:32:00,711,161,1490,R,1
dumbtadumb,ВИДЕО. В Днепропетровске неизвестные в масках напали на мирную демонстрацию http://t.co/PODm9oYtPz http://t.co/rN4MTJ8YRr,Unknown,Russian,2015-07-20 09:31:00,2015-07-20 09:31:00,711,161,1492,R,1
dumbtadumb,Поход за патентом: как мигранты завоевывают право на работу в России  http://t.co/Cas42mV76I,Unknown,Russian,2015-07-20 09:31:00,2015-07-20 09:31:00,711,161,1493,R,1
dumbtadumb,В турецком кафе подорвался смертник: 25 убитых и сотня раненых http://t.co/D3eqDstuZm,Unknown,Russian,2015-07-20 12:12:00,2015-07-20 12:12:00,711,161,1495,R,1
dumbtadumb,Вице-президент Toshiba покинет совет директоров и все правительственные посты компании  http://t.co/FB2fPXNeN5,Unknown,Russian,2015-07-21 02:51:00,2015-07-21 02:51:00,596,160,1497,R,1
dumbtadumb,"Экс-глава ""Воентелекома"" в Хабаровске осужден условно за мошенничество с зарплатами  http://t.co/8uVU7RBsnp",Unknown,Russian,2015-07-21 02:51:00,2015-07-21 02:51:00,596,160,1498,R,1
dumbtadumb,Отборные факты о России по версии иностранцев http://t.co/k1psWbSqZs #Россия #RuOpen,Unknown,Russian,2015-07-21 16:29:00,2015-07-21 16:30:00,590,160,1499,R,1
dumbtadumb,В Москве за смертельный наезд на ребенка осужден 18-летний байкер из Украины Бандюков http://t.co/uRx8DspJp4,Unknown,Russian,2015-07-21 21:31:00,2015-07-21 21:31:00,590,160,1500,R,1
dumbtadumb,Против «МегаФона» возбудили дело из-за рекламы тарифного плана: http://t.co/PLgJ1iFlBy,Unknown,Ukrainian,2015-07-22 18:33:00,2015-07-22 18:34:00,590,160,1504,R,1
dumbtadumb,"""Спартак"" расторг контракт с Динияром Билялетдиновым http://t.co/yPS7Ori8r3",Unknown,Serbian,2015-07-23 15:12:00,2015-07-23 15:12:00,590,160,1507,R,1
dumbtadumb,Google планирует ввести платные почтовые адреса Gmail  #hitech,Unknown,Russian,2015-07-23 16:31:00,2015-07-23 16:31:00,590,160,1508,R,1
dumbtadumb,Радио Спорт FM. Бубнов «мочит» Кержакова https://t.co/qPuW7muqfU с помощью @YouTube,Unknown,Russian,2015-07-23 18:11:00,2015-07-23 18:12:00,590,160,1509,R,1
dumbtadumb,ФОТОГАЛЕРЕЯ. Топ-10 самых красивых пляжей в мире  http://t.co/qCupWCr4fg http://t.co/yLH0bKnfpt,Unknown,Russian,2015-07-24 07:33:00,2015-07-24 07:33:00,590,160,1513,R,1
dumbtadumb,СУГС http://t.co/iyUMfLmVvk,Unknown,Russian,2015-07-24 16:11:00,2015-07-24 16:11:00,590,160,1517,R,1
dumbtadumb,Европейские отборочные группы ЧМ-2018 http://t.co/VakmI32cmX #ЧМ2018 #PrelimDraw http://t.co/SI71xrVUnN,Unknown,Russian,2015-07-25 17:53:00,2015-07-25 17:53:00,590,160,1522,R,1
dumbtadumb,Последние данные с места авиакатастрофы под Токио   http://t.co/jOW7P19ScV http://t.co/i4wqnDeu4X,Unknown,Russian,2015-07-26 07:33:00,2015-07-26 07:33:00,590,160,1525,R,1
dumbtadumb,Г. Иванов: «Зенит» может ждать сюрпризов от «Урала» http://t.co/PuuJkGsRqz,Unknown,Russian,2015-07-26 10:31:00,2015-07-26 10:31:00,590,160,1528,R,1
dumbtadumb,СМИ: террористы могут следить за принцем Уильямом по мобильному  Подробности громкого скандала: http://t.co/PJbR2HpHKq http://t.co/AYfW8nnu8g,Unknown,Russian,2015-07-26 12:52:00,2015-07-26 12:52:00,590,160,1529,R,1
dumbtadumb,Украинский депутат Игорь Еремеев госпитализирован с травмой головы http://t.co/Nr7eLQVhRi,Unknown,Ukrainian,2015-07-26 20:53:00,2015-07-26 20:53:00,590,160,1531,R,1
dumbtadumb,Биржевой курс евро превысил 67 рублей: http://t.co/Uz2lCVBCy9,Unknown,Russian,2015-07-28 15:34:00,2015-07-28 15:34:00,190,158,1536,R,1
dumbtadumb,Бубнов: ничего хорошего от этого сезона для «Динамо» не жду http://t.co/6pAY00GBZx,Unknown,Ukrainian,2015-07-28 16:53:00,2015-07-28 16:54:00,190,158,1537,R,1
dumbtadumb,"Самедов: всё, что я хотел сказать Капелло, уже ему сказал http://t.co/h0yKT6PQwL",Unknown,Russian,2015-07-30 16:33:00,2015-07-30 16:33:00,190,159,1548,R,1
dumbtadumb,"Спортсменка Цянь Жэнь сказала, что исправит ошибки http://t.co/pH514c2Wbe http://t.co/JNQvlllKqg",Unknown,Russian,2015-07-31 00:32:00,2015-07-31 00:32:00,190,159,1550,R,1
dumbtadumb,Зимняя Олимпиада в 2022 году пройдет в Пекине   https://t.co/5iUGxU92P2,Unknown,Serbian,2015-07-31 10:53:00,2015-07-31 10:53:00,190,159,1553,R,1
dumbtadumb,Кто полетит в космос вместо Сары Брайтман  http://t.co/M9h7CDGxDi http://t.co/EXVPjGVVVe,Unknown,Russian,2015-07-31 14:33:00,2015-07-31 14:33:00,190,158,1555,R,1
dumbtadumb,"Нигматуллин: ожидаю, что матч с «Динамо» станет проверкой для «Локомотива» http://t.co/SeXdA7NCFe",Unknown,Ukrainian,2015-08-01 14:12:00,2015-08-01 14:15:00,190,157,1560,R,1
dumbtadumb,Отличное чтение для выходного. История про первых британских поселенцев в США   https://t.co/73Xb8swNtO,Unknown,Russian,2015-08-01 14:12:00,2015-08-01 14:15:00,190,157,1561,R,1
dumbtadumb,Завершился матч ЦСКА – «Анжи»  http://t.co/CSamTaZaGN http://t.co/iXqlVnYekS,Unknown,Russian,2015-08-01 19:12:00,2015-08-01 19:12:00,190,157,1563,R,1
dumbtadumb,«Зенит» не знает о пожаре на трибунах во время игры с «Тереком» http://t.co/gL5IO35UYn http://t.co/uRJyvMq5uu,Unknown,Ukrainian,2015-08-01 21:32:00,2015-08-01 21:32:00,190,157,1564,R,1
dumbtadumb,Черевченко: Буссуфа готов на 100 процентов http://t.co/8REgQwbE6z,Unknown,Russian,2015-08-02 11:12:00,2015-08-02 11:12:00,190,157,1565,R,1
dumbtadumb,В Оленевке стартовал фестиваль «Extreme Крым 2015» http://t.co/KRs0gaHAlm,Unknown,Ukrainian,2015-08-02 12:12:00,2015-08-02 12:12:00,190,157,1566,R,1
dumbtadumb,Дьяков: матч с Локомотивом» для меня уже не был принципиальным http://t.co/PDGwODYP4L,Unknown,Ukrainian,2015-08-02 14:12:00,2015-08-02 14:12:00,190,157,1567,R,1
dumbtadumb,Французские депутаты потребовали от Олланда объяснений за Мистрали http://t.co/haukxVXNMz,Unknown,Russian,2015-08-02 15:32:00,2015-08-02 15:32:00,190,157,1568,R,1
dumbtadumb,В Японии к Олимпиаде-2020 в Токио появятся беспилотные такси  #hitech,Unknown,Russian,2015-08-03 06:34:00,2015-08-03 06:34:00,190,156,1570,R,1
dumbtadumb,"Левин: Госдума планирует рассмотреть возможность наказания за ""копипаст"" http://t.co/LYJVr6MKYt",Unknown,Russian,2015-08-03 13:54:00,2015-08-03 13:54:00,190,156,1574,R,1
dumbtadumb,Около 20 человек получили ранения при падении двух подъемных кранов в Нидерландах http://t.co/mOmT2RuSTO,Unknown,Russian,2015-08-03 16:33:00,2015-08-03 16:33:00,190,156,1576,R,1
dumbtadumb,В США 9-летнего мальчика убило бейсбольной битой во время матча любительской лиги http://t.co/i8rvMYCkhF,Unknown,Russian,2015-08-03 21:12:00,2015-08-03 21:13:00,190,156,1577,R,1
dumbtadumb,В Чувашии министра осудили за рубку леса на 259 млн и сразу амнистировали http://t.co/3gmifiI9OV,Unknown,Russian,2015-08-04 10:54:00,2015-08-04 10:54:00,190,156,1579,R,1
dumbtadumb,"На днях протухла звезда Аделаида. А вот Виктор...Виктор Сухоруков такой же как в ""Брате"":  http://t.co/nuMs6rzoOV",Unknown,Uzbek,2015-08-04 12:32:00,2015-08-04 12:32:00,190,156,1580,R,1
dumbtadumb,Как изменится Сквер Славы в Казани #Казань #Kazan #Kzn #Новости http://t.co/qwOm0cgE9x http://t.co/YXG1SvebIm,Unknown,Russian,2015-08-04 13:32:00,2015-08-04 13:32:00,190,156,1581,R,1
dumbtadumb,Пропала без вести знаменитая фридайвер Наталья Молчанова.   http://t.co/6PuyXf78HY http://t.co/EfuJ9izdit,Unknown,Russian,2015-08-04 16:32:00,2015-08-04 16:33:00,190,156,1582,R,1
dumbtadumb,Суд по делу Буковского вновь перенесен из-за его болезни http://t.co/icuOfMeGR1,Unknown,Ukrainian,2015-08-04 19:13:00,2015-08-04 19:13:00,190,156,1583,R,1
dumbtadumb,Таможенники ограничили поставки украинской соли https://t.co/5FlAIyb2TP,Unknown,Ukrainian,2015-08-05 06:32:00,2015-08-05 06:32:00,190,156,1585,R,1
dumbtadumb,Ученые: музыка в операционных мешает работе хирургов http://t.co/sS7X4RPlZl,Unknown,Russian,2015-08-05 10:53:00,2015-08-05 10:53:00,190,156,1588,R,1
dumbtadumb,Ростом котировок начались биржевые торги в Токио на фоне слабой иены  http://t.co/ihv2suhVVe,Unknown,Russian,2015-08-06 02:13:00,2015-08-06 02:13:00,190,156,1593,R,1
dumbtadumb,"Россия милитаризирует Арктику, считает командующий Береговой охраной США  http://t.co/TBc0NSuxDj",Unknown,Russian,2015-08-06 03:53:00,2015-08-06 03:53:00,190,156,1594,R,1
dumbtadumb,"Черевченко: никаких предпосылок, что Гильерме уйдёт нет http://t.co/YjunfiwGWU",Unknown,Russian,2015-08-06 14:51:00,2015-08-06 14:51:00,190,156,1598,R,1
dumbtadumb,"Президент «ПСЖ» заявил, что Тьяго Мотта и Ибрагимович останутся в клубе http://t.co/WkghjhRYWU",Unknown,Russian,2015-08-06 18:52:00,2015-08-06 18:52:00,190,155,1599,R,1
dumbtadumb,Как иномарки объезжают Россию  http://t.co/WEpuqDdeAe http://t.co/0Oj0qHYEHO,Unknown,Russian,2015-08-07 17:52:00,2015-08-07 17:53:00,190,155,1603,R,1
dumbtadumb,Вальбуэна согласился на понижение зарплаты ради перехода из «Динамо» в «Лион» http://t.co/n6BRRaXT7w,Unknown,Russian,2015-08-08 10:52:00,2015-08-08 10:52:00,190,155,1607,R,1
dumbtadumb,"Катастрофа под Истрой: по данным СМИ, погибли все девять человек.   http://t.co/384eUNKekq http://t.co/J3sVM5zXSx",Unknown,Russian,2015-08-08 21:12:00,2015-08-08 21:12:00,190,155,1608,R,1
dumbtadumb,"Гол Данни принес ""Зениту"" четвертую победу в РФПЛ http://t.co/I7j0HqsFgS",Unknown,Russian,2015-08-09 15:31:00,2015-08-09 15:31:00,190,155,1611,R,1
dumbtadumb,Цэевропейки прихорашиваются http://t.co/hWJ8eZ20bb,Unknown,Russian,2015-08-10 06:51:00,2015-08-10 06:51:00,190,155,1615,R,1
dumbtadumb,"Добраться из Мск в Ярославль (270км), сидя, дешевле чем от Киевского вкз. до Внукова (35км) http://t.co/NdcbbHAVWf",Unknown,Ukrainian,2015-08-11 04:12:00,2015-08-11 04:12:00,190,154,1621,R,1
dumbtadumb,Мощный тайфун поднял Boeing 747 в воздух (ВИДЕО)  http://t.co/lGZw4iwm4w http://t.co/BTyu8eNyPm,Unknown,Russian,2015-08-11 07:31:00,2015-08-11 07:31:00,190,154,1623,R,1
dumbtadumb,Экс-комментатор «НТВ-Плюс»: Уткин -- жалкий трус и позорный интриган http://t.co/25IHFpHy1S,Unknown,Uzbek,2015-08-12 00:12:00,2015-08-12 00:12:00,190,154,1628,R,1
dumbtadumb,В США по подозрению в кибермошенничестве арестован выходец из России  #hitech,Unknown,Russian,2015-08-12 08:31:00,2015-08-12 08:31:00,190,154,1630,R,1
dumbtadumb,Главный тренер сборной Коста-Рики подрался с охранником на стадионе http://t.co/pjdxp5e0kH,Unknown,Russian,2015-08-12 10:11:00,2015-08-12 10:11:00,190,154,1631,R,1
dumbtadumb,"«Десант» Кремля поможет Севастополю решить проблемы, вызывающие протесты  http://t.co/0VfXfe9XNK http://t.co/B960mCa0Ja",Unknown,Russian,2015-08-12 11:14:00,2015-08-12 11:16:00,190,154,1632,R,1
dumbtadumb,СМИ: Facebook разрабатывает мобильное приложение по доставке коротких новостных сообщений http://t.co/NRe23WYVZf,Unknown,Russian,2015-08-12 18:33:00,2015-08-12 18:33:00,190,154,1633,R,1
dumbtadumb,Тебе что-то не нравится? http://t.co/ZfVhtfjREf,Unknown,Russian,2015-08-13 05:12:00,2015-08-13 05:13:00,190,154,1635,R,1
dumbtadumb,Сбербанк снизил ставки по валютным вкладам  http://t.co/1LZvvIwlh6,Unknown,Russian,2015-08-13 09:57:00,2015-08-13 09:57:00,190,154,1636,R,1
dumbtadumb,"США просят арестовать активы Vimpelcom, МТС и TeliaSonera  http://t.co/mollLj2aqY … http://t.co/jKJJYqYHeB",Unknown,Russian,2015-08-14 06:31:00,2015-08-14 06:31:00,190,153,1642,R,1
dumbtadumb,Как санкции помогли Финляндии  http://t.co/fXqNPRsYEP http://t.co/eQYusXyE1S,Unknown,Russian,2015-08-15 09:13:00,2015-08-15 09:14:00,190,151,1645,R,1
dumbtadumb,"Источник: на потерпевшем катастрофу Ми-8 летела группа топ-менеджеров ""ВТБ-лизинг""  http://t.co/F1dQ3QdCvo",Unknown,Uzbek,2015-08-15 14:14:00,2015-08-15 14:14:00,190,152,1649,R,1
dumbtadumb,В ВТБ сделали заявление после крушения Ми-8  http://t.co/EMKjdgzLbp http://t.co/SuTKWaUe5G,Unknown,Russian,2015-08-15 15:51:00,2015-08-15 15:51:00,190,152,1650,R,1
