author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Egorsaev,Это же отец Кардашьян #ЗагадочноеЛицо https://t.co/TY5S4rhQXZ,India,Uzbek,2015-08-12T16:45:00,2015-08-12T16:45:00,69.0000000000,62.0000000000,125.0000000000,R,True
Egorsaev,"Самый необычный подарок на премьере фильма! Оказалось, зрителям.....   http://t.co/5aabJfSNBG",India,Russian,2015-09-10T10:23:00,2015-09-10T10:23:00,69.0000000000,62.0000000000,134.0000000000,R,True
Egorsaev,Они заслуживают эти бомбардировки #5причинбомбитьигил https://t.co/IDIp5sOari,India,Russian,2015-10-21T16:17:00,2015-10-21T16:18:00,70.0000000000,60.0000000000,145.0000000000,R,True
Egorsaev,50 оттенков ИГИЛа   https://t.co/XFzUEOrRPq,India,Macedonian,2015-10-27T13:43:00,2015-10-27T13:44:00,70.0000000000,60.0000000000,146.0000000000,,False
Egorsaev,Немцы тогда получили хороший урок #ЛедовоеПобоище https://t.co/tbOriNxhlY,India,Russian,2016-04-18T16:06:00,2016-04-18T16:06:00,68.0000000000,58.0000000000,169.0000000000,R,True
Egorsaev,Девушка спела с уличным ансамблем песню про Путина и покорила интернет  https://t.co/vEz1fVl3fA https://t.co/Tnd0wBebrw,India,Russian,2016-04-19T11:25:00,2016-04-19T11:25:00,68.0000000000,58.0000000000,178.0000000000,R,True
Egorsaev,Слова Чубарова — пустые обещания: экс-глава меджлиса грозится отвоевать Крым  https://t.co/rdygYIJ53K,India,Russian,2016-04-26T13:17:00,2016-04-26T13:17:00,68.0000000000,58.0000000000,180.0000000000,R,True
Egorsaev,Шаурмы в Москве больше не будет #REMOVEKEBAB https://t.co/MlLgthRMVn,India,Russian,2016-04-26T15:20:00,2016-04-26T15:20:00,68.0000000000,58.0000000000,181.0000000000,R,True
Egorsaev,Хорошая новость: шаурмы в Москве больше не будет #REMOVEKEBAB https://t.co/aAHGEh6n5k,India,Russian,2016-04-26T15:21:00,2016-04-26T15:22:00,68.0000000000,58.0000000000,183.0000000000,R,True
Egorsaev,В Таджикистане запретили называть детей русскими именами https://t.co/Bq6eCtmEmd,India,Russian,2016-04-29T16:01:00,2016-04-29T16:01:00,68.0000000000,58.0000000000,184.0000000000,R,True
Egorsaev,Матвиенко предлагает разработать стандарт качества жизни для россиян #МойСтандартКачества https://t.co/v1WEM3r5ya,India,Russian,2016-04-29T16:18:00,2016-04-29T16:18:00,68.0000000000,58.0000000000,187.0000000000,R,True
Egorsaev,#МойСтандартКачества Валентина Матвиенко предложила разработать стандарт качества жизни россиян. https://t.co/O2Udaz32Co,India,Russian,2016-04-29T16:34:00,2016-04-29T16:34:00,68.0000000000,58.0000000000,189.0000000000,R,True
Egorsaev,"Пока США остаются в Ираке, Россия остается в Сирии  https://t.co/uWQcyRVdma",India,Russian,2016-05-10T13:41:00,2016-05-10T13:42:00,68.0000000000,58.0000000000,195.0000000000,R,True
Egorsaev,Крутой световой перфоманс!  https://t.co/w0wMEKrSHj https://t.co/qee6PEIq69,India,Russian,2016-05-16T21:05:00,2016-05-16T21:05:00,68.0000000000,58.0000000000,198.0000000000,,False
Egorsaev,В России появится федеральный #регистр больных ВИЧ и туберкулезом.   https://t.co/HvbR2GmSG5 https://t.co/2FADRvB6nw,India,Russian,2016-06-09T16:20:00,2016-06-09T16:20:00,67.0000000000,58.0000000000,200.0000000000,R,True
Egorsaev,"В Сирии героически погиб российский сержант, остановивший террориста-смертника   https://t.co/EwEex6vSoA https://t.co/8070U072hO",India,Russian,2016-06-19T14:51:00,2016-06-19T14:54:00,67.0000000000,58.0000000000,202.0000000000,R,True
Egorsaev,Сегодня день рождения у Сергея Собянина. Спасибо за огромный вклад в развитие Москвы!   #ЛучшийМэр #ПоздравьСобянина https://t.co/ObeMZf8QmA,India,Russian,2016-06-21T11:38:00,2016-06-21T11:38:00,67.0000000000,58.0000000000,206.0000000000,R,True
Egorsaev,"#22июня 1941 года.  Левитан: ""Германские войска атаковали границы СССР. Началась Великая Отечественная война"" https://t.co/hYuXMQGzwj",India,Russian,2016-06-22T07:18:00,2016-06-22T07:18:00,67.0000000000,58.0000000000,212.0000000000,R,True
Egorsaev,Лада Веста сегодня победила на этапе Чемпионата мира по ралли! https://t.co/hJYW1T3PqL,India,Russian,2016-06-26T14:29:00,2016-06-26T14:29:00,67.0000000000,58.0000000000,225.0000000000,R,True
Egorsaev,Новости российской экономики  https://t.co/MIXao8QIz6,India,Russian,2016-07-05T13:18:00,2016-07-05T13:18:00,67.0000000000,58.0000000000,233.0000000000,R,True
Egorsaev,"Пользователи соцсетей случайно нашли угнанный в Петербурге ""Ситроен"" https://t.co/C0XLVqcFaN https://t.co/kRp859tVCC",India,Russian,2016-07-25T10:22:00,2016-07-25T10:22:00,67.0000000000,58.0000000000,247.0000000000,R,True
Egorsaev,"«Зенит» объявил, что может провести на «Крестовском» три матча в апреле и мае. В касках и резиновых сапогах",India,Russian,2017-02-07T10:54:00,2017-02-07T11:11:00,69.0000000000,58.0000000000,253.0000000000,R,True
