author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ElianLindsey,#NanaWouldTellMe be a good boy and relax your sphincter,United States,English,2015-06-20T19:17:00,2015-06-20T19:17:00,212.0000000000,305.0000000000,731.0000000000,R,True
ElianLindsey,#NanaWouldTellMe it's nice to be important but it's more important to be nice,United States,English,2015-06-20T19:17:00,2015-06-20T19:18:00,212.0000000000,305.0000000000,732.0000000000,R,True
ElianLindsey,#AlcoholicMovies The AA Team,United States,English,2015-06-25T13:05:00,2015-06-25T13:05:00,212.0000000000,307.0000000000,734.0000000000,R,True
ElianLindsey,#AlcoholicMovies   Schindler's Pissed  Life of Pi-Eyed  The Smashed & The Furious  StrongBowfinger  @EustonDoYouCopy,United States,English,2015-06-25T13:05:00,2015-06-25T13:05:00,212.0000000000,307.0000000000,733.0000000000,R,True
ElianLindsey,From a galaxy bar bar away  Star wars: a new hock Empire strikes bacchus Return of the JD   #alcoholicmovies,United States,English,2015-06-25T13:06:00,2015-06-25T13:06:00,212.0000000000,307.0000000000,738.0000000000,R,True
ElianLindsey,#AlcoholicMovies Tequila mocking bird.,United States,English,2015-06-25T13:06:00,2015-06-25T13:07:00,212.0000000000,307.0000000000,742.0000000000,R,True
ElianLindsey,#AlcoholicMovies - The Long Island Iced Tea of Dr. Moreau http://t.co/23mGubbHFa,United States,English,2015-06-25T13:06:00,2015-06-25T13:06:00,212.0000000000,307.0000000000,737.0000000000,R,True
ElianLindsey,Fight Pub #Alcoholicmovies,United States,English,2015-06-25T13:06:00,2015-06-25T13:06:00,212.0000000000,307.0000000000,740.0000000000,R,True
ElianLindsey,Bladdered 49 #AlcoholicMovies http://t.co/zGFB2X0JZ7,United States,English,2015-06-25T13:06:00,2015-06-25T13:06:00,212.0000000000,307.0000000000,736.0000000000,R,True
ElianLindsey,In t'Stella #AlcoholicMovies,United States,Finnish,2015-06-25T13:06:00,2015-06-25T13:06:00,212.0000000000,307.0000000000,739.0000000000,R,True
