author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Eremeev_Oleg_,Беслан. Лейтенант милиции Эльбрус Гогичаев и спасенная им бесланская заложница Алена Цкаева https://t.co/wMqfEYiGJS,Unknown,Russian,2017-09-03 13:34:00,2017-09-03 13:34:00,10,0,4,R,1
Eremeev_Oleg_,"Феликс Тотиев на кладбище Город Ангелов в Беслане у могил своих 6 внуков: Борис(8), Лариса(14),Альбина(11), Анна(8), Любовь(12),Дзерасса(15) https://t.co/kGxSqgSsUl",Unknown,Russian,2017-09-03 13:39:00,2017-09-03 13:39:00,10,0,5,,0
Eremeev_Oleg_,Социальная реклама в петербургском метро https://t.co/PqiXrRnzlt,Unknown,Russian,2017-09-04 10:18:00,2017-09-04 10:18:00,223,39,12,,0
Eremeev_Oleg_,Прямо сейчас в Грозном проходит многотысячный митинг против преследования мусульман рохинджа в Мьянме. #Arakan #Rohingya #Myanmar https://t.co/X500ujchZw,Unknown,Russian,2017-09-04 10:45:00,2017-09-04 10:45:00,237,40,13,,0
Eremeev_Oleg_,Устроивший вооруженное нападение на школу ученик ударил преподавателя топором https://t.co/qk8KT5nfR7 https://t.co/mmLupCpBj5,Unknown,Russian,2017-09-05 11:36:00,2017-09-05 11:36:00,539,83,17,R,1
Eremeev_Oleg_,"Разоблачение года от CNN: ""Путин может иметь связи в России"" https://t.co/AUYgQhrlsC",Unknown,Russian,2017-09-06 18:19:00,2017-09-06 18:19:00,609,112,19,R,1
Eremeev_Oleg_,"6 лет назад в авиакатастрофе погибла команда ярославского ХК ""Локомотив""   Помним. https://t.co/ES3IQ9IaO4",Unknown,Russian,2017-09-07 06:18:00,2017-09-07 06:18:00,696,127,21,,0
Eremeev_Oleg_,Памятник Юрию Алексеевичу Гагарину в Лондоне https://t.co/Jzhi6Z7mi4,Unknown,Uzbek,2017-09-08 19:25:00,2017-09-08 19:25:00,718,160,26,R,1
Eremeev_Oleg_,"8 сентября 1941 началась блокада Ленинграда. За долгие 872 дня в городе погибли сотни тысяч человек, но дух горожан не был сломлен #Помним https://t.co/Mq70Ifn3lf",Unknown,Russian,2017-09-08 20:20:00,2017-09-08 20:20:00,790,163,27,R,1
Eremeev_Oleg_,Не удивлюсь если следующим шагом противостояния с конгрессом и сенатом @realDonaldTrump начнёт собственную партию. И будет в этом успешен.,Unknown,Russian,2017-09-10 14:46:00,2017-09-10 14:46:00,789,183,28,R,1
