author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
EugeneLlll,Иран опроверг сообщения о соглашении по санкциям с «шестеркой» http://t.co/UY7Fn5pgZ1 http://t.co/y0VO4yvxMQ,Azerbaijan,Russian,2015-07-04T21:31:00,2015-07-04T21:31:00,1124.0000000000,164.0000000000,1488.0000000000,R,True
EugeneLlll,Санкции и бойкот НАТО не помешали VII военно-морскому салону  http://t.co/6WYpCxFqVL http://t.co/O5jLrkPm61,Azerbaijan,Ukrainian,2015-07-08T17:13:00,2015-07-08T17:13:00,1123.0000000000,165.0000000000,1490.0000000000,R,True
EugeneLlll,СМИ: Памела Андерсон мечтает поужинать с Путиным http://t.co/5qecYqjXEp,Azerbaijan,Russian,2015-07-15T13:32:00,2015-07-15T13:32:00,1122.0000000000,166.0000000000,1502.0000000000,R,True
EugeneLlll,«Шинник» подтвердил переход Павленко http://t.co/yiAzbrf1jS,Azerbaijan,Ukrainian,2015-07-16T16:53:00,2015-07-16T16:53:00,1122.0000000000,166.0000000000,1507.0000000000,R,True
EugeneLlll,"'@SFGO76 гггг, лошара'",Azerbaijan,Russian,2015-07-18T17:51:00,2015-07-18T17:51:00,1122.0000000000,166.0000000000,1511.0000000000,R,True
EugeneLlll,«Ростов» в первом матче сезона сыграл вничью с «Тереком» http://t.co/KXXi86mcyu,Azerbaijan,Russian,2015-07-18T20:52:00,2015-07-18T20:52:00,1122.0000000000,166.0000000000,1513.0000000000,R,True
EugeneLlll,Порошенко обвинил парламентские фракции в атаке на мирный план http://t.co/FWHgF30BRP,Azerbaijan,Russian,2015-07-19T09:51:00,2015-07-19T09:51:00,1122.0000000000,166.0000000000,1513.0000000000,R,True
EugeneLlll,"Ярмоленко: не хочу, чтобы обо мне говорили, что я в каких-то матчах не доигрывал http://t.co/nHxH9C7pJd",Azerbaijan,Ukrainian,2015-07-20T10:22:00,2015-07-20T10:22:00,1121.0000000000,166.0000000000,1511.0000000000,R,True
EugeneLlll,"«Сибирь» победила «Тюмень», «Газовик» выиграл у «Факела» http://t.co/He3tiBIOFb",Azerbaijan,Russian,2015-07-20T16:52:00,2015-07-20T16:54:00,1121.0000000000,166.0000000000,1512.0000000000,R,True
EugeneLlll,В ДНР удивлены неготовностью ОБСЕ подтвердить отвод бронетехники ополченцев http://t.co/p4LHps5hZx,Azerbaijan,Russian,2015-07-20T20:31:00,2015-07-20T20:31:00,1121.0000000000,166.0000000000,1515.0000000000,R,True
EugeneLlll,Главу завода в Приморье подозревают в махинациях с выполнением гособоронзаказа  http://t.co/lbZS5fPgAs,Azerbaijan,Russian,2015-07-21T01:52:00,2015-07-21T01:52:00,1049.0000000000,166.0000000000,1517.0000000000,R,True
EugeneLlll,"В Совфеде объяснили, зачем Нидерландам трибунал по ""Боингу"" http://t.co/iXiEkLhC1b http://t.co/2lTplD34uW",Azerbaijan,Russian,2015-07-21T19:51:00,2015-07-21T19:51:00,997.0000000000,166.0000000000,1518.0000000000,R,True
EugeneLlll,Кадыров сообщил о 9 жертвах падения микроавтобуса в пропасть в Чечне  http://t.co/JMRnE5hlIl,Azerbaijan,Russian,2015-07-21T23:32:00,2015-07-21T23:32:00,997.0000000000,166.0000000000,1519.0000000000,R,True
EugeneLlll,Прокат кур-несушек в США стал хитом на фоне растущих цен на яйца http://t.co/lOJLYswTnr,Azerbaijan,Russian,2015-07-22T13:53:00,2015-07-22T13:53:00,997.0000000000,165.0000000000,1523.0000000000,R,True
EugeneLlll,Саакашвили: ФБР будет тренировать одесскую милицию http://t.co/e2QdqV8TCY,Azerbaijan,Russian,2015-07-23T20:12:00,2015-07-23T20:12:00,997.0000000000,165.0000000000,1530.0000000000,R,True
EugeneLlll,'@byDrBre @Elverojaguar @IgorMalii летайте нашими авиалиниями',Azerbaijan,Russian,2015-07-23T20:42:00,2015-07-23T20:43:00,997.0000000000,165.0000000000,1531.0000000000,,False
EugeneLlll,Решение по выводу украинских военных из Широкино должно быть выработано до 3 августа #новости http://t.co/ACgrgJkDD9,Azerbaijan,Russian,2015-07-24T01:51:00,2015-07-24T01:51:00,997.0000000000,166.0000000000,1534.0000000000,R,True
EugeneLlll,"Украина произвела выплаты на сумму $120 млн по евробондам и избежала технического дефолта, передает Bloomberg  http://t.co/B90RDJWdH0",Azerbaijan,Russian,2015-07-24T08:33:00,2015-07-24T08:33:00,997.0000000000,167.0000000000,1536.0000000000,R,True
EugeneLlll,Берлускони пошутил о предложении Путина стать министром экономики  http://t.co/bSW9NohP6Q,Azerbaijan,Russian,2015-07-24T15:13:00,2015-07-24T15:13:00,997.0000000000,166.0000000000,1541.0000000000,R,True
EugeneLlll,Восемь человек пострадали в аварии с автобусом под Ростовом http://t.co/OyCJ6Jutud http://t.co/0JaXpZjNOa,Azerbaijan,Russian,2015-07-25T05:32:00,2015-07-25T05:32:00,997.0000000000,166.0000000000,1544.0000000000,R,True
