author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
EugnBalyasin,Керри приехал в Сочи на встречу с Лавровым и Путиным #Kerry #ПобедаЛаврова http://t.co/YimfuoZCZ1,Iraq,Russian,2015-05-12 15:00:00,2015-05-12 15:00:00,875,100,425,R,1
EugnBalyasin,Independent Association of Journalists for Peace (AJKF) has been created to unite journalists wishing to work freely http://t.co/puTV3SOnBJ,Iraq,English,2015-05-19 18:38:00,2015-05-19 18:38:00,875,100,428,R,1
EugnBalyasin,Арсений Яценюк предлагает Юлии Тимошенко пост в украинском правительстве http://t.co/3PDlQMXk4m,Iraq,Russian,2015-05-20 09:03:00,2015-05-20 09:05:00,875,100,429,R,1
EugnBalyasin,УИК-ЭНД В ОСВЕНЦИМЕ  Читаем!  http://t.co/nFuzmCf8fP,Iraq,Russian,2015-05-25 10:46:00,2015-05-25 10:46:00,875,99,433,R,1
EugnBalyasin,http://t.co/dd4RUzfW0e - за что убили кролика Алана?,Iraq,Uzbek,2015-05-26 14:34:00,2015-05-26 14:34:00,875,99,435,R,1
EugnBalyasin,Опасный питерский общепит http://t.co/5W7VQzzW3o,Iraq,Russian,2015-06-05 10:11:00,2015-06-05 10:11:00,873,99,439,R,1
EugnBalyasin,"Дорогие родители я должен, просто обязан, предупредить вас об опасности, грозящей нашим детям! http://t.co/xcedxQpR7D",Iraq,Russian,2015-06-08 09:10:00,2015-06-08 09:10:00,872,99,440,R,1
EugnBalyasin,#ВрагБудетРазбит разгул русофобов в ЕС  привёл продлению санкции,Iraq,Russian,2015-06-22 15:58:00,2015-06-22 15:58:00,869,98,441,,0
EugnBalyasin,22 июня 1941 на территорию СССР вторглись немецко-фашистские захватчики #ВрагБудетРазбит,Iraq,Russian,2015-06-22 16:21:00,2015-06-22 16:21:00,869,98,447,,0
EugnBalyasin,"Покажите мне того идиота, кто решил, что Россию испугают #санкции после Великой Отечественной? #ВрагБудетРазбит",Iraq,Russian,2015-06-22 16:48:00,2015-06-22 16:50:00,869,98,450,,0
EugnBalyasin,Похоже скоро Греки освободятся от ЕС http://t.co/wAqQKo0y1D,Iraq,Russian,2015-07-03 17:27:00,2015-07-03 17:30:00,868,98,460,R,1
EugnBalyasin,"Наблюдателям #ОБСЕ  явно не хватает встряски, чтоб наконец хоть что-то увидели  https://t.co/2yf5HHsDF8",Iraq,Russian,2015-07-23 17:49:00,2015-07-23 17:49:00,759,97,472,,0
EugnBalyasin,Топ 5 страхов Украины https://t.co/UqSYDwHhp1,Iraq,Ukrainian,2015-08-10 13:44:00,2015-08-10 13:44:00,160,96,476,R,1
EugnBalyasin,#ЕСхочетПравду – Правду об отсутствии изолированности Крыма  http://t.co/k889ELN4JY Подключайтесь к хештегу! http://t.co/6HhQvpFg0E,Iraq,Russian,2015-08-14 13:23:00,2015-08-14 13:23:00,160,96,479,R,1
EugnBalyasin,"Вот она, жизнь: что значит быть приемными родителями http://t.co/wLXsRmVB8U http://t.co/hA18YBNa1G",Iraq,Russian,2015-10-06 08:40:00,2015-10-06 08:40:00,157,94,500,,0
EugnBalyasin,"Пенсионер из Ростовской области убил двоих, желая отомстить за смерть жены  https://t.co/2cOmc8lNh6",Iraq,Russian,2016-05-13 16:19:00,2016-05-13 16:19:00,129,94,518,R,1
EugnBalyasin,Четверым задержанным в ходе несанкционированной акции в Москве предъявлено обвинение - Следственный ... ожидаемо леопард,Iraq,Russian,2017-04-13 16:08:00,2017-04-13 16:18:00,126,90,509,,0
