author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
EurynMccolley,she just breaks dat shit down! #ReasonMyMomIsBetter http://t.co/kqlq09kTbo,United States,English,2015-05-10T15:59:00,2015-05-10T15:59:00,143.0000000000,154.0000000000,838.0000000000,R,True
EurynMccolley,How to bring all the boys to your yard...  #ThingsThatYouCouldLearnFromMe http://t.co/JMCjqq6gi9,United States,English,2015-05-11T14:06:00,2015-05-11T14:06:00,143.0000000000,154.0000000000,839.0000000000,R,True
EurynMccolley,How to politely deal with trolls that are insulting you on social media. #StayClassy  #ThingsThatYouCouldLearnFromMe,United States,English,2015-05-11T14:06:00,2015-05-11T14:07:00,143.0000000000,154.0000000000,842.0000000000,R,True
EurynMccolley,#ThingsThatYouCouldLearnFromMe ... How to Grind 24/7 http://t.co/Cv8Sl6oDvv,United States,English,2015-05-11T14:06:00,2015-05-11T14:08:00,143.0000000000,154.0000000000,841.0000000000,R,True
EurynMccolley,#ThingsThatYouCouldLearnFromMe  How to avoid getting ready for work and play hashtag games instead �,United States,English,2015-05-11T14:07:00,2015-05-11T14:07:00,143.0000000000,154.0000000000,844.0000000000,R,True
EurynMccolley,"How to fold a fitted sheet. Also, how to beat a dead horse. � #ThingsThatYouCouldLearnFromMe http://t.co/HrvqRUG5E9",United States,English,2015-05-11T14:07:00,2015-05-11T14:07:00,143.0000000000,154.0000000000,843.0000000000,R,True
EurynMccolley,Not to confuse Exlax with Chocolate. #ThingsThatYouCouldLearnFromMe #BoyDidThatMakeAMess,United States,English,2015-05-11T14:08:00,2015-05-11T14:08:00,143.0000000000,154.0000000000,849.0000000000,R,True
EurynMccolley,#ThingsThatYouCouldLearnFromMe How to jump to conclusions and not lose any weight,United States,English,2015-05-11T14:08:00,2015-05-11T14:08:00,143.0000000000,154.0000000000,847.0000000000,R,True
EurynMccolley,#ThingsThatYouCouldLearnFromMe How to find the G-spot,United States,English,2015-05-11T14:08:00,2015-05-11T14:08:00,143.0000000000,154.0000000000,845.0000000000,R,True
EurynMccolley,#ThingsThatYouCouldLearnFromMe How to put your foot in it �,United States,English,2015-05-11T14:08:00,2015-05-11T14:08:00,143.0000000000,154.0000000000,846.0000000000,R,True
EurynMccolley,Prism Break #ScientificTVShows http://t.co/HynRhN3sBr,United States,English,2015-05-13T14:58:00,2015-05-13T14:58:00,143.0000000000,154.0000000000,854.0000000000,R,True
EurynMccolley,The Living Dead #ScientificTVShows @midnight http://t.co/2FUYbwHCVe,United States,English,2015-05-13T14:58:00,2015-05-13T14:58:00,143.0000000000,154.0000000000,853.0000000000,R,True
EurynMccolley,I Dream of Genetics #ScientificTVShows @midnight,United States,English,2015-05-13T14:58:00,2015-05-13T14:58:00,143.0000000000,154.0000000000,852.0000000000,R,True
