author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
EvtushenkoMixei,В Вене сегодня пройдет первый полуфинал юбилейного конкурса «Евровидение» #МиллионГолосовРоссии http://t.co/0yxIDnArwN,Unknown,Russian,2015-05-19T15:59:00,2015-05-19T15:59:00,438.0000000000,80.0000000000,261.0000000000,,False
EvtushenkoMixei,Ненавижу поезда!  http://t.co/YKi7VDQDlw http://t.co/8qBq9IFVsX,Unknown,Russian,2015-06-18T17:21:00,2015-06-18T17:21:00,436.0000000000,72.0000000000,272.0000000000,R,True
EvtushenkoMixei,"дети в лагерях должны отдыхать, а не травиться...  http://t.co/CQQER0esix http://t.co/t02FWgu7Iu",Unknown,Russian,2015-06-24T15:40:00,2015-06-24T15:43:00,436.0000000000,71.0000000000,275.0000000000,R,True
EvtushenkoMixei,Китай не стал отмалчиваться на тему боинга МН17 RT!  http://t.co/8gnzUxjDjr,Unknown,Ukrainian,2015-07-24T13:03:00,2015-07-24T13:03:00,437.0000000000,70.0000000000,300.0000000000,R,True
EvtushenkoMixei,#НиШагуНазад - приказ № 227 Народного комиссара обороны СССР И. В. Сталина от 28 июля 1942 года http://t.co/mk1B8snSk3,Unknown,Russian,2015-07-28T15:09:00,2015-07-28T15:10:00,437.0000000000,70.0000000000,301.0000000000,R,True
EvtushenkoMixei,Тоже версия падения МН-17 http://t.co/9z0ZPfcbZh,Unknown,Russian,2015-08-04T18:04:00,2015-08-04T18:04:00,437.0000000000,71.0000000000,305.0000000000,R,True
EvtushenkoMixei,Неужели Боинг взорвали изнутри? http://t.co/aOFA0BYJId,Unknown,Uzbek,2015-08-04T18:04:00,2015-08-04T18:05:00,437.0000000000,71.0000000000,306.0000000000,R,True
EvtushenkoMixei,"Похоже, МН-17 взорвали бомбой http://t.co/DJnqy9yMG7",Unknown,Russian,2015-08-04T18:05:00,2015-08-04T18:05:00,437.0000000000,71.0000000000,307.0000000000,R,True
EvtushenkoMixei,Алена Аршинова: Очередь в детские сады снизилась  https://t.co/17LQIX2RNB @Alena_Arshinova http://t.co/uPbJPZHUwC,Unknown,Russian,2015-08-20T17:24:00,2015-09-13T07:42:00,436.0000000000,70.0000000000,328.0000000000,R,True
EvtushenkoMixei,У финансовых рынков почва уходит из-под ног.  Падают практически все фондовые и сырьевые активы  #BlackMonday http://t.co/5fFMP0RW2k,Unknown,Russian,2015-08-24T14:55:00,2015-09-20T03:38:00,436.0000000000,71.0000000000,331.0000000000,R,True
EvtushenkoMixei,«Черный понедельник» начался в Шанхае и накрыл весь мир #BlackMonday http://t.co/GGJKyEdBBk http://t.co/9uA7bPwzoy,Unknown,Russian,2015-08-24T14:58:00,2015-09-20T03:43:00,436.0000000000,71.0000000000,332.0000000000,R,True
EvtushenkoMixei,При строительстве Керченского моста нашли штурмовик Ил-2: нужна помощь для выяснения судеб лётчиков http://t.co/jVmviAQ4sI,Unknown,Russian,2015-08-27T16:43:00,2015-09-23T11:12:00,436.0000000000,70.0000000000,342.0000000000,R,True
EvtushenkoMixei,'@zubovnik @realDonaldTrump  трамп -молодец!',Unknown,Russian,2015-08-28T20:11:00,2015-08-28T20:11:00,436.0000000000,71.0000000000,344.0000000000,,False
EvtushenkoMixei,RT за №2  #ЛучшаяГеймерша http://t.co/cWm7xmqxfc,Unknown,Ukrainian,2015-09-04T12:07:00,2015-09-04T12:09:00,436.0000000000,70.0000000000,346.0000000000,R,True
EvtushenkoMixei,российская армия — вечный двигатель высшего образования,Unknown,Russian,2015-09-27T21:15:00,2015-09-27T21:15:00,435.0000000000,69.0000000000,355.0000000000,R,True
EvtushenkoMixei,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,Unknown,Russian,2015-09-28T14:38:00,2015-09-28T14:38:00,435.0000000000,69.0000000000,356.0000000000,R,True
EvtushenkoMixei,"""Дети!Бросайте гдз и думайте своим умом,егэ за вас никто не напишет""так говорит моя математичка)) #МойЛюбимыйУчитель http://t.co/fNgxKTMWx8",Unknown,Russian,2015-10-05T15:11:00,2015-10-05T15:11:00,435.0000000000,69.0000000000,360.0000000000,R,True
EvtushenkoMixei,Как Россия бросает пить  http://t.co/qypxxNfBCr,Unknown,Russian,2015-10-06T14:50:00,2015-10-06T14:50:00,434.0000000000,68.0000000000,361.0000000000,,False
EvtushenkoMixei,#5идейдлястартапа  Главные проблемы малого и среднего бизнеса в РФ https://t.co/HUoTiT1Skh,Unknown,Russian,2015-11-18T15:10:00,2015-11-18T15:11:00,432.0000000000,66.0000000000,364.0000000000,R,True
EvtushenkoMixei,Во время Болотной нефть была 100. Никто не хочет брать власть при нефти 37.,Unknown,Russian,2015-12-30T11:17:00,2015-12-30T11:17:00,432.0000000000,67.0000000000,381.0000000000,R,True
EvtushenkoMixei,Техническая неисправность стала причиной крушения истребителя F-16 ВВС Бахрейна  https://t.co/mh0hnikvmD https://t.co/Bk4wQppAiK,Unknown,Russian,2016-01-03T14:28:00,2016-01-03T14:28:00,432.0000000000,67.0000000000,391.0000000000,R,True
EvtushenkoMixei,"Я поддерживаю нашего президента в том, что он попросил прекратить войну Армению и Азербайджан! #СтопВойна https://t.co/KqI5fXJts4",Unknown,Russian,2016-04-02T15:07:00,2016-04-02T15:07:00,429.0000000000,67.0000000000,404.0000000000,R,True
EvtushenkoMixei,Тайны либералов раскрыты: Хакеры взломали сайт ПАРНАСа  https://t.co/Fc5P1UmWay,Unknown,Uzbek,2016-04-17T16:41:00,2016-04-17T16:41:00,429.0000000000,67.0000000000,415.0000000000,R,True
EvtushenkoMixei,Новые российские самолеты вскоре полностью заменят Boeing и Airbus  https://t.co/GkFzGQyAFE https://t.co/4TNTOBruH1,Unknown,Russian,2016-04-19T15:18:00,2016-04-19T15:18:00,429.0000000000,67.0000000000,419.0000000000,R,True
EvtushenkoMixei,"#СемьяАхмед сегодня получила российские документы, добро пожаловать https://t.co/AxDjphN7T0",Unknown,Russian,2016-04-25T16:58:00,2016-04-25T16:58:00,428.0000000000,69.0000000000,423.0000000000,R,True
EvtushenkoMixei,"#СемьяАхмед Гулистан Исашахова, ее муж и четверо детей теперь находятся в России на законных основаниях https://t.co/Tiks5IQK33",Unknown,Russian,2016-04-25T17:04:00,2016-04-25T17:04:00,428.0000000000,69.0000000000,425.0000000000,R,True
EvtushenkoMixei,ЧМ-2016 по хоккею стартовал! #ВпередКраснаяМашина https://t.co/gkDpRw3GqL,Unknown,Russian,2016-05-06T16:34:00,2016-05-06T16:35:00,429.0000000000,68.0000000000,437.0000000000,R,True
EvtushenkoMixei,#Eurovision #Евровидение #Содом #конкурс #финал  https://t.co/LOcb4JY2Ay,Unknown,Russian,2016-05-13T15:20:00,2016-05-13T15:20:00,427.0000000000,68.0000000000,442.0000000000,R,True
