author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
erdollum,#Erdoghan: Zuerst will ich die Regeln erklären #erdogancarricatur #Turkey #Germany #erdollum https://t.co/vEN17bp4Al,Unknown,German,2016-04-22 10:05:00,2016-04-22 10:05:00,0,0,1,,0
erdollum,'@janboehm Helfen Sie uns mit einem Retweet. Wir machen Witze über #Erdogan',Unknown,German,2016-04-22 10:37:00,2016-05-10 16:51:00,0,0,2,,0
erdollum,Türkische Demokratie #erdogancarricatur #DemokratHaber #erdollum #Germany #Turkey #erdoghan,Unknown,Turkish,2016-04-22 10:47:00,2016-04-22 10:48:00,0,0,3,,0
erdollum,Türkische Demokratie #Erdoghan #DemokratHaber #erdollum #Germany #Turkey #erdogancarricatur https://t.co/UWUHBOsCYQ,Unknown,Turkish,2016-04-22 10:50:00,2016-04-22 10:50:00,0,0,3,,0
erdollum,"'@DummeWitze Jungs, folgen dem neuen Account. Wir machen Witze über #Erdogan https://t.co/cqJmlUVoPM'",Unknown,German,2016-04-22 11:18:00,2016-04-22 11:18:00,1,0,7,,0
erdollum,'@Strack_C @NZZ Folgen Sie dem neuen Account. Wir machen Witze über #Erdogan https://t.co/RwZMGiqYkO',Unknown,German,2016-04-22 11:24:00,2016-04-22 11:24:00,1,0,8,,0
erdollum,'@jassogne Follow the new account. We play jokes on #Erdogan https://t.co/VExhNwGvxi',Unknown,English,2016-04-22 11:26:00,2016-04-22 11:27:00,1,0,9,,0
erdollum,'@DerWesten @lutzibub Folgen Sie dem neuen Account. Wir machen Witze über #Erdogan #erdogancarricatur https://t.co/s1HCFy0OvW',Unknown,German,2016-04-22 11:28:00,2016-04-22 11:29:00,1,0,10,,0
erdollum,'@FrauMaja Folgen Sie dem neuen Account. Wir machen Witze über #Erdogan #erdogancarricatur https://t.co/cJ87hQh5bD',Unknown,German,2016-04-22 12:12:00,2016-04-22 12:12:00,1,0,11,,0
erdollum,"'@SWagenknecht Hallo Ihr Lieben! Hier ist ein Account, der für die Pressefreiheit und für dieSatire kämpft!Macht mit! https://t.co/t0JZaH3mGn'",Unknown,German,2016-04-22 14:25:00,2016-04-22 14:25:00,178,6,12,,0
erdollum,Meinungsfreiheit dem Erdogan nach #Erdoghan #DemokratHaber #erdollum #Germany #Turkey #erdogancarricatur https://t.co/noBGmPlmDM,Unknown,German,2016-04-22 14:36:00,2016-04-22 14:37:00,178,7,13,,0
erdollum,'@jenpetersen12 Was meinst Du? Ist in unserer Lage etwas meh zu tun?',Unknown,German,2016-04-22 16:43:00,2016-04-22 16:43:00,189,25,15,,0
erdollum,"Der Mensch, der dem Joseph Stalin so ähnlich ist, kann einfach nicht verlieren! #Erdogan #Kurds #erdogancarricature https://t.co/gVg7rGyJBk",Unknown,German,2016-04-22 17:31:00,2016-04-22 17:32:00,191,29,16,,0
erdollum,"Es gibt keine traurigere Geschichte in der Welt, als die Geschichte von #Erdogan und #Redefreiheit #Shakespeare400 https://t.co/DJG2u0dwqB",Unknown,German,2016-04-23 07:11:00,2016-04-23 07:11:00,189,50,17,,0
erdollum,#Erdogan #DemokratHaber #erdollum #Germany #Turkey #erdogancarricature #Assad #Syria #Syrien https://t.co/Mv2rB5nDve,Unknown,German,2016-04-23 11:21:00,2016-04-23 11:21:00,226,58,18,,0
erdollum,Dieses Bild schildert den Sinn des Erdoganspolitiks gemeinsam #Erdogan #erdollum #Germany #Turkey #erdogancarricatur https://t.co/bNyNx7DyCY,Unknown,German,2016-04-23 13:31:00,2016-04-23 13:31:00,226,60,19,,0
erdollum,#Erdoghan #DemokratHaber #erdollum #Germany #Turkey #erdogancarricature #Boehmermann https://t.co/xh1zUoxTMC,Unknown,German,2016-04-23 17:36:00,2016-04-23 17:36:00,226,70,20,,0
erdollum,Seine politische Anschauungen sind immer wichtiger #Erdogan  #erdollum #erdogancarricatur #Kurds #Kurdistan https://t.co/kJgocbv6c0,Unknown,German,2016-04-24 09:46:00,2016-04-24 09:46:00,226,81,21,,0
erdollum,Niederländische Journalistin wurde in der #Türkei festgenommen! Oh wäre ich der nächste.. #Erdogan #Pressefreiheit https://t.co/dBUNouwU9x,Unknown,German,2016-04-24 12:44:00,2016-04-24 12:44:00,226,82,22,,0
erdollum,#9500 Euro! Die #Kanzlerin muss Partei-Beiträge nachzahlen! Aber #Merkel hat andere Dinge im Kopf.. https://t.co/6o5sEAU5UW,Unknown,German,2016-04-24 13:00:00,2016-04-24 13:00:00,226,82,23,,0
erdollum,"#HannObama hat heute #Merkel gesagt, dass ich kleinen Schwanz habe � Man muss noch 1Million #Flüchtlinge verbannen!� https://t.co/uIabedOmLf",Unknown,German,2016-04-24 13:11:00,2016-04-24 13:11:00,228,82,24,,0
erdollum,Für seinen Thron ist #Erdogan bereit das Herz seines Landes zu opfern! #GameofThrones https://t.co/5iAJI084UE,Unknown,German,2016-04-25 07:57:00,2016-04-25 07:57:00,233,86,26,,0
erdollum,'@GameOfThrones @HBO https://t.co/ssfBzJ23Mg',Unknown,German,2016-04-25 08:09:00,2016-04-25 08:10:00,233,86,27,,0
erdollum,'@GameOfThrones @HBO For his throne #Erdogan is ready to sacrifice his country  #GameofThrones https://t.co/ARwFFstG7O',Unknown,English,2016-04-25 08:12:00,2016-04-25 08:12:00,233,86,27,,0
erdollum,#mondaymotivation #Erdogan #Pressefreiheit  #erdollum #erdogancarricatur https://t.co/fThhqfSzeN,Unknown,German,2016-04-25 08:20:00,2016-04-25 08:20:00,235,87,28,,0
erdollum,Die Wahrheit über #Erdogan #erdollum #erdogancarricatur #ISIS #Merkel #kilise #Tuerkei https://t.co/pZdAPWdP8L,Unknown,German,2016-04-25 09:33:00,2016-04-25 09:33:00,266,89,29,,0
erdollum,#WorldPenguinDay #MotivationMonday #HannObama  #HannoverMesse #Erdogan #Merkel #Hollande #Obama #Syrien #Böhmermann� https://t.co/0zOjug1cOU,Unknown,Icelandic,2016-04-25 10:39:00,2016-04-25 10:39:00,266,90,30,,0
erdollum,'@SPIEGELONLINE noch mehr #Fluechtlinge ! https://t.co/u6vCRt6oEa',Unknown,German,2016-04-25 10:44:00,2016-04-25 10:44:00,266,90,32,,0
erdollum,"'@TurkKick Ich dachte, Männer in den Anzügen sollten so einander nicht schlagen! Schrecklich! Und so was kommt zu uns?!'",Unknown,German,2016-04-25 10:47:00,2016-04-25 10:47:00,280,90,33,,0
erdollum,'@Onferme Can you translate this please? I am very interested!',Unknown,English,2016-04-25 10:49:00,2016-04-25 10:49:00,281,90,34,,0
erdollum,'@TurkKick @AmedsporSK Vielleicht liegt das Übel im Fußball zum Teil auch?',Unknown,German,2016-04-25 10:51:00,2016-04-25 10:52:00,281,90,35,,0
erdollum,'@lehnert_sarah @welt @N24 https://t.co/NUJ19sDTbx',Unknown,German,2016-04-25 10:56:00,2016-04-25 10:57:00,281,91,36,,0
erdollum,'@welt So brutal war die Serie noch nie!!! https://t.co/fbMgoVlCNC',Unknown,German,2016-04-25 10:59:00,2016-04-25 10:59:00,281,91,37,,0
erdollum,'@sternde kurz zum #Fluechtlinge #fluechtlingspolitik Problem! https://t.co/4KypiwF3Ja',Unknown,German,2016-04-25 11:01:00,2016-04-25 11:01:00,286,91,38,,0
erdollum,'@sternde #Erdogan #Queen90 #Tuerkei #EU Mach mi! https://t.co/Og9vBCCWLH',Unknown,German,2016-04-25 11:03:00,2016-04-25 11:03:00,286,91,39,,0
erdollum,"'@sternde Menschen werden oft  mit den Tieren verglichen, aber wir sind doch schlimmer!'",Unknown,German,2016-04-25 11:04:00,2016-04-25 11:04:00,298,91,40,,0
erdollum,'@matthausk Hallo! Hat dich der Fall mit Böhmermann gerührt? Mach mit und lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:10:00,2016-04-25 11:10:00,311,91,42,,0
erdollum,'@sgt_flower  @Solheure66 Hallo! Hat dich der Fall mit #Böhmermann gerührt? Mach mit! lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:13:00,2016-04-25 11:13:00,311,91,43,,0
erdollum,'@DerWahreErich  @ronaldlaessig Hallo! Hat dich der Fall mit #Böhmermann gerührt? Mach mit! lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:14:00,2016-04-25 11:14:00,311,91,44,,0
erdollum,'@ErikMarquardt  @krippmarie Hallo! Hat dich der Fall mit #Böhmermann gerührt? Mach mit! lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:15:00,2016-04-25 11:15:00,311,91,45,,0
erdollum,'@DomiNoVox  @Jim_Beau_27 Hallo! Hat dich der Fall mit #Böhmermann gerührt? Mach mit! lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:16:00,2016-04-25 11:16:00,311,91,46,,0
erdollum,'@b_riexinger  Hallo! Hat dich der Fall mit #Böhmermann gerührt? Mach mit! lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:17:00,2016-04-25 11:17:00,311,91,47,,0
erdollum,'@AnnetteCreft  @wortuose Hallo! Hat Dich der Fall mit #Böhmermann gerührt? Mach mit! lach mit uns über Erdogan und folge mir ;)',Unknown,German,2016-04-25 11:19:00,2016-04-25 11:19:00,311,91,48,,0
