author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
erohova_K,Россия обошла Саудовскую Аравию в поставках нефти в Китай http://t.co/FupoaSed74 http://t.co/zyhS5Hqu2H,United States,Russian,2015-06-24T20:51:00,2015-06-24T20:51:00,1966.0000000000,366.0000000000,2212.0000000000,R,True
erohova_K,Меркель: Идет год экзамена российско-немецких отношений http://t.co/yD8Adwf5CV http://t.co/w8bkDaf0ho,United States,Russian,2015-06-28T17:31:00,2015-06-28T17:31:00,1967.0000000000,369.0000000000,2216.0000000000,R,True
erohova_K,Нарышкин сравнил саммит G7 с «мюнхенским сговором» http://t.co/Rr6XBdClOF http://t.co/4QvpbMVDc3,United States,Russian,2015-06-30T14:14:00,2015-06-30T14:14:00,1967.0000000000,370.0000000000,2217.0000000000,R,True
erohova_K,Евросоюз заморозил санкции против Ирана еще на семь дней http://t.co/2jbN69W2uJ http://t.co/NhPOXW2gmG,United States,Russian,2015-06-30T16:31:00,2015-06-30T16:31:00,1967.0000000000,369.0000000000,2218.0000000000,R,True
erohova_K,"""Гринпис"" потребовала восстановить площадь заповедника ""Самарская лука"" http://t.co/KDj8qgpgrb",United States,Russian,2015-07-06T11:51:00,2015-07-06T11:51:00,1963.0000000000,369.0000000000,2227.0000000000,R,True
erohova_K,'@byDrBre фуу...как вообще это пить то можно?!)',United States,Russian,2015-07-11T17:02:00,2015-07-11T17:02:00,1963.0000000000,372.0000000000,2233.0000000000,,False
erohova_K,Три человека пострадали в результате столкновения двух автомобилей в центре Москвы http://t.co/XYtUpuikD2,United States,Russian,2015-07-15T15:10:00,2015-07-15T15:10:00,1461.0000000000,373.0000000000,2242.0000000000,R,True
erohova_K,"Саакашвили признал, что США финансируют борьбу с коррупцией на Украине http://t.co/C9BA9PJFUo",United States,Ukrainian,2015-07-15T19:53:00,2015-07-15T19:53:00,1462.0000000000,373.0000000000,2245.0000000000,R,True
erohova_K,"Интересно, из чего делается вино по 80 руб? Явно не из винограда ))) https://t.co/02lF3653W3",United States,Russian,2015-07-17T02:51:00,2015-07-17T02:51:00,1462.0000000000,373.0000000000,2247.0000000000,R,True
erohova_K,Аршавин: только моё имя будет заставлять меня играть на хорошем уровне http://t.co/24jm9eL6r7,United States,Russian,2015-07-17T08:13:00,2015-07-17T08:13:00,1462.0000000000,373.0000000000,2248.0000000000,R,True
erohova_K,"Китайское агентство Dagong понизило кредитный рейтинг Украины до ""СС"" http://t.co/SHlibJ5wpT",United States,Ukrainian,2015-07-17T09:53:00,2015-07-17T09:53:00,1462.0000000000,373.0000000000,2251.0000000000,R,True
erohova_K,Жители ДНР выпустили в небо 298 воздушных шаров в память о жертвах крушения Boeing http://t.co/4OFMtxLvJF,United States,Russian,2015-07-17T13:52:00,2015-07-17T13:52:00,1462.0000000000,373.0000000000,2253.0000000000,R,True
erohova_K,Ляшко предложил провести референдум о статусе Донбасса в сентябре http://t.co/ubliuXnX3M,United States,Serbian,2015-07-17T22:12:00,2015-07-17T22:12:00,1462.0000000000,374.0000000000,2255.0000000000,R,True
