author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
evgenishenko,22 июня 1941 года немецкая армия вторглась на территорию СССР #ВрагБудетРазбит http://t.co/ORpzLxx3CD,Unknown,Russian,2015-06-22 15:27:00,2015-06-22 15:27:00,1869,281,398,R,1
evgenishenko,Одесский губернатор Михаил Саакашвили получал зарплату в США http://t.co/pXBOimT3s7 http://t.co/WHIob9oad7,Unknown,Russian,2015-06-25 09:04:00,2015-06-25 09:04:00,1867,281,400,R,1
evgenishenko,'@byDrBre очередной фильм с послевкусием ссанины',Unknown,Russian,2015-07-14 18:48:00,2015-07-14 18:49:00,1860,285,407,,0
evgenishenko,"Не многие знают, но в СССР с ноября 1941 года существовал налог на бездетность, который составлял 6% от зарплаты http://t.co/qi5TDy6ste",Unknown,Russian,2015-08-24 13:02:00,2015-09-19 22:20:00,1848,280,436,R,1
evgenishenko,'@MaxDementiev изуродовали логан',Unknown,Uzbek,2015-09-06 20:41:00,2015-09-06 20:42:00,1844,274,442,,0
evgenishenko,"США выступили против строительства ""Северного потока-2""  https://t.co/5iVMYGqebg https://t.co/mIgemz9bRo",Unknown,Russian,2015-11-07 09:52:00,2015-11-07 09:52:00,1818,278,472,R,1
evgenishenko,'@Alexey_Pushkov Андронов отстранен от работы на «Матч ТВ» за твит о русском мире https://t.co/BUMinOgY3S https://t.co/cUYpX2FThb',Unknown,Russian,2015-11-12 09:24:00,2015-11-12 09:24:00,1818,277,486,R,1
evgenishenko,У Михо гарем просто  https://t.co/QKfoKvQrhq https://t.co/R4zuoeAQtH,Unknown,Russian,2015-11-12 12:02:00,2015-11-12 12:02:00,1818,277,487,R,1
evgenishenko,American Airlines приостановила полеты в #Париж  https://t.co/lKrWHpAJ8Z https://t.co/eZzOJkfvRC,Unknown,Russian,2015-11-14 03:20:00,2015-11-14 03:20:00,1817,276,489,R,1
evgenishenko,Опять буйные телефонные террористы проснулись https://t.co/MbOoXrKAK5,Unknown,Russian,2015-11-15 13:08:00,2015-11-15 13:09:00,1817,276,490,R,1
evgenishenko,"Дворец культуры Газа в Петербурге, оцеплен полицией. Поступило сообщение о заминировании   https://t.co/hEORX96EMQ https://t.co/TfJFIhnYRJ",Unknown,Russian,2015-11-20 09:21:00,2015-11-20 09:21:00,1817,277,503,R,1
evgenishenko,'@realDonaldTrump @BarbaraJWalters @ABC @BarbaraJWalters @MELANIATRUMP @IvankaTrump @EricTrump @DonaldJTrumpJr https://t.co/EWgp1wUqMi',Unknown,Russian,2015-11-20 15:32:00,2015-11-20 15:32:00,1817,277,506,R,1
evgenishenko,Президент Чехии осудил Турцию и заподозрил ее в неформальной связи с ИГ https://t.co/AQRZQJTioD #Су24 #Turkey https://t.co/j9SSKtpe49,Unknown,Russian,2015-11-24 12:41:00,2015-11-24 12:41:00,1816,275,509,R,1
evgenishenko,ВС Турции приведены в повышенную боеготовность и стягивают Вооруженные силы к границе с Сирией #Turkey #УдарВСпину https://t.co/aybMqv9V0d,Unknown,Russian,2015-11-24 14:52:00,2015-11-24 14:52:00,1816,275,510,R,1
evgenishenko,Пентагон: ВС США не участвовали в инциденте с российским Су-24  https://t.co/v7EhWyJhlK #Turkey https://t.co/hvf01aurtA,Unknown,Russian,2015-11-24 15:15:00,2015-11-24 15:16:00,1816,275,512,R,1
evgenishenko,Жители Кипра просят разместить на острове российскую военную базу  https://t.co/WJk6n9O3Lc #Turkey #Су24 #УдарВСпину https://t.co/saE4o4rhas,Unknown,Russian,2015-11-24 17:40:00,2015-11-24 17:40:00,1816,275,513,R,1
evgenishenko,Тайны либералов раскрыты: Хакеры взломали сайт ПАРНАСа  https://t.co/Fc5P1UmWay,Unknown,Uzbek,2016-04-17 16:41:00,2016-04-17 16:41:00,1789,266,529,R,1
evgenishenko,Новые российские самолеты вскоре полностью заменят Boeing и Airbus  https://t.co/GkFzGQyAFE https://t.co/4TNTOBruH1,Unknown,Russian,2016-04-19 15:18:00,2016-04-19 15:18:00,1789,266,533,R,1
evgenishenko,Куда пойти? Куда податься? Где бы еще провороваться? � #Яценюк #Ураина #Гройсман #TNMT  https://t.co/spyWKBR7N5,Unknown,Russian,2016-04-20 11:34:00,2016-04-20 11:35:00,1789,267,535,R,1
evgenishenko,"#СемьяАхмед сегодня получила российские документы, добро пожаловать https://t.co/AxDjphN7T0",Unknown,Russian,2016-04-25 16:58:00,2016-04-25 16:58:00,1789,270,537,R,1
evgenishenko,"#СемьяАхмед Гулистан Исашахова, ее муж и четверо детей теперь находятся в России на законных основаниях https://t.co/Tiks5IQK33",Unknown,Russian,2016-04-25 17:04:00,2016-04-25 17:04:00,1789,270,539,R,1
evgenishenko,ЧМ-2016 по хоккею стартовал! #ВпередКраснаяМашина https://t.co/gkDpRw3GqL,Unknown,Russian,2016-05-06 16:34:00,2016-05-06 16:34:00,1781,267,555,R,1
evgenishenko,#Eurovision #Евровидение #Содом #конкурс #финал  https://t.co/LOcb4JY2Ay,Unknown,Russian,2016-05-13 15:20:00,2016-05-13 15:20:00,1780,267,560,R,1
