author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
FilinLeonid,"Итальянцы! Если вы хотите проголосовать за Путина, теперь у вас есть такая возможность   http://t.co/A1Xu0PZ0f8 http://t.co/Ol1HYjgQRb",Azerbaijan,Russian,2015-05-20 15:15:00,2015-05-20 15:15:00,1681,195,645,R,1
FilinLeonid,"ДНР и ЛНР только начали возвращаться к мирной жизни,но снова гремят орудия и надо браться за оружие.. #Donetsk",Azerbaijan,Russian,2015-06-03 12:52:00,2015-06-03 12:53:00,1678,195,655,R,1
FilinLeonid,'@MargoSavazh все загубит в Одессе',Azerbaijan,Russian,2015-06-04 17:10:00,2015-06-04 17:11:00,1678,195,657,,0
FilinLeonid,"Россия, с днем семьи! Слава Богу, что у нас в стране это понятие не осквернено #ПапаМамаЯ",Azerbaijan,Russian,2015-07-09 18:39:00,2015-07-09 18:41:00,1669,198,682,,0
FilinLeonid,#ЗагадочноеЛицо https://t.co/jhpNYFCjJp,Azerbaijan,Russian,2015-08-12 16:43:00,2015-08-12 16:43:00,1491,200,689,R,1
FilinLeonid,Стая Нью-Йоркских птиц выложилась в лицо #ЗагадочноеЛицо #ЛицоИзПтиц,Azerbaijan,Russian,2015-08-12 16:43:00,2015-08-12 16:44:00,1491,200,688,R,1
FilinLeonid,"Самый необычный подарок на премьере фильма! Оказалось, зрителям.....   http://t.co/5aabJfSNBG",Azerbaijan,Russian,2015-09-10 10:24:00,2015-09-10 10:24:00,1485,197,695,R,1
FilinLeonid,Они заслуживают эти бомбардировки #5причинбомбитьигил https://t.co/IDIp5sOari,Azerbaijan,Russian,2015-10-21 16:17:00,2015-10-21 16:17:00,1467,196,694,R,1
FilinLeonid,50 оттенков ИГИЛа   https://t.co/QX37y0vxNS,Azerbaijan,Macedonian,2015-10-27 13:43:00,2015-10-27 13:44:00,1467,196,695,,0
FilinLeonid,Девушка спела с уличным ансамблем песню про Путина и покорила интернет  https://t.co/vEz1fVl3fA https://t.co/Tnd0wBebrw,Azerbaijan,Russian,2016-04-19 11:25:00,2016-04-19 11:25:00,1436,199,719,R,1
FilinLeonid,"Из столицы исчезнут киоски с шаурмой, поскольку эти точки питания не отвечают санитарным требованиям(( #REMOVEKEBAB https://t.co/EGEAlHjlol",Azerbaijan,Russian,2016-04-26 15:20:00,2016-04-26 15:20:00,1433,199,723,R,1
FilinLeonid,"Пока США остаются в Ираке, Россия остается в Сирии  https://t.co/uWQcyRVdma",Azerbaijan,Russian,2016-05-10 13:41:00,2016-05-10 13:42:00,1431,198,732,R,1
FilinLeonid,Интересная идея. А как еще обратить внимание в современном мире?  https://t.co/styQw2ZGQo https://t.co/YMmf8hpuuF,Azerbaijan,Russian,2016-05-16 21:06:00,2016-05-16 21:06:00,1431,200,735,,0
FilinLeonid,Сегодня день рождения у Сергея Собянина. Спасибо за огромный вклад в развитие Москвы!   #ЛучшийМэр #ПоздравьСобянина https://t.co/ObeMZf8QmA,Azerbaijan,Russian,2016-06-21 10:33:00,2016-06-21 10:33:00,1427,201,741,R,1
FilinLeonid,"Герой Украины Савченко в интервью Голосу Америки и немцам сказала, что нельзя Украине давать оружие https://t.co/Zsa29j7cja",Azerbaijan,Russian,2016-06-22 11:49:00,2016-06-22 11:49:00,1427,201,747,R,1
FilinLeonid,Построение 322-й стрелковой дивизии на Советской площади перед отправкой на фронт. 1941 год https://t.co/gFc5HSVNsF,Azerbaijan,Russian,2016-06-22 17:58:00,2016-06-22 17:58:00,1427,201,750,R,1
FilinLeonid,Либералы в двадцать первом веке устроены просто: демократия или смерть. Выбор за Гудковым! https://t.co/TTHbK490Ou,Azerbaijan,Russian,2016-06-26 12:42:00,2016-06-26 12:54:00,1426,201,755,R,1
FilinLeonid,Нами продолжают пугать https://t.co/2en1omHgzr,Azerbaijan,Russian,2016-06-26 14:53:00,2016-06-26 15:04:00,1426,201,756,R,1
FilinLeonid,Новости российской экономики  https://t.co/MIXao8QIz6,Azerbaijan,Russian,2016-07-05 13:18:00,2016-07-05 13:18:00,1426,200,766,R,1
FilinLeonid,На территории больницы во Франции прогремели два взрыва  #Франция #France    https://t.co/SoOHZueq7E,Azerbaijan,Russian,2016-07-07 16:18:00,2016-07-07 16:18:00,1426,200,771,R,1
FilinLeonid,Главная ложь в расследовании о МН-17  https://t.co/b3QSK4bgIg https://t.co/VCfddm70MO,Azerbaijan,Russian,2016-07-20 17:24:00,2016-07-20 17:26:00,1425,199,775,R,1
FilinLeonid,"Пользователи соцсетей случайно нашли угнанный в Петербурге ""Ситроен"" https://t.co/C0XLVqcFaN https://t.co/kRp859tVCC",Azerbaijan,Russian,2016-07-25 10:22:00,2016-07-25 10:22:00,1425,199,779,R,1
FilinLeonid,Таблица - Нормативные правовые акты - Официальный сайт для размещения информации о подготовке ...,Azerbaijan,Russian,2017-04-18 14:16:00,2017-04-18 14:16:00,1396,186,785,,0
