author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Fiona__Ona,"Как отдыхать будем? Минтруд определил ""длинные"" праздничные дни в 2016 году http://t.co/aG6XdOXWRN",Unknown,Russian,2015-06-22 08:38:00,2015-06-22 08:38:00,1730,282,2264,R,1
Fiona__Ona,Массовое отравление детей произошло под Томском http://t.co/CW134NQlvp http://t.co/44FXGwyr9K,Unknown,Russian,2015-06-22 14:12:00,2015-06-22 14:13:00,1730,282,2265,R,1
Fiona__Ona,Долги Украины  http://t.co/EPjcMFHjqi,Unknown,Ukrainian,2015-06-22 16:58:00,2015-06-22 16:58:00,1730,282,2266,R,1
Fiona__Ona,#ВрагБудетРазбит что какие-то  санкции народам победившим самого страшного врага человечества,Unknown,Russian,2015-06-22 18:26:00,2015-06-22 18:26:00,1730,282,2267,,0
Fiona__Ona,#ВрагБудетРазбит любой,Unknown,Russian,2015-06-22 18:33:00,2015-06-22 18:34:00,1730,282,2268,,0
Fiona__Ona,#ВрагБудетРазбит уничтожили Третий Рейх что нас,Unknown,Russian,2015-06-22 18:44:00,2015-06-22 18:44:00,1730,282,2269,,0
Fiona__Ona,#ВрагБудетРазбит Слава Сталину,Unknown,Serbian,2015-06-22 19:10:00,2015-06-22 19:11:00,1730,282,2270,,0
Fiona__Ona,#ВрагБудетРазбит 22 июня. Самый длинный день в году и самая короткая ночь. А ещё - самый страшный день в году.,Unknown,Russian,2015-06-22 19:27:00,2015-06-22 19:27:00,1730,282,2271,,0
Fiona__Ona,#ВрагБудетРазбит Вероломные ублюдки были разбиты!,Unknown,Russian,2015-06-22 19:35:00,2015-06-22 19:35:00,1730,282,2272,,0
Fiona__Ona,"Боль, которая будет напоминать ещё многим поколениям о том, что народ наш многострадальный, выносливый и непобедимый #ВрагБудетРазбит",Unknown,Russian,2015-06-22 19:37:00,2015-06-22 19:37:00,1730,282,2273,,0
Fiona__Ona,Кишка тонка: Евросоюз проигрывает Греции вчистую http://t.co/H86B9o1PyL http://t.co/k5s5FjKcBg,Unknown,Russian,2015-06-24 12:11:00,2015-06-24 12:11:00,1730,282,2274,R,1
Fiona__Ona,Многодетной матери из Копейска дали «двушку» вместо сушилки общежития http://t.co/dHePZcTYP0,Unknown,Russian,2015-06-26 14:13:00,2015-06-26 14:13:00,1728,281,2274,R,1
Fiona__Ona,В Уфе скоропостижно скончался художник и педагог Айрат Баймухаметов http://t.co/myB9PpwYy3,Unknown,Russian,2015-06-26 14:32:00,2015-06-26 14:32:00,1728,281,2275,R,1
Fiona__Ona,Лекант: реформа языка – слишком дорогое удовольствие для страны http://t.co/sPaXn1HucD,Unknown,Russian,2015-06-30 09:53:00,2015-06-30 09:53:00,1728,282,2276,R,1
Fiona__Ona,'@byDrBre и ее затянул Омск....',Unknown,Russian,2015-06-30 20:55:00,2015-06-30 20:55:00,1728,283,2277,,0
Fiona__Ona,Автоледи на «Ладе» слетела в кювет в Нижегородской области http://t.co/qVOjHXno64,Unknown,Russian,2015-07-02 08:31:00,2015-07-02 08:31:00,1728,282,2277,R,1
Fiona__Ona,СМИ: в США полицейский из Татарстана попался на краже одежды http://t.co/dPyUzzti5i,Unknown,Russian,2015-07-02 21:32:00,2015-07-02 21:32:00,1728,282,2278,R,1
Fiona__Ona,'@byDrBre холодная и беспощадная',Unknown,Russian,2015-07-02 23:45:00,2015-07-02 23:45:00,1728,282,2280,,0
Fiona__Ona,"'@byDrBre Россия - сила , все остальное просто набор букв'",Unknown,Russian,2015-07-02 23:45:00,2015-07-02 23:45:00,1728,282,2279,,0
Fiona__Ona,Тамара Пушкарёва: Большую часть муниципальных помещений в Уфе надо продать http://t.co/BtptTbhgHz,Unknown,Russian,2015-07-06 10:11:00,2015-07-06 10:11:00,1728,283,2281,R,1
Fiona__Ona,Движение транспорта по улице Ижорская будет ограничено в Нижнем Новгороде с 8 до 20 июля http://t.co/XRZtoPSkW0,Unknown,Russian,2015-07-08 06:52:00,2015-07-08 06:52:00,1728,282,2282,R,1
Fiona__Ona,Комитет против пыток готовится к ликвидации http://t.co/7IKSvtFktQ,Unknown,Russian,2015-07-08 14:12:00,2015-07-08 14:12:00,1728,282,2283,R,1
Fiona__Ona,Пусть всегда будет Солнцево: село под Донецком уничтожают минометы ВСУ http://t.co/AYv6ZnsZ9f http://t.co/M1CILYiZJ1,Unknown,Russian,2015-07-09 12:33:00,2015-07-09 12:34:00,1728,284,2284,R,1
Fiona__Ona,Рубль укрепился к доллару и евро утром в пятницу http://t.co/4FHXh2zScx,Unknown,Russian,2015-07-10 11:51:00,2015-07-10 11:51:00,1726,284,2285,R,1
Fiona__Ona,В Уфе парк имени Якутова задолжал работникам полмиллиона рублей http://t.co/8CNKBej055,Unknown,Russian,2015-07-15 10:47:00,2015-07-15 10:47:00,1226,285,2284,R,1
Fiona__Ona,'@salty_1970 @yuri_si62 @derevni_potemki @AndreyKauf @1958Bga Откуда снято отмечено стрелочкой.. http://t.co/OUSOqpFyBn',Unknown,Russian,2015-07-15 11:32:00,2015-07-15 11:32:00,1226,285,2285,R,1
Fiona__Ona,Таиланд попросится в зону свободной торговли с Россией: http://t.co/ZjEl7iUGYI,Unknown,Russian,2015-07-15 12:53:00,2015-07-15 12:53:00,1226,285,2286,R,1
Fiona__Ona,"Гендиректор Рокетбанка @VictorLys объяснил, почему биткоины — это крутая тема   https://t.co/Q1eHJfmq7K",Unknown,Russian,2015-07-15 16:51:00,2015-07-15 16:51:00,1226,285,2287,R,1
Fiona__Ona,СМИ: польских болельщиков объединила ненависть к бандеровцам http://t.co/IH6ruSGqsZ,Unknown,Russian,2015-07-15 17:56:00,2015-07-15 17:56:00,1226,285,2288,R,1
Fiona__Ona,'@MargoSavazh @Mayskolpino @BozenaGrant и то по-акции',Unknown,Ukrainian,2015-07-15 20:47:00,2015-07-15 20:49:00,1226,285,2289,,0
Fiona__Ona,Турецкие истребители вторглись в воздушное пространство Греции http://t.co/ojii4ZXHNe,Unknown,Russian,2015-07-16 00:31:00,2015-07-16 00:31:00,1226,285,2290,R,1
Fiona__Ona,Турецкие истребители вторглись в воздушное пространство Греции http://t.co/ojii4ZXHNe,Unknown,Russian,2015-07-16 00:31:00,2015-07-16 00:31:00,1226,285,2290,R,1
Fiona__Ona,Опрос ВЦИОМ: 40% россиян не могут объяснить понятие «консерватор»  http://t.co/ZPGHy4ep7X http://t.co/gf262TA5Yh,Unknown,Russian,2015-07-16 09:32:00,2015-07-16 09:32:00,1226,285,2291,R,1
Fiona__Ona,Александр Морозов назначен заместителем главы Минпромторга РФ http://t.co/Sv9T5AwpbL,Unknown,Russian,2015-07-16 14:32:00,2015-07-16 14:32:00,1226,285,2292,R,1
Fiona__Ona,Глава МИД Таиланда официально пригласил Путина посетить страну http://t.co/I9xwEkDuCz,Unknown,Russian,2015-07-16 16:51:00,2015-07-16 16:52:00,1226,285,2293,R,1
Fiona__Ona,СМИ: Лохнесское чудовище может оказаться гигантским сомом http://t.co/sKyuyBG8jJ http://t.co/61dg2z7aWk,Unknown,Russian,2015-07-16 18:53:00,2015-07-16 18:53:00,1226,285,2294,R,1
Fiona__Ona,Поддержим! #ВсёДляНауки,Unknown,Russian,2015-07-16 19:17:00,2015-07-16 19:17:00,1226,285,2295,,0
Fiona__Ona,Нужно ли давать 11 лет за разработку на запрещенном веществе? #ВсёДляНауки,Unknown,Russian,2015-07-16 19:43:00,2015-07-16 19:43:00,1226,285,2296,,0
Fiona__Ona,#ВсёДляНаукикрайняя безответственность Лопатина вышла ему боком,Unknown,Russian,2015-07-16 20:00:00,2015-07-16 20:00:00,1226,285,2297,,0
Fiona__Ona,"Он не виноват ,откуда он мог знать? #ВсёДляНауки",Unknown,Ukrainian,2015-07-16 20:16:00,2015-07-16 20:16:00,1226,285,2298,,0
Fiona__Ona,"Мутко: видим, что у нашего футбола есть хорошее будущее http://t.co/FuJ56bFT4s",Unknown,Russian,2015-07-16 20:31:00,2015-07-16 20:31:00,1226,285,2299,R,1
