author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
FlagFlanagan,Hello Twitter! #myfirstTweet,United States,LANGUAGE UNDEFINED,2017-05-22T10:50:00,2017-05-22T10:50:00,39.0000000000,0E-10,1.0000000000,,False
FlagFlanagan,"Ringling Bros. and Barnum &amp; Bailey Circus takes final bow after 146 years of the ""Greatest Show on Earth."" https://t.co/ghWUKVCVYT https://t.co/03xW3ZxgMD",United States,English,2017-05-22T10:51:00,2017-05-22T10:51:00,40.0000000000,0E-10,4.0000000000,R,True
FlagFlanagan,Pomp and policy in Saudi Arabia https://t.co/5ZN4vOkyPJ https://t.co/1DX8OMAXsO,United States,English,2017-05-22T10:51:00,2017-05-22T10:51:00,40.0000000000,0E-10,3.0000000000,R,True
FlagFlanagan,"Trump's budget proposal will slash Medicaid, food stamps programs: reports https://t.co/PbrQeUGNND https://t.co/tA77iV6pa9",United States,English,2017-05-22T10:51:00,2017-05-22T10:51:00,40.0000000000,0E-10,2.0000000000,R,True
FlagFlanagan,Um. I think Canada is doing just fine. #MakeCanadaSexier https://t.co/pcv7gIrhnb,United States,English,2017-05-23T09:40:00,2017-05-23T09:41:00,5.0000000000,2.0000000000,6.0000000000,R,True
FlagFlanagan,"#MakeCanadaSexier Dildo, Newfoundland...need I say more??? 😏😏😏 https://t.co/DCGp9v4JxG",United States,English,2017-05-23T09:40:00,2017-05-23T09:41:00,5.0000000000,2.0000000000,5.0000000000,R,True
FlagFlanagan,#TuesdayThoughts 'All people are born alike - except Republicans and Democrats' - Groucho Marx https://t.co/YxaPvoPJ5E,United States,English,2017-05-23T09:43:00,2017-05-23T09:43:00,5.0000000000,2.0000000000,7.0000000000,,False
FlagFlanagan,"Awful, our prayers are with the families of the victims https://t.co/yCnJQmbLwp",United States,English,2017-05-23T09:43:00,2017-05-23T09:43:00,5.0000000000,2.0000000000,8.0000000000,Q,True
FlagFlanagan,"2 tractor trailers, a MARTA bus and a car were involved in a wreck on I-285 SB @ Washington Rd due to trees down. https://t.co/IXXSrGwZRa https://t.co/oo9zhXMe7G",United States,English,2017-05-23T09:44:00,2017-05-23T09:44:00,5.0000000000,2.0000000000,9.0000000000,R,True
FlagFlanagan,Ariana Grande concert attack: Parents frantically search for their missing children https://t.co/H7y2TnpfEu https://t.co/dbA2DQgLd3,United States,English,2017-05-23T09:44:00,2017-05-23T09:44:00,5.0000000000,2.0000000000,10.0000000000,R,True
FlagFlanagan,The death toll in the Manchester Arena bombing has risen to 22. Follow here for updates.  https://t.co/6WmWq1Ofel,United States,English,2017-05-23T09:44:00,2017-05-23T09:44:00,5.0000000000,2.0000000000,11.0000000000,R,True
