author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
GrishinVanno,Переговоры Украины с миссией МВФ с треском провалены. В лучшем случае деньги дадут осенью http://t.co/HWPJ2lnMZH,Unknown,Russian,2015-06-04 16:08:00,2015-06-04 16:08:00,1257,114,496,R,1
GrishinVanno,Самарские мамы попросили добавки и что об этом думают  http://t.co/Yxn0yj551a  http://t.co/MXrsUTfWFw http://t.co/MF1zcVoaoX,Unknown,Russian,2015-06-18 15:51:00,2015-06-18 15:51:00,1257,113,501,R,1
GrishinVanno,Неужели эта эпопея закончена?!  Россия и Франция сумму неустойки за «Мистрали» согласовали. http://t.co/bijSav6m0J http://t.co/pJ3dkRNZ9t,Unknown,Russian,2015-07-02 10:05:00,2015-07-02 10:05:00,1254,112,508,R,1
GrishinVanno,#Росмолодежь : идеи саммита молодежи БРИКС будут основой общей программы #BRICS  http://t.co/w3pcMGp8YU @fadm_ru http://t.co/IylNygnVxD,Unknown,Russian,2015-07-07 07:42:00,2015-07-07 07:42:00,1253,113,509,R,1
GrishinVanno,"Самое главное и ценное в жизни-это семья. Сначала та, в которой ты рождаешься, а затем та, которую создаешь сам! #СчастливаяСтрана",Unknown,Russian,2015-07-10 15:54:00,2015-07-10 15:54:00,1250,110,515,R,1
GrishinVanno,Дурачек бестолковый #СмехСквозьСлезы https://t.co/jyFjb9cVbw http://t.co/hpTyM4hIrw,Unknown,Bulgarian,2015-07-22 15:37:00,2015-07-22 15:37:00,1134,110,522,R,1
GrishinVanno,Снимки со спутников никогда не будут предоставлены по двум причинам http://t.co/D8jlLgQESO,Unknown,Russian,2015-07-27 11:11:00,2015-07-27 11:11:00,1133,111,530,R,1
GrishinVanno,#НиШагуНазад - приказ № 227 Народного комиссара обороны СССР И. В. Сталина от 28 июля 1942 года http://t.co/mk1B8snSk3,Unknown,Russian,2015-07-28 15:02:00,2015-07-28 15:02:00,1133,110,531,R,1
GrishinVanno,Взрыв на борту - причина крушения Боинга  http://t.co/yOVWSP7pMa,Unknown,Russian,2015-07-29 11:47:00,2015-07-29 11:47:00,1134,110,533,R,1
GrishinVanno,"Савченко в суде пытались передать пиво и конфеты. Порошенко, как ценитель и того и другого, предложил свой вариант http://t.co/a3Do9hajXu",Unknown,Russian,2015-07-30 10:52:00,2015-07-30 10:53:00,1134,110,535,R,1
GrishinVanno,бессовестные люди #ВернитеДиану http://t.co/E7OxbkGWxH,Unknown,Russian,2015-07-31 14:49:00,2015-07-31 14:49:00,1134,110,536,R,1
GrishinVanno,Власти Японии продолжают требовать от США объяснений касательно утечек WikiLeaks http://t.co/kvH69uTjks http://t.co/wPARcVLOJw,Unknown,Russian,2015-08-04 15:12:00,2015-08-04 15:12:00,1134,110,537,R,1
GrishinVanno,"'@VRSoloviev ФИБА отменила свое решение, наши сборные снова допустили до соревнований!  http://t.co/4OcqFxND9O'",Unknown,Russian,2015-08-09 11:18:00,2015-08-09 11:18:00,1134,109,539,R,1
GrishinVanno,"Новосибирцы стали «отличниками войсковой разведки», молодцы пацаны!  http://t.co/BQfF6j6o1h",Unknown,Russian,2015-08-13 13:55:00,2015-08-13 13:55:00,1134,109,546,R,1
GrishinVanno,Захарченко: ОБСЕ игнорирует гибель мирных жителей   http://t.co/bvDdvi71yc http://t.co/7Wyyi5sYdh,Unknown,Russian,2015-08-20 07:29:00,2015-08-20 07:29:00,1130,110,557,R,1
GrishinVanno,"История о том, как заказать петербургское такси в Пулково за 4 тыс и опоздать на 5 часов...  http://t.co/XLPkFKj0xZ http://t.co/Ry8us3IknM",Unknown,Russian,2015-09-08 16:23:00,2015-09-08 16:23:00,1127,112,576,R,1
GrishinVanno,"Вот в такую ситуацию можно попасть, если заказать первое попавшееся такси  http://t.co/lLiWML7UCi http://t.co/EGzPOn15mO",Unknown,Russian,2015-09-09 12:30:00,2015-09-09 12:30:00,1127,111,577,R,1
GrishinVanno,Беспилотники США нанесли удары по Сирийской армии. Нарываются...  http://t.co/3243r3PhUG http://t.co/DCvbBFD57H,Unknown,Russian,2015-09-13 12:18:00,2015-09-13 12:18:00,1123,113,587,R,1
GrishinVanno,Легко ли стать смертником?  http://t.co/t4ia90feH1,Unknown,Russian,2015-09-23 16:42:00,2015-09-23 16:42:00,1124,111,592,R,1
GrishinVanno,"Очевидно, вращение придается Украине каждый раз после заседания кредиторов МВФ http://t.co/L6oC58ydVh",Unknown,Russian,2015-10-10 17:57:00,2015-10-10 17:57:00,1115,106,600,R,1
GrishinVanno,Тысячи иранских солдат высадились в Сирии для участия в наземной операции http://t.co/gDJTqtPPTG http://t.co/66bVXE0rpp,Unknown,Russian,2015-10-14 09:27:00,2015-10-14 09:27:00,1115,110,597,R,1
GrishinVanno,'@HillaryClinton Kerry nightmare  http://t.co/BE81NeNypc http://t.co/AS5FabxLkN',Unknown,English,2015-10-14 12:09:00,2015-10-14 12:09:00,1115,110,599,R,1
