author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
garik999999,Нарышкин сравнил саммит G7 с «мюнхенским сговором» http://t.co/Rr6XBdClOF http://t.co/4QvpbMVDc3,United States,Russian,2015-06-30 14:14:00,2015-06-30 14:14:00,1989,530,9607,R,1
garik999999,Валентина Матвиенко: в ЕС боятся мощного голоса России http://t.co/UaGqGFQSgw,United States,Russian,2015-07-01 14:31:00,2015-07-01 14:31:00,1988,529,9609,R,1
garik999999,Россия – мировой лидер по производству инженеров  http://t.co/uhxqw3AEIr http://t.co/MQeiV8zx2P,United States,Russian,2015-07-01 15:19:00,2015-07-01 15:19:00,1988,529,9610,R,1
garik999999,Строительство 10 станций метро начнется до конца года http://t.co/fove38SHAE,United States,Russian,2015-07-13 15:31:00,2015-07-13 15:33:00,1981,531,9611,R,1
garik999999,Красиво https://t.co/rKnZEzGQ9o,United States,Russian,2015-07-15 18:31:00,2015-07-15 18:31:00,1981,531,9618,R,1
garik999999,"Ххлы, ну вы чо?  http://t.co/14dSp5AOMj http://t.co/9ZqWwlfJns",United States,Russian,2015-07-16 08:32:00,2015-07-16 08:32:00,1981,531,9622,R,1
garik999999,"На северо-востоке Нигерии прогремели два взрыва, есть жертвы http://t.co/n0O26JpGxt",United States,Russian,2015-07-16 18:53:00,2015-07-16 18:53:00,1979,531,9624,R,1
garik999999,В Раду внесли закон о денонсации договора с Россией об Азовском море: http://t.co/Ny44DAfZob,United States,Russian,2015-07-17 04:32:00,2015-07-17 04:32:00,1980,533,9633,R,1
garik999999,"Якин: не считаю, что провалился в «Спартаке», но об этом должны судить другие http://t.co/5tFjXfyrXx",United States,Russian,2015-07-17 08:12:00,2015-07-17 08:12:00,1980,533,9636,R,1
garik999999,Яценюк потребовал уволить всех судей в Украине http://t.co/IQ0YWapfi4,United States,Russian,2015-07-17 11:32:00,2015-07-17 11:32:00,1980,533,9638,R,1
garik999999,"'@salty_1970 @volcha57 @sfor81 @bwcooler @HKBD1937 @belozor сало будете,креаклы?'",United States,Russian,2015-07-18 13:12:00,2015-07-18 13:12:00,1980,533,9640,R,1
garik999999,Юсупов: поначалу было психологически непросто играть против бывшей команды http://t.co/BdoexgZtQR,United States,Russian,2015-07-19 14:31:00,2015-07-19 14:32:00,1980,532,9640,R,1
garik999999,В греческом салате из греческого было только оливковое масло :),United States,Russian,2015-07-19 17:11:00,2015-07-19 17:12:00,1980,532,9641,R,1
garik999999,"В ночном клубе Мариуполя избит боец батальона ""Донбасс"" http://t.co/xFjdU88WZc",United States,Russian,2015-07-20 10:11:00,2015-07-20 10:11:00,1980,532,9643,R,1
garik999999,"Медведев: РФ нужны инженеры нового поколения, способные на инновационные преобразования http://t.co/L0Te1THuGB",United States,Russian,2015-07-20 12:51:00,2015-07-20 12:53:00,1980,532,9644,R,1
garik999999,"Простое объяснение, почему у Китая все плохо с биржей. Вкратце: потому что все тупые.    https://t.co/tjdz9OPk1l",United States,Russian,2015-07-20 17:31:00,2015-07-20 17:31:00,1980,532,9645,R,1
garik999999,Марк Мобиус — РБК: «Россия всегда будет хорошим местом для инвестиций» http://t.co/H6Xzuf1A06,United States,Russian,2015-07-21 17:12:00,2015-07-21 17:12:00,1480,531,9650,R,1
garik999999,'@turist532 Дароф!',United States,Russian,2015-07-22 04:11:00,2015-07-22 04:11:00,1480,532,9651,R,1
garik999999,Делегация французских парламентариев во главе с Тьери Мариани прибыла в Москву http://t.co/GxR46uohKn,United States,Russian,2015-07-22 22:12:00,2015-07-22 22:13:00,1480,534,9655,R,1
