author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
geomakss123,Toyota GT86 в стиле TRON http://t.co/nQkGfRlkcO,Unknown,Russian,2015-05-12 10:35:00,2015-05-12 10:35:00,23,1,7,,0
geomakss123,90-летие чемпионов: день рождения ФК «Зенит» http://t.co/EvUdZxb8iF,Unknown,Russian,2015-05-25 09:11:00,2015-05-25 09:11:00,24,3,92,,0
geomakss123,2013 Mercedes-Benz G63/G65 http://t.co/ycsyy2otzr,Unknown,Spanish,2015-05-28 08:42:00,2015-05-28 08:43:00,24,3,105,,0
geomakss123,"Cоздана 3D-микробатарея, способная сделать чипы независимыми от внешних источников энергии http://t.co/Q0xHpr3R2O",Unknown,Russian,2015-05-28 10:29:00,2015-05-28 10:29:00,24,3,111,,0
geomakss123,"Паранойя, которую оппозиция сама распространяет http://t.co/q9WSJtzu1z",Unknown,Russian,2015-05-29 08:07:00,2015-05-29 08:08:00,24,3,114,,0
geomakss123,Gap Year http://t.co/MSQd8m9z6X,Unknown,Russian,2015-05-29 09:47:00,2015-05-29 09:47:00,24,3,121,,0
geomakss123,Предстоящий саммит G7 в ЕС пройдет без России http://t.co/TYZk8vuagt,Unknown,Russian,2015-06-01 09:31:00,2015-06-01 09:31:00,24,3,131,,0
geomakss123,MRT 2015 Ford Mustang EcoBoost. http://t.co/QjI6Aadqzz,Unknown,Farsi (Persian),2015-06-01 09:33:00,2015-06-01 09:33:00,24,3,132,,0
geomakss123,Бывшая http://t.co/veUfjMBPfV,Unknown,Russian,2015-06-05 17:45:00,2015-06-05 17:46:00,24,4,149,,0
geomakss123,Совпадение? http://t.co/1NkyyuayBg,Unknown,Russian,2015-06-08 13:46:00,2015-06-08 13:48:00,24,4,163,,0
geomakss123,Не позволяйте шуму чужих мнений перебить ваш внутренний голос http://t.co/bAEDHC14Wk,Unknown,Russian,2015-06-10 09:45:00,2015-06-10 09:45:00,24,4,180,,0
geomakss123,Нужно ли России развязывать третью мировую войну? http://t.co/w2kKYxkH2U #сша #война #g7 #общество #нато #политика #россия,Unknown,Russian,2015-06-13 16:55:00,2015-06-13 16:55:00,24,3,200,,0
geomakss123,Cadillac Elmiraj Concept http://t.co/3OzlnFpjrT,Unknown,Russian,2015-06-17 06:59:00,2015-06-17 06:59:00,24,3,219,,0
geomakss123,Если бы у Coca-Cola были правдивые статусы http://t.co/x7GPSKNY7h,Unknown,Russian,2015-06-17 07:50:00,2015-06-17 07:50:00,24,3,222,,0
geomakss123,Баба грустит http://t.co/28dH5KPLGD,Unknown,Russian,2015-06-18 17:40:00,2015-06-18 17:43:00,24,3,247,,0
geomakss123,Выступление политика Украины на канале Fox http://t.co/y4G4E5QKSt,Unknown,Russian,2015-06-21 08:14:00,2015-06-21 08:14:00,24,3,252,,0
geomakss123,Сегодня были продлены санкции ЕС http://t.co/Q04nlO8xIN,Unknown,Russian,2015-06-22 09:45:00,2015-06-22 09:45:00,24,3,277,,0
geomakss123,Полноценный особняк на колесах на 6 человек GCT CR-1 Carbon Fiber RV http://t.co/P1nXWV46xH,Unknown,Russian,2015-06-26 12:01:00,2015-06-26 12:01:00,24,3,300,,0
geomakss123,"Первые Европейские игры показали, что спорт в России на высоком уровне http://t.co/a4nKZS3N1V",Unknown,Russian,2015-06-29 08:34:00,2015-06-29 08:34:00,24,3,304,,0
geomakss123,Byugore Pool Party 2015 http://t.co/zC7jCgezUR,Unknown,Estonian,2015-06-30 10:30:00,2015-06-30 10:30:00,24,2,317,,0
geomakss123,Запад ввел санкции против Александра Гельевича Дугина http://t.co/zyHeehd89e,Unknown,Russian,2015-06-30 14:10:00,2015-06-30 14:10:00,24,2,321,,0
geomakss123,В Дании начнут продавать пиво из мочи http://t.co/oRbTfNPFt0,Unknown,Russian,2015-07-07 14:36:00,2015-07-07 14:36:00,24,1,341,,0
geomakss123,Mercedes-Benz поделился деталями о новом поколении E-Class http://t.co/eZNLKzLK99,Unknown,Russian,2015-07-15 09:11:00,2015-07-15 09:12:00,24,1,358,,0
geomakss123,Alfa Future People http://t.co/NueW9esmYN,Unknown,English,2015-07-23 08:07:00,2015-07-23 08:07:00,24,2,397,,0
geomakss123,АвтоВаз http://t.co/1mLz8Q8g3l,Unknown,Russian,2015-07-23 09:50:00,2015-07-23 09:50:00,24,2,402,,0
geomakss123,Скоро Минобороны получит свою систему беспилотников http://t.co/6zoAHErfNH,Unknown,Russian,2015-07-24 08:47:00,2015-07-24 08:48:00,24,2,407,,0
