author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
HerNameIsCutie,#ScientificTVShows How I met your motherboard,United States,English,2015-05-13T08:25:00,2015-05-13T08:25:00,344.0000000000,263.0000000000,1272.0000000000,R,True
HerNameIsCutie,Modern Family: Hominidae #ScientificTVShows @midnight,United States,English,2015-05-13T08:25:00,2015-05-13T08:25:00,344.0000000000,263.0000000000,1271.0000000000,R,True
HerNameIsCutie,#ScientificTVShows Bunsen Burn Notice,United States,English,2015-05-13T08:26:00,2015-05-13T08:26:00,344.0000000000,263.0000000000,1273.0000000000,R,True
HerNameIsCutie,#BadNickNamesForYourGirlfriend  calling ur girlfriend as a 'fan',United States,English,2015-05-16T08:41:00,2015-05-16T08:41:00,330.0000000000,267.0000000000,1275.0000000000,R,True
HerNameIsCutie,#BadNickNamesForYourGirlfriend stubby legs,United States,English,2015-05-16T08:42:00,2015-05-16T08:42:00,330.0000000000,267.0000000000,1278.0000000000,R,True
HerNameIsCutie,Promised to 'drink coffee some day' and really have it done. The most boring day of my life #MyRashDecision http://t.co/XJ3U08DNEz,United States,English,2015-05-16T15:05:00,2015-05-16T15:06:00,330.0000000000,273.0000000000,1279.0000000000,,False
HerNameIsCutie,Copy & Pasta  #MakeTechEdible,United States,Romanian,2015-05-18T13:44:00,2015-05-18T13:44:00,329.0000000000,269.0000000000,1282.0000000000,R,True
HerNameIsCutie,Micro-Chip Cookies @NoompsyDahling #MakeTechEdible,United States,Spanish,2015-05-18T13:45:00,2015-05-18T13:45:00,329.0000000000,269.0000000000,1286.0000000000,R,True
HerNameIsCutie,#MakeTechEdible Microsoft shell crab,United States,English,2015-05-18T13:45:00,2015-05-18T13:45:00,329.0000000000,269.0000000000,1284.0000000000,R,True
HerNameIsCutie,Smartie Phones  #MakeTechEdible,United States,English,2015-05-18T13:45:00,2015-05-18T13:45:00,329.0000000000,269.0000000000,1285.0000000000,R,True
HerNameIsCutie,Popup Tarts #MakeTechEdible,United States,English,2015-05-18T13:45:00,2015-05-18T13:46:00,329.0000000000,269.0000000000,1287.0000000000,R,True
