author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
IRNELLA1,ЕЩЁ ОДИН ПЛЕВОК В ГРОБ ЖАННЫ ФРИСКЕ http://t.co/hnp2AgplWq,United Arab Emirates,Serbian,2015-06-21T19:46:00,2015-06-21T19:48:00,1385.0000000000,209.0000000000,2654.0000000000,,False
IRNELLA1,"Пропаганда извращений в играх Mass Effect, Dragon Age и Sims http://t.co/Qvd5rNTD0O",United Arab Emirates,Russian,2015-06-23T09:47:00,2015-06-23T09:47:00,1385.0000000000,209.0000000000,2660.0000000000,,False
IRNELLA1,"Камни, которые выглядят как еда http://t.co/VwySUFIq88",United Arab Emirates,Russian,2015-06-24T14:11:00,2015-06-24T14:12:00,1385.0000000000,209.0000000000,2672.0000000000,,False
IRNELLA1,7 стереотипов о жителях русских городов http://t.co/Ms549FNLmr,United Arab Emirates,Russian,2015-06-26T13:56:00,2015-06-26T13:57:00,1385.0000000000,209.0000000000,2686.0000000000,,False
IRNELLA1,"Американская ракета Falcon 9 взорвалась, не долетев до МКС http://t.co/yqS6u7AaTy http://t.co/DHscY0Jng1",United Arab Emirates,Ukrainian,2015-06-28T16:32:00,2015-06-28T16:32:00,1385.0000000000,209.0000000000,2697.0000000000,R,True
IRNELLA1,Вкусные гадости от Lily Vanilli http://t.co/1hUO9UtGoy,United Arab Emirates,Russian,2015-06-30T17:38:00,2015-06-30T17:38:00,1385.0000000000,210.0000000000,2714.0000000000,,False
IRNELLA1,Что просили у Деда Мороза школьники 80-х годов? http://t.co/rRd67qpjKt,United Arab Emirates,Russian,2015-07-01T12:51:00,2015-07-01T12:52:00,1385.0000000000,210.0000000000,2714.0000000000,,False
IRNELLA1,"Россия не исключает расширения БРИКС, но не хочет торопиться http://t.co/ntp0IBpb0h http://t.co/gJs4eC38Pw",United Arab Emirates,Russian,2015-07-09T07:51:00,2015-07-09T07:51:00,1384.0000000000,208.0000000000,2752.0000000000,R,True
IRNELLA1,Широков: реализация у Зе Луиша пока чуть ли не стопроцентная http://t.co/7Xwn5Tj1Bb,United Arab Emirates,Ukrainian,2015-07-15T16:12:00,2015-07-15T16:13:00,880.0000000000,209.0000000000,2783.0000000000,R,True
IRNELLA1,"Испанский ФК ""Реал"" остался самым дорогим клубом мира по версии Forbes http://t.co/BcEVXaHKPW",United Arab Emirates,Russian,2015-07-15T17:55:00,2015-07-15T17:55:00,880.0000000000,209.0000000000,2785.0000000000,R,True
