author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
IvanNikiphorof,"#ВрагБудетРазбит 22 июня 1941 года. День, когда началась война",Unknown,Russian,2015-06-22T16:15:00,2015-06-22T16:15:00,212.0000000000,85.0000000000,497.0000000000,,False
IvanNikiphorof,#ВрагБудетРазбит санкции? Да всем наплевать,Unknown,Russian,2015-06-22T16:21:00,2015-06-22T16:21:00,212.0000000000,85.0000000000,498.0000000000,,False
IvanNikiphorof,"#ВрагБудетРазбит Санкции-это уже не серьёзно, что за клоунада??",Unknown,Ukrainian,2015-06-22T16:48:00,2015-06-22T16:48:00,212.0000000000,85.0000000000,500.0000000000,,False
IvanNikiphorof,#ВжеВмерла http://t.co/Yx0QmR6caS,Unknown,Russian,2015-06-28T16:25:00,2015-06-28T16:26:00,211.0000000000,85.0000000000,511.0000000000,,False
IvanNikiphorof,Санкции и бойкот НАТО не помешали VII военно-морскому салону  http://t.co/6WYpCxFqVL http://t.co/O5jLrkPm61,Unknown,Ukrainian,2015-07-08T16:22:00,2015-07-08T16:22:00,211.0000000000,84.0000000000,524.0000000000,R,True
IvanNikiphorof,Савченко может грозить до 25 лет тюрьмы. Мало! Ей за все ее преступления и пожизненного мало! http://t.co/cEgGmDCikQ,Unknown,Russian,2015-07-13T13:17:00,2015-07-13T13:18:00,211.0000000000,84.0000000000,529.0000000000,R,True
IvanNikiphorof,Провокаторов всегда хватает https://t.co/4GOhGkS7jj #РусскиеВарвары,Unknown,Russian,2015-07-14T19:19:00,2015-07-14T19:19:00,211.0000000000,84.0000000000,534.0000000000,,False
IvanNikiphorof,#РусскиеВарвары какие же мы дикари и варвары??? https://t.co/4GOhGkS7jj,Unknown,Russian,2015-07-14T19:40:00,2015-07-14T19:40:00,211.0000000000,84.0000000000,535.0000000000,,False
IvanNikiphorof,'@MaxDementiev @SPB_citizen @zapvv  мазафакер',Unknown,Russian,2015-07-16T22:13:00,2015-07-16T22:13:00,211.0000000000,84.0000000000,537.0000000000,,False
IvanNikiphorof,"Жизнь Донецка, Луганска и Горловки после освобождения из зоны АТО http://t.co/iiQytsP5hU",Unknown,Russian,2015-07-27T12:15:00,2015-07-27T12:17:00,108.0000000000,81.0000000000,540.0000000000,R,True
IvanNikiphorof,«ВКонтакте» занимает 18-е место в рейтинге социальных сетей на 2015й год   http://t.co/Ab9FUiPmcJ,Unknown,Russian,2015-08-05T11:58:00,2015-08-05T11:58:00,108.0000000000,82.0000000000,547.0000000000,R,True
IvanNikiphorof,"#ПосланиеПотомкам Одно послание- сохраните страну. Сделайте ее еще лучше, помните о Родине, где бы вы не находились. http://t.co/eMODJLrV74",Unknown,Russian,2015-08-14T18:41:00,2015-08-14T18:41:00,108.0000000000,81.0000000000,562.0000000000,R,True
IvanNikiphorof,У финансовых рынков почва уходит из-под ног.  Падают практически все фондовые и сырьевые активы  #BlackMonday http://t.co/5fFMP0RW2k,Unknown,Russian,2015-08-24T14:43:00,2015-09-20T03:08:00,108.0000000000,80.0000000000,571.0000000000,R,True
IvanNikiphorof,Опять кризис? http://t.co/OKWY6vvVqX,Unknown,Russian,2015-08-24T17:13:00,2015-08-24T17:13:00,108.0000000000,80.0000000000,572.0000000000,R,True
IvanNikiphorof,Если вас волнует курс рубля http://t.co/rTky7gmeuR,Unknown,Russian,2015-08-24T17:18:00,2015-08-24T17:18:00,108.0000000000,80.0000000000,573.0000000000,R,True
IvanNikiphorof,'@BondarchukViach @korobkov @LevSharansky Мировые цены на нефть опять снизились http://t.co/6OUtSu7VR8 http://t.co/C3jYvj7L7c',Unknown,Russian,2015-08-31T09:59:00,2015-09-27T07:59:00,108.0000000000,81.0000000000,579.0000000000,R,True
IvanNikiphorof,'@realDonaldTrump http://t.co/SH7cQiOMsy',Unknown,Russian,2015-08-31T15:09:00,2015-08-31T15:09:00,108.0000000000,81.0000000000,583.0000000000,R,True
IvanNikiphorof,"Нет ничего невозможного, если ты охерел до нужной степени",Unknown,Russian,2015-09-04T16:32:00,2015-09-04T16:33:00,108.0000000000,81.0000000000,590.0000000000,R,True
IvanNikiphorof,Эксперты: развитие туризма в Санкт-Петербурге тормозит низкое качество игроков на рынке такси  http://t.co/W3bB3bbnOP http://t.co/o1gTA7lbz9,Unknown,Russian,2015-09-08T15:08:00,2015-09-08T15:09:00,108.0000000000,80.0000000000,594.0000000000,R,True
IvanNikiphorof,'@burmatoff Бурматов: Программа по увеличению конкурентоспособности вузов РФ провалилась http://t.co/WwohHlQ1Yt',Unknown,Russian,2015-09-16T12:35:00,2015-09-16T12:35:00,105.0000000000,79.0000000000,603.0000000000,R,True
IvanNikiphorof,Советские солдаты противостоят врагу во время сражения @MatEvidence http://t.co/vyIH0dJDhM,Unknown,Russian,2015-09-17T12:37:00,2015-09-17T12:40:00,105.0000000000,79.0000000000,610.0000000000,R,True
IvanNikiphorof,"Меркель видит кризис, но не видит его причин   http://t.co/K02VLQDsJR http://t.co/45LfDDSwJy",Unknown,Ukrainian,2015-09-25T15:17:00,2015-09-25T15:18:00,105.0000000000,81.0000000000,618.0000000000,R,True
IvanNikiphorof,#НоваяЛада В Ижевске начинается серийное производство LADA Vesta,Unknown,Russian,2015-09-25T15:42:00,2015-09-25T15:42:00,105.0000000000,81.0000000000,619.0000000000,,False
IvanNikiphorof,«АвтоВАЗ» начал серийное производство Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-25T15:44:00,2015-09-25T15:44:00,105.0000000000,81.0000000000,620.0000000000,,False
IvanNikiphorof,"Lada Vesta: примерная цена, кросс-универсал и отсроченный хэтч #НоваяЛада",Unknown,Russian,2015-09-25T15:48:00,2015-09-25T15:48:00,105.0000000000,81.0000000000,621.0000000000,,False
IvanNikiphorof,#НоваяЛада «АвтоВАЗ» запустил серийное производство фирменных Lada Vesta,Unknown,Russian,2015-09-25T15:50:00,2015-09-25T15:50:00,105.0000000000,82.0000000000,622.0000000000,,False
IvanNikiphorof,#НоваяЛада 25 сентября в Ижевске стартует серийное производство LADA Vesta,Unknown,Serbian,2015-09-25T16:07:00,2015-09-25T16:07:00,105.0000000000,82.0000000000,623.0000000000,,False
IvanNikiphorof,«АвтоВАЗ» начал серийный выпуск Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-28T18:07:00,2015-09-28T18:08:00,105.0000000000,83.0000000000,624.0000000000,,False
IvanNikiphorof,#НоваяЛада Завтра - старт серийного производства LADA Vesta,Unknown,Russian,2015-09-28T18:15:00,2015-09-28T18:15:00,105.0000000000,83.0000000000,625.0000000000,,False
IvanNikiphorof,АвтоВАЗ начал серийное производство нового автомобиля Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-28T18:18:00,2015-09-28T18:19:00,105.0000000000,83.0000000000,627.0000000000,,False
IvanNikiphorof,Сергей Асланян: жесткое мнение о новой Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-28T18:25:00,2015-09-28T18:25:00,105.0000000000,83.0000000000,628.0000000000,,False
IvanNikiphorof,В Ижевске запущено серийное производство Lada Vesta #НоваяЛада,Unknown,Serbian,2015-09-28T18:31:00,2015-09-28T18:31:00,105.0000000000,83.0000000000,629.0000000000,,False
IvanNikiphorof,Президент «АвтоВАЗа»: Vesta возвращает гордость за бренд LADA #НоваяЛада,Unknown,Russian,2015-09-28T18:40:00,2015-09-28T18:40:00,105.0000000000,83.0000000000,630.0000000000,,False
IvanNikiphorof,Официально стартовало производство новой Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-28T18:41:00,2015-09-28T18:41:00,105.0000000000,83.0000000000,631.0000000000,,False
IvanNikiphorof,#НоваяЛада «Автоваз» запустил серийное производство LADA Vesta,Unknown,Russian,2015-09-28T18:45:00,2015-09-28T18:45:00,105.0000000000,83.0000000000,632.0000000000,,False
IvanNikiphorof,#НоваяЛада Запуск Lada Vesta в Ижевске: старт продаж - 25 ноября,Unknown,Serbian,2015-09-28T18:51:00,2015-09-28T18:51:00,105.0000000000,83.0000000000,633.0000000000,,False
IvanNikiphorof,"Негры и без тебя смогут в ЦСКА голы ""Амкару"" забивать #СлуцкийНеУходи http://t.co/1jGoboeOy9",Unknown,Russian,2015-10-13T15:11:00,2015-10-13T15:12:00,105.0000000000,79.0000000000,630.0000000000,R,True
IvanNikiphorof,'@realDonaldTrump @HillaryClinton @nytimes Т http://t.co/n2OzNgDG4y',Unknown,Russian,2015-10-17T14:58:00,2015-10-17T14:58:00,106.0000000000,79.0000000000,634.0000000000,R,True
IvanNikiphorof,Ужасы школьной практики http://t.co/rFM1wde5m6,Unknown,Russian,2015-10-18T16:49:00,2015-10-18T16:49:00,106.0000000000,79.0000000000,636.0000000000,R,True
IvanNikiphorof,В Черногории 5000 чел. вышли на протестные акции против вступления страны в НАТО и за расформирование правительства  https://t.co/i7ANovQonf,Unknown,Russian,2015-10-25T14:31:00,2015-10-25T14:31:00,106.0000000000,79.0000000000,642.0000000000,R,True
IvanNikiphorof,"Размещение российских С-400 в Сирии, ноябрь 2015 года  #Syria #Latakia #S400 https://t.co/xpWHKUdsv6",Unknown,Russian,2015-11-26T16:28:00,2015-11-26T16:28:00,106.0000000000,74.0000000000,661.0000000000,R,True
IvanNikiphorof,Кому это НАТО?  https://t.co/mLFNSE5oY9,Unknown,Ukrainian,2015-12-02T15:06:00,2015-12-02T15:09:00,105.0000000000,75.0000000000,662.0000000000,R,True
