author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Ivanovaquisipin,HP выпустит ПК с видеокартой Radeon R9 380 на борту,Unknown,Russian,2015-05-14T11:08:00,2015-05-14T11:08:00,232.0000000000,230.0000000000,5286.0000000000,,False
Ivanovaquisipin,"Помидоры из Сочи, или Как Москва понадобилась Вашингтону...",Unknown,Uzbek,2015-05-15T03:38:00,2015-05-15T03:38:00,228.0000000000,231.0000000000,5298.0000000000,R,True
Ivanovaquisipin,В городе Сочи. Олимпиада – праздник или стихийное...,Unknown,Russian,2015-05-16T05:48:00,2015-05-16T05:48:00,231.0000000000,231.0000000000,5312.0000000000,,False
Ivanovaquisipin,'@marina_al_22889 В Ливии застрелен замминистра промышленности',Unknown,Russian,2015-05-17T02:32:00,2015-05-17T02:32:00,228.0000000000,235.0000000000,5321.0000000000,,False
Ivanovaquisipin,"Конечно, Чемпионат Мира не Олимпиада, но именно после...",Unknown,Russian,2015-05-17T10:36:00,2015-05-17T10:36:00,228.0000000000,235.0000000000,5326.0000000000,,False
Ivanovaquisipin,'@aekeiqff Утечка химикатов в США: почти 800 пострадавших',Unknown,Serbian,2015-05-17T17:38:00,2015-05-17T17:38:00,231.0000000000,235.0000000000,5331.0000000000,,False
Ivanovaquisipin,"И так, дамы и господа... Прямо сейчас матч тура, дерби #СпартакЦСКА !!! На НТВ, СПОРТ-ПЛЮС, Наш Футбол HD ;) Посмотрим битву... #РФПЛ",Unknown,Russian,2015-05-17T20:05:00,2015-05-17T20:05:00,230.0000000000,235.0000000000,5333.0000000000,,False
Ivanovaquisipin,"Android начинает приносить разработчикам больше денег, чем iOS",Unknown,Russian,2015-05-18T16:35:00,2015-05-18T16:35:00,231.0000000000,235.0000000000,5348.0000000000,,False
Ivanovaquisipin,"Тизер нового Doom, полный анонс на E3 2015 #Музыка",Unknown,Russian,2015-05-18T18:08:00,2015-05-18T18:08:00,231.0000000000,235.0000000000,5349.0000000000,R,True
Ivanovaquisipin,МВФ призвал Россию ремировать экономику,Unknown,Russian,2015-05-19T06:41:00,2015-05-19T06:41:00,231.0000000000,236.0000000000,5356.0000000000,,False
Ivanovaquisipin,"...олимпиада по турецкому языку, призёрами которой стали...",Unknown,Russian,2015-05-19T13:19:00,2015-05-19T13:19:00,233.0000000000,236.0000000000,5359.0000000000,,False
Ivanovaquisipin,'@Malovastinduoca Hitler's ‘Mein Kampf’ becomes e-book blockbuster',Unknown,English,2015-05-19T17:07:00,2015-05-19T17:09:00,233.0000000000,236.0000000000,5360.0000000000,,False
Ivanovaquisipin,Олимпиада по предпринимательству «КапиталЪ»,Unknown,Bulgarian,2015-05-20T17:35:00,2015-05-20T17:35:00,230.0000000000,237.0000000000,5378.0000000000,R,True
Ivanovaquisipin,"Рочести: ПБК ЦСКА победил ""НН"", сильнее сыграв в концовке матча",Unknown,Russian,2015-05-22T08:42:00,2015-05-22T08:42:00,232.0000000000,238.0000000000,5399.0000000000,,False
Ivanovaquisipin,'@Novikovimcolber Интернет-торговля никогда не будет прежней – ее заметил Путин. Что ждет рынок электронной коммерции в 2014 году?',Unknown,Russian,2015-05-22T14:45:00,2015-05-22T14:45:00,232.0000000000,238.0000000000,5408.0000000000,,False
Ivanovaquisipin,И стоят-то всё умные люди,Unknown,Russian,2015-05-22T19:44:00,2015-05-22T19:44:00,231.0000000000,238.0000000000,5415.0000000000,R,True
Ivanovaquisipin,'@Popovquitarisy1 Honda представит в Детройте новую модель Fit',Unknown,Russian,2015-05-23T19:55:00,2015-05-23T19:55:00,232.0000000000,239.0000000000,5425.0000000000,,False
Ivanovaquisipin,"Олимпиада ""История и культура Ислама"" Накануне, 22 мая...",Unknown,Uzbek,2015-05-24T00:40:00,2015-05-24T00:40:00,231.0000000000,239.0000000000,5428.0000000000,R,True
Ivanovaquisipin,«Анжи» сыграл вничью с «Шинником»  #спорт #здоровье,Unknown,Ukrainian,2015-05-24T21:10:00,2015-05-24T21:10:00,233.0000000000,240.0000000000,5436.0000000000,R,True
Ivanovaquisipin,преподаватели не люди https://t.co/QyIIdOu5jq,Unknown,Bulgarian,2015-05-25T02:02:00,2015-05-25T02:02:00,233.0000000000,240.0000000000,5439.0000000000,R,True
Ivanovaquisipin,'@Gusevglosinnunt This is very interesting site…',Unknown,English,2015-05-25T21:50:00,2015-05-25T21:50:00,233.0000000000,240.0000000000,5445.0000000000,,False
Ivanovaquisipin,'@Milyutinatiguqu Suntory acquires Beam in $16bn deal',Unknown,English,2015-05-26T03:52:00,2015-05-26T03:52:00,233.0000000000,240.0000000000,5449.0000000000,,False
Ivanovaquisipin,'@Popovalerverimu This is very interesting site…',Unknown,English,2015-05-26T17:12:00,2015-05-26T17:12:00,233.0000000000,240.0000000000,5459.0000000000,,False
Ivanovaquisipin,'@Karpovdacefalni В среду в 12:30 ждем вас на концерте Nina Karlson. ФИО полностью присылайте на vgostym24@yandex.ru @…',Unknown,Russian,2015-05-27T20:09:00,2015-05-27T20:09:00,235.0000000000,241.0000000000,5470.0000000000,,False
Ivanovaquisipin,'@marina_al_22889 Спасибо огромное!',Unknown,Russian,2015-05-28T09:41:00,2015-05-28T09:41:00,236.0000000000,241.0000000000,5477.0000000000,,False
Ivanovaquisipin,"В программу Шестого фестиваля нового документального кино о музыке Beat Film Festival,",Unknown,Russian,2015-05-28T12:44:00,2015-05-28T12:44:00,236.0000000000,241.0000000000,5480.0000000000,R,True
Ivanovaquisipin,"Олимпиада 2014. Андрей Малахов, Дмитрий Борисов и Кирилл",Unknown,Uzbek,2015-05-28T16:59:00,2015-05-28T16:59:00,237.0000000000,241.0000000000,5483.0000000000,R,True
Ivanovaquisipin,"'@Petrovjusiserlo Опрос на сайте Олимпийских игр в Сочи sochi2014.ru. А """"другой вариант"""" — это что?'",Unknown,Russian,2015-05-28T21:58:00,2015-05-28T21:58:00,236.0000000000,241.0000000000,5486.0000000000,,False
Ivanovaquisipin,на модернизированном движке Ubisoft-AnvilNext. Релиз игры Men от инвестиций и планшетов; поиск и проведению,Unknown,Russian,2015-05-29T08:32:00,2015-05-29T08:32:00,236.0000000000,241.0000000000,5495.0000000000,R,True
Ivanovaquisipin,'@Bubnovatilaquiv Smallest 2018 World Cup City Making Progress – Official',Unknown,English,2015-05-29T09:45:00,2015-05-29T09:45:00,237.0000000000,241.0000000000,5497.0000000000,,False
Ivanovaquisipin,Wzor: RTM-версия Windows 10 выйдет в июле,Unknown,Russian,2015-05-30T00:29:00,2015-05-30T00:29:00,236.0000000000,242.0000000000,5501.0000000000,,False
Ivanovaquisipin,Еще мне снилось что мы с денстой поехали в Иркутск на моей машине . Заехали в спорт магаз и купили себе футболки футболистов вав,Unknown,Russian,2015-05-30T09:26:00,2015-05-30T09:26:00,237.0000000000,241.0000000000,5506.0000000000,R,True
Ivanovaquisipin,"Облагороженный пионерский пруд, из кафе доносится ненавязчивая музыка, обдувает легкий и теплый ветер… https://t.co/tFDUjV86oc",Unknown,Russian,2015-05-30T22:25:00,2015-05-30T22:25:00,235.0000000000,242.0000000000,5518.0000000000,R,True
Ivanovaquisipin,В Англии красивые сады и очень вежливые люди.,Unknown,Russian,2015-05-31T06:08:00,2015-05-31T06:08:00,235.0000000000,242.0000000000,5523.0000000000,R,True
Ivanovaquisipin,"Олимпиада 2012 - былых побед воспоминанье, грядущих поражений боль.",Unknown,Russian,2015-06-01T01:47:00,2015-06-01T01:47:00,236.0000000000,242.0000000000,5541.0000000000,R,True
Ivanovaquisipin,Sony выпустила смартфон Xperia Z3+,Unknown,Uzbek,2015-06-01T11:16:00,2015-06-01T11:16:00,236.0000000000,242.0000000000,5548.0000000000,,False
Ivanovaquisipin,'@Gusevaplanimnac Оппа. Случайно нашел. Интернет великая вещь. Спасибо автору.',Unknown,Russian,2015-06-01T19:18:00,2015-06-01T19:18:00,238.0000000000,242.0000000000,5553.0000000000,,False
Ivanovaquisipin,'@Lebedevniaejisa Японская Suntory приобретает производителя алкоголя Beam',Unknown,Russian,2015-06-02T18:20:00,2015-06-02T18:20:00,235.0000000000,242.0000000000,5566.0000000000,,False
Ivanovaquisipin,"Премьер-министр РФ Дмитрий Медведев заявил, что Россия...",Unknown,Bulgarian,2015-06-03T03:42:00,2015-06-03T03:43:00,236.0000000000,242.0000000000,5568.0000000000,R,True
Ivanovaquisipin,"...стадион, У нас своя олимпиада - За малышом бросок под стол...",Unknown,Russian,2015-06-03T15:53:00,2015-06-03T15:53:00,237.0000000000,242.0000000000,5573.0000000000,R,True
Ivanovaquisipin,'@Rakovfoegramamt Если покупаете новый телевизор - обязательно берите модель с DVB-T2 для приема 20 цифровых эфирных каналов!',Unknown,Russian,2015-06-04T14:24:00,2015-06-04T14:24:00,236.0000000000,243.0000000000,5584.0000000000,,False
Ivanovaquisipin,...Апартаменты в Сочи на двоих с завтраком всего за 112 рублей...,Unknown,Russian,2015-06-04T15:35:00,2015-06-04T15:35:00,236.0000000000,243.0000000000,5585.0000000000,R,True
Ivanovaquisipin,Олимпиада даст очень много плюсов стране,Unknown,Russian,2015-06-05T04:14:00,2015-06-05T04:14:00,236.0000000000,243.0000000000,5592.0000000000,R,True
Ivanovaquisipin,"Олимпиада 2014. Андрей Малахов, Дмитрий Борисов и Кирилл",Unknown,Uzbek,2015-06-05T12:50:00,2015-06-05T12:50:00,236.0000000000,243.0000000000,5595.0000000000,,False
Ivanovaquisipin,'@Berezinlecurace Vot nafludili spamery chortovy!!',Unknown,Russian,2015-06-06T07:07:00,2015-06-06T07:07:00,237.0000000000,243.0000000000,5603.0000000000,,False
Ivanovaquisipin,Huawei рассказала о старте продаж смартфона P8 lite в России,Unknown,Russian,2015-06-06T10:58:00,2015-06-06T10:58:00,236.0000000000,243.0000000000,5604.0000000000,,False
Ivanovaquisipin,Micron начала выпускать 16-нм NAND-флеш TLC для потребительских SSD,Unknown,Russian,2015-06-06T20:30:00,2015-06-06T20:30:00,236.0000000000,243.0000000000,5611.0000000000,,False
Ivanovaquisipin,"По-моему, я быстрее состарюсь и умру, чем попаду в твиттонатор жизнь-боль #HappyBirthdayTwittonator",Unknown,Russian,2015-06-06T22:06:00,2015-06-06T22:08:00,236.0000000000,243.0000000000,5614.0000000000,R,True
Ivanovaquisipin,Краснодарский автодилер «Премиум кар» открыл центр Porsche в Сочи,Unknown,Russian,2015-06-07T12:26:00,2015-06-07T12:26:00,236.0000000000,244.0000000000,5623.0000000000,,False
Ivanovaquisipin,Олимпиада – мировая война понарошку.,Unknown,Russian,2015-06-09T09:43:00,2015-06-09T09:43:00,238.0000000000,246.0000000000,5639.0000000000,,False
Ivanovaquisipin,МУЗЫКА ТИШИНЫ. Перфоманс Avi Adir (Израиль) и Sindhu...,Unknown,Uzbek,2015-06-09T17:57:00,2015-06-09T17:58:00,236.0000000000,248.0000000000,5643.0000000000,,False
Ivanovaquisipin,Гендиректора «Аэрофлота» переизбрали членом совета управляющих IATA,Unknown,Russian,2015-06-09T22:57:00,2015-06-09T22:57:00,238.0000000000,248.0000000000,5645.0000000000,,False
Ivanovaquisipin,"Олимпиада 2014. Андрей Малахов, Дмитрий Борисов и Кирилл",Unknown,Uzbek,2015-06-10T16:38:00,2015-06-10T16:38:00,240.0000000000,247.0000000000,5652.0000000000,,False
Ivanovaquisipin,Олимпиада – это встреча посланцев со всех концов света с целью прослушать гимн Китая.,Unknown,Russian,2015-06-11T03:33:00,2015-06-11T03:33:00,239.0000000000,247.0000000000,5655.0000000000,,False
Ivanovaquisipin,"Плющенко,Траньков,Волосожар Столбова Климов..болеют за Ю.Липницкую.9.02.2014. Сочи.Олимпиада. https://t.co/HRjnB8WmSQ",Unknown,Russian,2015-06-11T17:39:00,2015-06-11T17:39:00,238.0000000000,247.0000000000,5659.0000000000,,False
Ivanovaquisipin,(THRIVE Russian) ПРОЦВЕТАНИЕ: готова ли к нему Земля? https://t.co/eb0VqMfQv1,Unknown,Bulgarian,2015-06-11T17:58:00,2015-06-11T17:58:00,238.0000000000,247.0000000000,5660.0000000000,R,True
Ivanovaquisipin,"В Сочи обманутые дольщики заселились в недостроенные высотки и вывесили плакаты ""SOS""",Unknown,Russian,2015-06-12T01:22:00,2015-06-12T01:22:00,236.0000000000,247.0000000000,5662.0000000000,,False
Ivanovaquisipin,'@Konstantinovcae Can entrepreneurship be taught in the classroom?',Unknown,English,2015-06-12T07:47:00,2015-06-12T07:47:00,237.0000000000,248.0000000000,5668.0000000000,,False
Ivanovaquisipin,В городе Сочи. Олимпиада – праздник или стихийное...,Unknown,Russian,2015-06-12T22:39:00,2015-06-12T22:39:00,237.0000000000,249.0000000000,5674.0000000000,R,True
Ivanovaquisipin,Meizu M2 станет компактной версией M2 note,Unknown,Russian,2015-06-13T06:02:00,2015-06-13T06:02:00,237.0000000000,249.0000000000,5680.0000000000,,False
Ivanovaquisipin,Реальна только музыка,Unknown,Russian,2015-06-13T07:45:00,2015-06-13T07:47:00,238.0000000000,249.0000000000,5682.0000000000,R,True
Ivanovaquisipin,"...Быть crazy. От кафе, кино... до соседних ночных городов.",Unknown,Russian,2015-06-13T10:37:00,2015-06-13T11:27:00,238.0000000000,249.0000000000,5685.0000000000,,False
Ivanovaquisipin,В городе Сочи. Олимпиада – праздник или стихийное...,Unknown,Russian,2015-06-13T14:17:00,2015-06-13T14:17:00,238.0000000000,249.0000000000,5690.0000000000,,False
Ivanovaquisipin,'@ahchubgobbbk Can entrepreneurship be taught in the classroom?',Unknown,English,2015-06-14T06:44:00,2015-06-14T06:44:00,237.0000000000,249.0000000000,5699.0000000000,,False
Ivanovaquisipin,В Южной Корее зафиксирован первый случай передачи MERS за стенами больниц,Unknown,Russian,2015-06-14T11:47:00,2015-06-14T11:47:00,239.0000000000,251.0000000000,5701.0000000000,,False
Ivanovaquisipin,"...стадион, У нас своя олимпиада – За малышом бросок под стол...",Unknown,Ukrainian,2015-06-14T15:23:00,2015-06-14T15:23:00,240.0000000000,251.0000000000,5703.0000000000,R,True
Ivanovaquisipin,Совы заполнят улицы Бирмингема 20 июля,Unknown,Uzbek,2015-06-14T23:47:00,2015-06-14T23:49:00,237.0000000000,251.0000000000,5708.0000000000,,False
