author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ibrahimnooh132,"Datuk Wan Zulkiflee, PETRONAS President praised @MercedesAMGF1 for winning the #F1 Constructors' Championship again. http://t.co/5D0ABIUcHd",Israel,English,2015-10-16 12:37:00,2015-10-16 12:37:00,9,1,3,R,1
ibrahimnooh132,"*cough* invite please!! ""@MercedesAMG: These speed demons were put to the “AMG Customer Sports 30h Test"" #FastFriday http://t.co/4TAWZHLtdv""",Israel,English,2015-10-16 12:37:00,2015-10-16 12:37:00,9,1,1,R,1
ibrahimnooh132,"As we celebrate a fantastic week for the team, we keep every member of the #MBFamily close in our thoughts… (1/2) http://t.co/dFNZlAHQaJ",Israel,English,2015-10-16 12:37:00,2015-10-16 12:37:00,9,1,2,R,1
ibrahimnooh132,Officials: U.S. and Russia close to agreement on Syria flights http://t.co/pxyG5LW9Vc,Israel,English,2015-10-16 14:19:00,2015-10-16 14:20:00,9,1,7,R,1
ibrahimnooh132,Russian Navy can strike ISIS positions in Syria anytime – general — RT News https://t.co/OvB6PUwhXD,Israel,English,2015-10-16 14:19:00,2015-10-16 14:19:00,9,1,6,R,1
ibrahimnooh132,#Merkel will Engagement zur Beendigung des #Syrien-Kriegs verstärken http://t.co/GEgLJabz7E,Israel,German,2015-10-17 06:23:00,2015-10-17 06:23:00,9,1,8,R,1
ibrahimnooh132,"#Syrien : #Assad macht Boden gut, #US-Allianz tötet Terror-Chef http://t.co/r6mJSoKdnB #Handelsblatt",Israel,English,2015-10-19 06:26:00,2015-10-19 06:26:00,9,1,9,R,1
ibrahimnooh132,#SyrianArmy attacks rebels with Iranian support  http://t.co/8oMQ8a3kYW http://t.co/JULSL8WneT,Israel,English,2015-10-19 12:53:00,2015-10-19 12:54:00,9,2,10,R,1
ibrahimnooh132,Report Finds Global Islamic State Attacks Spike in 3rd Quarter https://t.co/n895qCkc94,Israel,English,2015-10-22 08:19:00,2015-10-22 08:19:00,9,2,14,R,1
ibrahimnooh132,#Syrien-Konflikt: #Russland ruft arabische Staaten und #Iran zur Kooperation auf https://t.co/DvSOjo4URS,Israel,German,2015-10-23 08:22:00,2015-10-23 08:22:00,9,2,15,R,1
