author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
itsfoma,'@MaxDementiev @molniasport @korobkov @fclm_official норм',United States,Russian,2015-07-03 23:52:00,2015-07-03 23:52:00,838,559,1604,,0
itsfoma,Точно не 2020? #Стратегия2030,United States,Ukrainian,2015-07-21 15:16:00,2015-07-21 15:16:00,835,554,1625,,0
itsfoma,"Президент США Барак Обама рассмеялся в ответ на вопрос о бомбардировках, которые осуществляют ВВС страны на Ближнем Востоке #СмехСквозьСлезы",United States,Russian,2015-07-22 15:35:00,2015-07-22 15:39:00,835,551,1626,,0
itsfoma,"День креще́ния Руси́ — государственная памятная дата Российской Федерации, законодательно установленная 31 мая 2010 года #РусьПравославная",United States,Russian,2015-07-28 10:04:00,2015-07-28 10:07:00,835,546,1633,,0
itsfoma,Зачем Трапм полез в политику?! Здравый смысл  RIP #ДональдТрамп http://t.co/RVoJeAgVsA,United States,Russian,2015-08-17 14:35:00,2015-08-17 14:35:00,200,511,1654,,0
itsfoma,"Глава ФМС:России не грозит поток мигрантов из Сирии,но ФМС гуманно отнесётся к просьбам тех,кто обратится за помощью  http://t.co/RUKQjC4Fbw",United States,Russian,2015-09-09 12:03:00,2015-09-09 12:04:00,200,498,1687,R,1
itsfoma,'@ru_rbc Это разве Россия?! Как я съездил в Саратов http://t.co/rk9zeizOn2',United States,Russian,2015-09-16 12:07:00,2015-09-16 12:07:00,201,495,1709,R,1
itsfoma,Если Дамаск попросит помочь в борьбе с ИГИЛ - мы поможем!  https://t.co/LnIgZbjhyY,United States,Russian,2015-09-21 14:27:00,2015-09-21 14:27:00,202,491,1714,R,1
itsfoma,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,United States,Russian,2015-09-28 14:34:00,2015-09-28 14:34:00,202,490,1730,R,1
itsfoma,#КорочеБарак Путин и Обама. сегодня в полночь http://t.co/vtznEOvih3,United States,Russian,2015-09-28 18:03:00,2015-09-28 19:23:00,202,490,1736,,0
itsfoma,Немного хорошей пародии на тему блокады Крыма  https://t.co/erzX1anSnU,United States,Russian,2015-09-29 13:15:00,2015-09-29 13:17:00,202,490,1737,,0
itsfoma,Украина умирает: без злорадства про дефолт и его последствия  http://t.co/ietn2jKpdu http://t.co/DMX4d82MxX,United States,Russian,2015-10-06 10:59:00,2015-10-06 10:59:00,202,487,1748,,0
itsfoma,#РазрушителиМифов надо сажать всех этих сучар,United States,Russian,2015-10-13 10:17:00,2015-10-13 11:31:00,202,488,1749,,0
itsfoma,"Бомбим ИГИЛ, боремся со злом! Буду летчиком #поэтомуясупергерой http://t.co/UsMiWKynlr",United States,Russian,2015-10-19 18:41:00,2015-10-19 18:41:00,203,489,1763,R,1
itsfoma,Что ждет украинских граждан в России ?  https://t.co/KIblnViSol https://t.co/K0nkS4R0rd,United States,Russian,2015-10-19 18:45:00,2015-10-19 18:45:00,203,489,1764,R,1
itsfoma,С помощью ИГ США пытается захватить Ближний Восток #5причинбомбитьигил https://t.co/E1m1kTDPqq,United States,Russian,2015-10-21 16:04:00,2015-10-21 16:04:00,202,489,1777,,0
itsfoma,"Лучше мы их,чем они нас #5причинбомбитьигил https://t.co/E1m1kTDPqq",United States,Russian,2015-10-21 16:33:00,2015-10-21 16:33:00,202,489,1778,,0
itsfoma,#ПитерМыСТобой до сих пор не могу поверить в произошедшее... https://t.co/7F7oBPjYDF,United States,Ukrainian,2015-11-01 13:20:00,2015-11-01 13:50:00,203,490,1799,,0
itsfoma,Только жёсткими методами можно покончить с терроризмом #НайдемИПокараем https://t.co/FsTaNBXEsf,United States,Russian,2015-11-17 10:13:00,2015-11-17 15:25:00,203,489,1813,,0
itsfoma,#КудаЕхатьНаКаникулы конечно же в Питер!! https://t.co/0G99bcz9nK,United States,Russian,2015-12-07 15:06:00,2015-12-07 16:55:00,204,489,1816,,0
