author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Jaime_Booo,Justin and Scarlett are perfect!! http://t.co/8YhF2rn3h0,United States,English,2015-07-03 08:09:00,2015-07-03 08:09:00,95,69,176,,0
Jaime_Booo,do more stupid things faster https://t.co/kWEAGeZVUq,United States,English,2015-07-03 08:23:00,2015-07-03 08:23:00,95,69,183,,0
Jaime_Booo,pretty make-up http://t.co/HevcZyvKmm,United States,English,2015-07-03 08:24:00,2015-07-03 08:24:00,95,69,185,,0
Jaime_Booo,"You may never know what results come of your actions, but if you do nothing, there will be no results.",United States,English,2015-07-03 08:28:00,2015-07-03 08:28:00,95,69,188,,0
Jaime_Booo,"Baby, I got cribs, I got condos we can stay",United States,English,2015-07-03 08:29:00,2015-07-03 08:29:00,95,69,191,,0
Jaime_Booo,so easy and yummy https://t.co/vbqotfFLNu �,United States,English,2015-07-03 08:32:00,2015-07-03 08:32:00,95,69,194,,0
Jaime_Booo,Want to talk to anyone �,United States,English,2015-07-03 08:33:00,2015-07-03 08:33:00,95,69,196,,0
Jaime_Booo,"*randomly feels pain on random part of my body* Oh god here we go, I'm gonna die",United States,English,2015-07-03 08:33:00,2015-07-03 08:33:00,95,69,197,,0
Jaime_Booo,Yesterday was the best day i have ever had in a long time.,United States,English,2015-07-03 08:35:00,2015-07-03 08:35:00,95,69,200,,0
Jaime_Booo,Underboob is the new cleavage. But some ladies don't know how to leave a little to the imagination!,United States,English,2015-07-03 08:37:00,2015-07-03 08:37:00,95,69,201,,0
Jaime_Booo,"I see the magazine, workin' that photoshop. We know that shit ain't real. C'mon now, make it stop.",United States,English,2015-07-03 08:38:00,2015-07-03 08:38:00,95,69,204,,0
Jaime_Booo,I think the reward for conformity is that everyone likes you except yourself,United States,English,2015-07-03 08:40:00,2015-07-03 08:40:00,95,69,208,,0
Jaime_Booo,"The challenge is not to manage time, but to manage ourselves.  – Stephen Covey",United States,English,2015-07-03 08:44:00,2015-07-03 08:44:00,95,69,214,,0
Jaime_Booo,sleeping is my favorite pastime,United States,English,2015-07-03 08:44:00,2015-07-03 08:44:00,95,69,213,,0
Jaime_Booo,don't look at me that way! �,United States,English,2015-07-03 08:45:00,2015-07-03 08:46:00,95,69,217,,0
Jaime_Booo,babies and dogs(: http://t.co/LXb4g2QIkk,United States,English,2015-07-03 08:46:00,2015-07-03 08:46:00,95,69,219,,0
Jaime_Booo,I'm not beautiful despite I'm not fat or ugly,United States,English,2015-07-03 08:53:00,2015-07-03 08:54:00,95,69,227,,0
Jaime_Booo,"First, you were all like whoa, and then we were like whoa, and then you were like whoa. –Crush (Finding Nemo)",United States,English,2015-07-03 08:58:00,2015-07-03 08:59:00,95,69,230,,0
Jaime_Booo,ummi! https://t.co/fwXkuQws6d,United States,English,2015-07-03 08:59:00,2015-07-03 08:59:00,95,69,231,,0
Jaime_Booo,You cannot push anyone up the ladder unless he is willing to climb.  – Andrew Carnegie,United States,English,2015-07-03 08:59:00,2015-07-03 08:59:00,95,69,232,,0
Jaime_Booo,I'd watch https://t.co/GIn69zLVLw,United States,English,2015-07-03 09:01:00,2015-07-03 09:01:00,95,69,235,,0
Jaime_Booo,"I hate Mondays, and Tuesdays and everything �",United States,English,2015-07-03 09:06:00,2015-07-03 09:06:00,95,69,239,,0
Jaime_Booo,dog addicted to blow dryer http://t.co/Kmt0WvEQ9N,United States,English,2015-07-03 09:12:00,2015-07-03 09:12:00,95,69,245,,0
Jaime_Booo,https://t.co/TSxWIOHC6F so easy!!!,United States,English,2015-07-03 09:14:00,2015-07-03 09:14:00,95,69,247,,0
Jaime_Booo,cake and loove ^_^ https://t.co/jr9e2gboOd,United States,English,2015-07-03 09:16:00,2015-07-03 09:16:00,95,69,248,,0
Jaime_Booo,No one is gonna fall in love with me because of my awful nose!,United States,English,2015-07-03 09:20:00,2015-07-03 09:20:00,95,69,253,,0
Jaime_Booo,busy doggy ☺☺☺ https://t.co/LMLLDBQ8tG,United States,English,2015-07-03 09:23:00,2015-07-03 09:23:00,95,69,257,,0
Jaime_Booo,Rain makes me happy and sad at the same time.,United States,English,2015-07-03 09:24:00,2015-07-03 09:24:00,95,69,259,,0
Jaime_Booo,A kiss is a lovely trick designed by nature to stop speech when words become superfluous.,United States,English,2015-07-03 09:24:00,2015-07-03 09:24:00,95,69,258,,0
Jaime_Booo,the weigter always lies! https://t.co/vX87clJJFx,United States,English,2015-07-03 09:27:00,2015-07-03 09:27:00,95,70,261,,0
Jaime_Booo,#Fergusonremembers But if God got us,United States,English,2015-08-09 16:14:00,2015-08-09 16:14:00,94,70,266,,0
Jaime_Booo,#FergusonRemembers There's a #Ferguson near you. #BlackLivesMatter - MPD must look at the institutional racism.,United States,English,2015-08-11 17:13:00,2015-08-11 17:13:00,94,70,269,,0
Jaime_Booo,#FergusonRemembers How long will they keep taking our kids from us? #BlackLivesMatter,United States,English,2015-08-11 17:13:00,2015-08-11 17:13:00,94,70,270,,0
Jaime_Booo,police violations happened not only in Ferguson #FergusonRemembers,United States,English,2015-08-11 17:14:00,2015-08-11 17:14:00,94,70,271,,0
Jaime_Booo,#FergusonRemembers #Ferguson is back at it. Community meeting ended up with protests outside. Praying this doesn't escalate like before,United States,English,2015-08-11 17:19:00,2015-08-11 17:22:00,94,70,274,,0
Jaime_Booo,Mizzou protests are disgusting #DemnDebate #DemDebate #pjnet,United States,English,2015-11-15 03:34:00,2015-11-15 03:34:00,93,71,280,,0
Jaime_Booo,#DemnDebate UAlbany joins nationwide debate after University of Missouri racial protests #DemDebate #MakeDCListen,United States,English,2015-11-15 03:34:00,2015-11-15 03:34:00,93,71,279,,0
Jaime_Booo,#DemDebate Patrick Vieira s NYCFC Will Become American Arsenal #DemnDebate #teaparty,United States,English,2015-11-15 03:35:00,2015-11-15 03:35:00,93,71,282,,0
Jaime_Booo,Here s how the University of Missouri confrontation got so extreme #DemnDebate #DemDebate #WakeUpAmerica,United States,English,2015-11-15 03:38:00,2015-11-15 03:39:00,93,71,284,,0
Jaime_Booo,#DemnDebate Operation Christmas Child: Making an impact one box at a time #ccot,United States,English,2015-11-15 03:39:00,2015-11-15 03:39:00,93,71,286,,0
Jaime_Booo,Pastor Cleared in Wife s Murder #DemnDebate #MakeDCListen,United States,English,2015-11-15 03:46:00,2015-11-15 03:46:00,93,71,293,,0
Jaime_Booo,#DemDebate US strike kills Islamic State leader in Libya: Pentagon #DemnDebate #2A,United States,English,2015-11-15 03:48:00,2015-11-15 03:48:00,93,71,299,,0
Jaime_Booo,"#DemDebate In first, US targets an Islamic State leader outside Syria, Iraq #DemnDebate #2A",United States,English,2015-11-15 03:48:00,2015-11-15 03:49:00,93,71,300,,0
Jaime_Booo,Trump unleashes verbal assault against Carson #DemnDebate #DemDebate #2A,United States,English,2015-11-15 03:49:00,2015-11-15 03:50:00,93,71,302,,0
Jaime_Booo,#DemDebate Bradford church to serve as collection site for Christmas program #DemnDebate #MakeDCListen,United States,English,2015-11-15 03:52:00,2015-11-15 03:52:00,93,71,306,,0
Jaime_Booo,#DemnDebate Report: Charles Koch won t pick any GOP candidate during primary #DemDebate #teaparty,United States,English,2015-11-15 03:54:00,2015-11-15 03:55:00,93,71,308,,0
Jaime_Booo,Pentagon: Islamic State leader in Libya killed in U.S. airstrike #DemnDebate #DemDebate #WakeUpAmerica,United States,English,2015-11-15 03:54:00,2015-11-15 03:54:00,93,71,307,,0
Jaime_Booo,The Nick Saban-to-the-NFL chatter has begun. #DemnDebate #pjnet,United States,English,2015-11-15 03:55:00,2015-11-15 03:56:00,93,71,311,,0
Jaime_Booo,Will Donald Trump s rant at opponents and Iowa voters mark his demise? #DemnDebate #2A,United States,English,2015-11-15 03:56:00,2015-11-15 03:57:00,93,71,312,,0
Jaime_Booo,#DemDebate Carson Defends China-Syria Feedback as White Home Rejects Claims #DemnDebate #gop,United States,English,2015-11-15 03:57:00,2015-11-15 03:57:00,93,71,315,,0
Jaime_Booo,Operation Christmas Child to collect gifts #DemnDebate #DemDebate #teaparty,United States,English,2015-11-15 03:57:00,2015-11-15 03:57:00,93,71,313,,0
Jaime_Booo,#DemnDebate Carson to Katie Couric on Jesus painting #MakeDCListen,United States,English,2015-11-15 03:57:00,2015-11-15 03:57:00,93,71,316,,0
Jaime_Booo,#DemDebate White University of Missouri protesters against racism say they were asked to #DemnDebate #MakeDCListen,United States,English,2015-11-15 03:57:00,2015-11-15 03:57:00,93,71,314,,0
Jaime_Booo,#DemDebate Why John Kerry and the French president are calling ISIS #DemnDebate #pjnet,United States,English,2015-11-15 03:59:00,2015-11-15 03:59:00,93,71,318,,0
Jaime_Booo,How Missouri football s boycott helped bridge a familiar campus divide #DemnDebate #MakeDCListen,United States,English,2015-11-15 04:01:00,2015-11-15 04:01:00,93,71,320,,0
Jaime_Booo,#DemDebate Top Republicans Admit That Ben Carson and Donald Trump Aren t Fit To Be #DemnDebate #gop,United States,English,2015-11-15 04:03:00,2015-11-15 04:03:00,93,71,323,,0
Jaime_Booo,Operation Christmas Child Presentation Set for Saturday in Knoxville #DemnDebate #DemDebate #pjnet,United States,English,2015-11-15 04:04:00,2015-11-15 04:04:00,93,71,324,,0
Jaime_Booo,Seeking correct response to racism #DemnDebate #tcot,United States,English,2015-11-15 04:07:00,2015-11-15 04:08:00,93,71,328,,0
Jaime_Booo,#DemnDebate Indianapolis police eye suspect in murder of pastor s pregnant wife #DemDebate #RT,United States,English,2015-11-15 04:07:00,2015-11-15 04:07:00,93,71,327,,0
Jaime_Booo,Ben Carson responds to Donald Trump s 95-minute tirade #DemnDebate #DemDebate #tcot,United States,English,2015-11-15 04:13:00,2015-11-15 04:13:00,93,71,336,,0
Jaime_Booo,#DemnDebate The force is with Charles Koch  #2A,United States,English,2015-11-15 04:13:00,2015-11-15 04:13:00,93,71,335,,0
Jaime_Booo,Missouri Legislative Black Caucus 100 percent supportive of students seeking #DemnDebate #DemDebate #tcot,United States,English,2015-11-15 04:17:00,2015-11-15 04:17:00,93,71,343,,0
Jaime_Booo,"#DemDebate #DemnDebate Obama: ISIS Contained, No Longer Gaining Strength #pjnet",United States,English,2015-11-15 04:18:00,2015-11-15 04:18:00,93,71,345,,0
Jaime_Booo,McMansions are out. @katiecouric goes inside the tiny house revolution https://t.co/uqri3JbQ3r  https://t.co/hxp4QC7vRM,United States,English,2015-12-10 19:17:00,2015-12-10 19:17:00,94,71,3,R,1
Jaime_Booo,Came home to LA to enjoy a late bday surprise from all my loves ��� #30 is looking pretty fine so far! https://t.co/jCh9ZxS9bj,United States,English,2015-12-10 19:18:00,2015-12-10 19:18:00,94,71,6,R,1
Jaime_Booo,"EXCLUSIVE: @RickyGervais on hosting the #GoldenGlobes: ""I treat it like a stand-up gig""… https://t.co/b7L4Muezbw https://t.co/yNCuHJbwOr",United States,English,2015-12-10 19:19:00,2015-12-10 19:19:00,94,71,13,R,1
Jaime_Booo,"'@ChrisChristie More should we question thee,'",United States,English,2015-12-16 00:58:00,2015-12-16 00:59:00,94,71,14,,0
Jaime_Booo,"#CNNDebate #VegasGOPDebate The Republican field, y'all. Eyes wide shut. #GopDebate",United States,English,2015-12-16 01:12:00,2015-12-16 01:13:00,94,71,15,,0
Jaime_Booo,Are republicans on some kind of medication that makes them act insane? #VegasGOPDebate,United States,English,2015-12-16 02:10:00,2015-12-16 02:10:00,94,71,18,,0
Jaime_Booo,'@marcorubio Why didn't Barack Obama cure cancer while the Democrat party controlled both houses of Congress? #VegasGOPDebate',United States,English,2015-12-16 02:19:00,2015-12-16 02:20:00,94,71,19,,0
Jaime_Booo,Ben Carson should have stayed doctor #VegasGOPDebate,United States,English,2015-12-16 06:18:00,2015-12-16 06:19:00,94,71,27,,0
Jaime_Booo,Dress designing is in full swing now � #weddingdress #countdowntothealter #shawnanddrewsayido https://t.co/srUnqJCQaw,United States,English,2016-01-09 23:34:00,2016-01-09 23:34:00,94,71,7,R,1
Jaime_Booo,Well guys I got my Wally a dirt bike like the boys for Christmas n maybe I shouldn't have  done… https://t.co/oFQhdHh8Fv,United States,English,2016-01-09 23:34:00,2016-01-09 23:34:00,94,71,5,R,1
Jaime_Booo,#ROYALTY https://t.co/F3rR4ewTak https://t.co/FiQ4OmB1Tt,United States,English,2016-01-09 23:34:00,2016-01-09 23:34:00,94,71,6,R,1
Jaime_Booo,I'm pretty confident about  winning the 900 million dollar Powerball. #spendingitalready,United States,English,2016-01-09 23:34:00,2016-01-09 23:34:00,94,71,3,R,1
Jaime_Booo,Ben Carson: Trump Acts Like a Politician #ABCNews  #ABCGOPDebate,United States,English,2016-02-07 00:50:00,2016-02-07 00:51:00,94,72,2,,0
Jaime_Booo,#ABCNews  #ABCGOPDebate Republican presidential debate (1/28/16): What to watch for during the GOP d,United States,English,2016-02-07 01:09:00,2016-02-07 01:09:00,94,72,7,,0
Jaime_Booo,#ABCNews  #ABCGOPDebate Republican Debate: GOP Hopefuls Clash in Iowa Ahead of Caucus,United States,English,2016-02-07 01:20:00,2016-02-07 01:21:00,94,72,10,,0
Jaime_Booo,5 Things to Look for in Tonights GOP Debate #ABCNews  #ABCGOPDebate,United States,English,2016-02-07 01:27:00,2016-02-07 01:27:00,94,72,12,,0
