author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
JaydaAstonishin,Your character isn't how you react when everything is going your way. Your character is how you react when the bottom falls out.,United States,English,2015-04-08T11:29:00,2015-04-14T13:16:00,548.0000000000,147.0000000000,457.0000000000,,False
JaydaAstonishin,U.S. official: ‘Brazil aligned with the position taken by some of the worst violators of human rights in the world’ http://t.co/pjuQP76MHH,United States,English,2015-04-14T12:49:00,2015-04-14T12:49:00,548.0000000000,147.0000000000,448.0000000000,R,True
JaydaAstonishin,Russian warship tracked by Royal Navy in the Channel http://t.co/dw3AmaLoyT,United States,English,2015-04-14T12:49:00,2015-04-14T12:50:00,548.0000000000,147.0000000000,451.0000000000,R,True
JaydaAstonishin,Arsène Wenger taken by surprise by Arsenal’s eight-match winning streak http://t.co/P9tFD8AELY,United States,English,2015-04-14T12:49:00,2015-04-14T12:49:00,548.0000000000,147.0000000000,449.0000000000,R,True
JaydaAstonishin,If Tinder existed in the '80s... http://t.co/PSaHbqshHy,United States,English,2015-04-14T12:49:00,2015-04-14T12:49:00,548.0000000000,147.0000000000,450.0000000000,R,True
JaydaAstonishin,"I tried to troll a pickup artist online, but he was better at it than me \| Sam Wolfson http://t.co/0vnzsFwHUB",United States,English,2015-04-14T12:50:00,2015-04-14T12:50:00,548.0000000000,147.0000000000,455.0000000000,R,True
JaydaAstonishin,A math problem from a Singapore high school is going viral http://t.co/np5al7ILLV #cherylsbirthday,United States,English,2015-04-14T12:50:00,2015-04-14T12:50:00,548.0000000000,147.0000000000,452.0000000000,R,True
JaydaAstonishin,Campaigners welcome China release for five feminist activists -- but NGO Yirenping appears headed for trouble http://t.co/DKso5A0TJC,United States,English,2015-04-14T12:50:00,2015-04-14T12:50:00,548.0000000000,147.0000000000,457.0000000000,R,True
JaydaAstonishin,150 years ago today President Abraham Lincoln was assassinated. http://t.co/Xm53ZCBVzo,United States,English,2015-04-14T12:50:00,2015-04-14T12:50:00,548.0000000000,147.0000000000,454.0000000000,R,True
JaydaAstonishin,Today's cover: Mayor de Blasio refused to endorse Hillary's presidential bid http://t.co/igSneqJONd http://t.co/zKv8al6Kw0,United States,English,2015-04-14T12:50:00,2015-04-14T12:50:00,548.0000000000,147.0000000000,453.0000000000,R,True
JaydaAstonishin,"Words used by the left to describe Rubio: ""Coconut""-- Danny Deutsch ""Little boy""-- Mika Brzezinski ""Pool boy""-- Bill Maher  #diversity",United States,English,2015-04-19T23:54:00,2015-04-19T23:54:00,549.0000000000,148.0000000000,460.0000000000,R,True
JaydaAstonishin,"Welcome 2 'Success in Advertising', Block & Report #StopRush LOONS, God Bless! http://t.co/CbvLkzj9bu http://t.co/gMFd83sfFr @RhinoShield_LA",United States,English,2015-04-19T23:54:00,2015-04-19T23:54:00,549.0000000000,148.0000000000,463.0000000000,R,True
JaydaAstonishin,U meant Melitha Harrith Perry. How do ppl with a lisp get TV gigs?  @YerboutiSheik @Live_Free_orDie  @bayareahausfrau @LadyImpactOhio,United States,English,2015-04-19T23:54:00,2015-04-19T23:54:00,549.0000000000,148.0000000000,459.0000000000,R,True
JaydaAstonishin,I'm all for term limits. Career politicians >>on BOTH sides<< are destroying our country. @The_Ron_says #tcot #tlot #ycot,United States,English,2015-04-19T23:54:00,2015-04-19T23:54:00,549.0000000000,148.0000000000,461.0000000000,R,True
JaydaAstonishin,"Miami Herald had big Bay of Pigs story ready to run pre-invasion, but killed it at request of CIA director: http://t.co/h3AJTBRLLd",United States,English,2015-04-19T23:54:00,2015-04-19T23:54:00,549.0000000000,148.0000000000,462.0000000000,R,True
JaydaAstonishin,This 1966 piece about Joe DiMaggio written by Gay Talese is literally one of the best things I've ever read  http://t.co/yNcOSVcjYS,United States,English,2015-04-19T23:54:00,2015-04-19T23:54:00,549.0000000000,148.0000000000,458.0000000000,R,True
JaydaAstonishin,#WakeUpAmerica  Remember Brian Terry  #FastAndFurious Was �Produced by Obama➰Holder  #SecureOurBorders #NoAmnesty http://t.co/9gNqGiOuUw,United States,English,2015-04-19T23:54:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,464.0000000000,R,True
JaydaAstonishin,Sorry I have to cancel our brunch but I’m stranded under a comforter. http://t.co/AB7fc8FXvM by @WarrenHolstein,United States,English,2015-04-19T23:55:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,471.0000000000,R,True
JaydaAstonishin,#BobbyBrown shares an update on #BobbiKristina's health. http://t.co/bPkWbUs74h,United States,English,2015-04-19T23:55:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,470.0000000000,R,True
JaydaAstonishin,Cuba holds its first local elections since a historic thaw in relations with the United States: http://t.co/sFZ8pQKSJF,United States,English,2015-04-19T23:55:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,466.0000000000,R,True
JaydaAstonishin,Taller or shorter? http://t.co/Yg7YvYepVi,United States,English,2015-04-19T23:55:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,465.0000000000,R,True
JaydaAstonishin,Proton beam therapy cancer treatment group to raise at least £20m from investors http://t.co/B72eANAAGc http://t.co/VMtcqjPSb2,United States,English,2015-04-19T23:55:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,467.0000000000,R,True
JaydaAstonishin,Pacific trade push divides Ohio: union leader says he's mad at Obama but a hog farmer's happy. http://t.co/0g3jHoEMkz http://t.co/AHquv3cWOo,United States,English,2015-04-19T23:55:00,2015-04-19T23:55:00,549.0000000000,148.0000000000,469.0000000000,R,True
JaydaAstonishin,143 million Americans live in earthquake territory  #news,United States,English,2015-04-22T22:00:00,2015-04-22T22:00:00,549.0000000000,150.0000000000,476.0000000000,R,True
JaydaAstonishin,Vitamin Shoppe rises as Carlson Capital boosts stake  #business #news,United States,English,2015-04-22T22:00:00,2015-04-22T22:00:00,549.0000000000,150.0000000000,477.0000000000,R,True
JaydaAstonishin,NFL suspends Greg Hardy for 10 games  #sports,United States,English,2015-04-22T22:00:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,478.0000000000,R,True
JaydaAstonishin,Dallas police: Man says two women tortured him for six hours over missing cellphone  #news,United States,English,2015-04-22T22:00:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,479.0000000000,R,True
JaydaAstonishin,#local #news Man arrested upon return to Glendale murder scene,United States,English,2015-04-22T22:00:00,2015-04-22T22:00:00,549.0000000000,150.0000000000,474.0000000000,R,True
JaydaAstonishin,#news #Chicago Bulls’ Pau Gasol Wins Pro Basketball Writers’ Magic Johnson Award,United States,English,2015-04-22T22:00:00,2015-04-22T22:00:00,549.0000000000,150.0000000000,475.0000000000,R,True
JaydaAstonishin,#sports NFL suspends Greg Hardy for 10 games,United States,English,2015-04-22T22:00:00,2015-04-22T22:00:00,549.0000000000,150.0000000000,473.0000000000,R,True
JaydaAstonishin,Teen suspect leads ICE agents on foot chase at Bush IAH  #news,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,480.0000000000,R,True
JaydaAstonishin,Español Macaco se presentará sus “Historias Tattoadas” en la capital mexicana  #noticias,United States,Spanish,2015-04-22T22:01:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,487.0000000000,R,True
JaydaAstonishin,Obama heads to Florida to talk climate  #politics,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,485.0000000000,R,True
JaydaAstonishin,Lance Armstrong: WADA head rebuffed proposed meeting in 2013  #sports,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,481.0000000000,R,True
JaydaAstonishin,YMCA Hosting Healthy Kids Day This Weekend  #news,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,484.0000000000,R,True
JaydaAstonishin,#news Sheriff Joe set to testify Wednesday in contempt hearing,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,483.0000000000,R,True
JaydaAstonishin,#news #Chicago Trinity Hospital Honoring Woman Who Has Worked There Since 1951,United States,English,2015-04-22T22:01:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,488.0000000000,R,True
JaydaAstonishin,Bill removing California vaccine exemptions approved by key Senate panel  #politics #news,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,486.0000000000,R,True
JaydaAstonishin,Mitch McConnell gooses Capitol Hill debate on NSA surveillance  #politics,United States,English,2015-04-22T22:01:00,2015-04-22T22:01:00,549.0000000000,150.0000000000,482.0000000000,R,True
JaydaAstonishin,MORE STORMS...TURNING COOLER  #local,United States,English,2015-04-22T22:01:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,489.0000000000,R,True
JaydaAstonishin,Report: Should The Steelers Draft An Inside Linebacker?  #news,United States,English,2015-04-22T22:02:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,493.0000000000,R,True
JaydaAstonishin,"Tulane's Mississippi Coast campus to move into new, larger location  #news",United States,English,2015-04-22T22:02:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,494.0000000000,R,True
JaydaAstonishin,Rockets' Terry fined for flop  #sports,United States,English,2015-04-22T22:02:00,2015-04-22T22:04:00,549.0000000000,150.0000000000,490.0000000000,R,True
JaydaAstonishin,Police Search For Crook Who Stole Elton John's Glasses  #local #Memphis,United States,English,2015-04-22T22:02:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,491.0000000000,R,True
JaydaAstonishin,Scout Profile Of Steelers’ Potential Second-Round Draft Pick  #news,United States,English,2015-04-22T22:02:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,495.0000000000,R,True
JaydaAstonishin,Capital murder charges filed in case involving death of Iranian activist  #news,United States,English,2015-04-22T22:02:00,2015-04-22T22:03:00,549.0000000000,150.0000000000,496.0000000000,R,True
JaydaAstonishin,Antonio Brown Says He’ll “Be There”  #news,United States,English,2015-04-22T22:02:00,2015-04-22T22:02:00,549.0000000000,150.0000000000,492.0000000000,R,True
JaydaAstonishin,Free wifi for everyone any where and everywhere #MyCampaignSlogan,United States,English,2015-04-25T21:29:00,2015-04-25T21:29:00,450.0000000000,148.0000000000,501.0000000000,R,True
JaydaAstonishin,"#Sports 7 players from Royals, White Sox punished by MLB for brawl (KLTV) http://t.co/BdUBfIOkRK",United States,English,2015-04-25T21:29:00,2015-04-25T21:29:00,450.0000000000,148.0000000000,498.0000000000,R,True
JaydaAstonishin,#MyCampaignSlogan  I'm kind to baby shrews,United States,English,2015-04-25T21:29:00,2015-04-25T21:29:00,450.0000000000,148.0000000000,500.0000000000,R,True
JaydaAstonishin,"#TopNews Hey, that's my cappuccino! Coyote captured outside lower Manhattan cafe http://t.co/MmPVeKjFvS",United States,English,2015-04-25T21:29:00,2015-04-25T21:31:00,450.0000000000,148.0000000000,497.0000000000,R,True
JaydaAstonishin,#local The Drive: Construction is crippling our commutes,United States,English,2015-04-26T22:54:00,2015-04-26T22:54:00,450.0000000000,148.0000000000,503.0000000000,R,True
JaydaAstonishin,"#local Wild Beat Blues, Will Play Blackhawks in Second Round",United States,English,2015-04-26T22:54:00,2015-04-26T22:54:00,450.0000000000,148.0000000000,504.0000000000,R,True
JaydaAstonishin,#news Orioles Get 20 Hits in 18-7 Rout of Red Sox,United States,English,2015-04-26T22:54:00,2015-04-26T22:54:00,450.0000000000,148.0000000000,505.0000000000,R,True
JaydaAstonishin,"Capitals ignoring past Game 7 failures, focusing on task of defeating Islanders  #hockey",United States,English,2015-04-26T22:54:00,2015-04-26T22:54:00,450.0000000000,148.0000000000,506.0000000000,R,True
JaydaAstonishin,"#sports Wild Beat Blues, Will Play Blackhawks in Second Round",United States,English,2015-04-26T22:54:00,2015-04-26T22:54:00,450.0000000000,148.0000000000,502.0000000000,R,True
JaydaAstonishin,GALLERY: Centenary Of 1.5 Million Armenian Deaths Marked In NYC  #news,United States,English,2015-04-26T22:55:00,2015-04-26T22:55:00,450.0000000000,148.0000000000,507.0000000000,R,True
JaydaAstonishin,Texas inmate asks US Supreme Court to block execution  #Texas #news,United States,English,2015-04-27T22:42:00,2015-04-27T22:42:00,450.0000000000,148.0000000000,508.0000000000,R,True
JaydaAstonishin,Federal agent fatally shoots fugitive in Detroit  #news,United States,English,2015-04-27T22:42:00,2015-04-27T22:43:00,450.0000000000,148.0000000000,509.0000000000,R,True
JaydaAstonishin,#news Derby Schools consider lessening punishments for racial slurs,United States,English,2015-04-27T22:43:00,2015-04-27T22:43:00,450.0000000000,148.0000000000,512.0000000000,R,True
JaydaAstonishin,CBS Local Sports: Paulie Malignaggi To Brown And Troupe: “Mayweather Probably Going To Dominate”  #news,United States,English,2015-04-27T22:43:00,2015-04-27T22:43:00,450.0000000000,148.0000000000,511.0000000000,R,True
JaydaAstonishin,Celebrity photos of the week  #showbiz,United States,English,2015-04-27T22:43:00,2015-04-27T22:43:00,450.0000000000,148.0000000000,510.0000000000,R,True
JaydaAstonishin,OMG stop #violence! #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:33:00,2015-04-28T15:34:00,450.0000000000,149.0000000000,513.0000000000,,False
JaydaAstonishin,OMG These #rioters bring peace! #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:38:00,2015-04-28T15:38:00,450.0000000000,149.0000000000,514.0000000000,,False
JaydaAstonishin,they are not #police officers they are #murderers #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:39:00,2015-04-28T15:40:00,450.0000000000,149.0000000000,515.0000000000,,False
JaydaAstonishin,People should blame police not people!! #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:41:00,2015-04-28T15:41:00,450.0000000000,149.0000000000,516.0000000000,,False
JaydaAstonishin,It`s all about police #powerabuse! And there was not a single case #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:41:00,2015-04-28T15:42:00,450.0000000000,150.0000000000,517.0000000000,,False
JaydaAstonishin,#Policebrutality is man's gravest threat #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:44:00,2015-04-28T15:44:00,450.0000000000,150.0000000000,518.0000000000,,False
JaydaAstonishin,OMG weird when your #president isn’t able to #protect your life #BaltimoreRiots  #BaltimoreVsRacism,United States,English,2015-04-28T15:46:00,2015-04-28T15:46:00,450.0000000000,150.0000000000,519.0000000000,,False
JaydaAstonishin,"This man's Name is ______. Oh Wait, He Isn't Black! http://t.co/R30FEYoEYv http://t.co/65vff3jHVT",United States,English,2015-05-13T02:01:00,2015-05-13T02:01:00,449.0000000000,151.0000000000,520.0000000000,R,True
JaydaAstonishin,That's bullshit @SenSherrodBrown you making it personal @SenWarren is not a marshmellow so back the F off with you making it personal.,United States,English,2015-05-13T02:01:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,522.0000000000,R,True
JaydaAstonishin,Senate Dems Where were you when #Obama was shoving #Obamacare down our throats. http://t.co/kYkVoGp2BF,United States,English,2015-05-13T02:01:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,521.0000000000,R,True
JaydaAstonishin,"The first thing PBO did was sign the Lilly Ledbetter Fair Pay Act. But according to Terry O'Neill & Sherrod Brown, he's ""sexist""",United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,529.0000000000,R,True
JaydaAstonishin,Fuck you. The race card not accepted at this locale. Put it away and move on. https://t.co/RW4TwdnrAo,United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,524.0000000000,R,True
JaydaAstonishin,Harriet Tubman could be the first woman on the $20 bill http://t.co/FOz0DMNafJ,United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,523.0000000000,R,True
JaydaAstonishin,Aaron Rodgers continues to dominate competition. First - NFL MVP. Today? Celebrity Jeopardy champion! (via @packers) http://t.co/QgP4NaPkTi,United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,528.0000000000,R,True
JaydaAstonishin,President Obama calls out @FoxNews for their coverage of the poor #p2 #tcot #uniteblue #lnyhbt #teabaggers  http://t.co/H6js8sghkB,United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,527.0000000000,R,True
JaydaAstonishin,Feel free to get specific. #Benghazi was in militia filled post civil war Libya. All normal protocols followed. No conspiracy. @DanielBruski,United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,525.0000000000,R,True
JaydaAstonishin,Some of the Yankees aint bad neither. https://t.co/hh88OL66Zn,United States,English,2015-05-13T02:02:00,2015-05-13T02:02:00,449.0000000000,151.0000000000,526.0000000000,R,True
JaydaAstonishin,Kirsten Powers: 'It's Not the Role of the Government' to Delegitimize Fox News - http://t.co/jasg1ruH8i,United States,English,2015-05-13T02:03:00,2015-05-13T02:03:00,449.0000000000,151.0000000000,531.0000000000,R,True
