author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
JeanetteDBolden,#ThingsITryToForgetButCant I’ve dropped my pizza yesterday!!,United States,English,2015-06-27T14:59:00,2015-06-27T14:59:00,356.0000000000,279.0000000000,709.0000000000,R,True
JeanetteDBolden,#UnitedStatesIn3Words Better than Iran,United States,English,2015-07-04T14:08:00,2015-07-04T14:08:00,356.0000000000,280.0000000000,711.0000000000,R,True
JeanetteDBolden,� is the new � #NewMeaningsForEmojis,United States,English,2015-07-08T17:35:00,2015-07-08T17:35:00,356.0000000000,283.0000000000,714.0000000000,R,True
JeanetteDBolden,⤵️� hung like a horse  #NewMeaningsForEmojis,United States,English,2015-07-08T17:35:00,2015-07-08T17:35:00,356.0000000000,283.0000000000,715.0000000000,R,True
JeanetteDBolden,�  Wrong hole!   #NewMeaningsForEmojis,United States,English,2015-07-08T17:35:00,2015-07-08T17:36:00,356.0000000000,283.0000000000,718.0000000000,R,True
JeanetteDBolden,�♨️.    Cleveland steamer   #NewMeaningsForEmojis,United States,English,2015-07-08T17:35:00,2015-07-08T17:35:00,356.0000000000,283.0000000000,716.0000000000,R,True
JeanetteDBolden,���� Do not touch my banana! #NewMeaningsForEmojis,United States,English,2015-07-08T17:35:00,2015-07-08T17:36:00,356.0000000000,283.0000000000,717.0000000000,R,True
JeanetteDBolden,�� + � any two girls one cup reference #NewMeaningsForEmojis,United States,English,2015-07-08T17:36:00,2015-07-08T17:36:00,356.0000000000,283.0000000000,721.0000000000,R,True
JeanetteDBolden,#NewMeaningsForEmojis.   �.  I love you but sometimes I want to shoot you with an arrow,United States,English,2015-07-08T17:36:00,2015-07-08T17:36:00,356.0000000000,283.0000000000,719.0000000000,R,True
JeanetteDBolden,�� <- note this guy is sleeping? Lazy road worker. #NewMeaningsForEmojis,United States,English,2015-07-08T17:36:00,2015-07-08T17:36:00,356.0000000000,283.0000000000,720.0000000000,R,True
JeanetteDBolden,#NewMeaningsForEmojis  � Your ancestors disapprove of your tweets and you bring shame upon your family.,United States,English,2015-07-08T17:36:00,2015-07-08T17:37:00,356.0000000000,283.0000000000,724.0000000000,R,True
JeanetteDBolden,Longest selfie stick #WasteAMillionIn3Words,United States,English,2015-07-11T14:55:00,2015-07-11T14:55:00,356.0000000000,285.0000000000,727.0000000000,,False
JeanetteDBolden,#WasteAMillionIn3Words build a chapel,United States,English,2015-07-11T15:07:00,2015-07-11T15:07:00,356.0000000000,285.0000000000,729.0000000000,,False
JeanetteDBolden,#WasteAMillionIn3Words Pay USA debts,United States,English,2015-07-11T15:08:00,2015-07-11T15:08:00,356.0000000000,285.0000000000,730.0000000000,,False
JeanetteDBolden,Happy wife equals happy life.   #5WordMarriageSecret,United States,English,2015-07-13T14:11:00,2015-07-13T14:12:00,356.0000000000,286.0000000000,732.0000000000,R,True
JeanetteDBolden,#5WordMarriageSecret   You're asking the wrong person.,United States,English,2015-07-13T14:12:00,2015-07-13T14:13:00,356.0000000000,286.0000000000,736.0000000000,R,True
JeanetteDBolden,#5WordMarriageSecret  How Will You Die? Top Causes of Death in the USA http://t.co/fCW9GPdRVw,United States,English,2015-07-13T14:12:00,2015-07-13T14:12:00,356.0000000000,286.0000000000,733.0000000000,R,True
JeanetteDBolden,Vote for me,United States,English,2015-07-25T13:51:00,2015-07-25T13:51:00,357.0000000000,284.0000000000,738.0000000000,,False
JeanetteDBolden,#RejectedWeekends Sitting in Twitter all day long (who am I trying to fool �),United States,English,2015-08-01T13:56:00,2015-08-01T13:57:00,355.0000000000,284.0000000000,739.0000000000,,False
JeanetteDBolden,"Let's get Trump, Let's get Trump, put a wig on, let's do it #TrumpenASong",United States,English,2015-08-15T14:59:00,2015-08-15T14:59:00,356.0000000000,281.0000000000,740.0000000000,,False
JeanetteDBolden,Ain't no money like #Trump Money #TrumpenASong http://t.co/9jAoqVI1gr,United States,English,2015-08-15T15:05:00,2015-08-15T15:06:00,356.0000000000,281.0000000000,743.0000000000,R,True
JeanetteDBolden,Bohemian Rugsody #TrumpenASong,United States,English,2015-08-15T15:05:00,2015-08-15T15:05:00,356.0000000000,281.0000000000,742.0000000000,R,True
JeanetteDBolden,If you say NO you’re racist!! #blackpickuplines,United States,English,2015-08-16T14:56:00,2015-08-16T14:56:00,356.0000000000,281.0000000000,745.0000000000,,False
JeanetteDBolden,Don't worry I'll look better after a few drink #BlackPickupLines,United States,English,2015-08-16T14:59:00,2015-08-16T14:59:00,356.0000000000,281.0000000000,748.0000000000,,False
JeanetteDBolden,Can I take picture of you so I can show Santa what I want for Christmas  #BlackPickUpLines http://t.co/Dn5VoaTQAc,United States,English,2015-08-16T15:31:00,2015-08-16T15:31:00,356.0000000000,281.0000000000,750.0000000000,R,True
JeanetteDBolden,"Aww, boy, I'm gonna have to put you on my ""To Do"" List! #BlackPickupLines #BlackLivesMatter",United States,English,2015-08-16T15:48:00,2015-08-16T15:48:00,356.0000000000,281.0000000000,751.0000000000,,False
JeanetteDBolden,Don't worry � bee� happy � #EmojiAWeekend,United States,English,2015-08-22T13:31:00,2015-09-15T18:30:00,355.0000000000,281.0000000000,752.0000000000,,False
JeanetteDBolden,I’ll try Jenna’s cooking. Anyway we all will die ��  #MyDoomsdayPlans,United States,English,2015-08-30T15:05:00,2015-08-30T15:05:00,355.0000000000,282.0000000000,755.0000000000,,False
JeanetteDBolden,Buy lots of toilet paper #MyDoomsdayPlans,United States,English,2015-08-30T15:08:00,2015-08-30T15:09:00,355.0000000000,282.0000000000,756.0000000000,,False
JeanetteDBolden,Survive by liyng on a door… I've seen it in a movie  #MyDoomsdayPlans,United States,English,2015-08-30T15:40:00,2015-08-30T16:25:00,355.0000000000,282.0000000000,761.0000000000,R,True
JeanetteDBolden,BUT - Who cares of context nowadays... https://t.co/9Lz7G9fjqj,United States,English,2015-09-06T13:08:00,2015-09-06T13:08:00,355.0000000000,282.0000000000,765.0000000000,R,True
JeanetteDBolden,'@BestUSAToday and because of it we still have racism',United States,English,2015-09-07T09:58:00,2015-09-07T09:58:00,355.0000000000,284.0000000000,766.0000000000,,False
JeanetteDBolden,#ReasonIAmNotPresident  i'm not flexible enough to fit my head that far up my own ass,United States,English,2015-09-14T14:28:00,2015-09-14T14:28:00,355.0000000000,286.0000000000,767.0000000000,R,True
JeanetteDBolden,#ReasonIAmNotPresident  I also prefer to use my own server  � @HillaryClinton http://t.co/DrJpV6QIyq,United States,English,2015-09-14T14:57:00,2015-09-14T14:58:00,355.0000000000,285.0000000000,768.0000000000,R,True
JeanetteDBolden,'@sophie_diddles @HillaryClinton that's so funny',United States,English,2015-09-14T14:58:00,2015-09-14T14:58:00,355.0000000000,285.0000000000,769.0000000000,,False
