author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
juliasexybeck,#RejectedWeekends wake up by 6am no matter what! #morningperson,United States,English,2015-08-01T14:30:00,2015-08-01T14:31:00,76.0000000000,63.0000000000,394.0000000000,R,True
juliasexybeck,"#TrumpBecause Not many will ever tell it like it is. He steps on toes. But if it fits, lace it up. ���",United States,English,2015-08-13T16:34:00,2015-08-13T16:34:00,76.0000000000,63.0000000000,399.0000000000,R,True
juliasexybeck,'@Politweecs not everyone wants to be in peace with our country?',United States,English,2015-08-18T08:19:00,2015-08-18T08:19:00,76.0000000000,63.0000000000,401.0000000000,,False
juliasexybeck,BUT: Is it the right time for Chinese investors to diversify? #BUT #butthis #bestUSAtoday #CNBC #Chinese #sculpture https://t.co/7RbffYnAWn,United States,English,2015-08-27T08:03:00,2015-08-27T08:03:00,76.0000000000,63.0000000000,402.0000000000,R,True
juliasexybeck,BUT - '#Hillary2016' Has Never Made Sense for #Democrats http://t.co/gB6N2KDs6K http://t.co/nV6zx0cZGD,United States,English,2015-09-03T09:50:00,2015-09-30T05:15:00,74.0000000000,61.0000000000,403.0000000000,R,True
juliasexybeck,'@BestUSAToday soon the whole Europe will speak Arabic',United States,English,2015-09-18T17:08:00,2015-09-18T17:08:00,73.0000000000,61.0000000000,404.0000000000,,False
juliasexybeck,BUT - 8 REASONS EUROPE’S #refugeescrisis IS HAPPENING NOW  #refugeeswelcome #refugees    http://t.co/Zp26oaWSr9 http://t.co/qrfOtrvy5v,United States,English,2015-09-19T07:33:00,2015-09-19T07:34:00,73.0000000000,61.0000000000,405.0000000000,R,True
juliasexybeck,BUT - Pregnant Women Drink #Alcohol: 10 Percent of US Moms Imbibe http://t.co/g7vw5BAp3Q #health http://t.co/vZJL3R3Wvb,United States,English,2015-09-27T11:31:00,2015-09-27T11:31:00,73.0000000000,61.0000000000,406.0000000000,R,True
juliasexybeck,Top down and riding w my baby! So excited Jeffrey is visiting me in California. It's hard having… https://t.co/t2rDpvzaxH,United States,English,2015-12-06T20:46:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,1.0000000000,R,True
juliasexybeck,I'm sure he could manage.  https://t.co/t8edHMbue9,United States,English,2015-12-06T20:47:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,3.0000000000,R,True
juliasexybeck,"I'd love Bowie to do a cover version of ""Slough"".",United States,English,2015-12-06T20:47:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,6.0000000000,R,True
juliasexybeck,BOOM! #BirdGang @AZCardinals  https://t.co/21IIsXyymS,United States,Somali,2015-12-06T20:47:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,2.0000000000,R,True
juliasexybeck,The team I picked was the players I played with and against . Lara I never played a test match against . But brilliant player @piersmorgan,United States,English,2015-12-06T20:47:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,4.0000000000,R,True
juliasexybeck,"Bowie introduced me & sang our co written classic ""Pug nosed face"" when I played Madison Sq Garden. Wonder if he'd do the same for Brent?",United States,English,2015-12-06T20:47:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,7.0000000000,R,True
juliasexybeck,Bench pressed @the_uso @usarmy us.marines usaf_pics usnavy us_coastguard_ https://t.co/y3muvvb1HV,United States,English,2015-12-06T20:47:00,2015-12-06T20:48:00,72.0000000000,60.0000000000,9.0000000000,R,True
juliasexybeck,Pics: @perezhilton @thejamessnyder Sing an ELF Duet for Carols For A Cure!  https://t.co/cbM5mj0FyD https://t.co/ofZFhT1aAM,United States,English,2015-12-06T20:47:00,2015-12-06T20:47:00,72.0000000000,60.0000000000,5.0000000000,R,True
