author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Kapfen,'@zubovnik @SPB_citizen а выглядит глупо',United States,Russian,2015-07-16 23:46:00,2015-07-16 23:47:00,1691,811,3192,,0
Kapfen,'@MaxDementiev идиоты',United States,Russian,2015-08-04 21:20:00,2015-08-04 21:22:00,1684,800,3205,,0
Kapfen,'@byDrBre @marina_saniram ядреное...',United States,Russian,2015-08-04 22:01:00,2015-08-04 22:01:00,1684,800,3207,,0
Kapfen,'@NovostiSPb класс)',United States,Russian,2015-08-09 20:09:00,2015-08-09 20:10:00,205,764,3214,,0
Kapfen,"Представители ОБСЕ приняли решение покинуть обстреливаемый войсками ВСУ Донецк.  Летние каникулы кончились,пора бежать,как последние трусы!",United States,Russian,2015-08-13 07:50:00,2015-08-13 07:50:00,205,754,3216,R,1
Kapfen,"Глава ФМС:России не грозит поток мигрантов из Сирии,но ФМС гуманно отнесётся к просьбам тех,кто обратится за помощью  http://t.co/RUKQjC4Fbw",United States,Russian,2015-09-09 12:03:00,2015-09-09 12:04:00,205,707,3244,R,1
Kapfen,Если Дамаск попросит помочь в борьбе с ИГИЛ - мы поможем!  https://t.co/LnIgZbjhyY,United States,Russian,2015-09-21 14:27:00,2015-09-21 14:27:00,206,697,3271,R,1
Kapfen,"28 сентября, главы США и России наконец-таки встретятся на полях Генассамблеи ООН   http://t.co/2KNifDx6W7",United States,Russian,2015-09-24 13:33:00,2015-09-24 13:33:00,206,694,3274,R,1
Kapfen,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,United States,Russian,2015-09-28 14:34:00,2015-09-28 14:34:00,206,692,3282,R,1
Kapfen,Немного хорошей пародии на тему блокады Крыма  https://t.co/hI2PJeUPeC,United States,Russian,2015-09-29 13:15:00,2015-09-29 13:15:00,206,692,3284,,0
Kapfen,Украина умирает: без злорадства про дефолт и его последствия  http://t.co/orr5DShf6W http://t.co/GyJzBKyYam,United States,Russian,2015-10-06 10:59:00,2015-10-06 10:59:00,205,688,3294,,0
Kapfen,Украинские авиакомпании попросили Росавиацию разрешить полеты в РФ #поэтомуясупергерой http://t.co/bnsxWU7P96,United States,Russian,2015-10-19 16:43:00,2015-10-19 16:43:00,205,680,3307,R,1
Kapfen,"Бомбим ИГИЛ, боремся со злом! Буду летчиком #поэтомуясупергерой http://t.co/UsMiWKynlr",United States,Russian,2015-10-19 18:41:00,2015-10-19 18:41:00,205,680,3311,R,1
Kapfen,Что ждет украинских граждан в России ?  https://t.co/KIblnViSol https://t.co/K0nkS4R0rd,United States,Russian,2015-10-19 18:45:00,2015-10-19 18:45:00,205,680,3312,R,1
