author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
katedebrook,'@Jenn_Abrams coffee is so alike his owner',United States,English,2015-06-22 17:58:00,2015-06-22 17:59:00,181,118,425,,0
katedebrook,free Wi-Fi here #UnitedStatesIn3Words,United States,English,2015-07-04 16:28:00,2015-07-04 16:28:00,181,119,426,,0
katedebrook,"#UnitedStatesIn3Words United, not really.",United States,English,2015-07-04 16:39:00,2015-07-04 16:39:00,181,119,429,,0
katedebrook,Tony Stark: Vote for me and see how Iron the Country #SuperheroPresidentialSlogans,United States,English,2015-07-19 13:56:00,2015-07-19 13:56:00,180,121,433,R,1
katedebrook,I tweeted my daily limit for 2 weeks straight... The murder of #MichaelBrown & his body in that hot sun haunts me still. #FergusonRemembers,United States,English,2015-08-09 15:54:00,2015-08-09 15:54:00,179,120,438,R,1
katedebrook,#TrumpBecause #TrumpforPresidens #Trump2016 #MakeAmericaGreatAgain ���,United States,Arabic,2015-08-13 15:42:00,2015-08-13 15:43:00,179,120,444,,0
katedebrook,#TrumpBecause America needs him ����,United States,English,2015-08-13 15:42:00,2015-08-13 15:42:00,179,120,443,,0
katedebrook,"#TrumpBecause #Bush has family history, #Hillary has a history of lies, #Trump has a long history of achieving what he wanted ��❤️��",United States,English,2015-08-13 15:45:00,2015-08-13 15:45:00,179,120,449,,0
katedebrook,#TrumpBecause Probably make one of the best president we have #Trump2016 �����,United States,English,2015-08-13 15:46:00,2015-08-13 15:46:00,179,120,451,,0
katedebrook,"#TrumpBecause ""People are sick and tired of incompetent politicians running our country!"" #MakeAmericaGreatAgain #Trump2016 �����",United States,English,2015-08-13 15:47:00,2015-08-13 15:47:00,179,120,452,,0
katedebrook,#TrumpBecause The peoples trump card to be played 2016 because we are sick,United States,English,2015-08-13 15:47:00,2015-08-13 15:47:00,179,120,453,,0
katedebrook,#TrumpBecause Partnerships must have loyalty and integrity at their core ���,United States,English,2015-08-13 15:51:00,2015-08-13 15:51:00,179,120,458,,0
katedebrook,#TrumpBecause he doesn’t care what other people are talking about him ���,United States,English,2015-08-13 15:51:00,2015-08-13 15:53:00,179,120,456,,0
katedebrook,#TrumpBecause One of the most successfull businessman ever is giving away all of his money to #MakeAmericaGreatAgain ���,United States,English,2015-08-13 15:51:00,2015-08-13 15:51:00,179,120,457,,0
katedebrook,"#TrumpBecause Courage is not the absence of fear. Courage is the ability to act effectively, in spite of fear �",United States,English,2015-08-13 15:52:00,2015-08-13 15:52:00,179,120,459,,0
katedebrook,"'@coldwar20_en well, I think it is very, very, very, very, very sad. I don't even know how to live with this thought!!!!!!!!!'",United States,English,2015-08-16 12:09:00,2015-08-16 12:09:00,179,120,462,,0
katedebrook,'@BestUSAToday Iran Deal is the worst Obama's idea ever',United States,English,2015-09-17 09:48:00,2015-09-17 09:48:00,179,117,465,,0
katedebrook,BUT - This way Trump wins because he doesn't have to ask someone for cash #elections2016 #politics https://t.co/sfqCixRy64,United States,English,2015-09-20 12:11:00,2015-09-20 12:11:00,179,118,466,R,1
katedebrook,"'@BestUSAToday @CecileRichards it's science, it's not always what you want it to be'",United States,English,2015-10-01 09:38:00,2015-10-01 09:38:00,178,118,467,,0
katedebrook,"Best. Review. Ever.  ""Purity isn’t a terrible book or even a very bad one."" via @the_intercept  https://t.co/IzTAtWmSmJ",United States,English,2015-10-07 15:14:00,2015-10-07 15:15:00,178,118,469,R,1
katedebrook,"'@JohnKasich Lehman Brothers, you know... #GOPStop'",United States,English,2015-11-11 04:42:00,2015-11-11 04:42:00,178,121,470,,0
katedebrook,'@rweingarten @FoxBusiness It's simple: #GOPStop',United States,Arabic,2015-11-11 04:43:00,2015-11-11 04:43:00,178,121,471,,0
