author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
kurdrysh,Больницы Таиланда готовы принимать больных вирусом MERS http://t.co/dU7VQQsWTK http://t.co/sChwbITzBX,Unknown,Russian,2015-06-20 07:22:00,2015-06-20 07:22:00,731,100,1551,R,1
kurdrysh,занавес параллельной вселенной приоткрылся  https://t.co/drDKtNESYB,Unknown,Russian,2015-06-22 12:07:00,2015-06-22 12:07:00,731,100,1557,R,1
kurdrysh,В день молодежи для уфимцев споет Радик Юльякшин  http://t.co/A7IU78b4tc http://t.co/oiBL4ahmvK,Unknown,Ukrainian,2015-06-24 11:32:00,2015-06-24 11:32:00,731,100,1561,R,1
kurdrysh,Boeing с разрушенным двигателем аварийно сел в Симферополе http://t.co/1zi3UcEnFp http://t.co/lgOWIdKEWr,Unknown,Russian,2015-06-24 14:52:00,2015-06-24 14:52:00,731,100,1562,R,1
kurdrysh,Невыносимый холод в России — это миф #РусскиеВарвары https://t.co/39jW2JBynb,Unknown,Russian,2015-07-14 18:49:00,2015-07-14 18:49:00,728,102,1589,,0
kurdrysh,#РусскиеВарвары Все это стереотипы https://t.co/39jW2JBynb,Unknown,Russian,2015-07-14 19:56:00,2015-07-14 19:57:00,728,102,1593,,0
kurdrysh,В Пекине прокомментировали инициативу о трибунале по крушению Boeing  http://t.co/zeWNASnWUn,Unknown,Russian,2015-07-15 11:51:00,2015-07-15 11:51:00,728,102,1595,R,1
kurdrysh,Дети в ростовском лагере заразились норовирусом от сотрудников http://t.co/RA4kRcUTxD,Unknown,Russian,2015-07-15 13:32:00,2015-07-15 13:32:00,728,102,1596,R,1
kurdrysh,"Яценюк заявил, что безопасность Канады напрямую зависит от Украины   http://t.co/L3quIA2LBE с помощью @rianru",Unknown,Russian,2015-07-15 14:52:00,2015-07-15 14:52:00,728,102,1598,R,1
kurdrysh,Шесть турецких истребителей вторглись в воздушное пространство Греции #новости http://t.co/n50MsJEiSY,Unknown,Russian,2015-07-15 22:12:00,2015-07-15 22:12:00,728,102,1600,R,1
kurdrysh,Эффенберг: «Гамбург» сохранит прописку в Бундеслиге http://t.co/lKdydtBROq,Unknown,Russian,2015-07-16 11:12:00,2015-07-16 11:12:00,728,102,1603,R,1
kurdrysh,Суд решит вопрос о заочном аресте депутата Ильи Пономарева  http://t.co/OzjtJUX5fa,Unknown,Russian,2015-07-16 22:12:00,2015-07-16 22:12:00,728,103,1609,R,1
kurdrysh,"«Прилетая из Калифорнии в Москву, я будто пересаживаюсь из Toyota Prius в Porsche Cayenne»  http://t.co/Xa2LTSqumx",Unknown,Russian,2015-07-17 11:33:00,2015-07-17 11:34:00,728,104,1613,R,1
kurdrysh,Саакашвили объявил о назначении Марии Гайдар одесским вице-губернатором: http://t.co/mTQmJqOFCX,Unknown,Russian,2015-07-17 11:53:00,2015-07-17 11:53:00,728,104,1614,R,1
kurdrysh,"Жители Омска собирают подписи в поддержку полковника, задержанного после обрушения казармы: http://t.co/Sixjqccv2o",Unknown,Russian,2015-07-17 18:32:00,2015-07-17 18:32:00,728,104,1615,R,1
