author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
LadaDelReey,G7 оставила открытым вопрос приглашения Путина на саммит в 2016 году http://t.co/QazlaAKIdD http://t.co/AhwF2ALps8,Unknown,Russian,2015-06-23 05:51:00,2015-06-23 05:51:00,1777,271,1555,R,1
LadaDelReey,"ОНФ насторожила заявка уфалейского завода на Range Rover за 6,9 млн http://t.co/Soe8BarXRK",Unknown,Ukrainian,2015-07-07 12:32:00,2015-07-07 12:32:00,1775,275,1572,R,1
LadaDelReey,Путин согласился ликвидировать Минкрыма  http://t.co/SKn3zrG6pJ,Unknown,Russian,2015-07-15 13:12:00,2015-07-15 13:12:00,1771,278,1578,R,1
LadaDelReey,"Бубнов: в данной ситуации было бы логично, чтобы Капелло сменил Семак http://t.co/guK0ghpnEN",Unknown,Russian,2015-07-15 17:52:00,2015-07-15 17:52:00,1771,279,1579,R,1
LadaDelReey,"За что блокируют сайт Esquire  Главред издания о том, как материал пятилетней давности заинтересовал Роскомнадзор:  http://t.co/HglwjQELyr",Unknown,Russian,2015-07-15 19:51:00,2015-07-15 19:51:00,1771,280,1580,R,1
LadaDelReey,Жену Джонни Деппа будут судить за незаконный ввоз собак в Австралию http://t.co/8rQbPcacD9,Unknown,Russian,2015-07-16 15:34:00,2015-07-16 15:34:00,1772,281,1583,R,1
LadaDelReey,"На северо-востоке Нигерии прогремели два взрыва, есть жертвы http://t.co/n0O26JpGxt",Unknown,Russian,2015-07-16 18:53:00,2015-07-16 18:53:00,1772,281,1584,R,1
LadaDelReey,Моутинью может вернуться в «Порту» http://t.co/UxSWZOEATe,Unknown,Russian,2015-07-16 20:33:00,2015-07-16 20:33:00,1772,281,1585,R,1
LadaDelReey,"В Казахстане ученые придумали, как заряжать электромобили http://t.co/f1DDUNRCCK",Unknown,Russian,2015-07-17 12:32:00,2015-07-17 12:32:00,1512,280,1589,R,1
LadaDelReey,Концерт Maroon 5 в Китае отменен после твита о Далай-ламе http://t.co/i65OSibi1x http://t.co/cOOeMXy3zh,Unknown,Russian,2015-07-17 12:33:00,2015-07-17 12:33:00,1512,280,1590,R,1
LadaDelReey,СМИ: 250 человек пострадали в результате столкновения двух поездов в Йоханнесбурге  http://t.co/tJtgmQ2oP2,Unknown,Russian,2015-07-17 22:13:00,2015-07-17 22:13:00,1272,279,1592,R,1
LadaDelReey,Украина намерена подать еще один иск в ЕСПЧ против России http://t.co/6FiuUGWNEb http://t.co/hb0yUPFoxg,Unknown,Russian,2015-07-17 23:51:00,2015-07-17 23:51:00,1272,279,1593,R,1
LadaDelReey,Олланд призвал к созданию правительства еврозоны http://t.co/wmrXYP9POY,Unknown,Russian,2015-07-19 12:53:00,2015-07-19 12:53:00,1272,279,1599,R,1
LadaDelReey,"Зюганов заявил, что Селезнев оставил достойный след в этой жизни http://t.co/H1Uq38KVmV",Unknown,Russian,2015-07-20 07:33:00,2015-07-20 07:33:00,1272,277,1600,R,1
LadaDelReey,Шокирующее видео момента падения боинга на Украине! Максимальный RT!    http://t.co/TTcL3Oy9Ok,Unknown,Russian,2015-07-20 07:59:00,2015-07-20 07:59:00,1272,277,1601,R,1
LadaDelReey,В Москве объявлен «оранжевый» уровень опасности из-за ухудшения погоды  http://t.co/AJo8ckgNHf,Unknown,Russian,2015-07-20 09:33:00,2015-07-20 09:33:00,1272,277,1602,R,1
LadaDelReey,"Порошенко: Донбасс останется в составе Украины, его специфика будет учтена http://t.co/s7mvEafYP9",Unknown,Russian,2015-07-22 13:52:00,2015-07-22 13:52:00,1271,276,1606,R,1
LadaDelReey,Игорь Коломойский подаст в суд на Михаила Саакашвили за обвинение в контрабанде: http://t.co/vyvtcEohPw,Unknown,Russian,2015-07-22 15:53:00,2015-07-22 15:53:00,1271,276,1610,R,1
LadaDelReey,Украинцам придется выйти из тени  http://t.co/OcgghqfRm5 http://t.co/6j0hJZ0BZ6,Unknown,Russian,2015-07-22 16:31:00,2015-07-22 16:31:00,1271,276,1611,R,1
LadaDelReey,"Россия не сыграет с командами из группы отбора ЧМ, в которую попадёт Украина http://t.co/l4PjBCFdYB",Unknown,Russian,2015-07-22 17:04:00,2015-07-22 17:04:00,1271,276,1612,R,1
LadaDelReey,СК снизил число незаконно привлеченных к уголовной ответственности на 43% http://t.co/YUTuvBrWuz,Unknown,Russian,2015-07-24 08:31:00,2015-07-24 08:31:00,1271,275,1620,R,1
LadaDelReey,Аэропорт Домодедово ответил на требование Бастрыкина возместить ущерб от теракта: http://t.co/auGMNqdIwj,Unknown,Russian,2015-07-24 15:51:00,2015-07-24 15:51:00,1271,275,1626,R,1
LadaDelReey,Волшебный мир укропитеков   Це не наші люди! Це не українці!   https://t.co/ZJdw4tuIGp,Unknown,Ukrainian,2015-07-25 02:52:00,2015-07-25 02:52:00,1271,276,1628,R,1
