author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
LarsWolflars,Er kann nicht mehr spielen!? Dann ist er jetzt halt Trainer. #Ronaldo #PORFRA https://t.co/TG7pxmeT7O,Unknown,German,2016-07-12 10:06:00,2016-07-12 10:06:00,59,0,1,R,1
LarsWolflars,Wir sind Christdemokraten! Übers Koservativsein schreibt @petertauber für den @tagesspiegel: https://t.co/TPwZy1l4fA Lesen! /ap,Unknown,German,2016-07-12 10:12:00,2016-07-12 10:13:00,146,0,3,R,1
LarsWolflars,Start in den Tag #USA #Merkel #IchliebeMerkel #IchliebeUSA https://t.co/Acuu7egBMc,Unknown,LANGUAGE UNDEFINED,2016-07-12 10:12:00,2016-07-12 10:12:00,146,0,2,,0
LarsWolflars,Wie die Integration von Flüchtlingen funktionieren kann:  https://t.co/sM7eTL9quo  https://t.co/oy7CzSu6nP,Unknown,German,2016-07-12 10:13:00,2016-07-12 10:13:00,146,0,4,R,1
LarsWolflars,� BREAKING: Lebenslauf erfunden: SPD-Abgeordnete Hinz legt Bundestagsmandat nieder https://t.co/T7ugMJ6Ief https://t.co/bGyjWIHBvH,Unknown,German,2016-07-20 14:24:00,2016-07-20 14:26:00,166,18,5,R,1
LarsWolflars,Messerattacke auf Wiesn: Millionär bietet 200.000 Euro für Falschaussage https://t.co/qzsWZ1rG7w https://t.co/0YJc7XXIKt,Unknown,German,2016-07-20 14:24:00,2016-07-20 14:27:00,166,18,6,R,1
LarsWolflars,Terrorismus: #Bundesanwaltschaft übernimmt Ermittlungen zu Axt-Angriff in #Wuerzburg @welt https://t.co/yY7cYtmEBF #Bayern #Justiz,Unknown,German,2016-07-20 14:25:00,2016-07-20 14:25:00,166,18,8,R,1
LarsWolflars,Warum die @CDU die neue Partei der Migranten in Deutschland ist https://t.co/yvpsk4Vg3j https://t.co/SFKhQVBH79,Unknown,German,2016-07-20 14:25:00,2016-07-20 14:25:00,166,18,12,R,1
LarsWolflars,Klimawandel: Die Rückkehr der Eisbären auf Spitzbergen https://t.co/NEpQ91nJQ2 https://t.co/GsGR12ADfn,Unknown,German,2016-07-20 14:25:00,2016-07-20 14:27:00,166,18,9,R,1
LarsWolflars,Fan schwimmt kilometerweit für ein Selfie mit Messi https://t.co/gRiHvdANm2 https://t.co/HGA3mH1MWk,Unknown,German,2016-07-20 14:25:00,2016-07-20 14:27:00,166,18,11,R,1
LarsWolflars,"""American Breakfast"" - Melania-Gate schadet Donald Trump https://t.co/1t7IKHaoky via @welt",Unknown,English,2016-07-20 14:25:00,2016-07-20 14:25:00,166,18,10,R,1
LarsWolflars,Ein Verurteilter aus der Kölner Silvesternacht sieht sich als Justizopfer. Daraus lässt sich doch Geld machen� @welt https://t.co/jWGoyAWsdv,Unknown,German,2016-07-20 14:26:00,2016-07-20 14:27:00,166,18,18,R,1
LarsWolflars,Gefälschter und echter Lebenslauf der #SPD-Abgeordneten Petra #Hinz im Vergleich: https://t.co/80zBPYuXVe @welt https://t.co/M6PimpMfjt,Unknown,German,2016-07-20 14:26:00,2016-07-20 14:26:00,166,18,15,R,1
LarsWolflars,Freie Wähler wollen TV-Richter als Bundespräsidenten https://t.co/1bV0UiwXDD https://t.co/ItLC5WMGip,Unknown,German,2016-07-20 14:26:00,2016-07-20 14:26:00,166,18,16,R,1
LarsWolflars,Merkel und ihr Team sind  in der Lage #Afd zu stoppen! #Merkelmussbleiben,Unknown,German,2016-07-21 10:19:00,2016-07-21 10:19:00,166,18,19,,0
LarsWolflars,Man kritisiert Merkel stark aber keiner redet von den Erfolgen #Merkelmussbleiben,Unknown,German,2016-07-21 10:20:00,2016-07-21 10:20:00,166,18,21,,0
LarsWolflars,"Merkel tut alles richtig. Feinde nah halten, ihre Freunde sind ihr immer bekannt!",Unknown,German,2016-07-21 10:21:00,2016-07-21 10:21:00,166,18,22,,0
LarsWolflars,Sie hat keinen so teuren Frisur wie #Hollande #Merkelmussbleiben,Unknown,German,2016-07-21 10:23:00,2016-07-21 10:23:00,166,18,23,,0
