author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
LysikVinkova,вся правда о США https://t.co/s9kNY79c6b #StopDIGIM,Unknown,Ukrainian,2015-09-30T08:26:00,2015-09-30T08:26:00,48.0000000000,42.0000000000,101.0000000000,,False
LysikVinkova,"Европейцы, давайте жить дружно: санкции всем надоели #ДавайСноваОбщаться https://t.co/TPIv542e7P",Unknown,Russian,2016-01-13T15:59:00,2016-01-13T15:59:00,47.0000000000,42.0000000000,108.0000000000,R,True
LysikVinkova,Основатель группы Eagles Гленн Фрей скончался в США https://t.co/56LABhk5qN https://t.co/4DnHD1L9B9,Unknown,Russian,2016-01-18T23:54:00,2016-01-18T23:54:00,47.0000000000,42.0000000000,114.0000000000,R,True
LysikVinkova,"Вы ещё скажите, что эти ЛГБТ активисты были засланные? Во всём видеть вину России- это уже диагноз. Параноидальный.. https://t.co/2ruBVtn8JJ",Unknown,Russian,2016-03-20T19:21:00,2016-03-20T19:23:00,47.0000000000,41.0000000000,122.0000000000,R,True
LysikVinkova,"Сколько можно терпеть беспредел на дорогах! Страшно подумать сколько людей погибает, в частности детей#ВниманиеДЕТИ",Unknown,Russian,2016-04-02T20:21:00,2016-04-02T20:21:00,48.0000000000,41.0000000000,127.0000000000,,False
LysikVinkova,"Сегодня в СПб безалаберный водитель сбил ребенка, сколько можно убивать детей?!#ВниманиеДЕТИ",Unknown,Russian,2016-04-02T20:26:00,2016-04-02T20:26:00,48.0000000000,41.0000000000,130.0000000000,,False
LysikVinkova,"#ВниманиеДЕТИ Если люди так безответственно ведут себя на дорогах, значит, дети в большой опасности",Unknown,Russian,2016-04-02T21:30:00,2016-04-02T21:31:00,48.0000000000,41.0000000000,133.0000000000,,False
LysikVinkova,Когда будут стоящие программы по приобщению к жизни детей с ограниченными возможностями?  #ВопросПрезиденту https://t.co/cViKV9uWSi,Unknown,Russian,2016-04-10T22:34:00,2016-04-10T22:34:00,48.0000000000,41.0000000000,139.0000000000,R,True
LysikVinkova,Когда мы полетим на Марс? #ПрямаяЛиния2016,Unknown,Russian,2016-04-14T06:02:00,2016-04-18T09:03:00,48.0000000000,41.0000000000,142.0000000000,,False
LysikVinkova,Почему в нашей стране нет бесплатных спортивных секций для детей? #ПрямаяЛиния2016,Unknown,Russian,2016-04-14T06:15:00,2016-04-14T06:15:00,48.0000000000,41.0000000000,150.0000000000,,False
LysikVinkova,Француз хочет отсудить 360 тысяч евро у работодателя за «скучную работу» #МояСкучнаяРабота,Unknown,Russian,2016-05-03T17:15:00,2016-05-03T17:15:00,48.0000000000,41.0000000000,163.0000000000,,False
LysikVinkova,Француз подал в суд на бывшего работодателя из-за «скучной работы» #МояСкучнаяРабота https://t.co/RyW8hCd9m9,Unknown,Russian,2016-05-03T17:21:00,2016-05-03T17:21:00,48.0000000000,41.0000000000,164.0000000000,,False
LysikVinkova,#КинопоискОбманул Подумаешь прокачали парочку шлакофильмов...Просто теперь вообще на отечественные фильмы не пойду https://t.co/TaBv0JSPes,Unknown,Russian,2016-05-12T16:12:00,2016-05-12T16:12:00,48.0000000000,42.0000000000,168.0000000000,R,True
LysikVinkova,Почём продают голоса  https://t.co/wo0xpKvOST https://t.co/9ltEAIeXD7,Unknown,Russian,2016-05-22T09:41:00,2016-05-22T09:42:00,48.0000000000,42.0000000000,171.0000000000,R,True
LysikVinkova,"Прошел через 17 концлагерей, выжил в Бухенвальде. Несмотря на весь этот ужас,стал 7-кратным олимпийским чемпионом! https://t.co/uCU94y2X42",Unknown,Russian,2016-05-24T21:51:00,2016-05-24T21:52:00,48.0000000000,42.0000000000,175.0000000000,R,True
LysikVinkova,"Путин пообещал отстранить чиновников, причастных к допинговому скандалу  https://t.co/xMoLXzs8W9 https://t.co/dvOnzrdhg2",Unknown,Russian,2016-07-18T18:34:00,2016-07-18T18:34:00,48.0000000000,42.0000000000,199.0000000000,R,True
LysikVinkova,Наши девочки гандболисточки уже супер молодцы. Желаем им удачи в финале! #МыВсеБольныГандболом https://t.co/8qe5PvwriC,Unknown,Russian,2016-08-20T17:15:00,2016-08-20T17:15:00,48.0000000000,42.0000000000,202.0000000000,R,True
LysikVinkova,Американские супермаркеты вспоминают события 15-летней давности #11сентября #NeverForget https://t.co/k4lJUNrVM7,Unknown,Russian,2016-09-11T12:21:00,2016-09-11T12:21:00,48.0000000000,3425.0000000000,193.0000000000,R,True
LysikVinkova,Братья и сестры! Подпишитесь на наше новое сообщество https://t.co/3hEqa1suRb / _____ / Необходима Ваша поддержка.. https://t.co/zmpgBEk80l,Unknown,Russian,2016-10-08T17:37:00,2016-10-08T17:37:00,48.0000000000,2446.0000000000,211.0000000000,R,True
LysikVinkova,Before and after the #US backed #Saudi airstrike in #Yemen. Reportedly about 2000 ppl were in the funeral #Yemen https://t.co/1XhM5j0tdY,Unknown,English,2016-10-08T22:38:00,2016-10-08T22:38:00,48.0000000000,2445.0000000000,212.0000000000,R,True
LysikVinkova,Многоступенчатые амбиции https://t.co/3TZ2URrA3M #КНДР #Ракета #МБР #Тонна #Двигатель,Unknown,Russian,2016-10-09T03:39:00,2016-10-09T03:39:00,48.0000000000,2445.0000000000,217.0000000000,R,True
LysikVinkova,Тайна древних славян: на пороге разгадки https://t.co/xyQFol4XVt #Гаплогруппа #Гаплотип #Ветвь #Субклад #ЖИЛА,Unknown,Serbian,2016-10-09T03:39:00,2016-10-09T03:40:00,48.0000000000,2445.0000000000,216.0000000000,R,True
LysikVinkova,"#Ukraine Украина для США - это одна из принадлежавших им ""кастрюль с борщом"", который они сами и заварили.... https://t.co/owfBVLKuu9",Unknown,Ukrainian,2016-10-09T08:40:00,2016-10-09T08:40:00,48.0000000000,2444.0000000000,219.0000000000,R,True
LysikVinkova,'@pavprav @Romancolonel  чувства уважения к своему президенту. https://t.co/VuRfqWxFmG',Unknown,Russian,2016-10-09T08:40:00,2016-10-09T08:41:00,48.0000000000,2444.0000000000,218.0000000000,R,True
LysikVinkova,Андрей Заблоцкий: Армия и ополчение - смотри не перепутай  https://t.co/fnlART3AFV https://t.co/lIxFBtaaKQ,Unknown,Ukrainian,2016-10-09T13:41:00,2016-10-09T13:41:00,48.0000000000,2444.0000000000,223.0000000000,R,True
LysikVinkova,"Всем привет от наших подопечных - их сейчас очень много, хотя и пристраиваются активно. Очень нужна ваша помощь - без нее нам не справиться! https://t.co/yydOvW5Jkn",Unknown,Russian,2016-10-09T13:41:00,2016-10-09T13:41:00,48.0000000000,2444.0000000000,222.0000000000,R,True
LysikVinkova,Им нужна наша помощь!   https://t.co/YXzZtd7BKH  VISA Сбер 4276880108488911 ЯК 410012397368991 QIWI +79062593488  https://t.co/yXPUau56ac,Unknown,Russian,2016-10-09T13:41:00,2016-10-09T13:41:00,48.0000000000,2444.0000000000,221.0000000000,R,True
LysikVinkova,Петр Порошенко сегодня во время визита в Одесскую область удивил публику мятым костюмом. Пеца...хватить пить !!! Стыдно смотреть на тебя !!! https://t.co/YQqiEQ6N3Z,Unknown,Russian,2016-10-09T18:42:00,2016-10-09T18:42:00,48.0000000000,2442.0000000000,225.0000000000,R,True
LysikVinkova,British Ambassador to UN accused Russia of overusing veto (5 resolutions on Syria) Number of times USA used veto to shield Israel - 49...,Unknown,English,2016-10-09T23:44:00,2016-10-09T23:44:00,48.0000000000,2441.0000000000,227.0000000000,R,True
LysikVinkova,��� Давно ждали этих слов!  ��� Давно ждём действий! https://t.co/XCbdsHfJFi,Unknown,Russian,2016-10-10T04:45:00,2016-10-10T04:46:00,48.0000000000,2441.0000000000,230.0000000000,R,True
LysikVinkova,Тереза Мэй запретила министрам ходить на работу в Apple Watch: боятся русских хакеров. А наши ходят и не боятся  https://t.co/To2ZtruMG7 https://t.co/WRqmdoA5EB,Unknown,Russian,2016-10-10T04:46:00,2016-10-10T04:46:00,48.0000000000,2441.0000000000,232.0000000000,R,True
LysikVinkova,"Центробанк Азербайджана привлек 39,5 млн манатов на очередном депозитном аукционе https://t.co/wLk5fbazFM #Миллион #Манат #ЦБ #Влька #БАНК",Unknown,Russian,2016-10-10T09:50:00,2016-10-10T09:50:00,48.0000000000,2439.0000000000,233.0000000000,R,True
LysikVinkova,Сирийская армия уничтожила командный пункт террористов к югу от Алеппо  https://t.co/i2O1OIyPcw,Unknown,Russian,2016-10-10T19:54:00,2016-10-10T19:56:00,48.0000000000,2438.0000000000,240.0000000000,R,True
LysikVinkova,Туск: не продлить санкции против РФ из-за действий в Сирии -  капитуляция https://t.co/w2IPzTo8T8 https://t.co/baMS5mAvWv,Unknown,Ukrainian,2016-10-10T19:54:00,2016-10-10T19:54:00,48.0000000000,2438.0000000000,241.0000000000,R,True
LysikVinkova,ПРАВДА ОБ СССР КАК БРИТАНСКОЙ КОЛОНИИ НА РОССИЙСКОМ ТВНедавно в эфире федерального телеканала.. https://t.co/wVfyI1MEw2,Unknown,Russian,2016-10-11T00:55:00,2016-10-11T00:55:00,48.0000000000,2437.0000000000,243.0000000000,R,True
LysikVinkova,"Всегда есть определённые границы, до которых можно идти. Членство кого-то где-то, всяческие декларации.. https://t.co/F1AnN5B1R8",Unknown,Russian,2016-10-11T00:55:00,2016-10-11T00:55:00,48.0000000000,2437.0000000000,244.0000000000,R,True
LysikVinkova,"Ну что советский человек, колониальный негр с газетой, может знать о большевиках? Если ему сказать,.. https://t.co/JQURrvIdTx",Unknown,Russian,2016-10-11T00:55:00,2016-10-11T00:55:00,48.0000000000,2437.0000000000,242.0000000000,R,True
LysikVinkova,#История@rus_improvisation https://t.co/FN7Hga8JoD,Unknown,Russian,2016-10-11T05:56:00,2016-10-11T05:56:00,48.0000000000,2436.0000000000,247.0000000000,R,True
LysikVinkova,"Видели ?нет!по россия 1, рекламу …милдроната???   …Хахаха вот я ржу))) Сука @wada_ama /вадабля епаная",Unknown,Russian,2016-10-11T05:56:00,2016-10-11T05:56:00,48.0000000000,2436.0000000000,246.0000000000,R,True
LysikVinkova,"Я ТАК СЧАСТЛИВО ПРОЖИЛА!!!  Прожила свою жизнь, потому что меня окружали 3 группы:   https://t.co/2cz729Zu0r 2. Deep Purple 3.Queen  И еще...",Unknown,Russian,2016-10-11T10:57:00,2016-10-11T10:57:00,48.0000000000,2435.0000000000,250.0000000000,R,True
LysikVinkova,Московский штаб ОНФ разработал предложения по повышению доступности парковок для инвалидов https://t.co/F7t006CDfr,Unknown,Russian,2016-10-11T10:57:00,2016-10-11T10:57:00,48.0000000000,2435.0000000000,248.0000000000,R,True
LysikVinkova,"‘To destroy sacrilegious artifacts’: ISIS blows up Assyrian church in Nineveh, Iraq https://t.co/Eyx7nvNs9h",Unknown,English,2016-10-11T10:57:00,2016-10-11T10:57:00,48.0000000000,2435.0000000000,249.0000000000,R,True
LysikVinkova,'@i314159265 @AWAKEALERT US Aggression in Syria https://t.co/MxkNQCtqKg  @JudgeJeanine @UNGeneva @megynkelly @maddow @camanpour @FRANCE24',Unknown,English,2016-10-11T16:00:00,2016-10-11T16:01:00,49.0000000000,2435.0000000000,251.0000000000,R,True
LysikVinkova,Bailout Incoming: Greece approved for another $3bn after completing required reforms https://t.co/DtX14WLPgX https://t.co/EKpbBDlonY,Unknown,English,2016-10-11T16:01:00,2016-10-11T16:01:00,49.0000000000,2435.0000000000,253.0000000000,R,True
LysikVinkova,Did the police single her out for livestreaming the protest? And why did they use armored vehicles and military gear to arrest an actress? https://t.co/E8n9ROS7Y1,Unknown,English,2016-10-12T02:04:00,2016-10-12T02:04:00,49.0000000000,2434.0000000000,257.0000000000,R,True
LysikVinkova,"До XIX-го века в Англии и западной цивилизации был негласный факт, что СМИ и государство были одной системой   https://t.co/6io4DO2DY3",Unknown,Russian,2016-10-12T12:10:00,2016-10-12T12:11:00,49.0000000000,2432.0000000000,265.0000000000,R,True
LysikVinkova,UPDATE: Hurricane Matthew death toll reaches 34 https://t.co/kRrV9PQADa https://t.co/qbg1kXBei5,Unknown,English,2016-10-13T03:13:00,2016-10-13T03:13:00,49.0000000000,2429.0000000000,277.0000000000,R,True
LysikVinkova,СМИ узнали о планах «Роснефти» и UCP купить индийскую Essar   https://t.co/yTJ41eLXql https://t.co/L7zohDaUak,Unknown,Russian,2016-10-13T18:17:00,2016-10-13T18:17:00,49.0000000000,2426.0000000000,284.0000000000,R,True
LysikVinkova,#Russia tests ‘unrivaled’ new radio-electronic weapon – producer https://t.co/cu1kN50EDz,Unknown,English,2016-10-13T23:18:00,2016-10-13T23:18:00,49.0000000000,2426.0000000000,288.0000000000,R,True
LysikVinkova,Титов будет участвовать в выборах вице-президента FIG https://t.co/AxJyRe6EFw #Федерация #Глава #ТИТ #Организация #Президент,Unknown,Russian,2016-10-14T09:21:00,2016-10-14T09:21:00,49.0000000000,2425.0000000000,294.0000000000,R,True
LysikVinkova,Три рецепта необычных блюд с яйцом https://t.co/FIteXUWTvc #Масло #Андрей #СОЛЬ #Шефповар #Желток,Unknown,Russian,2016-10-14T09:21:00,2016-10-14T09:21:00,49.0000000000,2425.0000000000,295.0000000000,R,True
LysikVinkova,В Honda только на 50% удовлетворены прогрессом https://t.co/qZl3UqcnXx #Хасэгав #Моторист #ХОД #Руководитель #Прогресс,Unknown,Russian,2016-10-15T00:25:00,2016-10-15T00:26:00,49.0000000000,2422.0000000000,304.0000000000,R,True
LysikVinkova,Госдеп подтвердил планы военного давления на режим Асада https://t.co/yRPpu73jkM #США #Режим #Тонер #АСАД #Обама,Unknown,Russian,2016-10-15T00:25:00,2016-10-15T00:25:00,49.0000000000,2422.0000000000,303.0000000000,R,True
LysikVinkova,"Моя одна из любимых песен Александра Розенбаума  ""И значит мы живы"" @RUColonel   https://t.co/bWPN3bSoa5 ❤️❤️❤️❤️❤️❤️ https://t.co/DCzvfK2psB",Unknown,Ukrainian,2016-10-15T00:25:00,2016-10-15T00:26:00,49.0000000000,2422.0000000000,302.0000000000,R,True
LysikVinkova,"As talks begin in #Lausanne, what are your predictions for latest #Syria meeting?",Unknown,English,2016-10-15T10:28:00,2016-10-15T10:28:00,49.0000000000,2423.0000000000,308.0000000000,R,True
LysikVinkova,"USA in their aggressive plans for world domination in the world don't even hide their intentions,to whom and what nasty things they will do https://t.co/WEGXz23fjo",Unknown,English,2016-10-15T10:28:00,2016-10-15T10:28:00,49.0000000000,2423.0000000000,310.0000000000,R,True
LysikVinkova,#Russia aggressor?  #Murmansk  15.10.2016 Solemn ceremony of burial of remains Soviet soldiers who died in Arctic during Great Patriotic war https://t.co/wa8GbQcS6T,Unknown,English,2016-10-16T06:32:00,2016-10-16T06:32:00,49.0000000000,2422.0000000000,314.0000000000,R,True
LysikVinkova,"Military instructors from #NATO countries were onboard a combat helicopter, shot down by servicemen of #DPR  #OSCE ▼ https://t.co/9LN4exfK7E",Unknown,English,2016-10-16T11:34:00,2016-10-16T11:34:00,49.0000000000,2421.0000000000,317.0000000000,R,True
LysikVinkova,"я не президент, но когда ты управляешь страной, об самовольно ползающем в луже алкаше не думают! @ASDreality @Marat19525 @leon_elk @iremeslo",Unknown,Russian,2016-10-16T16:35:00,2016-10-16T16:35:00,49.0000000000,2421.0000000000,322.0000000000,R,True
LysikVinkova,Неразвивающаяся аномалия https://t.co/UgIrtyBEIz #РОСТ #Экмик #Страна #Экмика #Мобиус,Unknown,Russian,2016-10-16T21:36:00,2016-10-16T21:36:00,49.0000000000,2420.0000000000,323.0000000000,R,True
LysikVinkova,Акция в один клик https://t.co/MEgU4XF9dP #Акция #СЧЁТ #Ложение #Рынок #Сделка,Unknown,Russian,2016-10-16T21:36:00,2016-10-16T21:36:00,49.0000000000,2420.0000000000,325.0000000000,R,True
LysikVinkova,"За границей ждут российские колбасы, печенье и тушенку https://t.co/0805uOPZeO #Экспорт #Продукция #Продовольствие #Поддержка #Рынок",Unknown,Russian,2016-10-16T21:36:00,2016-10-16T21:36:00,49.0000000000,2420.0000000000,324.0000000000,R,True
LysikVinkova,'@OceanEchoes https://t.co/P0gCkEgyjv',Unknown,Russian,2016-10-17T02:37:00,2016-10-17T02:38:00,49.0000000000,2419.0000000000,326.0000000000,R,True
LysikVinkova,Си Цзиньпин о «Шэнчжоу-11»: КНР должна стать мощной космической державой https://t.co/i4YtypySD9 #Цзиньпина #Китай #Экипаж #Космос #Корабль,Unknown,Russian,2016-10-17T02:37:00,2016-10-17T02:38:00,49.0000000000,2419.0000000000,327.0000000000,R,True
LysikVinkova,Putin on Biden cyberthreat: First time US admits such thing on highest level  https://t.co/HOVbRuxh7s,Unknown,English,2016-10-17T02:38:00,2016-10-17T02:38:00,49.0000000000,2419.0000000000,328.0000000000,R,True
