author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ldm1900,"'@ComradZampolit задавленный жизнью голос ""правды""'",United States,Russian,2015-07-07T23:01:00,2015-07-07T23:02:00,658.0000000000,974.0000000000,14259.0000000000,,False
ldm1900,'@zubovnik @US_progress но никому уже ничего не скажут',United States,Ukrainian,2015-07-14T19:02:00,2015-07-14T19:03:00,658.0000000000,977.0000000000,14257.0000000000,,False
ldm1900,'@ComradZampolit из серии - как получить финансирование от МВФ в обход санкций',United States,Russian,2015-07-15T19:11:00,2015-07-15T19:12:00,658.0000000000,976.0000000000,14261.0000000000,,False
ldm1900,"'@NovostiMsk грустный день, но хорошо что об этом помнять - не вымарывают из памяти!'",United States,Russian,2015-09-05T20:45:00,2015-09-05T20:46:00,200.0000000000,864.0000000000,14307.0000000000,,False
ldm1900,"Глава ФМС:России не грозит поток мигрантов из Сирии,но ФМС гуманно отнесётся к просьбам тех,кто обратится за помощью  http://t.co/RUKQjC4Fbw",United States,Russian,2015-09-09T12:03:00,2015-09-09T12:04:00,200.0000000000,860.0000000000,14310.0000000000,R,True
ldm1900,Европа захлебывается от них http://t.co/dZAOlOMLhO,United States,Russian,2015-09-09T12:42:00,2015-09-09T12:43:00,200.0000000000,861.0000000000,14311.0000000000,,False
ldm1900,Если Дамаск попросит помочь в борьбе с ИГИЛ - мы поможем!  https://t.co/LnIgZbjhyY,United States,Russian,2015-09-21T14:27:00,2015-09-21T14:27:00,199.0000000000,851.0000000000,14332.0000000000,R,True
ldm1900,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,United States,Russian,2015-09-28T14:34:00,2015-09-28T14:34:00,199.0000000000,848.0000000000,14342.0000000000,R,True
ldm1900,Немного хорошей пародии на тему блокады Крыма  https://t.co/3hvfciANVa,United States,Russian,2015-09-29T13:15:00,2015-09-29T13:15:00,199.0000000000,848.0000000000,14344.0000000000,,False
ldm1900,'@NovostiNsk старый-очень старый прикол',United States,Russian,2015-09-29T19:36:00,2015-09-29T19:39:00,199.0000000000,848.0000000000,14345.0000000000,,False
ldm1900,Украина умирает: без злорадства про дефолт и его последствия  http://t.co/SPqv8ql9OL http://t.co/dejbez60jJ,United States,Russian,2015-10-06T10:59:00,2015-10-06T10:59:00,198.0000000000,839.0000000000,14354.0000000000,,False
ldm1900,'@NovostiRnD хоккей и Ростов - две вещи не своместимые',United States,Ukrainian,2015-10-11T21:56:00,2015-10-11T21:57:00,198.0000000000,838.0000000000,14355.0000000000,,False
ldm1900,"«Алмаз-Антей»: У Украины ранее насчитывалось 502 ракеты 9М38, сколько сейчас - неизвестно  #РазрушителиМифов",United States,Russian,2015-10-13T10:22:00,2015-10-13T11:31:00,198.0000000000,838.0000000000,14353.0000000000,,False
ldm1900,Украинские авиакомпании попросили Росавиацию разрешить полеты в РФ #поэтомуясупергерой http://t.co/bnsxWU7P96,United States,Russian,2015-10-19T16:43:00,2015-10-19T16:43:00,197.0000000000,835.0000000000,14363.0000000000,R,True
ldm1900,"Бомбим ИГИЛ, боремся со злом! Буду летчиком #поэтомуясупергерой http://t.co/UsMiWKynlr",United States,Russian,2015-10-19T16:43:00,2015-10-19T16:43:00,197.0000000000,835.0000000000,14362.0000000000,R,True
ldm1900,Что ждет украинских граждан в России ?  https://t.co/KIblnViSol https://t.co/K0nkS4R0rd,United States,Russian,2015-10-19T18:45:00,2015-10-19T18:45:00,197.0000000000,835.0000000000,14368.0000000000,R,True
ldm1900,"Ливийка,родившая ребенка,получала пособие в размере 5000$ ля себя и новорожденного #ПамятиКаддафи",United States,Russian,2015-10-20T15:21:00,2015-10-20T15:21:00,197.0000000000,834.0000000000,14372.0000000000,,False
ldm1900,Россия продолжает наносить удары на опережение #5причинбомбитьигил https://t.co/AwlIdDFzIu https://t.co/6cHxexwiMt,United States,Russian,2015-10-21T16:10:00,2015-10-21T16:10:00,197.0000000000,833.0000000000,14377.0000000000,,False
