author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
los_losos_,"Лавров и Керри возложили венки к памятнику погибшим воинам, после чего провели переговоры #ПобедаЛаврова http://t.co/QYDM3B3Rqq",Unknown,Russian,2015-05-12 15:00:00,2015-05-12 15:01:00,1748,159,397,R,1
los_losos_,Bloody collisions on the «Maidan Independence Square» in Kiev http://t.co/SWi0lY07We,Unknown,English,2015-05-19 18:33:00,2015-05-19 18:33:00,1747,158,400,R,1
los_losos_,УИК-ЭНД В ОСВЕНЦИМЕ  Читаем!  http://t.co/nFuzmCf8fP,Unknown,Russian,2015-05-25 10:47:00,2015-05-25 10:47:00,1750,162,403,R,1
los_losos_,http://t.co/dd4RUzfW0e - за что убили кролика Алана?,Unknown,Uzbek,2015-05-26 14:34:00,2015-05-26 14:34:00,1750,162,405,R,1
los_losos_,"Чем травятся школьники и студенты, и почему в московских столовых школьное питание безопаснее http://t.co/iFI7DN663r",Unknown,Russian,2015-06-05 10:12:00,2015-06-05 10:12:00,1750,162,437,R,1
los_losos_,Не все детские учреждения одинаково полезны... http://t.co/aLd9Yi7Vct,Unknown,Russian,2015-06-08 09:11:00,2015-06-08 09:11:00,1744,158,438,R,1
los_losos_,"#ЗапасПрочности придумывая новые санкции,Европа разрушает у себя малый бизнес",Unknown,Russian,2015-06-19 16:36:00,2015-06-19 16:38:00,1738,155,443,,0
los_losos_,"Трагедия ""челленджера"". А был ли мальчик? http://t.co/AuAeW67qf6",Unknown,Russian,2015-06-25 12:28:00,2015-06-25 12:28:00,1738,153,445,R,1
los_losos_,Бывшие сбушники срывают покровы http://t.co/mcCZN8iNxB,Unknown,Russian,2015-06-25 12:36:00,2015-06-25 12:36:00,1738,153,446,R,1
los_losos_,"Бузины часто говорил, что ему угрожают, но он не боялся #ПамятиБузины",Unknown,Russian,2015-07-13 13:18:00,2015-07-13 13:20:00,1734,153,455,,0
