author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
MadlenCrazy,Житель Арзамаса осужден на 10 лет колонии особого режима за приготовление к незаконному сбыту наркотиков http://t.co/zI6gN6JI4p,Azerbaijan,Russian,2015-06-23T07:53:00,2015-06-23T07:53:00,1741.0000000000,624.0000000000,8226.0000000000,R,True
MadlenCrazy,ЕС мало не покажется: Росрыболовство хочет расширить эмбарго http://t.co/mAglW00CpM http://t.co/R7zOEWQjAE,Azerbaijan,Russian,2015-06-23T15:12:00,2015-06-23T15:12:00,1741.0000000000,624.0000000000,8227.0000000000,R,True
MadlenCrazy,Депутатам Госдумы предлагают «урезать» отпуск до 28 дней http://t.co/GGNOdwle4f http://t.co/5p8zr5Ril3,Azerbaijan,Russian,2015-06-29T00:11:00,2015-06-29T00:11:00,1740.0000000000,623.0000000000,8235.0000000000,R,True
MadlenCrazy,Автомобиль Ferrari сгорел на юге Москвы http://t.co/309ONT36K4,Azerbaijan,Russian,2015-07-01T07:31:00,2015-07-01T07:31:00,1739.0000000000,621.0000000000,8242.0000000000,R,True
MadlenCrazy,В Шахтах оштрафовали «Мегафон» за незаконную вышку связи http://t.co/7AeYK3d8HG,Azerbaijan,Ukrainian,2015-07-02T21:31:00,2015-07-02T21:31:00,1738.0000000000,623.0000000000,8248.0000000000,R,True
MadlenCrazy,ФК «Волга» обыграл ФК «Енисей» в первом туре чемпионата ФНЛ  http://t.co/fGsVMyJMNZ http://t.co/qpVO505wBN,Azerbaijan,Russian,2015-07-12T17:11:00,2015-07-12T17:11:00,1735.0000000000,623.0000000000,8250.0000000000,R,True
MadlenCrazy,ВСУ специально ужесточают обстрелы перед переговорами в Минске — ДНР http://t.co/IjUHn3tNUQ http://t.co/IVzFpqkFx2,Azerbaijan,Russian,2015-07-14T13:51:00,2015-07-14T13:52:00,1236.0000000000,625.0000000000,8253.0000000000,R,True
MadlenCrazy,.@derevni_potemki вот так вата и палится! @AndreyKauf @SFGO76 @yuri_si62 @1958Bga http://t.co/Upd21bMhBR,Azerbaijan,Russian,2015-07-15T11:34:00,2015-07-15T11:35:00,1236.0000000000,624.0000000000,8255.0000000000,R,True
MadlenCrazy,Продажи смартфонов Lenovo показали рекордный на российском рынке рост   http://t.co/LdQnLofCm2,Azerbaijan,Russian,2015-07-15T13:33:00,2015-07-15T13:33:00,1236.0000000000,624.0000000000,8258.0000000000,R,True
MadlenCrazy,Меркель выступила против однополых браков http://t.co/hrI4oIn8VI,Azerbaijan,Russian,2015-07-15T17:13:00,2015-07-15T17:13:00,1236.0000000000,624.0000000000,8260.0000000000,R,True
MadlenCrazy,Пушилин опроверг слухи о возможном расформировании минобороны ДНР и отставке Захарченко  http://t.co/q6Um8yIO55,Azerbaijan,Russian,2015-07-15T21:33:00,2015-07-15T21:33:00,1236.0000000000,624.0000000000,8262.0000000000,R,True
MadlenCrazy,Flash. Must. Die.    https://t.co/WL2jZXVpN8,Azerbaijan,Russian,2015-07-16T09:12:00,2015-07-16T09:13:00,1236.0000000000,624.0000000000,8266.0000000000,R,True
MadlenCrazy,"России есть что ответить Западу по MH17, но правила вынуждают молчать http://t.co/AfTjdIElhP",Azerbaijan,Russian,2015-07-16T16:51:00,2015-07-16T16:51:00,1235.0000000000,624.0000000000,8268.0000000000,R,True
MadlenCrazy,"В Москве полицейский на автомобиле врезался в мачту освещения, два человека погибли http://t.co/7SGRcYoNfv",Azerbaijan,Russian,2015-07-16T21:31:00,2015-07-16T21:31:00,1235.0000000000,624.0000000000,8271.0000000000,R,True
MadlenCrazy,"СМИ: сотрудники военкомата в Винницкой области пытались ""мобилизовать"" безрукого инвалида  http://t.co/I8nJlcdq44",Azerbaijan,Russian,2015-07-17T02:51:00,2015-07-17T02:51:00,1235.0000000000,624.0000000000,8274.0000000000,R,True
MadlenCrazy,"На станции столичного метро ""Дмитровская"" произошло задымление http://t.co/IqKivBYlG9",Azerbaijan,Russian,2015-07-17T08:52:00,2015-07-17T08:52:00,1235.0000000000,624.0000000000,8275.0000000000,R,True
MadlenCrazy,'@salty_1970 Зачем ви тгавите @korobkov?  @GoppneG @DariaGreen',Azerbaijan,Macedonian,2015-07-17T08:53:00,2015-07-17T08:54:00,1235.0000000000,624.0000000000,8277.0000000000,R,True
MadlenCrazy,Бывший глава департамента культуры Москвы Сергей Капков трудоустроился на экономическом факультете МГУ:  http://t.co/cP57AyMtcJ,Azerbaijan,Russian,2015-07-17T08:53:00,2015-07-17T08:53:00,1235.0000000000,624.0000000000,8276.0000000000,R,True
MadlenCrazy,Капков возглавит исследовательский центр при экономическом факультете МГУ http://t.co/o4Xfv4aN6N,Azerbaijan,Russian,2015-07-17T12:52:00,2015-07-17T12:52:00,1234.0000000000,624.0000000000,8279.0000000000,R,True
MadlenCrazy,США отказываются комментировать расследование крушения Boeing на Украине #новости http://t.co/FfUUWtS0jj,Azerbaijan,Russian,2015-07-18T03:31:00,2015-07-18T03:31:00,1235.0000000000,624.0000000000,8284.0000000000,R,True
MadlenCrazy,Блан: «ПСЖ» очень внимательно следит за ситуацией Ди Марии в «МЮ» http://t.co/QZ7ikEybDN,Azerbaijan,Russian,2015-07-18T09:51:00,2015-07-18T09:51:00,1235.0000000000,625.0000000000,8286.0000000000,R,True
MadlenCrazy,Оргкомитет «Россия-2018» отреагировал на инцидент с Фримпонгом  http://t.co/1upycg6fR6 http://t.co/qYjfqUwFPj,Azerbaijan,Russian,2015-07-18T13:51:00,2015-07-18T13:52:00,1235.0000000000,625.0000000000,8289.0000000000,R,True
MadlenCrazy,Ебанутым нет покоя) http://t.co/dmx7Bwb0SP,Azerbaijan,Russian,2015-07-18T16:13:00,2015-07-18T16:13:00,1235.0000000000,625.0000000000,8290.0000000000,R,True
MadlenCrazy,"В Раде заявили, что Гайдар взяли в команду Саакашвили как «представителя России»  http://t.co/YChP9oKaxM http://t.co/F4dtrr5D0R",Azerbaijan,Russian,2015-07-18T20:11:00,2015-07-18T20:11:00,1235.0000000000,624.0000000000,8293.0000000000,R,True
MadlenCrazy,Порошенко обвинил парламентские фракции  http://t.co/f5Oine5wzv http://t.co/1HQ9VTgJJj,Azerbaijan,Macedonian,2015-07-19T10:32:00,2015-07-19T10:32:00,1235.0000000000,624.0000000000,8296.0000000000,R,True
MadlenCrazy,Бибиков: Палладино? Никакими итальянцами «Мордовия» не интересовалась http://t.co/11BMJtR1XL,Azerbaijan,Ukrainian,2015-07-19T15:32:00,2015-07-19T15:32:00,1235.0000000000,624.0000000000,8299.0000000000,R,True
MadlenCrazy,Задорные на всю голову нерабы исполняют http://t.co/UyxwxWWbsv,Azerbaijan,Russian,2015-07-20T05:52:00,2015-07-20T05:52:00,1235.0000000000,624.0000000000,8301.0000000000,R,True
MadlenCrazy,Тьяго Мотта отказался тренироваться с «ПСЖ» http://t.co/UMvDJAWWNv,Azerbaijan,Russian,2015-07-20T10:22:00,2015-07-20T10:22:00,1235.0000000000,624.0000000000,8303.0000000000,R,True
MadlenCrazy,Британская королева на Jaguar объехала пешеходов по газону http://t.co/hy4ppi09Ul,Azerbaijan,Russian,2015-07-20T17:12:00,2015-07-20T17:12:00,1235.0000000000,624.0000000000,8307.0000000000,R,True
MadlenCrazy,ВИДЕО. Бывший священник устроил дебош в нижнетагильском трамвае http://t.co/2RkdQeY9w0 http://t.co/JYGBZHzLmK,Azerbaijan,Russian,2015-07-20T18:31:00,2015-07-20T18:31:00,1235.0000000000,624.0000000000,8308.0000000000,R,True
MadlenCrazy,'@salty_1970 ))))))',Azerbaijan,Russian,2015-07-20T19:11:00,2015-07-20T19:11:00,1235.0000000000,624.0000000000,8309.0000000000,R,True
MadlenCrazy,АвтоВАЗ может получить на программу утилизации еще 4 млрд рублей http://t.co/jhYiai0hxo,Azerbaijan,Russian,2015-07-21T15:34:00,2015-07-21T15:34:00,1236.0000000000,624.0000000000,8313.0000000000,R,True
MadlenCrazy,Контактная группа обсуждила создание дополнительного пункта пропуска в ЛНР http://t.co/dLR8iseQhZ,Azerbaijan,Russian,2015-07-21T18:53:00,2015-07-21T18:54:00,1236.0000000000,623.0000000000,8316.0000000000,R,True
MadlenCrazy,В США хакеры перехватили управление движущимся автомобилем через интернет http://t.co/I9H9R2dRYa,Azerbaijan,Russian,2015-07-22T03:13:00,2015-07-22T03:13:00,1236.0000000000,623.0000000000,8322.0000000000,R,True
MadlenCrazy,Посольство: россиянка получила тяжелые ранения в ДТП в Тунисе http://t.co/pv7XuSTaIu,Azerbaijan,Russian,2015-07-22T21:11:00,2015-07-22T21:12:00,1236.0000000000,626.0000000000,8328.0000000000,R,True
MadlenCrazy,Опа-опа та бузуки. Греческий парламент решает судьбы родины и Ципраса. Это надо видеть:  http://t.co/B8Ug5abGDH  https://t.co/CGauXWaqLO,Azerbaijan,Russian,2015-07-22T21:12:00,2015-07-22T21:12:00,1236.0000000000,626.0000000000,8329.0000000000,R,True
MadlenCrazy,СМИ: ЦБ обсудит с крупнейшими банками идею создания национального рейтингового агентства  http://t.co/qnKD8rJPnl,Azerbaijan,Russian,2015-07-23T06:31:00,2015-07-23T06:31:00,1236.0000000000,626.0000000000,8331.0000000000,R,True
MadlenCrazy,Французский депутат: возвращение в РФ спасло Крым от участи Донбасса   http://t.co/TB6tOdk0gx с помощью @rianru,Azerbaijan,Russian,2015-07-23T07:31:00,2015-07-23T07:31:00,1236.0000000000,626.0000000000,8332.0000000000,R,True
MadlenCrazy,Winium.Desktop: Selenium для desktop-приложений под Windows  #hitech,Azerbaijan,Ukrainian,2015-07-23T14:52:00,2015-07-23T14:52:00,1236.0000000000,623.0000000000,8339.0000000000,R,True
