author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
MatEvidenceRU,"Выставка ""Вещдоки — Донбасс 365 дней"" в выставочном павильоне ""Украина"", ВДНХ, Москва http://t.co/5oJPAq0KPs",Unknown,Russian,2015-05-19 03:25:00,2015-05-19 03:25:00,0,0,8,,0
MatEvidenceRU,"Вся правда о странах, втянутых в гражданские конфликты http://t.co/hpVxnGRIKs",Unknown,Russian,2015-05-20 23:24:00,2015-05-20 23:26:00,0,46,32,,0
MatEvidenceRU,"В марте 1988 года, Саддам Хусейн атаковал курдов на севере Ирака при помощи химического оружия. Погибло 5000 человек http://t.co/VkjzJiwKvf",Unknown,Russian,2015-05-23 11:24:00,2015-05-23 11:24:00,0,46,62,,0
MatEvidenceRU,"Когда операция ""Иракская свобода"" была завершена,  радикальные организации ISIL и Аль-Каиды начали захватывать страну http://t.co/K9Dc4KoERn",Unknown,Russian,2015-05-27 05:24:00,2015-05-27 05:24:00,0,46,105,,0
MatEvidenceRU,Создание Луганской Народной Республики (ЛНР) было объявлено 27 апреля 2014 года http://t.co/0rJCU4BwP5,Unknown,Russian,2015-05-29 21:25:00,2015-05-29 21:26:00,0,46,137,,0
MatEvidenceRU,ИГИЛ взял на себя ответственность за взрыв шиитской мечети в Саудовской Аравии. 4 погибших http://t.co/EOdxoZLyHC,Unknown,Russian,2015-05-30 15:25:00,2015-05-30 15:26:00,0,47,146,,0
MatEvidenceRU,Разливайте пиво а не кровь! http://t.co/kWVzfkBv1S,Unknown,Ukrainian,2015-06-02 13:26:00,2015-06-02 13:26:00,0,47,181,,0
MatEvidenceRU,Война - это страх облаченный в отвагу. - Уильям Уэстморленд http://t.co/vPoG1xoAQ8,Unknown,Russian,2015-06-03 07:26:00,2015-06-03 07:28:00,0,47,190,,0
MatEvidenceRU,Война - это способ Бога заставить нас выучить географию http://t.co/jO4xSv5LJ0,Unknown,Russian,2015-06-05 03:24:00,2015-06-05 03:26:00,0,47,212,,0
MatEvidenceRU,"Война бы прекратилась, если бы  все погибшие вернулись. - Стэнли Болдуин http://t.co/rFrR9Q8h76",Unknown,Russian,2015-06-10 01:26:00,2015-06-10 01:27:00,0,40,261,,0
MatEvidenceRU,"Иран отрицает тот факт, что он поставляет в Ирак ракет ""Earthquake"" http://t.co/kaoNupCsKj",Unknown,Russian,2015-06-12 09:26:00,2015-06-12 09:26:00,0,40,289,,0
MatEvidenceRU,"Красный - годы, проведённые Америкой в состоянии войны, синий - в состоянии мира http://t.co/aHdCa37s6r",Unknown,Russian,2015-06-12 23:25:00,2015-06-12 23:27:00,0,40,296,,0
MatEvidenceRU,Ген. Мартин Демпси сомневается в необходимости участия США в войне в Ираке и призывает к терпению http://t.co/hw8tX3Xf9T,Unknown,Russian,2015-06-15 13:26:00,2015-06-15 13:29:00,0,40,321,,0
MatEvidenceRU,Католический банк Сирии ведет переговоры о продаже акций http://t.co/cSRRTywjUr,Unknown,Russian,2015-06-15 17:27:00,2015-06-15 17:29:00,0,40,323,,0
MatEvidenceRU,Более 2000 военнослужащих новой инициативной силы НАТО готовятся ответить на возможный кризис http://t.co/IMk3dM8eUV,Unknown,Russian,2015-06-19 05:24:00,2015-06-19 05:24:00,0,40,354,,0
MatEvidenceRU,"Россия не отменит эмбарго на продукты из Европы, если Европа не отменит санкции http://t.co/93OeDw47up",Unknown,Russian,2015-06-19 07:25:00,2015-06-19 07:25:00,0,40,355,,0
MatEvidenceRU,"Пропавшая семья из Бредфорда: контрабандист из ИГИЛ утверждает, что все 12 членов семьи пересекли границу Сирии http://t.co/ye3688eEkA",Unknown,Russian,2015-06-19 15:25:00,2015-06-19 15:26:00,0,40,359,,0
