author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
MaxyAsta,"Ребята из ""ЯТЬ"" постарались на славу... https://t.co/KBBOviucWT",United States,Russian,2015-06-01T10:04:00,2015-06-01T10:04:00,1055.0000000000,105.0000000000,414.0000000000,R,True
MaxyAsta,Почему не обнародовали черные ящики сбитого Боинга? http://t.co/doggIxqlc4,United States,Russian,2015-06-08T17:25:00,2015-06-08T17:25:00,1055.0000000000,103.0000000000,418.0000000000,R,True
MaxyAsta,'@byDrBre для этого санкции и придумывали походу',United States,Ukrainian,2015-06-29T23:12:00,2015-06-29T23:12:00,1047.0000000000,103.0000000000,424.0000000000,,False
MaxyAsta,#Росмолодежь : идеи саммита молодежи БРИКС будут основой общей программы #BRICS  http://t.co/w3pcMGp8YU @fadm_ru http://t.co/IylNygnVxD,United States,Russian,2015-07-07T10:02:00,2015-07-07T10:03:00,1046.0000000000,103.0000000000,427.0000000000,R,True
MaxyAsta,#СчастливаяСтрана начинается со счастливой семьи http://t.co/bJumaY6o9o,United States,Russian,2015-07-10T15:27:00,2015-07-10T15:27:00,1046.0000000000,103.0000000000,447.0000000000,R,True
MaxyAsta,"Самое главное и ценное в жизни-это семья. Сначала та, в которой ты рождаешься, а затем та, которую создаешь сам! #СчастливаяСтрана",United States,Russian,2015-07-10T15:54:00,2015-07-10T15:54:00,1046.0000000000,103.0000000000,448.0000000000,R,True
MaxyAsta,Почему США не покажет снимки о гибели МН-17 со спутника  http://t.co/geuFhBFBQo #новостиобоинге #заговор #слежка,United States,Russian,2015-07-27T11:11:00,2015-07-27T11:12:00,944.0000000000,102.0000000000,468.0000000000,R,True
MaxyAsta,На Украине 69-летняя пенсионерка попала под мобилизацию   http://t.co/Qr0hONXA0j http://t.co/ep61yQmS4U,United States,Russian,2015-07-27T11:39:00,2015-07-27T11:39:00,944.0000000000,102.0000000000,470.0000000000,R,True
MaxyAsta,'@VRSoloviev 69-летнюю пенсионерку призвали воевать в Донбассе http://t.co/Qr0hONXA0j http://t.co/K9JW7Sk2bP',United States,Russian,2015-07-27T12:09:00,2015-07-27T12:09:00,944.0000000000,102.0000000000,471.0000000000,R,True
MaxyAsta,#НиШагуНазад - приказ № 227 Народного комиссара обороны СССР И. В. Сталина от 28 июля 1942 года http://t.co/mk1B8snSk3,United States,Russian,2015-07-28T15:02:00,2015-07-28T15:02:00,944.0000000000,101.0000000000,472.0000000000,R,True
MaxyAsta,Захарченко: ОБСЕ игнорирует гибель мирных жителей   http://t.co/bvDdvi71yc http://t.co/7Wyyi5sYdh,United States,Russian,2015-08-20T07:30:00,2015-08-20T07:30:00,349.0000000000,100.0000000000,495.0000000000,R,True
MaxyAsta,"История о том, как заказать петербургское такси в Пулково за 4 тыс и опоздать на 5 часов...  http://t.co/XLPkFKj0xZ http://t.co/Ry8us3IknM",United States,Russian,2015-09-08T16:23:00,2015-09-08T16:23:00,348.0000000000,102.0000000000,510.0000000000,R,True
