author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
margoveller,Учитель всегда должен быть примером для своих учеников. Какой пример подавала Фихтер?! #ОченьПлохаяУчилка http://t.co/MDiXSgqzVj,Unknown,Russian,2015-07-03 14:59:00,2015-07-03 15:01:00,205,304,2614,R,1
margoveller,"Смех без причины, признак дурачины #СмехСквозьСлезы https://t.co/N60FOv4UuZ http://t.co/x3a9WiSHB9",Unknown,Russian,2015-07-22 15:28:00,2015-07-22 15:29:00,204,304,2624,,0
margoveller,Жители обстреливаемых районов Донецка проводят митинг возле гостиницы PARK INN http://t.co/XkbxzuVpbH  #ОБСЕ http://t.co/tCIr7DrjX6,Unknown,Russian,2015-07-23 15:27:00,2015-07-23 15:27:00,204,304,2625,,0
margoveller,"Буфер, который состоит из ряда государств, является для нас подушкой безопасности http://t.co/x0mktSVeWO",Unknown,Russian,2015-09-09 12:48:00,2015-09-09 12:48:00,204,311,2642,R,1
margoveller,ФМС: Заявления беженцев из Сирии об убежище в России будут рассмотрены http://t.co/vOkQopTWQi,Unknown,Russian,2015-09-09 12:49:00,2015-09-09 12:49:00,204,311,2643,R,1
margoveller,Если Дамаск попросит помочь в борьбе с ИГИЛ - мы поможем!  https://t.co/LnIgZbjhyY,Unknown,Russian,2015-09-21 14:24:00,2015-09-21 14:24:00,204,310,2650,R,1
margoveller,"Пускай учебный процесс приносит Вам только наслаждение, ученики, #МойЛюбимыйУчитель http://t.co/HxsvrQXS78",Unknown,Russian,2015-10-05 14:56:00,2015-10-05 15:48:00,204,310,2657,,0
margoveller,"МЫ русские,с нами Бог! #РазрушителиМифов",Unknown,Russian,2015-10-13 10:25:00,2015-10-13 11:32:00,203,309,2649,,0
margoveller,"Поддержать ретвитом наши ВКС, #ЭтоЯМогу http://t.co/CQbwr9xtM0",Unknown,Russian,2015-10-16 15:01:00,2015-10-16 15:48:00,203,309,2653,,0
margoveller,#будущеенаступило появилась нормальная российская машина Лада Веста),Unknown,Russian,2015-10-21 10:24:00,2015-10-21 10:24:00,203,310,2658,,0
margoveller,#5причинбомбитьигил сколько можно вырезать мирного населения https://t.co/eBaMBOZsGG,Unknown,Russian,2015-10-21 16:01:00,2015-10-21 16:02:00,203,310,2659,,0
margoveller,Помощь ближнему-это важно! #5причинбомбитьигил https://t.co/eBaMBOZsGG,Unknown,Russian,2015-10-21 16:05:00,2015-10-21 16:05:00,203,310,2661,,0
