author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
matthew1stacey,#FergusonRemembers White people are potential humans - they haven't evolved yet! - Louis Farrakhan,United States,English,2015-08-09 15:47:00,2015-08-09 15:47:00,59,67,508,R,1
matthew1stacey,"What happened with #MichaelBrown is an awful tragedy, we’ll never forget #FergusonRemembers",United States,English,2015-08-09 16:03:00,2015-08-09 16:03:00,59,67,509,R,1
matthew1stacey,#fergusonremembers POLICE is just going wilder. #MikeBrown #Ferguson,United States,English,2015-08-09 16:09:00,2015-08-09 16:09:00,59,68,513,R,1
matthew1stacey,"So, if someone shoots me he commits a crime, if a cop shoots me he prevents one. Double standarts! #MikeBrown #Fergusonremembers",United States,English,2015-08-09 16:11:00,2015-08-09 16:11:00,59,68,515,R,1
matthew1stacey,#Fergusonremembers police in Ferguson gearing up to be a nightmare already,United States,English,2015-08-09 16:13:00,2015-08-09 16:13:00,59,68,516,R,1
matthew1stacey,#TrumpBecause I wonder how many liberals regret voting for Obama. #MakeAmericaGreatAgain ���,United States,English,2015-08-13 15:53:00,2015-08-13 15:53:00,59,67,520,,0
matthew1stacey,#TrumpBecause #TRUMP HAS GOT MY VOTE. LOVE TO SEE HIM STICK IT TO THE HATERS #TRUMP2016 �����,United States,English,2015-08-13 15:55:00,2015-08-13 15:55:00,59,67,521,,0
matthew1stacey,#TrumpBecause I admire Trump's passion. �☺️,United States,English,2015-08-13 16:02:00,2015-08-13 16:02:00,59,67,525,,0
matthew1stacey,"Our federal deficit is now $19 trillion, how would our candidates deal with it, I wonder #GOPStop",United States,English,2015-11-11 02:48:00,2015-11-11 02:48:00,59,67,537,,0
matthew1stacey,#DemnDebate Donald Trump Says Paris Attacks Would Have Been Much Different If People Had  #MakeDCListen,United States,English,2015-11-15 03:38:00,2015-11-15 03:38:00,59,67,549,,0
matthew1stacey,#DemDebate #DemnDebate Christian community rallies behind Amanda Blackburn s family #gop,United States,English,2015-11-15 03:57:00,2015-11-15 03:57:00,59,67,565,,0
matthew1stacey,Missouri coach Pinkel to step down after the season #DemnDebate #DemDebate #teaparty,United States,English,2015-11-15 04:06:00,2015-11-15 04:06:00,59,67,580,,0
matthew1stacey,"Mizzou students express shock, sadness during hectic week over resignation of #DemnDebate #tcot",United States,English,2015-11-15 04:07:00,2015-11-15 04:08:00,59,67,584,,0
matthew1stacey,#DemnDebate NFL Rumors в Indianapolis Colts Want to Hire Nick Saban as the Head Coach #DemDebate #tcot,United States,English,2015-11-15 04:10:00,2015-11-15 04:10:00,59,67,590,,0
matthew1stacey,Operation Christmas Child cheering children around the world #DemnDebate #2A,United States,English,2015-11-15 04:10:00,2015-11-15 04:12:00,59,67,591,,0
matthew1stacey,"#DemDebate #DemnDebate Donald Trump, Ben Carson and GOP panic #teaparty",United States,English,2015-11-15 04:12:00,2015-11-15 04:13:00,59,67,594,,0
matthew1stacey,#DemDebate #DemnDebate Donald Trump Releases Friday The 13th Assault Advert Calling Ben Carson A  #2A,United States,English,2015-11-15 04:15:00,2015-11-15 04:16:00,59,67,598,,0
matthew1stacey,#DemDebate #DemnDebate Can-do campaign biographies: There s often more to the story #MakeDCListen,United States,English,2015-11-15 04:15:00,2015-11-15 04:15:00,59,67,596,,0
matthew1stacey,Hillcrest holds Christmas Child packing party #DemnDebate #ccot,United States,English,2015-11-15 04:16:00,2015-11-15 04:17:00,59,68,601,,0
